split,run,period,field_G,frequency_MHz,cycle_bins,timeline_points,control_windows,basis_condition,calibration_improvement,median_state_x_L,median_state_x_C,median_history_x_P,median_history_x_R,target_x_P,target_x_R,target_rho,shuffle_x_P,shuffle_x_R,shuffle_rho,reverse_x_P,reverse_x_R,reverse_rho,wrong_x_P,wrong_x_R,wrong_rho
development,EMU00070013,RF on,230.0,3.11627,20,59,15,1.284995586093372,0.043475298344464994,1.0192865862154938,1.1752247631674577,1.8529325012980808,1.824563656062457,1.8529325012980808,1.8129232732054013,0.22737495721041184,1.8529325012980808,2.0,0.08484213737400116,1.8529325012980808,1.8588982050071061,0.22737495721041184,1.835681649095376,2.0,0.17423675295748622
development,EMU00070013,RF off,230.0,3.11627,20,59,15,1.2147063305451928,0.03323005859088155,1.0074403561532719,1.1047461453601541,1.8752522153119373,1.7591744236231919,1.8752522153119373,1.7591744236231919,0.22445026548475527,1.8752522153119373,2.0,0.0879613247864444,1.8752522153119373,1.8280294448360268,0.22445026548475527,1.8434731099872095,2.0,0.15967891682745392
development,EMU00070019,RF on,266.0,3.604034,17,59,15,1.2019526862501553,0.03112163183144701,1.029135213805916,0.9748264699039907,1.8181303918596234,2.0,1.811103092962031,2.0,0.18025703150656086,1.811103092962031,2.0,0.09202386025825555,1.811103092962031,1.932799559591379,0.18025703150656086,1.8390411918976208,2.0,0.0972008516069222
development,EMU00070019,RF off,266.0,3.604034,17,59,15,1.2171530015682916,0.031485574425551964,0.9553031510037148,0.969559278264295,1.77715297594221,2.0,1.7779991581066663,2.0,0.3290222274366115,1.7779991581066663,2.0,0.170833371871378,1.7779991581066663,2.0,0.3290222274366116,1.791473629121541,2.0,0.2712029371582517
development,EMU00070025,RF on,302.0,4.091798,15,59,15,1.623588746912291,0.029407068057865964,1.0055826070137917,1.0347187619350717,1.8688158281147955,1.8934265218860005,1.8688158281147955,1.867184927979045,0.10826560017787187,1.8688158281147955,1.9874356127131587,0.08622305165934202,1.8688158281147955,1.9007834455842805,0.10826560017787187,1.85999891969175,2.0,0.10230697565997646
development,EMU00070025,RF off,302.0,4.091798,15,59,15,1.3405754203191231,0.030317171414752587,0.9745438577572371,1.1334996124472514,1.865791072356267,1.9136038572160414,1.8688158281147955,1.9857252860376389,0.10257036352571572,1.8688158281147955,2.0,0.0770465093712242,1.8688158281147955,1.7379408945308594,0.10257036352571572,1.865653037428524,2.0,0.1130985395772815
development,EMU00070031,RF on,338.0,4.579562,14,59,15,1.4328866313658464,0.022306579464240077,0.9893883964872329,0.9389524512698562,1.8529325012980808,2.0,1.8529325012980808,2.0,0.12674222976621383,1.8529325012980808,2.0,0.08030194138116764,1.8529325012980808,1.932363212430713,0.12674222976621385,1.8608741647064382,2.0,0.12620391706912243
development,EMU00070031,RF off,338.0,4.579562,14,59,15,1.3272590106591442,0.024192317605924104,1.0395616986414453,0.9389500340581408,1.8844129532345621,2.0,1.8752522153119373,2.0,0.14509064414393177,1.8752522153119373,2.0,0.07816466714280969,1.8752522153119373,2.0,0.1450906441439318,1.843771763375457,2.0,0.12420420940077963
development,EMU00070037,RF on,374.0,5.067326,12,59,15,1.309033282355136,0.025320065684415333,0.994266049198837,0.9126557062071285,1.8367522727379193,2.0,1.843771763375457,2.0,0.1262162575509721,1.843771763375457,2.0,0.08821914159140354,1.843771763375457,2.0,0.12621625755097207,1.8766143906746788,2.0,0.10084956813601428
development,EMU00070037,RF off,374.0,5.067326,12,59,15,1.2310248248731623,0.027421391220329328,0.9924959929551069,0.9860849701876755,1.7942944672602723,2.0,1.7942944672602723,2.0,0.1262167278916371,1.7942944672602723,2.0,0.09201445435462591,1.7942944672602723,1.925628470182983,0.12621672789163713,1.8642354591534833,1.9754911587555009,0.0845259638562268
development,EMU00070043,RF on,410.0,5.55509,11,59,15,1.0521873909771906,0.02318605376301833,0.9627897888344353,0.9974586555646819,1.834310620419785,2.0,1.834310620419785,2.0,0.14113605998221904,1.834310620419785,2.0,0.09515184886331556,1.834310620419785,2.0,0.14113605998221906,1.8686727272663215,2.0,0.09215750254357306
development,EMU00070043,RF off,410.0,5.55509,11,59,15,1.6230649469459022,0.023354837738854405,1.0310770693297666,0.9825543648448881,1.8905732705762202,1.9082565848994009,1.8997340084988443,1.868604256214587,0.08247225429904388,1.8997340084988443,2.0,0.08037101327773058,1.8997340084988443,2.0,0.08247225429904387,1.8608741647064382,2.0,0.09366623144230611
development,EMU00070049,RF on,446.0,6.042854,10,59,15,1.369122305784467,0.023059451939273706,1.0231826199028486,1.0268089035798142,1.811103092962031,2.0,1.843771763375457,2.0,0.12639562341500094,1.843771763375457,2.0,0.08367831490242361,1.843771763375457,1.8293482055813273,0.12639562341500096,1.8608741647064382,1.977672206199034,0.08913213944078548
development,EMU00070049,RF off,446.0,6.042854,10,59,15,1.0565131441354065,0.019284648961689837,1.0352580182462539,1.0987908457943254,1.8844129532345621,1.9133650152158415,1.8752522153119373,1.8212694093361144,0.10261948060266081,1.8752522153119373,2.0,0.07767438427630555,1.8752522153119373,1.8320444524556248,0.10261948060266082,1.864092358305009,1.9255116838200008,0.09356443325315719
development,EMU00070055,RF on,482.0,6.5306180000000005,10,59,15,1.3116931006265713,0.025105151517721625,0.9214321986882307,1.0649148687374537,1.8844129532345621,1.8479600120911337,1.8844129532345621,1.808797928701847,0.08920718488081364,1.8844129532345621,2.0,0.08116003375415588,1.8844129532345621,1.8590740124402108,0.08920718488081364,1.8540412401311397,2.0,0.09212364137309223
development,EMU00070055,RF off,482.0,6.5306180000000005,10,59,15,1.4024318736454982,0.02288692314042781,0.9859810271915771,0.9461103882330827,1.9204250916944794,2.0,1.9295858296171042,2.0,0.1134806032308106,1.9295858296171042,2.0,0.08315017743240916,1.9295858296171042,2.0,0.1134806032308106,1.8590824026957575,2.0,0.10082739126574929
