Name,Time_s,D_px,D_mm,x_child_connection_ara,x_parent_causal_ara,connection_child_mm_s,movement_child_mm_s,r_parent_unresolved_mm_s,r_child_unresolved_mm_s,fluid,target_t_s,child_issue_t_s,parent_issue_t_s,partition,x_parent_child_coarse,t411e_down_issue_t_s
241113q,0.017,144.0,1.97260273972603,0.0,,0.0,1.1207970112061316,-5.546004288615601,-4.425207277409469,S1,0.285,0.104,0.295,development,,0.149
241113q,0.018,144.0,1.97260273972603,0.0,,0.0,0.7471980074703106,-5.080818369751681,-4.33362036228137,S1,0.285,0.104,0.295,development,,0.149
241113q,0.019,144.0,1.97260273972603,0.0,,0.0,0.7471980074728872,-4.866233467501711,-5.613431474974599,S1,0.285,0.104,0.295,development,,0.149
241113q,0.02,144.0,1.97260273972603,0.0,,0.0,3.36239103362346,-4.902214712016125,-8.264605745639585,S1,0.285,0.104,0.295,development,,0.149
241113q,0.021,144.0,1.97260273972603,0.0,,0.0,2.9887920298873727,-5.188728230746339,-8.177520260633711,S1,0.285,0.104,0.295,development,,0.149
241113q,0.022,144.0,1.97260273972603,0.0,,0.0,2.3661270236606478,-5.725741114123082,-8.09186813778373,S1,0.285,0.104,0.295,development,,0.149
241113q,0.023,144.0,1.97260273972603,0.0,,0.0,1.4943960149432858,-6.513221382613034,-8.00761739755632,S1,0.285,0.104,0.295,development,,0.149
241113q,0.024,144.0,1.97260273972603,0.0,,0.0,1.1207970112074648,-6.803939947618463,-7.924736958825927,S1,0.285,0.104,0.295,development,,0.149
241113q,0.025,144.0,1.97260273972603,0.0,,0.0,0.6226650062263692,-7.220531602275433,-7.843196608501803,S1,0.285,0.104,0.295,development,,0.149
241113q,0.026,143.0,1.95890410958904,0.0,,0.0,2.117061021171165,-7.140301966126581,-5.0232409449554165,S1,0.285,0.104,0.295,development,,0.149
241113q,0.027,142.0,1.94520547945205,0.0,,0.0,5.105853051059903,-5.940557469545075,-0.8347044184851722,S1,0.285,0.104,0.295,development,,0.149
241113q,0.028,142.0,1.94520547945205,0.0,,0.0,5.603985056041368,-4.9911333467218935,0.6128517093194743,S1,0.285,0.104,0.295,development,,0.149
241113q,0.029,142.0,1.94520547945205,0.0,,0.0,3.6114570361155582,-4.292002576149855,-0.6805455400342968,S1,0.285,0.104,0.295,development,,0.149
241113q,0.03,142.0,1.94520547945205,0.0,,0.0,0.8717310087175227,-3.843138869427879,-4.714869878145402,S1,0.285,0.104,0.295,development,,0.149
241113q,0.031,142.0,1.94520547945205,0.0,,0.0,3.735990037360911,-3.644516647320984,-7.380506684681895,S1,0.285,0.104,0.295,development,,0.149
241113q,0.032,142.0,1.94520547945205,0.0,,0.0,3.611457036115549,-3.6961110167328615,-7.30756805284841,S1,0.285,0.104,0.295,development,,0.149
241113q,0.033,140.0,1.91780821917808,0.0,,0.0,0.9962640099613278,-2.75256773609809,-1.7563037261367622,S1,0.285,0.104,0.295,development,,0.149
241113q,0.034,140.0,1.91780821917808,0.0,,0.0,3.362391033622588,-2.3082592339127554,1.0541317997098325,S1,0.285,0.104,0.295,development,,0.149
241113q,0.035,140.0,1.91780821917808,0.0,,0.0,3.486924034868228,-2.3631625458732355,1.123761488994992,S1,0.285,0.104,0.295,development,,0.149
241113q,0.036,140.0,1.91780821917808,0.0,,0.0,1.369863013698252,-2.917255310064533,-1.5473922963662812,S1,0.285,0.104,0.295,development,,0.149
241113q,0.037,138.0,1.89041095890411,0.0,,0.0,0.4981320049813034,-1.9779877280117697,-1.4798557230304663,S1,0.285,0.104,0.295,development,,0.149
241113q,0.038,138.0,1.89041095890411,0.0,,0.0,2.2415940224157582,-0.9152015999076069,1.3263924225081514,S1,0.285,0.104,0.295,development,,0.149
241113q,0.039,138.0,1.89041095890411,0.0,,0.0,1.7434620174344833,-0.3515412658668806,1.3919207515676026,S1,0.285,0.104,0.295,development,,0.149
241113q,0.04,138.0,1.89041095890411,0.0,,0.0,0.9962640099625232,-0.2869865901651849,-1.2832506001277082,S1,0.285,0.104,0.295,development,,0.149
241113q,0.041,137.0,1.87671232876712,0.0,,0.0,3.860523038604059,-0.0988529448495407,-3.9593759834536,S1,0.285,0.104,0.295,development,,0.149
241113q,0.042,136.0,1.86301369863014,0.8300102688831155,0.0262746930611782,0.08834579236012,0.124533001245652,0.08834579236012,0.2128787936057721,S1,0.285,0.104,0.295,development,0.42814248097214685,0.149
241113q,0.043,136.0,1.86301369863014,0.0,,0.0,2.1170610211702705,-0.472569745451179,1.6444912757190917,S1,0.285,0.104,0.295,development,,0.149
241113q,0.044,136.0,1.86301369863014,0.0,,0.0,0.6226650062259882,-0.2871853710649406,0.3354796351610476,S1,0.285,0.104,0.295,development,,0.149
241113q,0.045,136.0,1.86301369863014,0.0,,0.0,3.1133250311340253,-0.6008133787758849,-3.71413840990991,S1,0.285,0.104,0.295,development,,0.149
241113q,0.046,134.0,1.83561643835616,0.0,,0.0,0.7471980074703639,-0.1681064784228594,-0.9153044858932232,S1,0.285,0.104,0.295,development,,0.149
241113q,0.047,134.0,1.83561643835616,0.0,,0.0,2.366127023663272,-0.4834438345085488,1.882683189154723,S1,0.285,0.104,0.295,development,,0.149
241113q,0.048,134.0,1.83561643835616,0.0,,0.0,1.992528019927093,-0.0524129961891599,1.940115023737933,S1,0.285,0.104,0.295,development,,0.149
241113q,0.049,134.0,1.83561643835616,0.0,,0.0,0.6226650062257262,-0.1203279422779877,-0.7429929485037139,S1,0.285,0.104,0.295,development,,0.149
241113q,0.05,134.0,1.83561643835616,0.0,,0.0,5.47945205479518,-0.6871730295385952,-6.166625084333775,S1,0.285,0.104,0.295,development,,0.149
241113q,0.051,132.0,1.80821917808219,0.0,,0.0,0.1245330012464487,-0.5076029812363076,-0.6321359824827564,S1,0.285,0.104,0.295,development,,0.149
241113q,0.052,132.0,1.80821917808219,0.0,,0.0,2.490660024905093,-0.3288009084598533,2.16185911644524,S1,0.285,0.104,0.295,development,,0.149
241113q,0.053,132.0,1.80821917808219,0.0,,0.0,2.241594022414639,-0.0262192708004818,2.2153747516141573,S1,0.285,0.104,0.295,development,,0.149
241113q,0.054,132.0,1.80821917808219,0.0,,0.0,0.249066002491455,-0.2225088822220779,-0.471574884713533,S1,0.285,0.104,0.295,development,,0.149
241113q,0.055,132.0,1.80821917808219,0.0,,0.0,4.981320049813185,-0.9176558873942052,-5.89897593720739,S1,0.285,0.104,0.295,development,,0.149
241113q,0.056,130.0,1.78082191780822,0.0,,0.0,0.4981320049812385,-0.866316745830507,-0.3681847408492684,S1,0.285,0.104,0.295,development,,0.149
241113q,0.057,130.0,1.78082191780822,0.0,,0.0,2.490660024906318,-0.0684782474815746,2.4221817774247434,S1,0.285,0.104,0.295,development,,0.149
241113q,0.058,130.0,1.78082191780822,0.1865127548779163,0.0771356768759728,0.2305424962668949,2.241594022415687,0.2305424962668949,2.472136518682582,S1,0.285,0.104,0.295,development,0.13182421587694454,0.149
241113q,0.059,130.0,1.78082191780822,0.2198387304725552,0.0107385840107146,0.0307580862075234,0.249066002490653,0.0307580862075234,-0.2183079162831296,S1,0.285,0.104,0.295,development,0.1152886572416349,0.149
241113q,0.06,129.0,1.76712328767123,0.0,,0.0,2.8642590286415013,-0.0451541624964759,-2.9094131911379773,S1,0.285,0.104,0.295,development,,0.149
241113q,0.061,128.0,1.75342465753425,0.0,,0.0,1.369863013698856,-0.1217152258674714,1.2481477878313845,S1,0.285,0.104,0.295,development,,0.149
241113q,0.062,128.0,1.75342465753425,0.4114172944078216,0.1797030923767389,0.5482846529551395,2.117061021170298,0.5482846529551395,2.665345674125437,S1,0.285,0.104,0.295,development,0.29556019339228023,0.149
241113q,0.063,128.0,1.75342465753425,1.07216697771566,0.2311120539932839,0.7195269426938502,0.6226650062260122,0.7195269426938502,1.3421919489198624,S1,0.285,0.104,0.295,development,0.6516395158544719,0.149
241113q,0.064,128.0,1.75342465753425,0.2236713019366518,0.1339550466133509,0.3920228636878535,3.1133250311340066,0.3920228636878535,-2.721302167446153,S1,0.285,0.104,0.295,development,0.17881317427500135,0.149
241113q,0.065,127.0,1.73972602739726,0.1234631184953056,0.0672551360938444,0.1884483888059049,2.864259028641521,0.1884483888059049,-2.675810639835616,S1,0.285,0.104,0.295,development,0.09535912729457499,0.149
241113q,0.066,127.0,1.73972602739726,0.0,,0.0,0.6226650062254313,-0.6383837695685726,-1.261048775794004,S1,0.285,0.104,0.295,development,,0.149
241113q,0.067,126.0,1.72602739726027,0.0375548311939007,0.010680979192899,0.0285978894953098,1.4943960149456397,0.0285978894953098,1.5229939044409493,S1,0.285,0.104,0.295,development,0.02411790519339985,0.149
241113q,0.068,126.0,1.72602739726027,0.2513190030203007,0.0718595911588857,0.1968755922161396,1.3698630137000762,0.1968755922161396,1.5667386059162158,S1,0.285,0.104,0.295,development,0.1615892970895932,0.149
241113q,0.069,126.0,1.72602739726027,0.0,,0.0,0.9962640099621254,-0.1335406426037328,-1.1298046525658585,S1,0.285,0.104,0.295,development,,0.149
241113q,0.07,125.0,1.71232876712329,0.0,,0.0,0.6226650062256933,-0.3399760111993872,0.282688995026306,S1,0.285,0.104,0.295,development,,0.149
241113q,0.071,125.0,1.71232876712329,0.0,,0.0,0.6226650062290231,-0.4224209314075402,-1.045085937636563,S1,0.285,0.104,0.295,development,,0.149
241113q,0.072,125.0,1.71232876712329,0.0,,0.0,0.7471980074741076,-0.2563330294916284,-1.003531036965736,S1,0.285,0.104,0.295,development,,0.149
241113q,0.073,124.0,1.6986301369863,0.7771786598523286,0.0605297051938097,0.1582968628978873,0.2490660024900153,0.1582968628978873,0.4073628653879027,S1,0.285,0.104,0.295,development,0.41885418252306916,0.149
241113q,0.074,124.0,1.6986301369863,0.1387700597688724,0.0290959050761425,0.074279707853166,0.9962640099615,0.074279707853166,-0.921984302108334,S1,0.285,0.104,0.295,development,0.08393298242250746,0.149
241113q,0.075,123.0,1.68493150684932,0.1230404600074099,0.0447679502057498,0.1142892875738219,1.7434620174349371,0.1142892875738219,1.857751305008759,S1,0.285,0.104,0.295,development,0.08390420510657985,0.149
241113q,0.076,123.0,1.68493150684932,0.2934059846270487,0.1064296924526452,0.2783341894776159,1.6189290161888217,0.2783341894776159,1.8972632056664371,S1,0.285,0.104,0.295,development,0.19991783853984696,0.149
241113q,0.077,122.0,1.67123287671233,0.5850611601216698,0.2067443283173496,0.5664228173077346,1.3698630136981755,0.5664228173077346,1.93628583100591,S1,0.285,0.104,0.295,development,0.39590274421950966,0.149
241113q,0.078,122.0,1.67123287671233,0.9910368804670572,0.3343771944177724,0.978563395867618,0.9962640099630092,0.978563395867618,1.9748274058306272,S1,0.285,0.104,0.295,development,0.6627070374424148,0.149
241113q,0.079,122.0,1.67123287671233,0.7105448242800249,0.3114589010508168,0.8920989693858603,1.6189290161878835,0.8920989693858603,-0.7268300468020232,S1,0.285,0.104,0.295,development,0.5110018626654208,0.149
241113q,0.08,122.0,1.67123287671233,0.2297183170552785,0.1202688034118643,0.3070374184238149,2.366127023660537,0.3070374184238149,-2.0590896052367222,S1,0.285,0.104,0.295,development,0.1749935602335714,0.149
241113q,0.081,121.0,1.65753424657534,0.3698052697353091,0.2215717794183955,0.5932494716682024,2.615193026151394,0.5932494716682024,-2.021943554483192,S1,0.285,0.104,0.295,development,0.2956885245768523,0.149
241113q,0.082,120.0,1.64383561643836,0.9448053311290084,0.350367988795422,1.003544675254633,1.1207970112077694,1.003544675254633,2.1243416864624027,S1,0.285,0.104,0.295,development,0.6475866599622152,0.149
241113q,0.083,120.0,1.64383561643836,0.4479488600335537,0.2886173325726508,0.7907324180072379,2.7397260273965878,0.7907324180072379,3.5304584454038253,S1,0.285,0.104,0.295,development,0.3682830963031023,0.149
241113q,0.084,120.0,1.64383561643836,0.6392401081306683,0.2621955414490419,0.7020179503305455,1.4943960149428746,0.7020179503305455,2.19641396527342,S1,0.285,0.104,0.295,development,0.4507178247898551,0.149
241113q,0.085,119.0,1.63013698630137,1.7110406669614988,0.2754134500455089,0.7374083656262291,0.1245330012446519,0.7374083656262291,0.8619413668708811,S1,0.285,0.104,0.295,development,0.9932270585035039,0.149
241113q,0.086,119.0,1.63013698630137,0.7913543739181995,0.3273723731922167,0.8969106114855423,1.3698630136975891,0.8969106114855423,-0.472952402212047,S1,0.285,0.104,0.295,development,0.5593633735552082,0.149
241113q,0.087,118.0,1.61643835616438,1.0259565211905453,0.4121594735315907,1.1805314933034694,1.1207970112096683,1.1805314933034694,2.3013285045131378,S1,0.285,0.104,0.295,development,0.719057997361068,0.149
241113q,0.088,118.0,1.61643835616438,1.3601320602995706,0.520566112351617,1.588277677785226,0.7471980074734628,1.588277677785226,2.3354756852586886,S1,0.285,0.104,0.295,development,0.9403490863255938,0.149
241113q,0.089,118.0,1.61643835616438,0.8899105922264807,0.5010354267381752,1.4974906901266785,1.8679950186793803,1.4974906901266785,-0.3705043285527019,S1,0.285,0.104,0.295,development,0.695473009482328,0.149
241113q,0.09,117.0,1.6027397260274,1.508981367458846,0.512194197754425,1.5308419360033492,0.4981320049821738,1.5308419360033492,1.0327099310211754,S1,0.285,0.104,0.295,development,1.0105877826066354,0.149
241113q,0.091,117.0,1.6027397260274,0.860876034521998,0.3515047264849955,0.9411396786335812,1.2453300124553328,0.9411396786335812,-0.3041903338217517,S1,0.285,0.104,0.295,development,0.6061903805034967,0.149
241113q,0.092,116.0,1.58904109589041,0.8899525277696133,0.4008623730210382,1.098253076770047,1.3698630136971008,1.098253076770047,2.468116090467148,S1,0.285,0.104,0.295,development,0.6454074503953258,0.149
241113q,0.093,116.0,1.58904109589041,1.1034772025565622,0.4816335159780515,1.3795231466370763,1.120797011207534,1.3795231466370763,2.5003201578446106,S1,0.285,0.104,0.295,development,0.7925553592673069,0.149
241113q,0.094,116.0,1.58904109589041,0.9180254260173176,0.4242361364544166,1.162290784806645,1.3698630136976666,1.162290784806645,-0.2075722288910215,S1,0.285,0.104,0.295,development,0.6711307812358671,0.149
241113q,0.095,115.0,1.57534246575342,1.7913600326695245,0.3993437707737613,1.0692267835163118,0.1245330012466947,1.0692267835163118,1.1937597847630066,S1,0.285,0.104,0.295,development,1.0953519017216429,0.149
241113q,0.096,115.0,1.57534246575342,0.9381867893621286,0.4109630057042228,1.1003368147747272,1.245330012452384,1.1003368147747272,-0.1449931976776568,S1,0.285,0.104,0.295,development,0.6745748975331757,0.149
241113q,0.097,114.0,1.56164383561644,0.9564894178978934,0.4583036503429802,1.2556264392958196,1.369863013698546,1.2556264392958196,2.625489452994365,S1,0.285,0.104,0.295,development,0.7073965341204368,0.149
241113q,0.098,114.0,1.56164383561644,1.1559939723414356,0.5359505176668403,1.535101109132892,1.120797011206931,1.535101109132892,2.655898120339823,S1,0.285,0.104,0.295,development,0.845972245004138,0.149
241113q,0.099,114.0,1.56164383561644,0.979984152381318,0.4803769248636994,1.316101164010118,1.369863013700411,1.316101164010118,-0.0537618496902929,S1,0.285,0.104,0.295,development,0.7301805386225086,0.149
241113q,0.1,113.0,1.54794520547945,1.8149349995487012,0.456140173279878,1.221296852492861,0.1245330012446519,1.221296852492861,1.3458298537375128,S1,0.285,0.104,0.295,development,1.1355375864142896,0.149
241113q,0.101,113.0,1.54794520547945,1.0021487392424977,0.4671194104787747,1.2506933157277451,1.2453300124522952,1.2506933157277451,0.00536330327545,S1,0.285,0.104,0.295,development,0.7346340748606361,0.149
241113q,0.102,112.0,1.53424657534247,1.0124119011097503,0.5125678925493173,1.4042955960254373,1.3698630136987775,1.4042955960254373,2.774158609724215,S1,0.285,0.104,0.295,development,0.7624898968295338,0.149
241113q,0.103,112.0,1.53424657534247,1.2002606216418066,0.5872753205386111,1.682108639151524,1.120797011207328,1.682108639151524,2.802905650358852,S1,0.285,0.104,0.295,development,0.8937679710902089,0.149
241113q,0.104,112.0,1.53424657534247,1.0323555025422848,0.5334373859695503,1.4614722903273432,1.369863013699831,1.4614722903273432,0.091609276627512,S1,0.285,0.104,0.295,development,0.7828964442559175,0.149
241113q,0.105,111.0,1.52054794520548,1.8327955230604056,0.5098326609344362,1.3650563150795811,0.124533001245469,1.3650563150795811,1.4895893163250502,S1,0.285,0.104,0.295,development,1.171314091997421,0.149
241113q,0.106,110.0,1.50684931506849,1.3961537327800746,0.674362875951782,2.015530388896908,0.8717310087193946,2.015530388896908,2.887261397616302,S1,0.285,0.104,0.295,development,1.0352583043659283,0.149
241113q,0.107,110.0,1.50684931506849,0.9536580898832744,0.683565821551843,2.043036079358015,2.2415940224179325,2.043036079358015,4.284630101775948,S1,0.285,0.104,0.295,development,0.8186119557175586,0.149
241113q,0.108,110.0,1.50684931506849,1.4920430746775368,0.7193489955302858,2.1947758892270275,0.7471980074734637,2.1947758892270275,2.941973896700491,S1,0.285,0.104,0.295,development,1.1056960351039113,0.149
241113q,0.109,109.0,1.49315068493151,1.4783935027245314,0.778045351566644,2.470754229757152,0.8717310087179886,2.470754229757152,1.5990232210391633,S1,0.285,0.104,0.295,development,1.1282194271455876,0.149
241113q,0.11,109.0,1.49315068493151,1.0640774011211216,0.7105805293065937,2.1237774225850803,1.8679950186817849,2.1237774225850803,0.2557824039032956,S1,0.285,0.104,0.295,development,0.8873289652138576,0.149
241113q,0.111,108.0,1.47945205479452,1.6703126410315634,0.7947220872018805,2.523712730217747,0.498132004980012,2.523712730217747,3.021844735197759,S1,0.285,0.104,0.295,development,1.232517364116722,0.149
241113q,0.112,108.0,1.47945205479452,1.5096963975353417,0.7540665923818273,2.3007013092597663,0.7471980074714413,2.3007013092597663,3.047899316731208,S1,0.285,0.104,0.295,development,1.1318814949585845,0.149
241113q,0.113,108.0,1.47945205479452,1.082052860515282,0.7367341851529162,2.201945260731101,1.8679950186791263,2.201945260731101,0.3339502420519746,S1,0.285,0.104,0.295,development,0.909393522834099,0.149
241113q,0.114,107.0,1.46575342465753,1.6344764095414384,0.7452671784634742,2.227448603128785,0.4981320049800937,2.227448603128785,1.7293165981486918,S1,0.285,0.104,0.295,development,1.1898717940024564,0.149
241113q,0.115,107.0,1.46575342465753,1.1337881039391549,0.6087924981813901,1.6300172740847234,1.245330012452336,1.6300172740847234,0.3846872616323873,S1,0.285,0.104,0.295,development,0.8712903010602725,0.149
241113q,0.116,106.0,1.45205479452055,1.1300748065260309,0.6495241286283047,1.7795181606254733,1.369863013698552,1.7795181606254733,3.149381174324025,S1,0.285,0.104,0.295,development,0.8897994675771678,0.149
241113q,0.117,106.0,1.45205479452055,1.293783071361171,0.7168660512609292,2.053290059651448,1.120797011206899,2.053290059651448,3.174087070858347,S1,0.285,0.104,0.295,development,1.0053245613110502,0.149
241113q,0.118,106.0,1.45205479452055,1.143443397320821,0.667465170279386,1.828671699395556,1.369863013700484,1.828671699395556,0.4588086856950721,S1,0.285,0.104,0.295,development,0.9054542838001034,0.149
241113q,0.119,105.0,1.43835616438356,1.865577883184097,0.6455118130037596,1.72833175337251,0.1245330012446057,1.72833175337251,1.852864754617116,S1,0.285,0.104,0.295,development,1.2555448480939284,0.149
241113q,0.12,105.0,1.43835616438356,1.1691163470905843,0.6544538976713353,1.7522738231549062,1.2453300124522926,1.7522738231549062,0.5069438107026136,S1,0.285,0.104,0.295,development,0.9117851223809599,0.149
241113q,0.121,105.0,1.43835616438356,1.2620392127356193,0.5262064929001421,1.2778364397948487,0.7471980074708382,1.2778364397948487,0.5306384323240105,S1,0.285,0.104,0.295,development,0.8941228528178806,0.149
241113q,0.122,104.0,1.42465753424658,1.7410891848225325,0.6404445387434687,1.6748860913589052,0.2490660024904682,1.6748860913589052,1.9239520938493733,S1,0.285,0.104,0.295,development,1.1907668617830005,0.149
241113q,0.123,103.0,1.41095890410959,1.3242155572993948,0.7667701004763263,2.19622818318236,1.1207970112072116,2.19622818318236,3.317025194389571,S1,0.285,0.104,0.295,development,1.0454928288878604,0.149
241113q,0.124,103.0,1.41095890410959,0.8894818857208925,0.7475637566509743,2.094668060354381,2.615193026151568,2.094668060354381,4.709861086505949,S1,0.285,0.104,0.295,development,0.8185228211859334,0.149
241113q,0.125,103.0,1.41095890410959,1.2593354764445297,0.7556790401014869,2.11740702394555,1.24533001245337,2.11740702394555,3.36273703639892,S1,0.285,0.104,0.295,development,1.0075072582730082,0.149
241113q,0.126,102.0,1.3972602739726,1.801818512616008,0.7905878229578523,2.264448309841985,0.2490660024893927,2.264448309841985,2.0153823073525925,S1,0.285,0.104,0.295,development,1.2962031677869301,0.149
241113q,0.127,102.0,1.3972602739726,1.151642122160577,0.8484347763506559,2.535795097436681,1.8679950186791088,2.535795097436681,0.6678000787575726,S1,0.285,0.104,0.295,development,1.0000384492556165,0.149
241113q,0.128,102.0,1.3972602739726,1.1756381439524453,0.806067287038555,2.308785504593724,1.6189290161884715,2.308785504593724,0.6898564884052525,S1,0.285,0.104,0.295,development,0.9908527154955001,0.149
241113q,0.129,101.0,1.38356164383562,1.8931331845439128,0.7873281550276175,2.2060876074870817,0.1245330012458056,2.2060876074870817,2.081554606241276,S1,0.285,0.104,0.295,development,1.340230669785765,0.149
241113q,0.13,101.0,1.38356164383562,1.1970146749995343,0.7950429563165429,2.2277044230537744,1.4943960149456856,2.2277044230537744,0.7333084081080887,S1,0.285,0.104,0.295,development,0.9960288156580386,0.149
241113q,0.131,101.0,1.38356164383562,1.2747158863166204,0.6858692925890209,1.7509739100964454,0.9962640099643228,1.7509739100964454,0.7547099001321227,S1,0.285,0.104,0.295,development,0.9802925894528206,0.149
241113q,0.132,100.0,1.36986301369863,1.303559286923979,0.5910773069475489,1.3985639890415222,0.7471980074714661,1.3985639890415222,2.1457619965129884,S1,0.285,0.104,0.295,development,0.9473182969357639,0.149
241113q,0.133,100.0,1.36986301369863,1.5160874516912544,0.5221630289002146,1.1704775243092822,0.3735990037347552,1.1704775243092822,0.796878520574527,S1,0.285,0.104,0.295,development,1.0191252402957345,0.149
241113q,0.134,99.0,1.35616438356164,1.0198048490625442,0.7105239108532158,1.8139153390399716,1.7434620174364437,1.8139153390399716,3.557377356476415,S1,0.285,0.104,0.295,development,0.86516437995788,0.149
241113q,0.135,99.0,1.35616438356164,1.0950512254524196,0.74909085786773,1.9590171874499087,1.6189290161910073,1.9590171874499087,3.5779462036409164,S1,0.285,0.104,0.295,development,0.9220710416600748,0.149
241113q,0.136,98.0,1.34246575342466,1.2386083672515211,0.8133845408704607,2.2284507969053484,1.369863013698552,2.2284507969053484,3.5983138106039005,S1,0.285,0.104,0.295,development,1.025996454060991,0.149
241113q,0.137,98.0,1.34246575342466,1.4493471156167428,0.8960177577480909,2.622218842724775,0.9962640099615374,2.622218842724775,3.618482852686312,S1,0.285,0.104,0.295,development,1.172682436682417,0.149
241113q,0.138,97.0,1.32876712328767,1.7261849474540047,0.9888941710329,3.140323955334943,0.4981320049799569,3.140323955334943,3.6384559603149,S1,0.285,0.104,0.295,development,1.3575395592434525,0.149
241113q,0.139,97.0,1.32876712328767,1.6595818017777682,0.9750253132429036,3.0355707137078607,0.6226650062260566,3.0355707137078607,3.658235719933917,S1,0.285,0.104,0.295,development,1.317303557510336,0.149
241113q,0.14,97.0,1.32876712328767,1.1813725097496264,0.9813172855748046,3.0551596686639217,2.117061021169831,3.0551596686639217,0.9380986474940908,S1,0.285,0.104,0.295,development,1.0813448976622155,0.149
241113q,0.141,96.0,1.31506849315068,1.5717176974287357,1.0074007596165866,3.1990933213230788,0.871731008716166,3.1990933213230788,2.3273623126069127,S1,0.285,0.104,0.295,development,1.2895592285226611,0.149
241113q,0.142,95.0,1.3013698630137,1.7989479231338266,1.0324236259734534,3.34284113017557,0.373599003735845,3.34284113017557,3.716440133911415,S1,0.285,0.104,0.295,development,1.41568577455364,0.149
241113q,0.143,95.0,1.3013698630137,1.3657892518154715,1.0564466520995208,3.486405514400585,1.6189290161886558,3.486405514400585,5.105334530589241,S1,0.285,0.104,0.295,development,1.2111179519574962,0.149
241113q,0.144,95.0,1.3013698630137,1.6019531428603588,0.9856001833882072,3.00712384719925,0.7471980074711011,3.00712384719925,3.754321854670351,S1,0.285,0.104,0.295,development,1.293776663124283,0.149
241113q,0.145,95.0,1.3013698630137,0.9403303954620146,0.925962508972494,2.652196476508922,2.9887920298890074,2.652196476508922,-0.3365955533800853,S1,0.285,0.104,0.295,development,0.9331464522172543,0.149
241113q,0.146,95.0,1.3013698630137,0.5405735814435643,0.7408027901513012,1.7989606983748696,4.856787048567813,1.7989606983748696,-3.057826350192943,S1,0.285,0.104,0.295,development,0.6406881857974327,0.149
241113q,0.147,94.0,1.28767123287671,0.9238044969311728,0.7483473222744269,1.8172817913264223,2.117061021169796,1.8172817913264223,-0.2997792298433737,S1,0.285,0.104,0.295,development,0.8360759096027999,0.149
241113q,0.148,93.0,1.27397260273973,1.0240255858181575,0.7869255363703408,1.9599639760156444,1.8679950186801912,1.9599639760156444,3.827958994695836,S1,0.285,0.104,0.295,development,0.9054755610942491,0.149
241113q,0.149,93.0,1.27397260273973,0.8539471663101935,0.8515659923793452,2.227009444578401,2.9887920298876374,2.227009444578401,5.215801474466039,S1,0.285,0.104,0.295,development,0.8527565793447693,0.149
241113q,0.15,93.0,1.27397260273973,1.0330664035829151,0.8012957720757683,1.9957553476355607,1.8679950186793564,1.9957553476355607,3.8637503663149175,S1,0.285,0.104,0.295,development,0.9171810878293417,0.149
241113q,0.151,93.0,1.27397260273973,0.9173396282711904,0.5980950925696582,1.2662038074324764,1.4943960149446558,1.2662038074324764,-0.2281922075121794,S1,0.285,0.104,0.295,development,0.7577173604204244,0.149
