population,global_block,run,run_order,block,n_events,event_index_min,event_index_max,ridge,centre,count,share,peak_density,peak_to_median,resolved
parent_window_527,9,6845.2020.0318.0,2,3,43,432471,599922,R1,0.717,15,0.4838709677419355,0.08696462765336226,1.6824461512804318,True
parent_window_527,9,6845.2020.0318.0,2,3,43,432471,599922,R2,0.971,12,0.3870967741935484,0.06224139659668414,1.4936104494106421,True
parent_window_527,9,6845.2020.0318.0,2,3,43,432471,599922,R3,1.18,2,0.06451612903225806,0.012940081892362341,2.0204112346025367,False
parent_window_527,10,6845.2020.0318.0,2,4,43,612637,802048,R1,0.78,12,0.3870967741935484,0.09681276233516953,3.048693881965479,True
parent_window_527,10,6845.2020.0318.0,2,4,43,612637,802048,R2,1.044,15,0.4838709677419355,0.1054846570540321,2.27937861250875,True
parent_window_527,10,6845.2020.0318.0,2,4,43,612637,802048,R3,1.4060000000000001,2,0.06451612903225806,0.02179286452907083,16.46180380009542,False
parent_window_527,11,6845.2020.0318.0,2,5,43,803118,980899,R1,0.777,18,0.5454545454545454,0.10483562709470455,1.792716480648762,True
parent_window_527,11,6845.2020.0318.0,2,5,43,803118,980899,R2,1.045,8,0.24242424242424243,0.05703230474362935,2.0625859085337246,True
parent_window_527,11,6845.2020.0318.0,2,5,43,803118,980899,R3,1.309,4,0.12121212121212122,0.017534422646301014,1.6663534558493156,False
parent_window_527,12,6845.2020.0318.0,2,6,42,986908,1165461,R1,0.758,14,0.5,0.06607086305342039,1.5148077396218755,True
parent_window_527,12,6845.2020.0318.0,2,6,42,986908,1165461,R2,1.042,9,0.32142857142857145,0.04882402577202431,1.5452514436356706,True
parent_window_527,12,6845.2020.0318.0,2,6,42,986908,1165461,R3,1.213,2,0.07142857142857142,0.022768966825564646,3.085259444268439,False
