dataset,source_index,ear,lower_bin,lower_frequency_hz,parallel_phase_rad,octave_increment_rad,theta_deg,ara_x,quadrant
NH2,487,1,36,6750.0,-47.57507720062229,-50.58014676106136,46.75359019836901,1.3702746973728819,--
NH2,488,0,16,3000.0,-13.250663086135102,-20.112575290550627,56.62211780883706,1.100316847871501,--
NH2,488,0,48,9000.0,-47.76668382554404,-57.55809482500536,50.311178741164255,1.277235382025315,--
NH2,488,1,31,5812.5,-21.742454958394692,-33.34895166235687,56.89692935909528,1.0922937118334164,--
NH2,489,0,13,2437.5,-8.28547631812518,-19.312128414458495,66.77923137042384,0.7885501055398966,--
NH2,489,0,45,8437.5,-46.455023840583664,-46.73124780947494,45.16983640384392,1.410015337400957,--
NH2,489,1,28,5250.0,-19.416862524231707,-30.74043360662321,57.7218884154621,1.0680587986455472,--
NH2,490,0,8,1500.0,-3.178205143638945,-5.6948536647058745,60.834824842065984,0.9746579997970172,--
NH2,490,0,40,7500.0,-29.65781579694509,-35.165452055549395,49.85640815316334,1.289410823479607,--
NH2,490,1,18,3375.0,-15.009813909638275,-27.301333043562387,61.198744503476114,0.9635457521966435,--
NH2,490,1,50,9375.0,-67.23129148170898,-52.62887197030528,38.05395414294006,1.574861299568045,--
NH2,491,0,31,5812.5,-35.15459963201579,-35.7133688051389,45.45174784373245,1.4030193719178474,--
NH2,491,1,13,2437.5,-6.3101523965127155,-11.267259377837256,60.749287881925824,0.977264171084,--
NH2,491,1,45,8437.5,-35.40063952084213,-36.36784223060601,45.77211161869168,1.3950279444932154,--
NH2,492,0,24,4500.0,-24.278489696557457,-29.438150809514987,50.4866169641935,1.2725168749623053,--
NH2,492,1,6,1125.0,-1.7694626006363343,-3.8515690357924095,65.32531373930432,0.8349312935251856,--
NH2,492,1,38,7125.0,-28.567241996848963,-33.73246753780745,49.739513292020746,1.2925273228265932,--
NH2,493,0,15,2812.5,-8.158652572524959,-12.019489895132816,55.83191739630561,1.123245108272217,--
NH2,493,0,47,8812.5,-35.83589023041998,-34.32980702845987,43.770354096412646,1.4442365184755286,--
NH2,493,1,26,4875.0,-28.072690713643624,-39.46493394644358,54.574520501025084,1.1592872066378082,--
NH2,494,0,10,1875.0,-4.012381272904623,-8.381180603845198,64.41783692606259,0.8636099511993643,--
NH2,494,0,42,7875.0,-32.0578724251014,-36.5244120940168,48.726224244475944,1.3193154913817156,--
NH2,494,1,21,3937.5,-26.44720425553207,-30.39867863406056,48.9763513716786,1.3127409535638743,--
NH2,495,0,5,937.5,-2.0459290886304093,-3.187285817089973,57.30346313702042,1.0803789118678497,--
NH2,495,0,37,6937.5,-30.66457797749171,-37.8026663470224,50.95189945521526,1.2599451864990543,--
NH2,495,1,15,2812.5,-13.923817036168716,-18.897562377196046,53.61702885771259,1.1863592764122874,--
NH2,495,1,47,8812.5,-55.35749899492739,-50.270836263327176,42.242980968085824,1.48060098074798,--
NH2,496,0,27,5062.5,-32.55994126981788,-34.36356412488055,46.54377700433292,1.3756003009211828,--
NH2,496,1,8,1500.0,-3.439841126761377,-5.510011141411847,58.023907062695635,1.0591307282876565,--
NH2,496,1,40,7500.0,-34.87365315192494,-36.36441936761396,46.19882731801972,1.3843158922173695,--
NH2,497,0,25,4687.5,-15.252634719909407,-25.4357042366645,59.05080098826943,1.0285557397678549,--
NH2,497,1,3,562.5,2.956293980940357,-2.8487397470841263,43.938559366899646,1.4401685949901137,+-
NH2,497,1,35,6562.5,-39.413976967899046,-51.49861847526701,52.57170751289751,1.2155360905126642,--
NH2,498,0,18,3375.0,-10.38478452823136,-14.443827500592885,54.28472121938721,1.1675154897632203,--
NH2,498,0,50,9375.0,-37.73726724039288,-33.167204886417665,41.312170666159695,1.5022478403827881,--
NH2,498,1,30,5625.0,-33.758128756042495,-41.99561961183592,51.20598028610103,1.2530449280385698,--
NH2,499,0,14,2625.0,-9.199094021624187,-19.77083348966573,65.04809575232971,0.8437146633622041,--
NH2,499,0,46,8625.0,-56.73390616158807,-46.88856048259653,39.5725237046272,1.541637664002695,--
NH2,499,1,27,5062.5,-25.339020959208952,-25.950180937780694,45.68270179444469,1.3972626576997496,--
NH2,500,0,4,750.0,-4.089179086445596,-3.1656362651975654,37.74523017485773,1.5814810751483708,--
NH2,500,0,36,6750.0,-45.39416919996294,-49.77107237660015,47.63332991703332,1.3477454032926905,--
NH2,500,1,16,3000.0,-15.752891495914168,-14.748447734984657,43.11386648773231,1.4599937842889554,--
NH2,500,1,48,9000.0,-46.627623457574245,-34.08361050262789,36.16585690881927,1.6146242325762616,--
NH2,501,0,26,4875.0,-18.392897437615375,-24.68498231825884,53.31003013990077,1.194969559607854,--
NH2,501,1,8,1500.0,-7.614480698224518,-10.472515230431608,53.97940468423306,1.1761520407652006,--
NH2,501,1,40,7500.0,-51.02431699596317,-63.044318585354326,51.01535323461308,1.2582242418663865,--
NH2,502,0,24,4500.0,-17.77094819430729,-23.688916483354095,53.123507361690635,1.2001841589824522,--
NH2,502,1,4,750.0,-3.439224918365255,-3.5963790346845106,46.27960166251301,1.3822795134273989,--
NH2,502,1,36,6750.0,-43.60467308814125,-50.430425343390745,49.15166356517104,1.308117990163166,--
NH2,503,0,19,3562.5,-18.72897509715736,-25.32871516928291,53.5194286352793,1.1891003395961321,--
NH2,503,0,51,9562.5,-61.71421091695582,-52.64795851878827,40.46726108909014,1.5215538744403494,--
NH2,503,1,29,5437.5,-22.443099722163254,-29.94979419349187,53.15367354160762,1.1993416667437278,--
NH2,504,0,6,1125.0,-1.5514831156812516,-4.592755457228113,71.33446812496787,0.6400862153961531,--
NH2,504,0,38,7125.0,-28.75301529758419,-40.65563931648014,54.73078419912743,1.1548380839933048,--
NH2,504,1,17,3187.5,-19.512541108298766,-24.274843007028597,51.207073582886146,1.2530151832394463,--
NH2,504,1,49,9187.5,-68.5847591718235,-54.99530906129604,38.724697597021255,1.5603216425053876,--
NH2,505,0,30,5625.0,-30.851107582300614,-38.92059456659969,51.59726557806487,1.2423703621586872,--
NH2,505,1,13,2437.5,-5.996680955046237,-11.394433748772869,62.242992891842135,0.9314454965437409,--
NH2,505,1,45,8437.5,-39.16920626652026,-34.52323525164317,41.39253794876739,1.50039438156409,--
NH2,506,0,28,5250.0,-30.76366211900826,-44.370550338278974,55.26507021305294,1.1395612586605992,--
NH2,506,1,10,1875.0,-3.916679708947167,-8.264789502420001,64.6437496937918,0.8564904861836675,--
NH2,506,1,42,7875.0,-33.457160489112454,-42.56039353332497,51.82874969117126,1.2360279855785101,--
NH2,507,0,23,4312.5,-14.330550105298816,-21.38125219779045,56.16846285811525,1.1135058549283374,--
NH2,507,0,55,10312.5,-41.774710678274,-32.920267415957134,38.23962906067844,1.570857956754125,--
NH2,507,1,33,6187.5,-43.12052560511503,-54.29967351922513,51.5461635415346,1.2437677654459,--
NH2,508,0,15,2812.5,-11.044590962583325,-21.178855577418215,62.458346608994894,0.9247866762301773,--
NH2,508,0,47,8812.5,-54.16328883798699,-58.05146350094811,46.98447088414914,1.3643931137539547,--
NH2,508,1,31,5812.5,-22.222325673882256,-27.819992909647997,51.382497935131816,1.2482365952160355,--
NH2,509,0,9,1687.5,-2.503721235483341,-12.798938872790409,78.93160388459204,0.38396132847399,--
NH2,509,0,41,7687.5,-47.32212410275674,-58.74773210966156,51.14806761611602,1.2546198777230468,--
NH2,509,1,20,3750.0,-12.268041615644972,-18.468754730465164,56.40553097204263,1.1066222834366835,--
NH2,509,1,52,9750.0,-40.91926156363055,-38.93647015241101,43.577656991051725,1.4488814595310506,--
NH2,510,0,29,5437.5,-19.63459107456603,-26.346571168840814,53.3049461937477,1.1951118591379395,--
NH2,510,1,8,1500.0,-8.169212949264258,-11.403032068236078,54.38192009210848,1.1647590366084895,--
NH2,510,1,40,7500.0,-54.295760113171916,-61.85116741842038,48.72187109893289,1.319429690637513,--
NH2,511,0,22,4125.0,-24.488810874399856,-30.595972367656668,51.326454350128635,1.2497645057580384,--
NH2,511,0,54,10125.0,-69.03251787350634,-52.37224271360901,37.18615323770516,1.5933520183862633,--
NH2,511,1,32,6000.0,-25.177091219285302,-33.525792135005304,53.09430153076919,1.2009995132670948,--
NH2,512,0,10,1875.0,-5.640137098335025,-9.442135035066492,59.14856331819197,1.0256275612376697,--
NH2,512,0,42,7875.0,-37.84641309940814,-41.897251521998925,47.908025565152336,1.3406453638885454,--
NH2,512,1,20,3750.0,-18.59984403243516,-24.294093268945236,52.56190589984714,1.2158077717619606,--
NH2,512,1,52,9750.0,-58.4672888970597,-43.71794403060959,36.78669211626645,1.601740964792026,--
NH2,513,0,31,5812.5,-22.66999444808043,-35.17449350161978,57.19818131215804,1.083469782702752,--
NH2,513,1,10,1875.0,-9.203473437749448,-13.492980508920784,55.7023583680225,1.1269840903824828,--
NH2,513,1,42,7875.0,-50.0634192566241,-27.51845099124762,28.796355592686332,1.752674642264492,--
NH2,514,0,26,4875.0,-16.376703625812098,-27.65053229864202,59.36282494611863,1.0191995626168229,--
NH2,514,1,4,750.0,2.141283978937386,-3.3951506382473653,57.76082296918404,1.0669095028312878,+-
NH2,514,1,36,6750.0,-39.25919328850238,-52.86106733541292,53.3992314995111,1.1924712859869244,--
NH2,515,0,17,3187.5,-9.838527295446607,-13.820583298570178,54.55388806736001,1.1598740072680638,--
NH2,515,0,49,9187.5,-37.64917591831978,-34.23462370966818,42.280437497169856,1.479721677164632,--
NH2,515,1,27,5062.5,-28.707558771640763,-43.05938508875175,56.30873304606179,1.1094352284342017,--
NH2,516,0,9,1687.5,-3.616514329949172,-7.569868464908474,64.46380179133153,0.8621624886205097,--
NH2,516,0,41,7687.5,-31.816509395021644,-36.978674816078126,49.291245825284435,1.3044284618720599,--
NH2,516,1,22,4125.0,-27.295643869273974,-30.843725513123864,48.492268594308996,1.3254422102663777,--
NH2,517,0,6,1125.0,-5.174468678049221,-6.723769277718562,52.418890920075135,1.2197678118221227,--
NH2,517,0,38,7125.0,-47.303366054950736,-30.603412774933254,32.901274718493575,1.679215559525163,--
NH2,517,1,18,3375.0,-17.665071995765366,-17.073181594490045,44.02385591630286,1.4381010141175763,--
NH2,517,1,50,9375.0,-48.95036696155304,-34.65670066281351,35.29836968289177,1.6323080646851091,--
NH2,518,0,28,5250.0,-28.814351562273764,-36.183553911660006,51.468345547682,1.2458938251909841,--
NH2,518,1,6,1125.0,-2.147669368573496,-4.843945294013455,66.08884587495706,0.8106391251878924,--
NH2,518,1,38,7125.0,-33.18428520916085,-39.175479444727955,49.733140562831345,1.2926970697475917,--
NH2,519,0,16,3000.0,-17.943428779259825,-20.288277093048144,48.50970032692551,1.3249864770731594,--
NH2,519,0,48,9000.0,-59.60587480774938,-50.78863219785861,40.433462709247785,1.5223193066548573,--
NH2,519,1,28,5250.0,-20.33400227467358,-32.21702397162167,57.74163844675273,1.0674758658101116,--
NH2,520,0,10,1875.0,-4.732611349380965,-8.405545012840035,60.618990489690724,0.9812299316499529,--
NH2,520,0,42,7875.0,-33.56507657166192,-43.80314052146636,52.53810077055609,1.2164674545120386,--
NH2,520,1,21,3937.5,-23.87348380947974,-32.30149027118998,53.53252156488635,1.18873283012299,--
NH2,520,1,53,9937.5,-73.54444791850881,-49.42493081685156,33.90274399123811,1.6599711455845134,--
NH2,521,0,33,6187.5,-31.964566543228322,-45.196611497088604,54.73076286288784,1.154838692063458,--
NH2,521,1,16,3000.0,-8.77432934586965,-14.535814307290998,58.88334031390256,1.033564561407926,--
NH2,521,1,48,9000.0,-42.96440575599421,-33.55608313950833,37.99056721942913,1.5762242023423365,--
NH2,522,0,28,5250.0,-28.833008990800536,-39.47248750548951,53.85342682654446,1.1797058828497267,--
NH2,522,1,10,1875.0,-3.931250904111158,-8.579179850997031,65.3812546272341,0.8331564867329336,--
NH2,522,1,42,7875.0,-34.38506570048674,-36.77006161742657,46.91973601222026,1.3660444452490335,--
NH2,523,0,22,4125.0,-14.028464605529587,-20.48449603117382,55.59535874928888,1.1300676799558214,--
NH2,523,0,54,10125.0,-41.33736296141008,-34.436556195389116,39.79637042681443,1.5366481434456196,--
NH2,523,1,32,6000.0,-41.02166441836137,-49.302766921585985,50.23833343440972,1.2791910805671025,--
NH2,524,0,11,2062.5,-4.214653038762615,-15.779918615149638,75.04595868404942,0.5160883269887789,--
NH2,524,0,43,8062.5,-49.84766158618643,-54.54470500922949,47.57623602448781,1.3492172220597514,--
NH2,524,1,26,4875.0,-18.068717527511215,-23.40295425674918,52.329348601310734,1.2222433435316846,--
NH2,525,0,6,1125.0,0.2958664135670324,-5.903612823767967,87.13095584748349,0.10010668633012483,+-
NH2,525,0,38,7125.0,-42.11989031520324,-37.71490549255089,41.841835950209784,1.4899782312021095,--
NH2,525,1,18,3375.0,-10.586643794009877,-16.871013039513482,57.891526344083225,1.0630477145480337,--
NH2,525,1,50,9375.0,-39.284151623229576,-40.92325096171125,46.170719923022894,1.385023854621467,--
NH2,526,0,28,5250.0,-19.322711109067974,-25.476900546935056,52.821849971071174,1.2085906221723202,--
NH2,526,1,6,1125.0,-5.820761031207136,-7.303201544705708,51.4446297170566,1.2465413069182494,--
NH2,526,1,38,7125.0,-50.39901081731516,-57.19353427481505,48.61345898060465,1.3222712866900115,--
NH2,527,0,22,4125.0,-19.282439257610733,-31.934000210078523,58.87551353456372,1.0337984481447502,--
NH2,527,1,3,562.5,-6.200686496938828,-1.7070660584015123,15.392376834157597,1.9282614555355937,--
NH2,527,1,35,6562.5,-33.7024854587125,-33.90942620539475,45.175365465607136,1.4098784548261913,--
NH2,528,0,12,2250.0,-6.600532922841367,-10.798364102573533,58.564513838500666,1.0430763577390634,--
NH2,528,0,44,8250.0,-36.53709228791434,-39.30142269106167,47.087519474987666,1.3617608397671237,--
NH2,528,1,26,4875.0,-30.554166932405025,-36.75058096028489,50.26010992493851,1.2786066574993962,--
NH2,529,0,10,1875.0,-5.154479965921779,-9.02358001414563,60.26398172280957,0.9920092497307178,--
NH2,529,0,42,7875.0,-35.970349720342995,-40.27757976054532,48.2331907200452,1.3322010272497917,--
NH2,529,1,23,4312.5,-25.203749499719137,-31.81494054365436,51.613786130808315,1.241918390345584,--
NH2,530,0,7,1312.5,-5.147019796771706,-7.254975478877932,54.64632328020731,1.1572439147019866,--
NH2,530,0,39,7312.5,-44.31334734613129,-41.77870052446135,43.313634864165564,1.4552190612268823,--
NH2,530,1,17,3187.5,-10.981827785859446,-16.75367583345694,56.75565313334802,1.0964214280340674,--
NH2,530,1,49,9187.5,-43.434725090363756,-43.144842541478994,44.80816507870468,1.4189406273341507,--
NH2,531,0,26,4875.0,-20.35474622971023,-27.007582812985795,52.99584235727256,1.2037459483954018,--
NH2,531,1,5,937.5,-3.776264899697811,-4.126028674243473,47.53431701832314,1.3502969958373974,--
NH2,531,1,37,6937.5,-41.37375323468878,-48.13752710641835,49.32125006912857,1.303634358680658,--
NH2,532,0,17,3187.5,-11.26310389260682,-14.82234195789655,52.76976294062937,1.2100387767129037,--
NH2,532,0,49,9187.5,-44.541755641283665,-40.22129500106016,42.08209986748853,1.484370513863547,--
NH2,532,1,28,5250.0,-32.77763152955448,-37.6636077382734,48.96781993660665,1.3129656133263443,--
NH2,533,0,11,2062.5,-5.398040371213665,-8.108716131336951,56.34796053465028,1.1082956598769964,--
NH2,533,0,43,8062.5,-33.205064474603574,-42.93762439470534,52.28405014450676,1.223494550624208,--
NH2,533,1,21,3937.5,-17.49497211968293,-30.6848512453811,60.310367541982636,0.9906029668202194,--
NH2,534,0,2,375.0,0.8444205035875767,-1.702662406128863,63.621290586033155,0.8886046204444498,+-
NH2,534,0,34,6375.0,-23.964210649469745,-30.361331366971886,51.71595405631813,1.2391209723065384,--
NH2,534,1,13,2437.5,-7.752947745046044,-17.938275522731324,66.62593183227749,0.7934649560672264,--
NH2,534,1,45,8437.5,-56.17651103420793,-50.14139841729121,41.751104327957236,1.4920890812281997,--
NH2,535,0,26,4875.0,-18.578012963989295,-24.131475348291268,52.40853332729251,1.2200543154962566,--
NH2,535,1,5,937.5,-4.481017741934369,-5.293378298059268,49.75099478144275,1.2922214562840082,--
NH2,535,1,37,6937.5,-46.93131631995594,-54.37281016105052,49.20122850182667,1.3068087456096038,--
NH2,536,0,20,3750.0,-21.36552815859361,-26.756095013366508,51.391606602774914,1.2479881536753674,--
