analysis,direction_index,azimuth_deg,elevation_deg,ear,rho_bins,median_rho,rho_log_loss_phi,rho_log_loss_two,eta_bins,median_eta,eta_log_loss_one,eta_log_loss_phi,eta_log_loss_two
stored_ir_only,7,7.0,0.0,0,348,1.4517562813979934,0.3316062964269824,0.3203776709602558,348,0.510223496751741,0.6729127044201979,1.1541245294798013,1.3660598849801433
stored_ir_only,7,7.0,0.0,1,348,1.4747408872858219,0.266475914448404,0.3339280087427959,348,0.489521392438425,0.7143276675873077,1.1955394926469112,1.407474848147253
stored_ir_only,8,8.0,0.0,0,329,0.11750869978788678,2.6224547324504353,2.8343900879507773,332,13.095008535904785,2.5722293916999193,2.091017566640316,1.8790822111399739
stored_ir_only,8,8.0,0.0,1,341,0.12675131805088966,2.5467400628009282,2.7586754183012703,344,12.487905468577225,2.5247593598048903,2.0435475347452874,1.8316121792449451
stored_ir_only,9,9.0,0.0,0,321,0.1227167963232808,2.579087872343075,2.791023227843417,324,13.06157315210809,2.56967370774725,2.088461882687646,1.8765265271873044
stored_ir_only,9,9.0,0.0,1,341,0.12971745167747728,2.52360846758839,2.735543823088732,344,12.377855219634512,2.5159061242099527,2.03469429915035,1.8227589436500076
stored_ir_only,10,10.0,0.0,0,324,0.12463334065393583,2.563591380009183,2.7755267355095254,326,12.999999995489848,2.564948064156618,2.083736239097014,1.8718008835966724
stored_ir_only,10,10.0,0.0,1,340,0.12969756127453297,2.523762074723738,2.7356974302240795,344,12.366684633038883,2.5150059757769716,2.033794150717368,1.821858795217026
stored_ir_only,11,11.0,0.0,0,325,0.12330513655311913,2.5743050357519746,2.7862403912523166,326,11.290719071573447,2.4239769476209663,1.9427651225613631,1.730829767061021
stored_ir_only,11,11.0,0.0,1,339,0.1305114338916201,2.5175062650893123,2.7294416205896543,343,10.440799373161123,2.345721147833742,1.8645093227741385,1.6525739672737965
stored_ir_only,12,12.0,0.0,0,332,0.12221985882638187,2.5832223157289382,2.79515767122928,333,12.727719728087223,2.543782270686756,2.0625704456271525,1.8506350901268105
stored_ir_only,12,12.0,0.0,1,339,0.13245354516029745,2.5027351226547045,2.7146704781550466,343,12.122015928017978,2.495023297504305,2.0138114724447016,1.8018761169443596
stored_ir_only,13,13.0,0.0,0,331,0.12216005370294113,2.583635003519958,2.7955703590203,332,12.679397646608233,2.539978443071844,2.058766618012241,1.8468312625118988
stored_ir_only,13,13.0,0.0,1,339,0.1354751896817263,2.4801785824670786,2.6921139379674206,343,12.014684892940322,2.486129642705555,2.0049178176459517,1.7929824621456096
stored_ir_only,14,14.0,0.0,0,327,0.12720054786312346,2.543202146044967,2.7551375015453092,328,11.02011500785829,2.399669076970464,1.918457251910861,1.7065218964105189
stored_ir_only,14,14.0,0.0,1,339,0.1377663459935446,2.4634079988487954,2.675343354349137,343,9.991790865970703,2.3017638424571905,1.820552017397587,1.608616661897245
stored_ir_only,15,15.0,0.0,0,326,0.12820366486776275,2.5353470301603602,2.7472823856607023,327,12.477259145783934,2.523907719092486,2.0426958940328825,1.8307605385325405
stored_ir_only,15,15.0,0.0,1,339,0.13925507555330252,2.4526597766827867,2.6645951321831283,343,11.902580799642122,2.476755250523241,1.9955434254636377,1.7836080699632957
stored_ir_only,16,16.0,0.0,0,326,0.12874837314384463,2.5311101057885255,2.743045461288867,327,12.366129564172779,2.5149612485335977,2.0337494234739943,1.8218140679736523
stored_ir_only,16,16.0,0.0,1,344,2.9987033104527314,0.6169657327622032,0.4050303772618614,348,0.4534296176016584,0.7909168295180927,1.2721286545776962,1.484064010078038
stored_ir_only,17,17.0,0.0,0,330,0.12304748485224026,2.5766209381361262,2.7885562936364687,331,12.44792605076956,2.5215540267668444,2.040342201707241,1.828406846206899
stored_ir_only,17,17.0,0.0,1,340,0.14643519642804226,2.402423508140846,2.614358863641188,344,11.780688766365941,2.4664596856609697,1.9852478606013664,1.7733125051010243
stored_ir_only,18,18.0,0.0,0,331,0.1225463441209708,2.580477826246818,2.7924131817471602,332,12.382194072614533,2.5162590787193007,2.0350472536596973,1.8231118981593553
stored_ir_only,18,18.0,0.0,1,340,0.14926920851174366,2.3832224242066182,2.5951577797069603,344,11.776948316372275,2.46614382730644,1.9849320022468369,1.7729966467464948
stored_ir_only,19,19.0,0.0,0,347,2.990212679565887,0.6141326901029468,0.402197334602605,348,1.4226403633145872,0.35251454674999927,0.13407522130556843,0.340632633809946
stored_ir_only,19,19.0,0.0,1,344,3.0335473075354766,0.6285188994977382,0.4165835439973964,348,1.410618887170592,0.34402850210778824,0.13718332295181523,0.34911867845215705
stored_ir_only,20,20.0,0.0,0,336,0.11621203866039759,2.633568371231599,2.845503726731941,337,12.081747130711305,2.4916958120745254,2.010483987014922,1.79854863151458
stored_ir_only,20,20.0,0.0,1,339,0.15093773320128584,2.372099715177171,2.5840350706775133,343,11.526972678118684,2.4446897393652365,1.9634779143056331,1.751542558805291
stored_ir_only,21,21.0,0.0,0,335,0.11555200975167107,2.639246374554639,2.851181730054981,336,11.950477261606242,2.4807711502665217,1.9995593252069184,1.7876239697065763
stored_ir_only,21,21.0,0.0,1,339,0.15035348485705385,2.3759780165781508,2.5879133720784924,343,11.531486132761085,2.4450812186689546,1.9638693936093512,1.7519340381090092
stored_ir_only,22,22.0,0.0,0,335,0.030431305023887315,3.973495254956902,4.185430610457244,335,11.798397811208316,2.467963743541696,1.9867519184820925,1.7748165629817505
stored_ir_only,22,22.0,0.0,1,343,0.036170058654481294,3.800735436445615,4.012670791945957,343,11.226905025062324,2.4183131319291764,1.937101306869573,1.725165951369231
stored_ir_only,23,23.0,0.0,0,347,2.9507917007714997,0.6008616824293761,0.3889263269290343,348,1.4296834402791379,0.3574530492330016,0.13979599120662797,0.3356941313269437
stored_ir_only,23,23.0,0.0,1,344,3.0664356059621163,0.6392971995188037,0.4273618440184619,348,1.409247025835107,0.3430555372396832,0.13815628781992031,0.3500916433202621
stored_ir_only,24,24.0,0.0,0,341,0.02993132909256553,3.9900613764619273,4.201996731962269,341,11.679530695890806,2.457837796446502,1.9766259713868988,1.7646906158865567
stored_ir_only,24,24.0,0.0,1,343,0.036453060058015206,3.792941696901941,4.004877052402283,343,11.230966828006894,2.4186748583666087,1.9374630333070053,1.7255276778066633
stored_ir_only,25,25.0,0.0,0,341,0.09984741417501923,2.7853239416107027,2.9972592971110448,342,13.2783878325657,2.5861375216365206,2.1049256965769167,1.892990341076575
stored_ir_only,25,25.0,0.0,1,339,0.15147176723379066,2.368567851351018,2.58050320685136,343,9.29678691429914,2.22966884737661,1.7484570223170066,1.5365216668166646
stored_ir_only,26,26.0,0.0,0,340,0.10141386843519326,2.7697594360057076,2.98169479150605,341,11.51138505518501,2.443336550436348,1.9621247253767446,1.7501893698764026
stored_ir_only,26,26.0,0.0,1,348,1.4238210876009316,0.2529214565577147,0.3398033309132392,348,0.5490730406680862,0.5995241154423647,1.080735940501968,1.2926712960023101
stored_ir_only,27,27.0,0.0,0,339,0.10275024285629683,2.756665887103257,2.968601242603599,340,12.921274156518919,2.558874563935997,2.077662738876393,1.8657273833760513
stored_ir_only,27,27.0,0.0,1,338,0.15591510528640612,2.3396554421259257,2.5515907976262673,341,9.147602100816396,2.2134917794577236,1.7322799543981202,1.5203445988977782
stored_ir_only,28,28.0,0.0,0,338,0.10372509452955528,2.7472362063066886,2.9591715618070307,339,12.91501266707451,2.5583904073506143,2.077178582291011,1.865243226790669
stored_ir_only,28,28.0,0.0,1,338,0.1564922867551579,2.3359607297537606,2.547896085254102,341,9.159148384896724,2.2147532032828163,1.733541378223213,1.521606022722871
stored_ir_only,29,29.0,0.0,0,338,0.030606863430423722,3.96774283636634,4.179678191866682,338,13.189352655499587,2.5794098870851823,2.0981980620255793,1.886262706525237
stored_ir_only,29,29.0,0.0,1,338,0.03720875684941498,3.7724231775446615,3.984358533045004,338,9.137696757177046,2.212406934352301,1.7311951092926978,1.5192597537923558
stored_ir_only,30,30.0,0.0,0,335,0.10109015746654285,2.772954337190343,2.984889692690685,336,13.065286053514841,2.569953649681454,2.0887418246218505,1.8768064691215085
stored_ir_only,30,30.0,0.0,1,339,0.03722693586361541,3.7719345224285394,3.9838698779288815,339,11.093047154402088,2.4063185295725207,1.9251067045129173,1.7131713490125753
stored_ir_only,31,31.0,0.0,0,336,0.10180602045546275,2.765898707452828,2.97783406295317,337,13.030020212927688,2.5672559423963093,2.086044117336706,1.8741087618363639
stored_ir_only,31,31.0,0.0,1,336,0.15688558311784784,2.3334504226867887,2.5453857781871303,338,9.11917902988905,2.2103796170981234,1.72916779203852,1.517232436538178
stored_ir_only,32,32.0,0.0,0,335,0.10282090945392872,2.755978372346237,2.9679137278465793,337,12.99901893679612,2.5648738882135063,2.083662063153903,1.8717267076535609
