dataset,source_index,ear,azimuth_deg,elevation_deg,radius_m,eligible_pairs,free_angle_deg,median_angle_deg,median_ara_x,loss_direct,loss_thirty,loss_phi,loss_pure_delay,loss_phi_complement,loss_ridge_half,loss_perpendicular,broken_phi_loss,scrambled_phi_loss
NH2,11,0,180.0,25.0,1.2,51,53.12298843273268,52.45677821310415,1.2187194634828211,53.45128429031122,23.867561381919828,18.115866667838954,10.048424420660693,5.979719186428558,9.070897439379943,37.348385164445716,15.730280424047198,10.55179437349475
NH2,11,1,180.0,25.0,1.2,51,52.061167690527434,52.32388851365482,1.2223941993415783,52.46214127289284,22.99143765633894,17.3168182186853,9.57972728158256,6.757969840122349,10.243834441930131,38.4872197312566,17.388990996145186,11.035582769354109
NH2,12,0,0.0,30.0,1.2,56,54.008593264973904,53.77259702596552,1.1819821455269004,54.660344258337126,25.440865522648686,19.87799082809447,12.328010406885522,8.415768641232216,10.330636119961865,36.962230002323004,20.004123999548206,10.766313384609244
NH2,12,1,0.0,30.0,1.2,54,51.36757480153717,50.345213334149996,1.2763208445448027,52.183703198090996,23.261220762767866,17.907358648214338,11.182895301669774,9.562468347682987,12.61070589943295,39.7111497591012,17.822335101940567,12.318397053381497
NH2,13,0,180.0,35.0,1.2,51,51.38901455763121,50.855833753573094,1.262547665180684,51.80927406387812,22.379901822129654,16.73893159304344,9.175487389737189,7.084300022010965,10.840624156859704,39.16858765200014,16.809331975082195,11.024353387354115
NH2,13,1,180.0,35.0,1.2,51,51.999535668918945,52.19915957052349,1.225837287574768,52.373563642035606,22.86958741278944,17.176251057905205,9.382534751528969,6.56051189489873,10.151152067429607,38.51069654214195,18.534526479026642,10.851236648572709
NH2,14,0,0.0,40.0,1.2,55,53.85374063563696,53.410403016616435,1.1921582001295823,54.29364444302401,24.83093612345884,19.13976230624742,11.223331488385439,6.8989737103948,9.23855782192626,36.798458017841675,18.93719640685583,11.197406024386392
NH2,14,1,0.0,40.0,1.2,56,50.94507768607946,50.70264037482869,1.266686809837886,51.787094244409815,22.917209016689107,17.602770716045328,11.038393838427426,9.789521958849793,12.980516474695788,40.147093877204625,17.918117592211487,9.99885377797579
NH2,15,0,180.0,45.0,1.2,49,52.13904060856828,51.32017177819674,1.2499357123677328,52.573198783285264,23.143007449178473,17.49086351470135,9.819754352104836,6.9946296958061245,10.356464516360472,38.4566498900325,16.39210306459918,11.126755461350731
NH2,15,1,180.0,45.0,1.2,49,52.88647047477413,52.23371788857657,1.2248839013402708,53.307032399265665,23.84222042364998,18.16077721444274,10.33718339233122,6.775019700396017,9.760289249989707,37.710409938861936,18.729832200559706,11.422528093007838
NH2,16,0,0.0,50.0,1.2,56,52.13964071562608,52.87428157755954,1.2071301505366336,52.749916994251336,23.54092818821808,18.013872747838743,10.723156181556705,8.214167371851403,11.215919802908502,38.69649097899847,16.702563388318577,10.881856176443979
NH2,16,1,0.0,50.0,1.2,56,50.58666759439924,51.31801359669862,1.24999252515839,51.42615552346317,22.57098616054399,17.274530532743217,10.809689562031439,9.863537485522388,13.20035456324998,40.48517389034609,16.41899231819585,10.237892714097558
NH2,17,0,180.0,55.0,1.2,49,51.73934531497193,51.56817280220192,1.2431660356514547,51.99353374969038,22.337565509291228,16.555805299115292,8.472689858168966,5.6105487934091185,9.726567430679816,38.6036966505184,15.427953614079069,11.269997486585659
NH2,17,1,180.0,55.0,1.2,47,52.79216925586591,52.44285926141268,1.2191046653764406,52.98690067410097,23.239653347136812,17.394696221109932,9.01756120129549,4.696526739359976,8.517706988569886,37.48361211237755,17.55572686802342,10.975061652206692
NH2,18,0,0.0,60.0,1.2,56,50.290082393045346,52.14243450156404,1.227401153842596,51.18264133653822,22.41110953527268,17.169066424399603,10.888312946027472,10.214395514949143,13.596061452467364,40.83439657245528,16.791374782514396,10.374523799474092
NH2,18,1,0.0,60.0,1.2,56,50.77084684392118,51.45940493519953,1.2461221901714188,51.69691607827422,22.941672157208963,17.693788719259732,11.322319375959225,10.262537350024138,13.418998127043103,40.42052325364326,17.839920079814718,10.632797030869197
NH2,19,0,180.0,65.0,1.2,53,50.44059675772748,51.16285461180293,1.2542178634349355,50.86096757223316,21.456985271004513,15.846610231446181,8.496135250116966,7.433274685438806,11.574386007752445,40.09402207303236,14.994953495439118,10.695677422303131
NH2,19,1,180.0,65.0,1.2,51,51.43470941144918,52.1012056429799,1.2285371914174998,51.80785866327345,22.315278501214543,16.635959294533578,8.940378752787442,6.716070490786123,10.577763936665358,39.061573511737436,17.360621115393528,11.623532207827342
NH2,20,0,0.0,70.0,1.2,55,50.57003275009024,51.91519443028073,1.2336543278309442,51.38599396787699,22.501520194450766,17.189474048387655,10.687255426842212,9.744579983608524,13.11931576172557,40.47115616152381,17.653682210568867,10.731426580459283
