split,event_id,run,period,rf_flag,temperature_K,field_G,direction,child_partition,parent_partition,wrong_ring_partition,crossing_position,crossing_time_us,crossing_U,crossing_R,crossing_direction,parent_H,parent_ridge_distance,history_parent_distance,ridge_exposure,same_bank_H,same_bank_ridge_distance,same_bank_history_distance,same_bank_exposure,wrong_parent_H,wrong_frequency_minus_correct_distance,mismatch_parent_H,mismatch_lineage_minus_correct_distance,wrong_ring_H,wrong_ring_exposure,ring_correspondence_advantage
development,EMU00070001|RF on|F_to_B|2,EMU00070001,RF on,1,300.0,158.0,F_to_B,F,B,,15.452330697643285,3.2719491459898653,0.8439357486245284,0.8439357486245285,R_to_U,0.7789320670716487,0.22106793292835125,0.38007586464639354,0.15900793171804228,0.9107251187458318,0.08927488125416816,0.10528141398923563,0.01600653273506747,0.9328619619219409,-0.15392989485029218,0.9036990263515399,-0.12476695927989112,nan,nan,nan
development,EMU00070007|RF off|F_to_B|0,EMU00070007,RF off,0,300.0,194.0,F_to_B,F,B,,1.8604540600095887,2.4020690550929866,0.8322244889694089,0.8322244889694089,R_to_U,0.9247639509392964,0.07523604906070358,0.18382565774474435,0.10858960868404077,0.936186755712311,0.06381324428768897,0.07663034911617528,0.012817104828486303,1.0652657739036306,-0.009970275157072939,1.1832741778483464,0.10803812878764285,nan,nan,nan
development,EMU00070007|RF on|F_to_B|0,EMU00070007,RF on,1,300.0,194.0,F_to_B,F,B,,3.6536278200652124,2.5168321698920786,0.9189297516646666,0.9189297516646666,R_to_U,0.8940584031185312,0.10594159688146876,0.08414855353927297,-0.021793043342195784,0.9199946287561852,0.0800053712438148,0.6534685307600518,0.573463159516237,1.1050576496955755,-0.0008839471858932413,1.1042992791976416,-0.0016423176838271658,nan,nan,nan
development,EMU00070013|RF off|F_to_B|0,EMU00070013,RF off,0,300.0,230.0,F_to_B,F,B,,3.24401613399161,2.4906169688568527,0.8057096208373152,0.8057096208373152,R_to_U,1.1813745823559205,0.18137458235592052,0.12929326510077965,-0.05208131725514087,1.0687113739561056,0.0687113739561056,0.09598009475772873,0.027268720801623125,0.9643991551422257,-0.14577373749814626,1.0977482330399504,-0.08362634931597013,nan,nan,nan
development,EMU00070013|RF on|F_to_B|0,EMU00070013,RF on,1,300.0,230.0,F_to_B,F,B,,5.704617537560694,2.648095539405976,0.8634964197244437,0.8634964197244437,R_to_U,1.0969731587343299,0.09697315873432988,0.07509811559028767,-0.021875043144042206,1.1125003274306922,0.11250032743069216,0.12723859480628108,0.01473826737558892,1.054077705595226,-0.04289545313910392,1.0678732814006116,-0.029099877333718327,nan,nan,nan
development,EMU00070019|RF off|F_to_B|0,EMU00070019,RF off,0,300.0,266.0,F_to_B,F,B,,4.577742588403851,2.5759754971785993,0.8214322084745231,0.821432208474523,R_to_U,1.11232762246941,0.11232762246941008,0.1496271538093007,0.03729953133989061,1.0796086267749316,0.07960862677493163,0.2863586137841718,0.2067499870092402,0.982108395907725,-0.09443601837713511,0.9925020186674585,-0.10482964113686855,nan,nan,nan
development,EMU00070019|RF on|F_to_B|0,EMU00070019,RF on,1,300.0,266.0,F_to_B,F,B,,4.32060829876945,2.5595189305973474,0.7935540253882011,0.7935540253882011,R_to_U,1.0475193958221312,0.04751939582213116,0.11965190896888889,0.07213251314675773,1.1108533754378953,0.11085337543789531,0.22828778677227968,0.11743441133438437,1.0277811699353667,-0.019738225886764438,0.9902813799306139,-0.0378007757527451,nan,nan,nan
development,EMU00069983|RF off|B_to_F|0,EMU00069983,RF off,0,300.0,50.0,B_to_F,B,F,,7.019669082312717,2.7322587704133263,0.8329770661555879,0.8329770661555879,R_to_U,0.6885566519565763,0.31144334804342366,0.2846709848190401,-0.02677236322438359,0.7048101387932594,0.2951898612067406,0.656995304513548,0.3618054433068074,0.9604974111833805,-0.27194075922680416,1.2665313263578653,-0.04491202168555841,nan,nan,nan
development,EMU00069983|RF on|B_to_F|0,EMU00069983,RF on,1,300.0,50.0,B_to_F,B,F,,16.417739028378154,3.3337352737955377,0.9418574035399214,0.9418574035399213,R_to_U,0.7795257093803563,0.22047429061964374,0.483435787857729,0.26296149723808526,0.7731552260833511,0.22684477391664892,0.2747149652465102,0.047870191329861256,0.5526849732090313,0.22684073617132494,1.261788738086076,0.0413144474664322,nan,nan,nan
development,EMU00069989|RF off|B_to_F|0,EMU00069989,RF off,0,300.0,86.0,B_to_F,B,F,,10.615554988304213,2.9623954579449725,0.8572076138825975,0.8572076138825975,R_to_U,1.3175441137018415,0.31754411370184155,0.2663614503121927,-0.05118266338964883,1.2489877042757802,0.2489877042757802,0.18208049547124472,-0.06690720880453549,0.9656698015609319,-0.2832139152627734,1.2254764840745016,-0.09206762962733994,nan,nan,nan
