split,run,period,field_G,partition,detector_count,detector_first_one_based,detector_last_one_based,basis_condition,calibration_improvement,wrong_frequency_improvement_median,basic_eligible,ring_frequency_specific_eligible
development,EMU00069989,RF on,86.0,B,48,49,96,1.234083908296817,0.049380815214118454,0.018057960442396635,1,1
development,EMU00069989,RF on,86.0,F_inner,16,1,46,1.8049062694445595,0.07134789005798689,0.01838637340888976,1,1
development,EMU00069989,RF on,86.0,F_middle,16,2,47,1.078372990156768,0.05819437766037003,0.021685474422477053,1,1
development,EMU00069989,RF on,86.0,F_outer,16,3,48,4.87504684931182,0.01368079733352169,0.017707869519382486,1,0
development,EMU00069989,RF on,86.0,B_inner,16,49,94,1.2173810202408857,0.07568543824876298,0.01244423830847204,1,1
development,EMU00069989,RF on,86.0,B_middle,16,50,95,1.695589514394492,0.05855946660570762,0.01948148242638968,1,1
development,EMU00069989,RF on,86.0,B_outer,16,51,96,1.5788646180707107,0.025952185449861633,0.022794271191301355,1,1
development,EMU00069989,RF off,86.0,F,48,1,48,1.4848047438595842,0.05769335772826254,0.018259427405422215,1,1
development,EMU00069989,RF off,86.0,B,48,49,96,1.5280450151245932,0.05288851436387576,0.01453607504146196,1,1
development,EMU00069989,RF off,86.0,F_inner,16,1,46,1.6580613095342172,0.09103631294756216,0.015472952394148387,1,1
development,EMU00069989,RF off,86.0,F_middle,16,2,47,2.565893815950894,0.049852425877867916,0.01892314755946751,1,1
development,EMU00069989,RF off,86.0,F_outer,16,3,48,1.5521145631233382,0.041162820992045705,0.02124154872488172,1,1
development,EMU00069989,RF off,86.0,B_inner,16,49,94,1.1573049108807274,0.05928351071863732,0.016902208348945073,1,1
development,EMU00069989,RF off,86.0,B_middle,16,50,95,1.6356799410168064,0.06599809868996667,0.014745720335501098,1,1
development,EMU00069989,RF off,86.0,B_outer,16,51,96,2.029055228684345,0.03895243754651182,0.01580027561427706,1,1
development,EMU00069995,RF on,122.0,F,48,1,48,1.5052850135745517,0.04199530556073022,0.019396943634327368,1,1
development,EMU00069995,RF on,122.0,B,48,49,96,1.2027033024579263,0.05871735459066138,0.020128230898417185,1,1
