stage,run,period,field_G,time_us,series,coordinate
Validation,EMU00070034,RF on,356.0,2.5390000343322754,Candidate parent H,0.9570855118816011
Validation,EMU00070034,RF on,356.0,2.5390000343322754,Candidate parent Q,1.1273761067402166
Validation,EMU00070034,RF on,356.0,2.5390000343322754,ARA ridge,1.0
Validation,EMU00070034,RF on,356.0,2.6029999256134033,Child openness U,0.8297861652247642
Validation,EMU00070034,RF on,356.0,2.6029999256134033,Child closure R,1.055012031710459
Validation,EMU00070034,RF on,356.0,2.6029999256134033,Candidate parent H,0.979063042300057
Validation,EMU00070034,RF on,356.0,2.6029999256134033,Candidate parent Q,1.129515202515508
Validation,EMU00070034,RF on,356.0,2.6029999256134033,ARA ridge,1.0
Validation,EMU00070034,RF on,356.0,2.6670000553131104,Child openness U,0.8739896004661445
Validation,EMU00070034,RF on,356.0,2.6670000553131104,Child closure R,1.0040880240088133
Validation,EMU00070034,RF on,356.0,2.6670000553131104,Candidate parent H,0.9491205048697158
Validation,EMU00070034,RF on,356.0,2.6670000553131104,Candidate parent Q,1.1359351391334722
Validation,EMU00070034,RF on,356.0,2.6670000553131104,ARA ridge,1.0
Validation,EMU00070034,RF on,356.0,2.7309999465942383,Child openness U,0.8499803380921259
Validation,EMU00070034,RF on,356.0,2.7309999465942383,Child closure R,0.9689806693477038
Validation,EMU00070034,RF on,356.0,2.7309999465942383,Candidate parent H,0.9643527672693966
Validation,EMU00070034,RF on,356.0,2.7309999465942383,Candidate parent Q,1.1292193058643323
Validation,EMU00070034,RF on,356.0,2.7309999465942383,ARA ridge,1.0
