draw,expected_share,parent_ridge_exposure
238,0.0,nan
239,0.0,nan
240,0.0,nan
241,0.0,nan
242,0.0,nan
243,0.0,nan
244,0.0,nan
245,0.0,nan
246,0.0,nan
247,0.25,0.0029190800384041315
248,0.0,nan
249,0.0,nan
250,0.0,nan
251,0.0,nan
252,0.0,nan
253,0.0,nan
254,0.25,-0.052345383237421994
255,0.0,nan
256,0.25,-0.00789932865521159
257,0.0,nan
258,0.0,nan
259,0.25,-0.052345383237421994
260,0.0,nan
261,0.0,nan
262,0.25,-0.00789932865521159
263,0.0,nan
264,0.25,0.040153470290503424
265,0.0,nan
266,0.0,nan
267,0.25,-0.052345383237421994
268,0.0,nan
269,0.0,nan
270,0.0,nan
271,0.0,nan
272,0.0,nan
273,0.25,-0.052345383237421994
274,0.0,nan
275,0.0,nan
276,0.0,nan
277,0.25,-0.02926825261196475
278,0.0,nan
279,0.25,-0.02926825261196475
280,0.25,-0.00789932865521159
281,0.25,0.0029190800384041315
282,0.0,nan
283,0.0,nan
284,0.0,nan
285,0.0,nan
286,0.0,nan
287,0.0,nan
288,0.0,nan
289,0.25,-0.009491272151745722
290,0.0,nan
291,0.0,nan
292,0.25,-0.009491272151745722
293,0.0,nan
294,0.25,-0.052345383237421994
295,0.0,nan
296,0.0,nan
297,0.0,nan
298,0.0,nan
299,0.0,nan
300,0.0,nan
301,0.25,-0.02926825261196475
302,0.0,nan
303,0.0,nan
304,0.0,nan
305,0.0,nan
306,0.0,nan
307,0.0,nan
308,0.0,nan
309,0.0,nan
310,0.25,-0.02926825261196475
311,0.0,nan
312,0.25,-0.03967936637347358
313,0.25,-0.02926825261196475
314,0.0,nan
315,0.0,nan
316,0.0,nan
317,0.0,nan
318,0.0,nan
319,0.0,nan
320,0.25,-0.02926825261196475
321,0.0,nan
322,0.0,nan
323,0.0,nan
324,0.0,nan
325,0.0,nan
326,0.0,nan
327,0.0,nan
328,0.0,nan
329,0.0,nan
330,0.25,-0.02926825261196475
331,0.0,nan
332,0.0,nan
333,0.0,nan
334,0.25,0.040153470290503424
335,0.0,nan
336,0.0,nan
337,0.0,nan
338,0.0,nan
339,0.0,nan
340,0.0,nan
341,0.0,nan
342,0.25,-0.03967936637347358
343,0.25,0.021270556280649777
344,0.0,nan
345,0.0,nan
346,0.0,nan
347,0.0,nan
348,0.0,nan
349,0.0,nan
350,0.0,nan
351,0.0,nan
352,0.0,nan
353,0.25,0.0029190800384041315
354,0.25,0.040153470290503424
355,0.0,nan
356,0.25,-0.052345383237421994
357,0.0,nan
358,0.25,0.06562550800623068
359,0.0,nan
360,0.0,nan
361,0.0,nan
362,0.25,-0.009491272151745722
363,0.0,nan
364,0.0,nan
365,0.0,nan
366,0.0,nan
367,0.0,nan
368,0.25,0.021270556280649777
369,0.0,nan
370,0.0,nan
371,0.0,nan
372,0.0,nan
373,0.0,nan
374,0.25,-0.00789932865521159
375,0.0,nan
376,0.0,nan
377,0.25,-0.009491272151745722
378,0.0,nan
379,0.0,nan
380,0.0,nan
381,0.0,nan
382,0.0,nan
383,0.0,nan
384,0.0,nan
385,0.0,nan
386,0.0,nan
387,0.0,nan
388,0.0,nan
389,0.0,nan
390,0.25,-0.00789932865521159
391,0.0,nan
392,0.0,nan
393,0.0,nan
394,0.0,nan
395,0.0,nan
396,0.0,nan
397,0.0,nan
398,0.25,0.021270556280649777
399,0.0,nan
400,0.0,nan
401,0.0,nan
402,0.0,nan
403,0.0,nan
404,0.0,nan
405,0.0,nan
406,0.0,nan
407,0.0,nan
408,0.0,nan
409,0.0,nan
410,0.25,-0.009491272151745722
411,0.0,nan
412,0.0,nan
413,0.25,0.06562550800623068
414,0.0,nan
415,0.0,nan
416,0.0,nan
417,0.0,nan
418,0.0,nan
419,0.0,nan
420,0.0,nan
421,0.0,nan
422,0.0,nan
423,0.0,nan
424,0.25,0.06562550800623068
425,0.25,-0.052345383237421994
426,0.0,nan
427,0.0,nan
428,0.0,nan
429,0.0,nan
430,0.0,nan
431,0.0,nan
432,0.0,nan
433,0.0,nan
434,0.25,-0.00789932865521159
435,0.0,nan
436,0.0,nan
437,0.0,nan
438,0.0,nan
439,0.0,nan
440,0.0,nan
441,0.0,nan
442,0.0,nan
443,0.25,-0.02926825261196475
444,0.0,nan
445,0.0,nan
446,0.0,nan
447,0.0,nan
448,0.0,nan
449,0.0,nan
450,0.0,nan
451,0.25,0.040153470290503424
452,0.0,nan
453,0.0,nan
454,0.0,nan
455,0.0,nan
456,0.0,nan
457,0.0,nan
458,0.0,nan
459,0.0,nan
460,0.0,nan
461,0.0,nan
462,0.0,nan
463,0.0,nan
464,0.0,nan
465,0.0,nan
466,0.0,nan
467,0.0,nan
468,0.0,nan
469,0.0,nan
470,0.0,nan
471,0.0,nan
472,0.25,-0.02926825261196475
473,0.0,nan
474,0.0,nan
475,0.25,0.06562550800623068
476,0.0,nan
477,0.0,nan
478,0.0,nan
479,0.0,nan
480,0.25,-0.052345383237421994
481,0.0,nan
482,0.0,nan
483,0.0,nan
484,0.0,nan
485,0.0,nan
486,0.0,nan
487,0.0,nan
488,0.0,nan
489,0.0,nan
490,0.0,nan
491,0.0,nan
492,0.0,nan
493,0.0,nan
494,0.25,0.040153470290503424
495,0.25,0.0029190800384041315
496,0.0,nan
497,0.0,nan
498,0.0,nan
499,0.0,nan
500,0.0,nan
501,0.0,nan
502,0.0,nan
503,0.0,nan
504,0.0,nan
505,0.0,nan
506,0.0,nan
507,0.0,nan
508,0.0,nan
509,0.25,-0.00789932865521159
510,0.0,nan
511,0.0,nan
512,0.0,nan
513,0.0,nan
514,0.0,nan
515,0.0,nan
516,0.0,nan
517,0.0,nan
518,0.25,0.021270556280649777
519,0.0,nan
520,0.0,nan
521,0.0,nan
522,0.0,nan
523,0.0,nan
524,0.0,nan
525,0.25,-0.009491272151745722
526,0.0,nan
527,0.0,nan
528,0.0,nan
529,0.0,nan
530,0.0,nan
531,0.25,-0.02926825261196475
532,0.0,nan
533,0.0,nan
534,0.0,nan
535,0.0,nan
536,0.0,nan
537,0.0,nan
538,0.25,0.021270556280649777
539,0.0,nan
540,0.0,nan
541,0.0,nan
542,0.0,nan
543,0.0,nan
544,0.0,nan
545,0.0,nan
546,0.0,nan
547,0.0,nan
548,0.0,nan
549,0.0,nan
550,0.0,nan
551,0.0,nan
552,0.0,nan
553,0.0,nan
554,0.0,nan
555,0.25,0.0029190800384041315
556,0.0,nan
557,0.0,nan
558,0.0,nan
559,0.25,0.0029190800384041315
560,0.25,-0.03967936637347358
561,0.0,nan
562,0.0,nan
563,0.0,nan
564,0.0,nan
565,0.25,-0.052345383237421994
566,0.0,nan
567,0.0,nan
568,0.0,nan
569,0.0,nan
570,0.25,0.021270556280649777
571,0.0,nan
572,0.25,0.0029190800384041315
573,0.0,nan
574,0.25,-0.03967936637347358
575,0.0,nan
576,0.0,nan
577,0.0,nan
578,0.0,nan
579,0.0,nan
580,0.0,nan
581,0.0,nan
582,0.0,nan
583,0.0,nan
584,0.25,-0.02926825261196475
585,0.0,nan
586,0.0,nan
587,0.25,-0.03967936637347358
588,0.0,nan
589,0.0,nan
590,0.0,nan
591,0.0,nan
592,0.0,nan
593,0.0,nan
594,0.0,nan
595,0.0,nan
596,0.25,0.040153470290503424
597,0.0,nan
598,0.0,nan
599,0.0,nan
600,0.0,nan
601,0.0,nan
602,0.0,nan
603,0.0,nan
604,0.0,nan
605,0.25,-0.02926825261196475
606,0.0,nan
607,0.0,nan
608,0.0,nan
609,0.25,-0.00789932865521159
610,0.0,nan
611,0.0,nan
612,0.0,nan
613,0.0,nan
614,0.25,-0.00789932865521159
615,0.0,nan
616,0.25,-0.00789932865521159
617,0.0,nan
618,0.0,nan
619,0.0,nan
620,0.0,nan
621,0.25,-0.02926825261196475
622,0.0,nan
623,0.0,nan
624,0.0,nan
625,0.0,nan
626,0.0,nan
627,0.25,-0.052345383237421994
628,0.25,-0.02926825261196475
629,0.0,nan
630,0.0,nan
631,0.0,nan
632,0.0,nan
633,0.0,nan
634,0.0,nan
635,0.0,nan
636,0.0,nan
637,0.0,nan
638,0.0,nan
639,0.0,nan
640,0.0,nan
641,0.0,nan
642,0.0,nan
643,0.25,0.06562550800623068
644,0.0,nan
645,0.0,nan
646,0.0,nan
647,0.0,nan
648,0.0,nan
649,0.0,nan
650,0.0,nan
651,0.0,nan
652,0.0,nan
653,0.0,nan
654,0.0,nan
655,0.0,nan
656,0.25,0.0029190800384041315
657,0.0,nan
658,0.25,0.0029190800384041315
659,0.0,nan
660,0.0,nan
661,0.0,nan
662,0.0,nan
663,0.0,nan
664,0.25,0.0029190800384041315
665,0.0,nan
666,0.0,nan
667,0.0,nan
668,0.0,nan
669,0.0,nan
670,0.0,nan
671,0.0,nan
672,0.0,nan
673,0.0,nan
674,0.0,nan
675,0.0,nan
676,0.0,nan
677,0.0,nan
678,0.0,nan
679,0.0,nan
680,0.25,-0.03967936637347358
681,0.0,nan
682,0.25,0.06562550800623068
683,0.25,0.06562550800623068
684,0.0,nan
685,0.0,nan
686,0.0,nan
687,0.0,nan
688,0.0,nan
689,0.25,0.0029190800384041315
690,0.0,nan
691,0.0,nan
692,0.0,nan
693,0.0,nan
694,0.0,nan
695,0.0,nan
696,0.0,nan
697,0.0,nan
698,0.0,nan
699,0.0,nan
700,0.0,nan
701,0.0,nan
702,0.0,nan
703,0.0,nan
704,0.0,nan
705,0.0,nan
706,0.0,nan
707,0.25,0.0029190800384041315
708,0.0,nan
709,0.0,nan
710,0.25,-0.03967936637347358
711,0.0,nan
712,0.0,nan
713,0.0,nan
714,0.0,nan
715,0.0,nan
716,0.0,nan
717,0.0,nan
718,0.0,nan
719,0.0,nan
720,0.0,nan
721,0.0,nan
722,0.25,-0.052345383237421994
723,0.0,nan
724,0.0,nan
725,0.0,nan
726,0.0,nan
727,0.0,nan
728,0.0,nan
729,0.0,nan
730,0.0,nan
731,0.0,nan
732,0.0,nan
733,0.0,nan
734,0.0,nan
735,0.0,nan
736,0.0,nan
737,0.0,nan
738,0.0,nan
739,0.25,-0.03967936637347358
740,0.0,nan
741,0.0,nan
742,0.0,nan
743,0.25,0.0029190800384041315
744,0.0,nan
745,0.0,nan
746,0.0,nan
747,0.0,nan
748,0.0,nan
749,0.25,-0.02926825261196475
750,0.0,nan
751,0.0,nan
752,0.0,nan
753,0.0,nan
754,0.0,nan
755,0.0,nan
756,0.0,nan
757,0.0,nan
758,0.0,nan
759,0.0,nan
760,0.0,nan
761,0.0,nan
762,0.25,-0.02926825261196475
763,0.25,-0.03967936637347358
764,0.0,nan
765,0.25,-0.052345383237421994
766,0.0,nan
767,0.0,nan
768,0.0,nan
769,0.0,nan
770,0.25,-0.00789932865521159
771,0.0,nan
772,0.0,nan
773,0.0,nan
774,0.0,nan
775,0.0,nan
776,0.0,nan
777,0.0,nan
778,0.0,nan
779,0.0,nan
780,0.0,nan
781,0.0,nan
782,0.0,nan
783,0.0,nan
784,0.25,-0.02926825261196475
785,0.0,nan
786,0.0,nan
787,0.0,nan
788,0.0,nan
789,0.0,nan
790,0.0,nan
791,0.0,nan
792,0.5,-0.023789347514342585
793,0.0,nan
794,0.0,nan
795,0.0,nan
796,0.0,nan
797,0.0,nan
798,0.0,nan
799,0.0,nan
800,0.0,nan
801,0.0,nan
802,0.0,nan
803,0.0,nan
804,0.0,nan
805,0.25,-0.02926825261196475
806,0.0,nan
807,0.0,nan
808,0.0,nan
809,0.0,nan
810,0.0,nan
811,0.0,nan
812,0.0,nan
813,0.0,nan
814,0.0,nan
815,0.0,nan
816,0.0,nan
817,0.0,nan
818,0.0,nan
819,0.0,nan
820,0.0,nan
821,0.0,nan
822,0.0,nan
823,0.0,nan
824,0.25,0.0029190800384041315
825,0.0,nan
826,0.0,nan
827,0.0,nan
828,0.0,nan
829,0.0,nan
830,0.0,nan
831,0.0,nan
832,0.0,nan
833,0.0,nan
834,0.0,nan
835,0.0,nan
836,0.0,nan
837,0.0,nan
838,0.0,nan
839,0.0,nan
840,0.0,nan
841,0.0,nan
842,0.0,nan
843,0.0,nan
844,0.0,nan
845,0.25,0.021270556280649777
846,0.0,nan
847,0.0,nan
848,0.25,-0.009491272151745722
849,0.0,nan
850,0.0,nan
851,0.0,nan
852,0.25,0.06562550800623068
853,0.0,nan
854,0.0,nan
855,0.0,nan
856,0.0,nan
857,0.25,-0.052345383237421994
858,0.0,nan
859,0.0,nan
860,0.0,nan
861,0.0,nan
862,0.0,nan
863,0.25,-0.009491272151745722
864,0.0,nan
865,0.0,nan
866,0.25,0.0029190800384041315
867,0.0,nan
868,0.0,nan
869,0.0,nan
870,0.0,nan
871,0.0,nan
872,0.0,nan
873,0.0,nan
874,0.25,-0.02926825261196475
875,0.0,nan
876,0.0,nan
877,0.0,nan
878,0.0,nan
879,0.25,0.06562550800623068
880,0.0,nan
881,0.0,nan
882,0.0,nan
883,0.0,nan
884,0.25,0.040153470290503424
885,0.0,nan
886,0.0,nan
887,0.0,nan
888,0.0,nan
889,0.0,nan
890,0.0,nan
891,0.25,-0.03967936637347358
892,0.0,nan
893,0.0,nan
894,0.0,nan
895,0.25,-0.00789932865521159
896,0.0,nan
897,0.0,nan
898,0.0,nan
899,0.0,nan
900,0.0,nan
901,0.0,nan
902,0.0,nan
903,0.0,nan
904,0.0,nan
905,0.0,nan
906,0.25,0.06562550800623068
907,0.0,nan
908,0.0,nan
909,0.0,nan
910,0.0,nan
911,0.0,nan
912,0.0,nan
913,0.0,nan
914,0.0,nan
915,0.0,nan
916,0.0,nan
917,0.0,nan
918,0.0,nan
919,0.25,-0.009491272151745722
920,0.25,-0.00789932865521159
921,0.0,nan
922,0.0,nan
923,0.0,nan
924,0.0,nan
925,0.0,nan
926,0.0,nan
927,0.0,nan
928,0.0,nan
929,0.0,nan
930,0.0,nan
931,0.0,nan
932,0.25,-0.052345383237421994
933,0.0,nan
934,0.0,nan
935,0.0,nan
936,0.0,nan
937,0.0,nan
938,0.0,nan
939,0.0,nan
940,0.0,nan
941,0.0,nan
942,0.0,nan
943,0.0,nan
944,0.0,nan
945,0.0,nan
946,0.25,-0.009491272151745722
947,0.0,nan
948,0.0,nan
949,0.0,nan
950,0.0,nan
951,0.0,nan
952,0.0,nan
953,0.0,nan
954,0.0,nan
955,0.0,nan
956,0.0,nan
957,0.0,nan
958,0.0,nan
959,0.0,nan
960,0.0,nan
961,0.0,nan
962,0.25,-0.02926825261196475
963,0.25,-0.03967936637347358
964,0.25,-0.009491272151745722
965,0.0,nan
966,0.0,nan
967,0.0,nan
968,0.0,nan
969,0.0,nan
970,0.0,nan
971,0.0,nan
972,0.0,nan
973,0.0,nan
974,0.0,nan
975,0.0,nan
976,0.0,nan
977,0.0,nan
978,0.0,nan
979,0.0,nan
980,0.0,nan
981,0.25,-0.052345383237421994
982,0.0,nan
983,0.0,nan
984,0.0,nan
985,0.25,0.021270556280649777
986,0.0,nan
987,0.0,nan
988,0.0,nan
989,0.0,nan
990,0.0,nan
991,0.0,nan
992,0.0,nan
993,0.0,nan
994,0.0,nan
995,0.0,nan
996,0.0,nan
997,0.0,nan
998,0.0,nan
999,0.0,nan
