pair,lambda,geometric_a_arcsec2,potential_b_arcsec2,total_dphi_arcsec2,traversal_ara,connection_ara,point_type
AC,0.45,0.3391196989532792,-0.5323650750191513,-0.1932453760658721,0.7782573123050507,1.2217426876949493,path
AC,0.47500000000000003,0.33960805792695614,-0.5355924360363975,-0.19598437810944136,0.7760691641958242,1.2239308358041758,path
AC,0.5,0.3400964169006331,-0.5388197970536437,-0.1987233801530106,0.7738995173852276,1.2261004826147726,path
AC,0.525,0.34058477587431,-0.5420471580708894,-0.20146238219657941,0.7717481382119494,1.2282518617880505,path
AC,0.55,0.34107313484798696,-0.5452745190881356,-0.20420138424014866,0.769614796932869,1.230385203067131,path
AC,0.5750000000000001,0.3415614938216638,-0.5485018801053814,-0.20694038628371758,0.7674992676412729,1.2325007323587271,path
AC,0.6000000000000001,0.3420498527953407,-0.5517292411226276,-0.20967938832728683,0.7654013281871064,1.2345986718128936,path
AC,0.625,0.3425382117690172,-0.5549566021398742,-0.21241839037085697,0.7633207600992105,1.2366792399007895,path
AC,0.65,0.3430265707426944,-0.5581839631571199,-0.21515739241442555,0.7612573485094837,1.2387426514905164,path
AC,0.675,0.3435149297163711,-0.5614113241743661,-0.21789639445799502,0.7592108820789011,1.240789117921099,path
AC,0.7000000000000001,0.3440032886900479,-0.5646386851916119,-0.22063539650156394,0.7571811529253665,1.2428188470746335,path
AC,0.7250000000000001,0.34449164766372486,-0.567866046208858,-0.2233743985451332,0.755167956553311,1.244832043446689,path
AC,0.75,0.3449800066374019,-0.5710934072261038,-0.22611340058870188,0.7531710917850165,1.2468289082149835,path
AC,0.775,0.34546836561107885,-0.57432076824335,-0.22885240263227113,0.751190360693595,1.248809639306405,path
AC,0.8,0.3459567245847559,-0.5775481292605962,-0.23159140467584027,0.7492255685375943,1.2507744314624056,path
AC,0.8250000000000001,0.3464450835584323,-0.5807754902778419,-0.23433040671940963,0.7472765236971683,1.2527234763028317,path
AC,0.8500000000000001,0.3469334425321091,-0.5840028512950886,-0.23706940876297944,0.7453430376117823,1.2546569623882178,path
AC,0.875,0.34742180150578605,-0.5872302123123343,-0.23980841080654824,0.7434249247194004,1.2565750752805995,path
AC,0.9,0.3479101604794631,-0.5904575733295805,-0.24254741285011738,0.7415220023971163,1.2584779976028837,path
AC,0.925,0.34839851945313993,-0.5936849343468262,-0.2452864148936863,0.7396340909031948,1.2603659090968051,path
AC,0.9500000000000001,0.34888687842681676,-0.5969122953640724,-0.24802541693725566,0.7377610133204741,1.262238986679526,path
AC,0.9750000000000001,0.3493752374004938,-0.6001396563813186,-0.2507644189808248,0.7359025955011006,1.2640974044988993,path
AC,1.0,0.3498635963741703,-0.48343490594818767,-0.13357130957401736,0.8397077287409477,1.1602922712590522,observed-required
AC,1.0,0.3498635963741703,-0.6033670173985644,-0.25350342102439405,0.7340586660125529,1.2659413339874472,path
AD,0.0,0.2958558749200888,-0.7875775397079041,-0.4917216647878153,0.5461450070222796,1.4538549929777203,path
AD,0.025,0.2951358503234731,-0.7902745792693049,-0.4951387289458318,0.5438235017406301,1.45617649825937,path
AD,0.05,0.2944158257268582,-0.792971618830705,-0.4985557931038468,0.54151043806957,1.4584895619304297,path
AD,0.07500000000000001,0.2936958011302431,-0.7956686583921058,-0.5019728572618627,0.5392057700487479,1.4607942299512522,path
AD,0.1,0.2929757765336277,-0.7983656979535059,-0.5053899214198782,0.5369094520508517,1.4630905479491485,path
AD,0.125,0.2922557519370126,-0.8010627375149066,-0.508806985577894,0.534621438778595,1.465378561221405,path
AD,0.15000000000000002,0.29153572734039734,-0.8037597770763067,-0.5122240497359094,0.532341685261739,1.4676583147382611,path
AD,0.17500000000000002,0.290815702743782,-0.8064568166377075,-0.5156411138939255,0.5300701468541451,1.4699298531458547,path
AD,0.2,0.29009567814716664,-0.8091538561991081,-0.5190581780519414,0.527806779230863,1.4721932207691368,path
AD,0.225,0.2893756535505516,-0.8118508957605084,-0.5224752422099568,0.5255515383852457,1.4744484616147544,path
AD,0.25,0.28865562895393615,-0.814547935321909,-0.5258923063679728,0.5233043806260957,1.4766956193739043,path
AD,0.275,0.2879356043573209,-0.8172449748833093,-0.5293093705259884,0.5210652625748482,1.4789347374251518,path
AD,0.30000000000000004,0.28721557976070566,-0.8199420144447098,-0.5327264346840042,0.5188341411627754,1.4811658588372245,path
AD,0.325,0.2864955551640904,-0.8226390540061106,-0.5361434988420202,0.5166109736282273,1.4833890263717728,path
AD,0.35000000000000003,0.2857755305674753,-0.8253360935675107,-0.5395605630000354,0.5143957175138997,1.4856042824861002,path
AD,0.375,0.28505550597085993,-0.8280331331289115,-0.5429776271580515,0.5121883306641297,1.4878116693358703,path
AD,0.4,0.2843354813742449,-0.8307301726903116,-0.5463946913160667,0.5099887712222251,1.490011228777775,path
AD,0.42500000000000004,0.28361545677762945,-0.8334272122517123,-0.5498117554740829,0.5077969976278133,1.4922030023721866,path
AD,0.45,0.2828954321810143,-0.8361242518131125,-0.5532288196320981,0.5056129686142306,1.4943870313857692,path
AD,0.47500000000000003,0.2821754075843991,-0.8388212913745132,-0.5566458837901141,0.5034366432059254,1.4965633567940744,path
AD,0.5,0.28145538298778383,-0.8415183309359138,-0.5600629479481299,0.501267980715901,1.4987320192840992,path
AD,0.525,0.2807353583911686,-0.8442153704973141,-0.5634800121061455,0.4991069407431766,1.5008930592568237,path
AD,0.55,0.28001533379455323,-0.8469124100587146,-0.5668970762641614,0.49695348317027993,1.50304651682972,path
AD,0.5750000000000001,0.279295309197938,-0.849609449620115,-0.570314140422177,0.4948075681607652,1.5051924318392347,path
AD,0.6000000000000001,0.27857528460132275,-0.8523064891815157,-0.573731204580193,0.49266915615675516,1.507330843843245,path
AD,0.625,0.2778552600047074,-0.8550035287429163,-0.5771482687382089,0.49053820787651137,1.5094617921234885,path
AD,0.65,0.27713523540809226,-0.8577005683043166,-0.5805653328962244,0.48841468431202956,1.5115853156879704,path
AD,0.675,0.276415210811477,-0.8603976078657172,-0.5839823970542402,0.4862985467266569,1.513701453273343,path
AD,0.7000000000000001,0.27569518621486166,-0.8630946474271175,-0.5873994612122558,0.48418975665273933,1.5158102433472609,path
AD,0.7250000000000001,0.27497516161824653,-0.865791686988518,-0.5908165253702715,0.4820882758892893,1.5179117241107107,path
AD,0.75,0.2742551370216313,-0.8684887265499184,-0.5942335895282871,0.4799940664996791,1.5200059335003209,path
AD,0.775,0.27353511242501616,-0.8711857661113189,-0.5976506536863028,0.4779070908093579,1.5220929091906419,path
AD,0.8,0.2728150878284009,-0.8738828056727197,-0.6010677178443188,0.47582731140359297,1.5241726885964069,path
AD,0.8250000000000001,0.27209506323178556,-0.8765798452341198,-0.6044847820023342,0.4737546911252337,1.5262453088747663,path
AD,0.8500000000000001,0.2713750386351702,-0.8792768847955206,-0.6079018461603504,0.47168919307249807,1.5283108069275018,path
AD,0.875,0.27065501403855496,-0.8819739243569207,-0.6113189103183657,0.46963078059678426,1.530369219403216,path
AD,0.9,0.26993498944193983,-0.8846709639183215,-0.6147359744763816,0.46757941730050034,1.5324205826994997,path
AD,0.925,0.2692149648453245,-0.8873680034797216,-0.6181530386343971,0.4655350670349216,1.5344649329650781,path
AD,0.9500000000000001,0.2684949402487091,-0.8900650430411223,-0.6215701027924132,0.46349769389806555,1.5365023061019345,path
AD,0.9750000000000001,0.267774915652094,-0.8927620826025229,-0.6249871669504289,0.46146726223259166,1.5385327377674085,path
AD,1.0,0.26705489105547864,-1.1062859493224177,-0.8392310582669391,0.3889127639748837,1.6110872360251163,observed-required
AD,1.0,0.26705489105547864,-0.8954591221639232,-0.6284042311084446,0.45944373662371885,1.540556263376281,path
