draw,mae,median_abs_error,p95_abs_error,max_abs_error,rmse,correlation
83,0.02860255924096076,0.021897427086355004,0.0731898037030236,0.10888176645501263,0.03784703275288176,0.07353805285542138
84,0.028306847396031176,0.020963886128379072,0.07182498811682998,0.11141791935311235,0.03758348483437711,0.08602638171225972
85,0.028440146930935047,0.02163910276527614,0.07214187135410154,0.11103337565923538,0.03763537473992769,0.08632699053409
86,0.028466049044003166,0.021215493283779363,0.07210789921169684,0.11127243284014354,0.03773140207338087,0.08309687471311575
87,0.0283980024407744,0.021431274967869895,0.07306785753701676,0.1081235714930266,0.037572574470044806,0.08475104310002933
88,0.02842210515229428,0.02140309690032627,0.07256919454582798,0.11069791435858917,0.03767280621022278,0.08382488015766021
89,0.028085078192571562,0.020561859963008522,0.0717542419030456,0.11144315772119506,0.03734427648394739,0.1003853938910369
90,0.028716621504988528,0.022136927114820515,0.07337863086828746,0.11062795536573072,0.037966269908064745,0.0679594336365881
91,0.028808381882888638,0.022156497262344366,0.07232225806189528,0.11106779311912768,0.038006737202524024,0.06990859015516618
92,0.028294674499673763,0.02084868770094972,0.07290246226151378,0.11257061454680878,0.03764269237497498,0.08647531918593229
93,0.028620747043344327,0.021623511956824104,0.07276174281861629,0.10941495823113423,0.037821412222196295,0.07491103575158659
94,0.028658174263769307,0.02204829606559533,0.0731850797277378,0.11165789263076703,0.037860674775203274,0.07067375356490398
95,0.02846283526300606,0.021747099083420096,0.07277656236491016,0.11388440243184672,0.03763064604269899,0.07893696242460237
96,0.028443296088824052,0.02168332321608546,0.07252588455549148,0.11300372530327008,0.03767886086990167,0.08530401189923445
97,0.02837471741604267,0.021154128912153625,0.07187314589697189,0.10733403902890332,0.03759792790661601,0.08641152521887423
98,0.028701629015375877,0.022364846070802136,0.07323053185866607,0.10812237304007755,0.037836720324803404,0.07765249490534987
99,0.028545520548480835,0.02171792039671372,0.07345728577440828,0.11021967895733908,0.037767661483248414,0.07902629601349222
100,0.0284575485762317,0.021340876800487463,0.07206227676325028,0.1116459412860275,0.03771133131100053,0.07114677898242819
101,0.02826266796029448,0.02140700556061359,0.07189271627784978,0.11074873317004635,0.03739955083924653,0.08877361445242066
102,0.02872807965291506,0.022821905526311137,0.07194381807150432,0.10919857469323702,0.03779243121396018,0.08113279606280117
103,0.028635951341047513,0.02173920463544121,0.07358056509396776,0.10759994638765819,0.037939572141070924,0.06598815059076446
104,0.028497243958873077,0.02150733036120933,0.07291560319800162,0.11153008361040562,0.03772993699700689,0.08609020693605259
105,0.028596699595532002,0.02189598623296085,0.0720523992376795,0.11082800875358989,0.03776562340475763,0.07969432294734925
106,0.028555091076286142,0.02153617532858132,0.07390160441322144,0.10742358993062873,0.03787651269020711,0.07607459889693002
107,0.028662241644472397,0.021405118293998826,0.0733277626721999,0.11108254757353869,0.03798307204536517,0.06652956884930025
108,0.02852724643964474,0.02154505707151866,0.07237115180850806,0.10785466596222071,0.03765509530558709,0.07615916121229317
109,0.02856002090578949,0.02132272522546752,0.07278924458689086,0.10898389601254882,0.03791052336781508,0.07549333120080706
110,0.028601324791262324,0.02218824426693533,0.07213822348386671,0.10663899875666777,0.03774411959756911,0.08184900262796797
111,0.028479206342603234,0.021353768693509134,0.07267799473699604,0.10997288992530485,0.03778099349002459,0.08191918108234905
112,0.02845248871689758,0.02099167091361187,0.07184343439290582,0.11158686750413621,0.037664967523949676,0.0847009568275262
113,0.02858122677977066,0.021457978731839966,0.07304401361945233,0.11315669945898105,0.037859261459072056,0.07637476036932805
114,0.028588134927375625,0.021398193951198907,0.07288351700099176,0.1113574873059614,0.03783924284998438,0.07673359723836808
115,0.02872562531064869,0.022256303686958523,0.07274958865478189,0.11193688136944724,0.03789954313305535,0.06754187450153493
116,0.028773800504588252,0.02169051234361752,0.07240023209025274,0.11058002170783005,0.03791771385769967,0.06938702914323619
117,0.028725485359520145,0.021909281868709995,0.0727322647712125,0.11225720645587839,0.03794678397429775,0.07027613193880215
118,0.028748659007055106,0.02152377781630288,0.0734246909279184,0.10918025730546493,0.03800464112552073,0.06077591997186047
119,0.028489944907196453,0.02169610021629409,0.0720702787257975,0.10971017556922796,0.037661946759992695,0.08735560464504873
120,0.028473299847896677,0.02150962740292739,0.07262173136751293,0.11377811859786074,0.037801830188117426,0.07649816172236831
121,0.028209016401974648,0.02039674367583022,0.07241241485984243,0.10846262295256331,0.037490066146077264,0.08808667892316414
122,0.02834053706856151,0.02137495468958095,0.07215097839664017,0.10812371586086206,0.037556171276673884,0.08753072331021905
123,0.028776755031264076,0.022491347133918427,0.07223782537980916,0.11141142856477487,0.037928405215243606,0.07498451735755257
124,0.02859175212423927,0.021364621751705948,0.07287036788373089,0.10994926266381339,0.0378758184113228,0.07408890740615047
125,0.02847158500686795,0.02098957896000664,0.07312850561900769,0.11224076913490788,0.037800727691506435,0.07896325443296445
126,0.028470256152415288,0.021992026395814157,0.07229518262126998,0.11016790771912077,0.03764987167251417,0.08131070311624441
127,0.02859551348935169,0.02168884184740716,0.07222612336507107,0.10822314830835827,0.03770317157241362,0.08369707125590403
128,0.028565700535692188,0.021691339070518456,0.07279832682187438,0.11013009285915598,0.03781395960321713,0.08118312433079707
129,0.02828372052222072,0.021071985989121078,0.07343203440906211,0.10900158635662183,0.03756066714241634,0.08566053195776792
130,0.028451729879687065,0.021422560560923953,0.07267833986579307,0.11109054381875921,0.0376118777597343,0.081279652147943
131,0.02870669107001717,0.022109912970269763,0.0735142327690679,0.11100023331048503,0.037927950228654875,0.07203614836104649
132,0.028473349058013898,0.02126886706479536,0.07339754462884403,0.10979256677701671,0.03775093309435123,0.08442503937095236
133,0.028368958729689028,0.02119186068367651,0.07305180239949746,0.11033435804666919,0.03760146226435216,0.08849694605206483
134,0.02850448528570155,0.021764340848751562,0.07183481390620469,0.10999511089212288,0.03755123955601396,0.08274070456644278
135,0.028435325562038358,0.02143854622220831,0.07328009867966245,0.11023492528137896,0.037696861866885055,0.09061505328112189
136,0.028783179487881155,0.021890151804101365,0.07263223512987727,0.11108509641076242,0.03802643065302407,0.07087326740419159
137,0.028631840660763245,0.021495403240353483,0.07377826865610887,0.10989805034335037,0.03791835399028336,0.07058432377369876
138,0.02867887697438389,0.02180996661833856,0.07295525897186582,0.11094546556791418,0.03794814692042018,0.07160412732897584
139,0.02893703190066972,0.02274297030377115,0.0734278326379909,0.10890034210939703,0.0381155902983642,0.05952614027540418
140,0.02898802368667823,0.022665976874681193,0.07353377222637376,0.10959462743785842,0.03825371778831316,0.060595955871948916
141,0.028637790074744242,0.021597063550006457,0.07272313990359504,0.10854499020683478,0.037851875496401996,0.06712735781486369
142,0.028632652063529045,0.021673580842076268,0.07384085312954015,0.11346273320096883,0.03787745147642555,0.0707785470862504
143,0.02855209176782709,0.021900936573032492,0.07224126038705311,0.1086687662726693,0.03770469637775691,0.0839953876620571
144,0.028586755742967703,0.021378175589662374,0.0730682751399535,0.10880490587434322,0.03790551729536509,0.07657068337421549
145,0.028660877158671886,0.02170670410139619,0.07207367291397229,0.10926614842884946,0.03783664818452581,0.07767862357514235
146,0.02865755476288843,0.02174508434104261,0.07267580885157991,0.10872661524729305,0.03789060169394758,0.0752363862681217
147,0.02849641718323301,0.021522305650934215,0.07225928430359446,0.11337516545995219,0.03779704185021311,0.07949836467604804
148,0.02821415158071883,0.02072266404854639,0.07279480551032774,0.11015649269446443,0.03748311192873533,0.09584178567262513
149,0.02859972270600715,0.02148537546901419,0.07231645220549147,0.10889788998285999,0.03784710839434159,0.07058613065655012
150,0.028625355054529608,0.021824932817278597,0.07231010135688704,0.10934401970075536,0.03778545692314776,0.08015452536173864
151,0.02839799432086253,0.02097015102236921,0.07256504356358932,0.10941858609699079,0.03765870997817302,0.08663506422943969
152,0.02879569436779179,0.02218068211782398,0.07316415034959778,0.11366703251389204,0.03800702556742114,0.06729303489603419
153,0.028728413895636764,0.022660659676800754,0.0719775427399932,0.11047101772806311,0.03787703976929321,0.07332607452159794
154,0.02879319520179377,0.022067458684180974,0.07395278410092834,0.11029006088942511,0.03801908105136299,0.0670694291164603
155,0.028578768560287664,0.02115141730862391,0.07269853386734348,0.11275899598328332,0.03782704619418381,0.07660313586600186
156,0.029041916250440263,0.02278831617061583,0.07324297319878494,0.11064939328484125,0.038292999222890506,0.05111397946691413
157,0.028546578204550317,0.021620817137901316,0.07256265989107616,0.11014506324281015,0.03774997910089793,0.08064812875458442
158,0.02883599677186153,0.02236846251859892,0.07236670655221815,0.1099313348426556,0.038043205922349124,0.0680869359006443
159,0.02836909062939184,0.021174595755763637,0.07234733014505594,0.10886536877855935,0.03753703862047681,0.09277576457559568
160,0.0286474750128669,0.02204317154177937,0.07336929922751065,0.11124590987696226,0.03789450758693205,0.07413524781312393
161,0.02845583378038929,0.02148906873766898,0.07185023215295858,0.10939935643661836,0.03763500604175281,0.08300688758180566
162,0.028621600719637787,0.02173023869864199,0.07288289055320207,0.11210675887663352,0.037820690581175785,0.07587421462906424
163,0.028187727793760338,0.021123859708329862,0.07186961246527807,0.11047374938697196,0.03739697814637983,0.08744325650859555
164,0.028428151306616023,0.021445916846912993,0.0721019354007767,0.11227803230302985,0.037608715749330036,0.08880821192052993
165,0.028553114445138004,0.02182676514339965,0.07278656033846667,0.1107871376467,0.037737990480037197,0.07564775736763925
166,0.02858356928408677,0.021306658550005686,0.0735332314857907,0.11192556183063729,0.03792130313605846,0.07306266823418721
167,0.027955263689067093,0.020539068868062893,0.07129142479757132,0.10697830647335566,0.03716004687445087,0.10579438466881844
168,0.028671312685123126,0.02164142181803075,0.07277848270403851,0.10667390512430303,0.037850086293685706,0.07519577608607081
169,0.02872675553244494,0.022298197351229287,0.07224183975389657,0.11063289768419615,0.037865250245189844,0.07203822724529785
170,0.028451775091505524,0.02115239915713074,0.07223353414699184,0.10850954980311045,0.037674158634359786,0.08246147478476348
171,0.028582681531990273,0.021964865912041054,0.07207184120030785,0.11010823435703454,0.03781180495073982,0.07874874547379432
172,0.028182945125028423,0.021034009957076827,0.07196041892323252,0.11043479321357835,0.03738538963857323,0.09027985572711736
173,0.02855947709471321,0.021961077147622077,0.0726389674253998,0.11297360937137829,0.037775774913519466,0.07625006708019846
174,0.02882895439187178,0.022691729607001276,0.07415825164072196,0.11190488021306605,0.0379587809623077,0.06624171720118141
