replicate,mode,mean,median
1221,1.875,1.1387768698236518,1.1814982114297252
1222,0.125,0.9942011306177633,0.968079770871491
1223,1.875,1.1113572965092635,1.1815727175430493
1224,0.875,0.9885688706573809,0.8692716248303847
1225,1.625,1.0592468546512568,1.059787179626234
1226,1.375,1.0960908190838394,1.196748235332421
1227,1.875,1.0422499328128145,1.0474656867677294
1228,1.875,1.0694601123485197,1.0334450780730997
1229,1.625,1.0365001356552268,1.0055457468401026
1230,0.625,1.080014799581101,1.0051945354454301
1231,1.875,1.0439427239318995,0.8659428610739406
1232,1.875,1.1910179390364866,1.2779512713727617
1233,1.625,1.0294126770802599,1.0334450780730997
1234,1.875,1.0731789900577038,0.8842272060665514
1235,0.625,0.9951323238015158,0.8642694280158743
1236,1.875,1.0969066883493623,1.1227438604589561
1237,1.875,1.0479221081587702,1.0055457468401026
1238,0.125,0.9923389634665212,1.0381935236589834
1239,1.875,1.0855277781532893,1.1758450702348449
1240,1.875,1.0656100794894101,0.9909924486046511
1241,1.625,1.1214612453861827,1.1544840472851463
1242,0.625,1.1299586860488784,1.0474656867677294
1243,1.625,1.096997469639386,1.0693850570588255
1244,1.875,1.0906110428124245,1.1546151971904273
1245,1.875,1.011846831766063,1.0381935236589834
1246,1.875,1.1027253908026993,1.1226116857937352
1247,0.125,0.974953215234523,0.8890951593651877
1248,1.875,1.217134116555818,1.3663734930669247
1249,1.625,1.0299461305375364,1.0051945354454301
1250,1.625,1.0341134299639123,1.059787179626234
1251,0.125,1.0039959762758492,0.9012713103931578
1252,1.625,1.0251696898655585,0.9010681016656517
1253,1.875,1.057733221708759,1.1230082097893983
1254,0.125,0.9190029707621269,0.8393628724732785
1255,0.625,0.9916220458119129,0.833958528813978
1256,1.875,1.0133544949580848,0.8607546912365571
1257,1.875,1.1509157070480267,1.193856902823769
1258,1.625,1.0284163118573035,1.1441396163790354
1259,1.875,1.0381924832914744,1.1441396163790354
1260,0.125,0.9729179127404957,0.8745223150078733
1261,1.625,1.078009350003901,1.0474656867677294
1262,0.125,0.8874652898793054,0.8307995747184972
1263,0.125,0.9945594258320705,0.9909924486046511
1264,1.625,1.0274125727116747,0.9333528605552265
1265,1.625,1.0710738450165742,1.13348276584085
1266,0.125,1.0185475503757613,1.1599493947827895
1267,0.875,1.045950507966885,1.0334450780730997
1268,1.625,1.1085440991235664,1.2530150727945673
1269,0.125,1.0119796795477247,1.0601128939500792
1270,0.625,0.9448715010642934,0.8241387720599634
1271,1.625,1.0989305899946704,1.247415916925305
1272,1.875,1.1051863025190123,1.247415916925305
1273,1.875,1.1681984085597856,1.281664111067825
1274,1.875,1.0104023090299723,0.8842272060665514
1275,1.625,1.0715627446941631,1.1121864270869963
1276,1.875,1.0619665630549076,0.9528740135526907
1277,0.875,1.049547966999006,0.8745223150078733
1278,1.875,1.0831231966492019,1.2167561395279354
1279,1.625,1.1229684982048633,1.2544120130960543
1280,0.125,0.9301994765653065,0.822350013628291
1281,1.875,1.0840316570039146,1.154090597569304
1282,1.875,1.0070158032047818,0.8642694280158743
1283,1.625,1.0372870055241612,1.0474656867677294
1284,1.625,1.151966381307809,1.1814982114297252
1285,1.625,0.9952000172934717,0.9909924486046511
1286,1.875,1.0997797532359834,1.1121864270869963
1287,1.625,1.1233621432653802,1.1544840472851463
1288,1.875,1.1158208809530326,1.210583611649179
1289,1.875,1.076038737903306,1.0381935236589834
1290,1.625,1.058433377491721,1.1814982114297252
1291,0.875,1.11334892288972,1.1227438604589561
1292,1.875,1.0729997913181373,1.009651382576981
1293,1.875,1.0444819334214448,0.9668376737004634
1294,1.625,1.1295628674592217,1.2530150727945673
1295,1.625,1.0268109077550658,0.9533508669387035
1296,1.125,1.076627463593974,1.1441396163790354
1297,1.125,1.1363873895377634,1.247415916925305
1298,0.625,1.08314195865002,1.0334450780730997
1299,1.875,1.14923593405217,1.2806385493057766
1300,1.375,1.0502946921070921,1.132166142988341
1301,0.625,1.031486864044091,0.8692716248303847
1302,1.875,1.2006449016591827,1.3046476627334491
1303,0.625,1.0884855183250444,1.069117339113478
1304,0.125,0.9409246388235801,0.8747079067112561
1305,1.875,1.0946055464745839,1.2167561395279354
1306,1.875,1.0239266814358514,0.9008648929381453
1307,0.125,0.9749004223241512,0.8425485048745714
1308,1.625,1.0165890068554844,0.9008648929381453
1309,0.125,1.0302098715381158,0.966009608919778
1310,1.875,1.1527364816750816,1.1981969512965436
1311,0.625,1.0311431608223098,1.0334450780730997
1312,1.625,1.0877512453394818,1.079806947150659
1313,1.625,0.9422923937110882,0.8288631027190023
1314,0.625,1.0153236866443984,0.9333528605552265
