z_index,y_index,x_index,active_interior,occupancy_cic,relative_field_gradient,particle_first_e_magnitude_N_per_m3,field_first_e_magnitude_N_per_m3,particle_first_b_magnitude_N_per_m3,field_first_b_magnitude_N_per_m3,particle_first_total_magnitude_N_per_m3,field_first_total_magnitude_N_per_m3,total_residual_magnitude_N_per_m3,particle_first_total_x_N_per_m3,particle_first_total_y_N_per_m3,particle_first_total_z_N_per_m3,field_first_total_x_N_per_m3,field_first_total_y_N_per_m3,field_first_total_z_N_per_m3
0,1,18,0,0.0,0.47995174305724314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
0,1,19,0,0.0,0.7780284012023007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,20,0,0.0,1.4144743119411192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,21,0,0.0,2.697080581770356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,22,0,0.0,4.6279040010673835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,23,0,8.4973756281078,4.913889535557192,2152395548752.175,853160402378.964,96951316866.88567,34074069629.57332,2153916487845.5674,873572798343.8293,1547371972104.4553,-2124034600012.406,-138406048043.93573,-329661979045.1771,-738162237895.7494,-328965766319.66125,331703887738.33466
0,1,24,0,24.183666754181317,5.743959811690852,5427240886888.029,2749524858387.3667,393968415903.6197,272485897896.9362,5409841553247.158,2793123781210.609,2809841194128.839,-5161704369094.536,-877391905804.5349,-1361387924486.8787,-2377514523700.812,-1049203457590.43,-1023785744839.3367
0,1,25,0,24.996385604525408,4.209854662526746,693159200479.4985,16816149369.592165,91314087824.15508,21985097796.57172,696124345834.6177,31144883519.65085,710196260732.1344,114741334119.08615,-628712918112.5134,-275941293949.8085,-22600150096.933952,16723486973.478249,-13400073451.163565
0,1,26,0,24.432494229679705,3.8671089653801025,1263981461251.631,2390518567273.3154,453194706112.3963,323988465659.4701,1340446264547.6797,2439631946678.5005,1189068938672.8303,-1242242138234.6968,-380342720934.8298,330106153783.6077,-2239704176428.9165,-189270671319.00763,948528254887.3549
0,1,27,0,25.326282456853278,3.754429852112024,2154848044381.9702,1507100691369.4373,136433552075.57657,198869198154.9375,2075910663301.5244,1396931960218.0789,856266335807.2916,512198354033.95337,-443168499478.50037,1962309763825.2373,723349173496.0947,-372621426454.8809,1135490267341.8079
0,1,28,0,24.775921354124847,5.145244401696677,948987878459.2892,846484303373.8293,228101538248.61127,90280193436.63777,1039362098688.1067,840947693938.6844,1257213306293.0059,-88878399826.1823,-541005317613.242,882999121487.6027,-840118105214.0359,6760986531.9891205,36727132933.074005
