score_family,run,field_g,channel,train_parity,cadence_multiplier,n_train_bins,n_test_bins,n_train_cycles,n_test_cycles,phase_amplitude_fraction,phase_angle_rad,null_sse,phase_sse,gain,amplitude,background,beta_cos,beta_sin,poisson_nll_gain_per_test_bin
reverse_parity,EMU00066580,400.0,O,even,1.0,241.0,244.0,22.0,22.0,0.0009514187124509469,,278.78876355839725,273.462111935649,0.0191064071405177,,,,,
reverse_parity,POOLED,,O,even,1.0,,,,,,,,,0.13555559553882235,,,,,
reverse_parity,EMU00066578,63.0,U,even,1.0,270.0,215.0,4.0,3.0,0.0009225886933520121,5.788096870767534,284.760536752892,297.10468819726793,-0.0433492350630309,367107.7304321657,191.63111111111112,0.0008118104209852393,-0.0004383306257618118,-0.028730849332587665
reverse_parity,EMU00066579,160.0,U,even,1.0,240.0,245.0,9.0,9.0,0.0004622338117452986,5.99367207812274,401.91928993881606,400.50981486595265,0.003506860974694659,369094.37207342236,192.37955555555556,0.0004429970065009893,-0.00013196116455893591,0.002876978382772329
reverse_parity,EMU00066580,400.0,U,even,1.0,241.0,244.0,22.0,22.0,0.0003975653823295201,0.32811431720689277,377.6730064031919,374.15666250069796,0.009310551304638315,367004.81695291644,191.152,0.0003763559464591763,0.00012811883074566015,0.007208317273952922
reverse_parity,POOLED,,U,even,1.0,,,,,,,,,-0.006969805724524436,,,,,
reverse_parity,EMU00066578,63.0,V,even,1.0,270.0,215.0,4.0,3.0,0.0008938927589200985,5.847103198969198,332.7052279612244,347.0802073704356,-0.043206352654267643,421226.29079653084,219.9714359588473,0.0008102364640404757,-0.00037757269073513804,
reverse_parity,EMU00066579,160.0,V,even,1.0,240.0,245.0,9.0,9.0,0.0004875955488624045,6.006000148633854,469.158703661483,467.8012595371357,0.002893358076389352,423577.0386423308,220.86988934065243,0.00046898379624708174,-0.00013343019946063632,
reverse_parity,EMU00066580,400.0,V,even,1.0,241.0,244.0,22.0,22.0,0.0004248920708010598,0.22378830611092398,452.6809889622608,447.9682894239149,0.01041064160690619,421286.76314507803,219.4793370609517,0.0004142968465618951,9.429419260210218e-05,
reverse_parity,POOLED,,V,even,1.0,,,,,,,,,-0.006619799427066697,,,,,
reverse_parity,EMU00066578,63.0,W,even,1.0,270.0,215.0,4.0,3.0,0.0010297754199718977,6.11495900010168,298.8468172766296,306.02798603889613,-0.0240295975968825,369889.73825393454,192.78269560008934,0.0010152383830907038,-0.0001724193755865959,
reverse_parity,EMU00066579,160.0,W,even,1.0,240.0,245.0,9.0,9.0,0.0008625046894393401,6.166987191128009,438.679577862944,433.73972433669053,0.01126073283447171,371857.7835433938,193.52089176001763,0.0008566884679833538,-9.999604056754876e-05,
reverse_parity,EMU00066580,400.0,W,even,1.0,241.0,244.0,22.0,22.0,0.0005950785921884826,0.509416096359079,409.3407708198821,405.8419380365391,0.008547481787203992,369850.353530859,192.32216704017048,0.0005195211106490118,0.00029020052803370905,
reverse_parity,POOLED,,W,even,1.0,,,,,,,,,0.0010964805555992996,,,,,
