control,channel,run,field_g,train_parity,cadence_multiplier,n_train_bins,n_test_bins,n_train_cycles,n_test_cycles,phase_amplitude_fraction,phase_angle_rad,null_sse,phase_sse,gain,amplitude,background,beta_cos,beta_sin,poisson_nll_gain_per_test_bin
multiplier_0.80,W,EMU00066580,400.0,odd,0.7999999999999999,244.0,241.0,22.0,22.0,0.0005554837908973648,4.5243706390093585,343.6262995725449,347.83892590214066,-0.012259324547731376,369601.7575050748,192.32216704017048,-0.00010382687976773798,-0.0005456942559596931,
multiplier_0.80,W,POOLED,,odd,,,,,,,,,,0.0023281546685604004,,,,,
multiplier_0.90,O,EMU00066578,63.0,odd,0.8999999999999999,215.0,270.0,3.0,4.0,0.002250307600358062,,378.75524704272823,347.4670669498429,0.08260791193568773,,,,,
multiplier_0.90,O,EMU00066579,160.0,odd,0.8999999999999999,245.0,240.0,9.0,9.0,0.0010639236419468727,,312.0924199228781,304.26247351609516,0.0250885504002879,,,,,
multiplier_0.90,O,EMU00066580,400.0,odd,0.8999999999999999,244.0,241.0,22.0,22.0,0.0004729543659081114,,272.68362186355125,274.1820124062467,-0.005494978145204721,,,,,
multiplier_0.90,O,POOLED,,odd,,,,,,,,,,0.039043605945258686,,,,,
multiplier_0.90,W,EMU00066578,63.0,odd,0.8999999999999999,215.0,270.0,3.0,4.0,0.00043949355709468375,5.887487183644241,426.4679112132891,412.7075162387544,0.03226595627180184,370229.3843400594,192.78269560008934,0.00040553287726059024,-0.00016940387300320235,
multiplier_0.90,W,EMU00066579,160.0,odd,0.8999999999999999,245.0,240.0,9.0,9.0,0.0005922523859283108,4.093506685683792,380.3384840226348,384.1051349907474,-0.009903417945706483,371734.0351713401,193.52089176001763,-0.00034358048736275385,-0.0004824057807918034,
multiplier_0.90,W,EMU00066580,400.0,odd,0.8999999999999999,244.0,241.0,22.0,22.0,0.000684986362974009,3.880289524006889,343.6262995725449,346.67152204135846,-0.008862018048681586,369601.7575050748,192.32216704017048,-0.0005064423494655344,-0.0004612184559709101,
multiplier_0.90,W,POOLED,,odd,,,,,,,,,,0.006039920083082628,,,,,
multiplier_1.10,O,EMU00066578,63.0,odd,1.1,215.0,270.0,3.0,4.0,0.0019165896271347638,,378.75524704272823,359.33245629287615,0.05128058528958401,,,,,
multiplier_1.10,O,EMU00066579,160.0,odd,1.1,245.0,240.0,9.0,9.0,0.0008164231835481317,,312.0924199228781,311.71260080666514,0.0012170084627713962,,,,,
multiplier_1.10,O,EMU00066580,400.0,odd,1.1,244.0,241.0,22.0,22.0,0.00047026178962110085,,272.68362186355125,274.99300616442065,-0.008469097942468196,,,,,
multiplier_1.10,O,POOLED,,odd,,,,,,,,,,0.018155326939566896,,,,,
multiplier_1.10,W,EMU00066578,63.0,odd,1.1,215.0,270.0,3.0,4.0,0.0007741129787797143,0.6299519002605347,426.4679112132891,423.93990334432993,0.005927779798876376,370229.3843400594,192.78269560008934,0.0006255265172604906,0.000456034516368184,
multiplier_1.10,W,EMU00066579,160.0,odd,1.1,245.0,240.0,9.0,9.0,0.0006902382359278082,0.15173310057315503,380.3384840226348,378.8834888059533,0.003825527202224843,371734.0351713401,193.52089176001763,0.0006823078139810106,0.00010433057709601373,
multiplier_1.10,W,EMU00066580,400.0,odd,1.1,244.0,241.0,22.0,22.0,0.00032014307950445066,1.9158483897798464,343.6262995725449,341.98062577318444,0.004789138088113765,369601.7575050748,192.32216704017048,-0.00010828701105882469,0.00030127315610677796,
multiplier_1.10,W,POOLED,,odd,,,,,,,,,,0.004892660744432509,,,,,
multiplier_1.20,O,EMU00066578,63.0,odd,1.2000000000000002,215.0,270.0,3.0,4.0,0.0014858404101378622,,378.75524704272823,385.47330476874083,-0.017737200417595078,,,,,
multiplier_1.20,O,EMU00066579,160.0,odd,1.2000000000000002,245.0,240.0,9.0,9.0,0.0006608068213565528,,312.0924199228781,314.74014847014536,-0.008483796395700738,,,,,
multiplier_1.20,O,EMU00066580,400.0,odd,1.2000000000000002,244.0,241.0,22.0,22.0,0.00047063195654180995,,272.68362186355125,275.75408936384906,-0.011260183062385298,,,,,
multiplier_1.20,O,POOLED,,odd,,,,,,,,,,-0.012906953741678384,,,,,
multiplier_1.20,W,EMU00066578,63.0,odd,1.2000000000000002,215.0,270.0,3.0,4.0,0.0007158297518167203,2.4294098320717232,426.4679112132891,444.30475432383037,-0.04182458431584202,370229.3843400594,192.78269560008934,-0.0005418381921062409,0.0004677858560933922,
multiplier_1.20,W,EMU00066579,160.0,odd,1.2000000000000002,245.0,240.0,9.0,9.0,0.00033402500079461074,1.7692736367216337,380.3384840226348,375.9827824275659,0.011452171626181507,371734.0351713401,193.52089176001763,-6.586196855360319e-05,0.00032746740639960474,
multiplier_1.20,W,EMU00066580,400.0,odd,1.2000000000000002,244.0,241.0,22.0,22.0,0.0003307462490914606,1.5885758647456194,343.6262995725449,345.3816558551466,-0.005108329265790523,369601.7575050748,192.32216704017048,-5.880205675788676e-06,0.00033069397404440396,
multiplier_1.20,W,POOLED,,odd,,,,,,,,,,-0.013244145326216206,,,,,
multiplier_1.30,O,EMU00066578,63.0,odd,1.3000000000000003,215.0,270.0,3.0,4.0,0.0013407361865080008,,378.75524704272823,407.0257862030789,-0.0746406535119537,,,,,
multiplier_1.30,O,EMU00066579,160.0,odd,1.3000000000000003,245.0,240.0,9.0,9.0,0.000685089624454815,,312.0924199228781,317.1150930150328,-0.016093544000190363,,,,,
multiplier_1.30,O,EMU00066580,400.0,odd,1.3000000000000003,244.0,241.0,22.0,22.0,0.0004327722902430561,,272.68362186355125,274.98300173058345,-0.008432409146240438,,,,,
multiplier_1.30,O,POOLED,,odd,,,,,,,,,,-0.03693973670827866,,,,,
multiplier_1.30,W,EMU00066578,63.0,odd,1.3000000000000003,215.0,270.0,3.0,4.0,0.0005516992619406679,2.7758563900100923,426.4679112132891,439.2267338917569,-0.02991742718032242,370229.3843400594,192.78269560008934,-0.0005152102585240658,0.00019730804630689312,
multiplier_1.30,W,EMU00066579,160.0,odd,1.3000000000000003,245.0,240.0,9.0,9.0,0.0004915360649787663,3.506087191149605,380.3384840226348,380.5177512559846,-0.00047133603587456996,371734.0351713401,193.52089176001763,-0.0004592441442367157,-0.00017522134333207426,
multiplier_1.30,W,EMU00066580,400.0,odd,1.3000000000000003,244.0,241.0,22.0,22.0,0.0008192969687259222,3.05162949726797,343.6262995725449,342.44655914911743,0.00343320760050958,369601.7575050748,192.32216704017048,-0.0008159837676633374,7.360715911804684e-05,
multiplier_1.30,W,POOLED,,odd,,,,,,,,,,-0.010220806085790013,,,,,
multiplier_1.40,O,EMU00066578,63.0,odd,1.4000000000000004,215.0,270.0,3.0,4.0,0.0017961534740784787,,378.75524704272823,467.51837560820405,-0.23435484856916644,,,,,
multiplier_1.40,O,EMU00066579,160.0,odd,1.4000000000000004,245.0,240.0,9.0,9.0,0.0009140444515963069,,312.0924199228781,330.0550487223721,-0.05755547925173188,,,,,
multiplier_1.40,O,EMU00066580,400.0,odd,1.4000000000000004,244.0,241.0,22.0,22.0,0.00044780380667266246,,272.68362186355125,275.77949871789133,-0.011353365608035126,,,,,
multiplier_1.40,O,POOLED,,odd,,,,,,,,,,-0.11397827501041546,,,,,
multiplier_1.40,W,EMU00066578,63.0,odd,1.4000000000000004,215.0,270.0,3.0,4.0,0.0006649096494547275,4.539238459077619,426.4679112132891,440.2527390112392,-0.03232324738978054,370229.3843400594,192.78269560008934,-0.00011455502953081066,-0.0006549671649382155,
multiplier_1.40,W,EMU00066579,160.0,odd,1.4000000000000004,245.0,240.0,9.0,9.0,0.00013433380428038862,1.6499822464655296,380.3384840226348,380.8088696829849,-0.0012367553642613771,371734.0351713401,193.52089176001763,-1.0626232566547556e-05,0.00013391286030058278,
multiplier_1.40,W,EMU00066580,400.0,odd,1.4000000000000004,244.0,241.0,22.0,22.0,0.00028295119537905856,2.5256795800080374,343.6262995725449,347.3602875541462,-0.010866420836374457,369601.7575050748,192.32216704017048,-0.0002309578665679715,0.00016346205320137529,
multiplier_1.40,W,POOLED,,odd,,,,,,,,,,-0.015636900377641316,,,,,
multiplier_1.50,O,EMU00066578,63.0,odd,1.5000000000000004,215.0,270.0,3.0,4.0,0.001941181192463695,,378.75524704272823,521.5188753708338,-0.37692845034566647,,,,,
multiplier_1.50,O,EMU00066579,160.0,odd,1.5000000000000004,245.0,240.0,9.0,9.0,0.0015750949782838296,,312.0924199228781,393.1477820838808,-0.2597158949936449,,,,,
multiplier_1.50,O,EMU00066580,400.0,odd,1.5000000000000004,244.0,241.0,22.0,22.0,0.0007522362333624194,,272.68362186355125,287.60072140846455,-0.054704787339144634,,,,,
multiplier_1.50,O,POOLED,,odd,,,,,,,,,,-0.2477720161263508,,,,,
multiplier_1.50,W,EMU00066578,63.0,odd,1.5000000000000004,215.0,270.0,3.0,4.0,0.00029096100912868274,3.017969955131832,426.4679112132891,428.58574258605404,-0.004965980598023778,370229.3843400594,192.78269560008934,-0.00028874052296213644,3.587783762621949e-05,
multiplier_1.50,W,EMU00066579,160.0,odd,1.5000000000000004,245.0,240.0,9.0,9.0,0.0003034563882931952,4.850341795552486,380.3384840226348,387.0266246801973,-0.017584706619287127,371734.0351713401,193.52089176001763,4.1730008091283396e-05,-0.0003005734286670262,
multiplier_1.50,W,EMU00066580,400.0,odd,1.5000000000000004,244.0,241.0,22.0,22.0,0.0010904410970722473,4.351164912524718,343.6262995725449,373.034633568566,-0.08558231437059294,369601.7575050748,192.32216704017048,-0.00038538322396199884,-0.0010200693882637503,
multiplier_1.50,W,POOLED,,odd,,,,,,,,,,-0.033217333094580415,,,,,
field_permutation_63_400_160,O,EMU00066578,63.0,odd,1.0,215.0,270.0,3.0,4.0,0.0027769821442649627,,378.75524704272823,293.56332457456017,0.22492605220214246,,,,,
field_permutation_63_400_160,O,EMU00066579,160.0,odd,2.5,245.0,240.0,9.0,9.0,0.0006680407161796866,,312.0924199228781,322.1617647691417,-0.032263984010735935,,,,,
field_permutation_63_400_160,O,EMU00066580,400.0,odd,0.4,244.0,241.0,22.0,22.0,0.0004783143949841936,,272.68362186355125,275.7563625406999,-0.011268519378425434,,,,,
field_permutation_63_400_160,O,POOLED,,odd,,,,,,,,,,0.07477685237633291,,,,,
field_permutation_63_400_160,W,EMU00066578,63.0,odd,1.0,215.0,270.0,3.0,4.0,0.00015463991858141098,0.2276125211546972,426.4679112132891,422.0507928422852,0.010357446023165684,370229.3843400594,192.78269560008934,0.0001506514320427579,3.4894848363787384e-05,
field_permutation_63_400_160,W,EMU00066579,160.0,odd,2.5,245.0,240.0,9.0,9.0,0.0004744249403749167,2.866589589149133,380.3384840226348,388.2294565360726,-0.0207472365929926,371734.0351713401,193.52089176001763,-0.0004565981222102296,0.0001288300385928511,
field_permutation_63_400_160,W,EMU00066580,400.0,odd,0.4,244.0,241.0,22.0,22.0,0.0010623381952436818,6.086693463166886,343.6262995725449,362.0407378955539,-0.05358855927475781,369601.7575050748,192.32216704017048,0.001041896161554576,-0.0002074001678192278,
field_permutation_63_400_160,W,POOLED,,odd,,,,,,,,,,-0.019026139090289718,,,,,
field_permutation_160_63_400,O,EMU00066578,63.0,odd,2.5396825396825395,215.0,270.0,3.0,4.0,0.0007517625271425436,,378.75524704272823,392.1868804634074,-0.035462567252999566,,,,,
field_permutation_160_63_400,O,EMU00066579,160.0,odd,0.39375,245.0,240.0,9.0,9.0,0.0008837596997083682,,312.0924199228781,333.0328257959467,-0.06709681022769853,,,,,
field_permutation_160_63_400,O,EMU00066580,400.0,odd,1.0,244.0,241.0,22.0,22.0,0.000907751073493017,,272.68362186355125,266.55586106497753,0.022472052984685686,,,,,
field_permutation_160_63_400,O,POOLED,,odd,,,,,,,,,,-0.02931329664394733,,,,,
field_permutation_160_63_400,W,EMU00066578,63.0,odd,2.5396825396825395,215.0,270.0,3.0,4.0,0.00013825544543635685,5.414654960968312,426.4679112132891,427.03149515724874,-0.0013215154742973745,370229.3843400594,192.78269560008934,8.93059873766548e-05,-0.00010554150279149062,
field_permutation_160_63_400,W,EMU00066579,160.0,odd,0.39375,245.0,240.0,9.0,9.0,0.00022596334045167738,0.3657442614512551,380.3384840226348,380.5309822110928,-0.0005061233520784469,371734.0351713401,193.52089176001763,0.0002110176367784962,8.081452961255984e-05,
field_permutation_160_63_400,W,EMU00066580,400.0,odd,1.0,244.0,241.0,22.0,22.0,0.0009720612667772875,5.762697681798196,343.6262995725449,347.27614775141967,-0.010621562387439498,369601.7575050748,192.32216704017048,0.0008433377887957389,-0.0004834092265956232,
field_permutation_160_63_400,W,POOLED,,odd,,,,,,,,,,-0.003829802761321943,,,,,
field_permutation_160_400_63,O,EMU00066578,63.0,odd,2.5396825396825395,215.0,270.0,3.0,4.0,0.0007517625271425436,,378.75524704272823,392.1868804634074,-0.035462567252999566,,,,,
field_permutation_160_400_63,O,EMU00066579,160.0,odd,2.5,245.0,240.0,9.0,9.0,0.0006680407161796866,,312.0924199228781,322.1617647691417,-0.032263984010735935,,,,,
field_permutation_160_400_63,O,EMU00066580,400.0,odd,0.1575,244.0,241.0,22.0,22.0,0.00047304293835859847,,272.68362186355125,274.7161280200496,-0.007453715564609276,,,,,
field_permutation_160_400_63,O,POOLED,,odd,,,,,,,,,,-0.026499901684011062,,,,,
field_permutation_160_400_63,W,EMU00066578,63.0,odd,2.5396825396825395,215.0,270.0,3.0,4.0,0.00013825544543635685,5.414654960968312,426.4679112132891,427.03149515724874,-0.0013215154742973745,370229.3843400594,192.78269560008934,8.93059873766548e-05,-0.00010554150279149062,
field_permutation_160_400_63,W,EMU00066579,160.0,odd,2.5,245.0,240.0,9.0,9.0,0.0004744249403749167,2.866589589149133,380.3384840226348,388.2294565360726,-0.0207472365929926,371734.0351713401,193.52089176001763,-0.0004565981222102296,0.0001288300385928511,
field_permutation_160_400_63,W,EMU00066580,400.0,odd,0.1575,244.0,241.0,22.0,22.0,0.00073272096026894,4.944744391027694,343.6262995725449,353.35935165257933,-0.028324526068411737,369601.7575050748,192.32216704017048,0.0001687238557000567,-0.0007130303402627016,
field_permutation_160_400_63,W,POOLED,,odd,,,,,,,,,,-0.015809363398229692,,,,,
field_permutation_400_63_160,O,EMU00066578,63.0,odd,6.349206349206349,215.0,270.0,3.0,4.0,0.0004773862014068917,,378.75524704272823,381.76284267207905,-0.00794073653852645,,,,,
field_permutation_400_63_160,O,EMU00066579,160.0,odd,0.39375,245.0,240.0,9.0,9.0,0.0008837596997083682,,312.0924199228781,333.0328257959467,-0.06709681022769853,,,,,
field_permutation_400_63_160,O,EMU00066580,400.0,odd,0.4,244.0,241.0,22.0,22.0,0.0004783143949841936,,272.68362186355125,275.7563625406999,-0.011268519378425434,,,,,
field_permutation_400_63_160,O,POOLED,,odd,,,,,,,,,,-0.02804345068275116,,,,,
field_permutation_400_63_160,W,EMU00066578,63.0,odd,6.349206349206349,215.0,270.0,3.0,4.0,0.0005222331419901261,1.756335064346976,426.4679112132891,434.1156999329342,-0.017932858530639306,370229.3843400594,192.78269560008934,-9.633950798517853e-05,0.0005132700593197046,
field_permutation_400_63_160,W,EMU00066579,160.0,odd,0.39375,245.0,240.0,9.0,9.0,0.00022596334045167738,0.3657442614512551,380.3384840226348,380.5309822110928,-0.0005061233520784469,371734.0351713401,193.52089176001763,0.0002110176367784962,8.081452961255984e-05,
field_permutation_400_63_160,W,EMU00066580,400.0,odd,0.4,244.0,241.0,22.0,22.0,0.0010623381952436818,6.086693463166886,343.6262995725449,362.0407378955539,-0.05358855927475781,369601.7575050748,192.32216704017048,0.001041896161554576,-0.0002074001678192278,
field_permutation_400_63_160,W,POOLED,,odd,,,,,,,,,,-0.02282160907768982,,,,,
field_permutation_400_160_63,O,EMU00066578,63.0,odd,6.349206349206349,215.0,270.0,3.0,4.0,0.0004773862014068917,,378.75524704272823,381.76284267207905,-0.00794073653852645,,,,,
field_permutation_400_160_63,O,EMU00066579,160.0,odd,1.0,245.0,240.0,9.0,9.0,0.0022497203361046937,,312.0924199228781,264.5216822001951,0.15242516218253022,,,,,
field_permutation_400_160_63,O,EMU00066580,400.0,odd,0.1575,244.0,241.0,22.0,22.0,0.00047304293835859847,,272.68362186355125,274.7161280200496,-0.007453715564609276,,,,,
field_permutation_400_160_63,O,POOLED,,odd,,,,,,,,,,0.04414037865704945,,,,,
field_permutation_400_160_63,W,EMU00066578,63.0,odd,6.349206349206349,215.0,270.0,3.0,4.0,0.0005222331419901261,1.756335064346976,426.4679112132891,434.1156999329342,-0.017932858530639306,370229.3843400594,192.78269560008934,-9.633950798517853e-05,0.0005132700593197046,
field_permutation_400_160_63,W,EMU00066579,160.0,odd,1.0,245.0,240.0,9.0,9.0,0.0007662648959219237,5.718738953622263,380.3384840226348,372.9056580386406,0.019542660804084955,371734.0351713401,193.52089176001763,0.0006474056415174173,-0.00040991197354268375,
field_permutation_400_160_63,W,EMU00066580,400.0,odd,0.1575,244.0,241.0,22.0,22.0,0.00073272096026894,4.944744391027694,343.6262995725449,353.35935165257933,-0.028324526068411737,369601.7575050748,192.32216704017048,0.0001687238557000567,-0.0007130303402627016,
field_permutation_400_160_63,W,POOLED,,odd,,,,,,,,,,-0.008647194104077105,,,,,
