replicate,gain_O,gain_U,gain_V,gain_W
154,0.12152933427015411,-0.017236000355743686,-0.02107509934984364,0.028300988714038744
155,0.03515852083930504,-0.010421835916785804,-0.005799898316482421,0.017078663929539162
156,0.2011620701029352,-0.020896428003059242,-0.02783045532833639,0.015121098145278289
157,0.19184923253642583,-0.007869558339136606,-0.015649877685905977,0.01330382281252751
158,0.10733992414521454,-0.010537668248095322,-0.0074934185339585735,0.01693114017848052
159,0.15622271890870454,-0.02936170361314372,-0.01059994200149994,0.011703309502573589
160,0.10992852316552526,-0.011591790015331505,-0.018396452543789188,0.009770522933350678
161,0.1389639376492514,-0.02057247999535483,-0.00803212505018025,-0.00043581590472441256
162,0.1274085110100167,-0.009167652967509765,-0.03167362120980011,0.00722638736342629
163,0.15719118869003146,-0.003334912686832503,-0.01620424325059311,-0.0010085285626602047
164,0.16999869118229716,-0.012873755511130902,-0.020759590680121676,0.003339408298631774
165,0.10588155640766728,-0.018909842646078978,-0.012785236616557283,-0.001429084933706859
166,0.1148066862508943,-0.027739024491541642,-0.013313793725920231,0.01355044521197779
167,0.11939327915920606,-0.020516655751465107,-0.005175807822620282,-0.003010746827308175
168,0.2372570583152458,-0.03722406144293311,-0.029498999088623856,0.00930276531394425
169,0.1148438996275627,0.007143250190780326,-0.015445084467077708,0.015698152847456015
170,0.16868093764804026,-0.025213402434772325,0.013928475933055462,0.011939281945642977
171,0.08317103186941299,0.004793960724033264,0.0015882513597653691,0.03169730156551753
172,0.05576138983101431,-0.0053193401070184,0.0038421748842040193,0.016937256107727672
173,0.13259198550630968,-0.009094781683840036,-0.021266901326960852,0.0021600259012493073
174,0.0677874051817603,-0.00543709684122895,-0.04358323528842534,0.004195009647910641
175,0.23713180481088802,-0.01758879228089749,-0.03436805674342214,0.009480127207787348
176,0.06909177608581718,0.007866461076241671,-0.004153402241152904,0.014150483462981422
177,0.16385554549417425,-0.025312349607532925,-0.030775599276378962,-0.005024133181188883
178,0.1424010496896585,-0.021272347267095926,-0.029196364838591338,0.005220463700479683
179,0.14580209127360666,-0.019364159886199106,-0.017878929358180473,0.021791854977779135
180,0.08206370485054704,-0.03463238604762475,0.0006196731234342501,0.013640348889843668
181,0.13056031952972647,0.004469186045287898,-0.010804492810449151,0.007992348757612677
182,0.14994786705380325,-0.017106227068840685,-0.008692920833422546,0.01622120320259035
183,0.11928646805227316,-0.01281143931326545,-0.049003560233920274,0.0020902527687349792
184,0.12852596239286818,-0.009656073285627897,-0.01747319265619396,0.015245914404986682
185,0.17730175564848072,-0.026483784977082925,-0.012247199847103651,0.013872599116129813
186,0.12014744319450321,-0.02009026436862671,0.004037604959221008,0.016308669187636182
187,0.11084884387346627,-0.024265454322806912,-0.020624169692691208,0.007050175178384799
188,0.19081358127633763,-0.0337445740829001,-0.01595872317557001,0.0007166979957371478
189,0.10426539730344431,-0.015869542254845825,0.0018526837912029581,-0.011634688713251906
190,0.12187194871811646,-0.031006455897554464,-0.03101462087127138,-0.003185910777140144
191,0.1267068582024774,-0.015128564830524383,-0.011934536348028102,-0.008528331840120806
192,0.06659509960428733,-0.02074597797701805,-0.02513273876875921,0.011445597698677257
193,0.1679720795319768,-0.016484982387485303,-0.01219990198055676,0.013074643787207463
194,0.14199901203449772,-0.02595790697131961,-0.02602208657706573,0.002941814243561214
195,0.21093684851145222,-0.02052713135231299,-0.01587063956038448,0.000980585709760784
196,0.09052244666981779,-0.017846372243442543,0.010547527074217244,0.037164953890505226
197,0.11374647706895225,0.007042423604059156,-0.01598380246280806,0.013255254630300972
198,0.20573789416919908,-0.024589366002211843,-0.009488631037769757,0.015973725892141633
199,0.26108205742055424,-0.01843469889062721,-0.026678250757620647,0.014379237223791197
200,0.2156925099714253,-0.0064904391214291035,-0.023776186905167807,0.0172717484758812
201,0.08164688390381758,-0.015403617339314168,-0.020602184834910497,-0.0042959749101467715
202,0.12683581182806025,-0.013232963716375723,-0.02525435146152777,-0.012105701093786392
203,0.2091194375541029,-0.026451048357706286,-0.0001331770314429992,0.012310720868289549
204,0.16686800799396295,-0.024856728736322387,-0.006045186152935589,0.005886064551267722
205,0.13152730892734266,0.005078591564862456,-0.010614077332647964,0.0020458744378747395
206,0.15699967484039634,-0.01524086463996377,-0.0442141685210633,0.021059605237078283
207,0.0828504862023528,-0.010395578724167853,0.0027636657561943556,-0.0057356941452622046
