replicate,shifted_parent_grandchild_brier,improvement_over_parent_state
365,0.08147679159767432,0.003264087190325088
366,0.08070208319079579,0.004038795597203618
367,0.08034512779668498,0.004395750991314423
368,0.08173760018557848,0.0030032786024209307
369,0.08353610493968056,0.001204773848318852
370,0.08023233722060191,0.004508541567397495
371,0.08106535696765164,0.003675521820347763
372,0.08171383162579565,0.0030270471622037554
373,0.08221613052240791,0.0025247482655915005
374,0.08155030506684441,0.003190573721154999
375,0.0825982861845412,0.0021425926034582127
376,0.08266744677496392,0.0020734320130354894
377,0.0813402906209664,0.0034005881670330085
378,0.08132853025429342,0.0034123485337059917
379,0.08183936221454259,0.0029015165734568166
380,0.08182010023394462,0.002920778554054787
381,0.08097270284930283,0.0037681759386965774
382,0.08105419696297977,0.003686681825019633
383,0.08058440075345105,0.004156478034548355
384,0.08117271120526805,0.0035681675827313603
385,0.08042170457017205,0.004319174217827362
386,0.08078784885613133,0.0039530299318680795
387,0.08227459916343001,0.002466279624569398
388,0.08160895303881112,0.0031319257491882885
389,0.08118562025315351,0.0035552585348458954
390,0.0810431781633852,0.003697700624614206
391,0.08048442007092506,0.004256458717074349
392,0.08059523056029268,0.00414564822770673
393,0.08147270827152098,0.0032681705164784303
394,0.08099597137247448,0.0037449074155249257
395,0.08118768705081525,0.003553191737184158
396,0.08238549057773435,0.0023553882102650553
397,0.08170497258369525,0.003035906204304162
398,0.08246647589877883,0.002274402889220581
399,0.08277032050166995,0.0019705582863294574
400,0.08198543571400371,0.0027554430739956948
401,0.082515009913637,0.0022258688743624078
402,0.0820751768972598,0.0026657018907396135
403,0.08096302994540258,0.003777848842596826
404,0.08105661107559396,0.003684267712405445
405,0.08137935184613196,0.0033615269418674487
406,0.08157965778199155,0.0031612210060078527
407,0.08206991976697377,0.00267095902102564
408,0.08116647855086447,0.003574400237134942
409,0.08063114770109693,0.004109731086902477
410,0.08083362815468616,0.00390725063331325
411,0.08071001269551693,0.004030866092482474
412,0.08156009820802701,0.0031807805799723976
413,0.08140928221931,0.0033315965686894072
414,0.08178144880131079,0.0029594299866886192
415,0.08108928200048297,0.003651596787516434
416,0.08142875617466282,0.0033121226133365905
417,0.08123861647691144,0.003502262311087967
418,0.0814131628708805,0.0033277159171189036
419,0.08223974341884109,0.0025011353691583166
420,0.08155330815948619,0.0031875706285132144
421,0.08255318343911898,0.002187695348880428
422,0.08068087710664373,0.004060001681355674
423,0.08030691885741277,0.004433959930586637
424,0.08202640468180653,0.0027144741061928823
425,0.08245423062735405,0.0022866481606453604
426,0.08120559733289731,0.003535281455102096
427,0.08262958022779852,0.0021112985602008832
428,0.08121258192983818,0.003528296858161223
429,0.08014941984456839,0.0045914589434310205
430,0.08183543527566903,0.00290544351233038
431,0.08152211499287254,0.0032187637951268666
432,0.08108135461040576,0.0036595241775936455
433,0.08154951263778598,0.003191366150213426
434,0.0819213624388872,0.0028195163491122055
435,0.08204061722978585,0.002700261558213554
436,0.08186646011988424,0.002874418668115164
437,0.08267639455584663,0.0020644842321527745
438,0.08080711844735751,0.003933760340641898
439,0.08101482407172556,0.003726054716273852
440,0.08185780904367032,0.0028830697443290865
441,0.08196401702931412,0.0027768617586852867
442,0.08087508169669773,0.0038657970913016787
443,0.0825083550442747,0.002232523743724707
444,0.08115452455295104,0.0035863542350483696
445,0.08070068288682351,0.004040195901175894
446,0.08100219331680239,0.0037386854711970174
447,0.08070115074799432,0.004039728040005089
448,0.08051326338235287,0.004227615405646534
449,0.08101661923486035,0.003724259553139056
450,0.08116342420244707,0.0035774545855523365
451,0.08145636514291218,0.0032845136450872225
452,0.08041021230832512,0.004330666479674283
453,0.08227482531038009,0.002466053477619315
454,0.08085927191170376,0.003881606876295643
455,0.08195911446096249,0.0027817643270369175
456,0.08045874463174785,0.00428213415625156
457,0.0821992679433378,0.0025416108446616043
458,0.08038537495285747,0.004355503835141938
459,0.08178895853059419,0.002951920257405219
460,0.08202270634145224,0.002718172446547165
461,0.0798763791878508,0.004864499600148606
462,0.0806488254671033,0.0040920533208961135
463,0.08175763777574739,0.0029832410122520164
464,0.08097991713861385,0.0037609616493855524
465,0.08099536315408914,0.0037455156339102624
466,0.08222287095124205,0.0025180078367573605
467,0.08205558572115573,0.0026852930668436747
468,0.08023021817282429,0.004510660615175119
469,0.08179399255941636,0.002946886228583051
470,0.0794866472038643,0.005254231584135113
471,0.08171225165194744,0.0030286271360519673
472,0.08026250920449343,0.004478369583505976
473,0.07984929582107193,0.004891582966927474
474,0.08190806784065878,0.0028328109473406277
475,0.0807734593072004,0.0039674194807990115
476,0.08134195581648741,0.0033989229715119945
477,0.08119730904701804,0.00354356974098137
478,0.0814927752882017,0.0032481034997977054
479,0.0816003680336662,0.003140510754333206
480,0.08120892752536693,0.0035319512626324767
481,0.08038102672242053,0.004359852065578873
482,0.08042166645952423,0.0043192123284751804
483,0.08211397071418611,0.0026269080738133
484,0.08032206445783312,0.00441881433016629
485,0.08136715746963906,0.003373721318360348
486,0.0803118043752604,0.004429074412739001
487,0.08078345668143162,0.0039574221065677845
488,0.08010007007738201,0.0046408087106173945
489,0.081909238696777,0.002831640091222401
490,0.08103543470628069,0.0037054440817187173
491,0.08236614121076463,0.0023747375772347756
492,0.08027671252733853,0.004464166260660873
493,0.08153359089126316,0.003207287896736244
494,0.08020714907944675,0.004533729708552661
495,0.08197928930646567,0.0027615894815337383
496,0.08180313843380095,0.0029377403541984565
497,0.08184724824651289,0.0028936305414865165
498,0.08163560495433005,0.0031052738336693614
499,0.08017879118722059,0.004562087600778822
500,0.08129529277856791,0.0034455860094314977
501,0.0813255591019928,0.0034153196860066126
502,0.08128955133039541,0.0034513274576040004
503,0.08201036350925181,0.0027305152787475973
504,0.0821436820109628,0.0025971967770366117
505,0.08070539694162022,0.0040354818463791825
506,0.08113052394416646,0.003610354843832944
507,0.08196867618430252,0.0027722026036968855
508,0.08184020319524679,0.002900675592752616
509,0.08297031321347935,0.0017705655745200582
510,0.08171298118043048,0.0030278976075689273
511,0.08120878735602682,0.003532091431972584
512,0.08080749451015201,0.003933384277847396
513,0.08121880930394612,0.0035220694840532862
514,0.08027200092720835,0.0044688778607910595
515,0.08109961647375895,0.0036412623142404593
516,0.08083487029292635,0.0039060084950730545
517,0.08028280397079701,0.004458074817202395
518,0.0817844278025886,0.002956450985410808
519,0.08036621415308062,0.0043746646349187845
520,0.08027861831300667,0.004462260474992735
521,0.08021810597960681,0.004522772808392597
522,0.08308770583233778,0.0016531729556616276
