# tToFail   Slip
   -91.370     0.004
   -91.370     0.004
   -91.370     0.004
   -91.370     0.004
   -91.270     0.004
   -91.270     0.004
   -91.270     0.004
   -91.270     0.004
   -91.270     0.004
   -91.170     0.009
   -91.170     0.009
   -91.170     0.009
   -91.170     0.009
   -91.170     0.009
   -91.070     0.017
   -91.070     0.017
   -91.070     0.017
   -91.070     0.017
   -91.070     0.017
   -90.970     0.020
   -90.970     0.020
   -90.970     0.020
   -90.970     0.020
   -90.970     0.020
   -90.870     0.018
   -90.870     0.018
   -90.870     0.018
   -90.870     0.018
   -90.870     0.018
   -90.770     0.017
   -90.770     0.017
   -90.770     0.017
   -90.770     0.017
   -90.770     0.017
   -90.670     0.013
   -90.670     0.013
   -90.670     0.013
   -90.670     0.013
   -90.670     0.013
   -90.570     0.005
   -90.570     0.005
   -90.570     0.005
   -90.570     0.005
   -90.570     0.005
   -90.470     0.004
   -90.470     0.004
   -90.470     0.004
   -90.470     0.004
   -90.470     0.004
   -90.370     0.004
   -90.370     0.004
   -90.370     0.004
   -90.370     0.004
   -90.370     0.004
   -90.270     0.005
   -90.270     0.005
   -90.270     0.005
   -90.270     0.005
   -90.270     0.005
   -90.170     0.006
   -90.170     0.006
   -90.170     0.006
   -90.170     0.006
   -90.170     0.006
   -90.070     0.009
   -90.070     0.009
   -90.070     0.009
   -90.070     0.009
   -90.070     0.009
   -89.970     0.014
   -89.970     0.014
   -89.970     0.014
   -89.970     0.014
   -89.970     0.014
   -89.870     0.019
   -89.870     0.019
   -89.870     0.019
   -89.870     0.019
   -89.870     0.019
   -89.770     0.020
   -89.770     0.020
   -89.770     0.020
   -89.770     0.020
   -89.770     0.020
   -89.670     0.018
   -89.670     0.018
   -89.670     0.018
   -89.670     0.018
   -89.670     0.018
   -89.570     0.011
   -89.570     0.011
   -89.570     0.011
   -89.570     0.011
   -89.570     0.011
   -89.470     0.003
   -89.470     0.003
   -89.470     0.003
   -89.470     0.003
   -89.470     0.003
   -89.370     0.001
   -89.370     0.001
   -89.370     0.001
   -89.370     0.001
   -89.370     0.001
   -89.270     0.002
   -89.270     0.002
   -89.270     0.002
   -89.270     0.002
   -89.270     0.002
   -89.170     0.003
   -89.170     0.003
   -89.170     0.003
   -89.170     0.003
   -89.170     0.003
   -89.070     0.005
   -89.070     0.005
   -89.070     0.005
   -89.070     0.005
   -89.070     0.005
   -88.970     0.009
   -88.970     0.009
   -88.970     0.009
   -88.970     0.009
   -88.970     0.009
   -88.870     0.016
   -88.870     0.016
   -88.870     0.016
   -88.870     0.016
   -88.870     0.016
   -88.770     0.019
   -88.770     0.019
   -88.770     0.019
   -88.770     0.019
   -88.770     0.019
   -88.670     0.021
   -88.670     0.021
   -88.670     0.021
   -88.670     0.021
   -88.670     0.021
   -88.570     0.021
   -88.570     0.021
   -88.570     0.021
   -88.570     0.021
   -88.570     0.021
   -88.470     0.019
   -88.470     0.019
   -88.470     0.019
   -88.470     0.019
   -88.470     0.019
   -88.370     0.011
   -88.370     0.011
   -88.370     0.011
   -88.370     0.011
   -88.370     0.011
   -88.270     0.002
   -88.270     0.002
   -88.270     0.002
   -88.270     0.002
   -88.270     0.002
   -88.170     0.001
   -88.170     0.001
   -88.170     0.001
   -88.170     0.001
   -88.170     0.001
   -88.070     0.002
   -88.070     0.002
   -88.070     0.002
   -88.070     0.002
   -88.070     0.002
   -87.970     0.006
   -87.970     0.006
   -87.970     0.006
   -87.970     0.006
   -87.970     0.006
   -87.870     0.014
   -87.870     0.014
   -87.870     0.014
   -87.870     0.014
   -87.870     0.014
   -87.770     0.020
   -87.770     0.020
   -87.770     0.020
   -87.770     0.020
   -87.770     0.020
   -87.670     0.020
   -87.670     0.020
   -87.670     0.020
   -87.670     0.020
   -87.670     0.020
   -87.570     0.019
   -87.570     0.019
   -87.570     0.019
   -87.570     0.019
   -87.570     0.019
   -87.470     0.015
   -87.470     0.015
   -87.470     0.015
   -87.470     0.015
   -87.470     0.015
   -87.370     0.008
   -87.370     0.008
   -87.370     0.008
   -87.370     0.008
   -87.370     0.008
   -87.270     0.001
   -87.270     0.001
   -87.270     0.001
   -87.270     0.001
   -87.270     0.001
   -87.170     0.002
   -87.170     0.002
   -87.170     0.002
   -87.170     0.002
   -87.170     0.002
   -87.070     0.004
   -87.070     0.004
   -87.070     0.004
   -87.070     0.004
   -87.070     0.004
   -86.970     0.007
   -86.970     0.007
   -86.970     0.007
   -86.970     0.007
   -86.970     0.007
   -86.870     0.014
   -86.870     0.014
   -86.870     0.014
   -86.870     0.014
   -86.870     0.014
   -86.770     0.020
   -86.770     0.020
   -86.770     0.020
   -86.770     0.020
   -86.770     0.020
   -86.670     0.020
   -86.670     0.020
   -86.670     0.020
   -86.670     0.020
   -86.670     0.020
   -86.570     0.015
   -86.570     0.015
   -86.570     0.015
   -86.570     0.015
   -86.570     0.015
   -86.470     0.007
   -86.470     0.007
   -86.470     0.007
   -86.470     0.007
   -86.470     0.007
   -86.370     0.003
   -86.370     0.003
   -86.370     0.003
   -86.370     0.003
   -86.370     0.003
   -86.270     0.002
   -86.270     0.002
   -86.270     0.002
   -86.270     0.002
   -86.270     0.002
   -86.170     0.001
   -86.170     0.001
   -86.170     0.001
   -86.170     0.001
   -86.170     0.001
   -86.070     0.003
   -86.070     0.003
   -86.070     0.003
   -86.070     0.003
   -86.070     0.003
   -85.970     0.004
   -85.970     0.004
   -85.970     0.004
   -85.970     0.004
   -85.970     0.004
   -85.870     0.004
   -85.870     0.004
   -85.870     0.004
   -85.870     0.004
   -85.870     0.004
   -85.770     0.003
   -85.770     0.003
   -85.770     0.003
   -85.770     0.003
   -85.770     0.003
   -85.670     0.003
   -85.670     0.003
   -85.670     0.003
   -85.670     0.003
   -85.670     0.003
   -85.570     0.003
   -85.570     0.003
   -85.570     0.003
   -85.570     0.003
   -85.570     0.003
   -85.470     0.003
   -85.470     0.003
   -85.470     0.003
   -85.470     0.003
   -85.470     0.003
   -85.370     0.005
   -85.370     0.005
   -85.370     0.005
   -85.370     0.005
   -85.370     0.005
   -85.270     0.008
   -85.270     0.008
   -85.270     0.008
   -85.270     0.008
   -85.270     0.008
   -85.170     0.015
   -85.170     0.015
   -85.170     0.016
   -85.170     0.016
   -85.170     0.016
   -85.070     0.021
   -85.070     0.021
   -85.070     0.021
   -85.070     0.021
   -85.070     0.021
   -84.970     0.022
   -84.970     0.022
   -84.970     0.022
   -84.970     0.022
   -84.970     0.022
   -84.870     0.023
   -84.870     0.023
   -84.870     0.023
   -84.870     0.023
   -84.870     0.023
   -84.770     0.017
   -84.770     0.017
   -84.770     0.017
