# Stress  Width (w)   w_min   w_max
   0.019   4.457   3.612   5.868
   0.018   3.763   3.284   4.640
   0.019   4.465   3.451   6.392
   0.018   5.152   3.558   6.947
   0.018   5.921   4.237   7.662
   0.018   4.261   3.592   5.205
   0.018   4.110   3.642   4.700
   0.019   4.427   3.694   5.025
   0.017   4.165   3.591   4.456
   0.017   4.476   3.930   5.103
   0.017   4.508   3.081   5.844
   0.017   5.729   4.729   6.247
   0.015   4.953   4.223   6.127
   0.015   5.144   4.527   5.617
   0.014   4.609   3.821   4.995
   0.014   4.445   3.874   5.284
   0.014   4.673   3.860   5.748
   0.012   5.162   4.547   5.732
   0.012   5.291   4.128   6.209
   0.011   4.778   4.114   5.051
   0.012   4.213   3.462   4.925
   0.011   4.883   3.231   6.307
   0.010   4.246   3.941   4.608
   0.010   4.314   3.628   5.179
   0.009   4.880   3.156   6.030
   0.009   4.954   3.461   7.546
   0.008   5.829   4.757   7.387
   0.007   4.549   3.847   4.907
   0.007   5.274   3.857   6.301
   0.007   5.274   4.350   6.121
   0.006   3.416   2.828   3.800
   0.006   3.464   2.714   4.018
   0.006   4.562   4.156   5.003
   0.006   5.601   4.628   7.266
   0.006   4.018   3.183   4.562
   0.006   3.839   3.168   4.463
   0.006   4.092   3.505   4.680
   0.006   4.415   3.491   5.976
   0.007   5.376   4.156   6.400
   0.006   5.920   4.395   7.157
   0.006   4.916   3.763   6.670
   0.006   4.786   4.142   5.265
   0.007   5.660   4.657   6.536
   0.006   4.742   3.929   5.744
   0.006   4.349   3.638   5.031
   0.005   3.801   3.342   4.155
   0.005   5.002   4.328   6.086
   0.004   5.174   4.770   5.855
   0.004   5.201   4.250   5.810
   0.004   4.752   4.039   5.386
   0.004   4.636   4.215   5.060
   0.003   4.470   3.550   6.205
   0.003   4.660   3.905   5.959
   0.003   4.105   3.064   5.653
   0.003   4.287   3.590   5.060
   0.002   4.717   3.769   5.357
   0.003   5.400   4.096   8.135
   0.002   4.381   3.705   4.835
   0.003   4.610   4.041   5.013
   0.001   4.095   3.332   5.289
   0.002   4.175   3.238   6.081
   0.002   4.292   3.757   5.153
   0.001   4.062   3.684   4.658
   0.001   4.154   3.736   4.729
   0.001   3.544   3.031   4.363
   0.001   3.823   3.041   4.470
   0.002   4.100   3.489   5.057
   0.001   4.730   3.357   6.373
   0.001   4.837   3.299   6.148
   0.001   4.116   3.417   4.903
   0.001   3.506   2.962   4.518
   0.002   4.829   3.777   6.971
   0.001   4.337   3.978   5.216
   0.000   3.573   2.884   4.660
   0.001   3.480   2.989   3.945
   0.000   3.430   2.518   4.539
