Time2	v(16-15)	v(1-3)	v(4-2)	v(9-10)	v(8-6)	v(5-7)	v(12-14)
1303.6	6.0255	6.0884	5.7302	5.5451	5.7718	6.0160	5.5337
1333.6	6.0355	6.0873	5.7302	5.5443	5.7666	6.0174	5.5346
1363.6	6.0296	6.0141	5.7297	5.5460	5.7675	6.0168	5.5368
1393.6	6.0234	6.0874	5.7308	5.5448	5.7652	6.0190	5.5351
1423.6	6.0303	6.0902	5.7323	5.5463	5.7645	6.0180	5.5365
1453.6	6.0362	6.0138	5.7309	5.5457	5.7689	6.0183	5.5376
1483.6	6.0428	6.0151	5.7313	5.5471	5.7593	6.0185	5.5390
1513.6	6.0333	6.0145	5.7317	5.5464	5.7662	6.0193	5.5397
1543.6	6.0474	6.0153	5.7319	5.5474	5.7659	6.0195	5.5408
1573.6	6.0463	6.0925	5.7341	5.5490	5.7696	6.0203	5.5402
1603.6	6.0389	6.0175	5.7333	5.5485	5.7680	6.0203	5.5427
1633.6	6.0672	6.0914	5.7344	5.5481	5.7694	6.0222	5.5414
1663.6	6.0416	6.0920	5.7345	5.5481	5.7703	6.0228	5.5422
1693.6	6.0426	6.0167	5.7337	5.5481	5.7717	6.0220	5.5436
1723.6	6.0490	6.0180	5.7341	5.5489	5.7732	6.0219	5.5453
1753.6	6.0596	6.0932	5.7362	5.5484	5.7743	6.0233	5.5442
1783.6	6.0569	6.0943	5.7353	5.5494	5.7644	6.0231	5.5462
1813.6	6.0682	6.0933	5.7358	5.5484	5.7731	6.0249	5.5455
1843.6	6.0606	6.0195	5.7352	5.5497	5.7672	6.0236	5.5486
1873.6	6.0698	6.0190	5.7351	5.5493	5.7738	6.0239	5.5484
1903.6	6.0634	6.0936	5.7366	5.5492	5.7727	6.0261	5.5471
1933.6	6.0782	6.0194	5.7362	5.5479	5.7710	6.0261	5.5486
1963.6	6.0774	6.0956	5.7370	5.5503	5.7709	6.0245	5.5501
1993.6	6.0616	6.0941	5.7373	5.5487	5.7718	6.0276	5.5491
2023.6	6.0713	6.0949	5.7379	5.5489	5.7721	6.0270	5.5499
2053.6	6.0633	6.0958	5.7389	5.5500	5.7615	6.0263	5.5506
2083.6	6.0778	6.0209	5.7372	5.5515	5.7709	6.0256	5.5541
2113.6	6.0681	6.0207	5.7376	5.5501	5.7671	6.0270	5.5527
2143.6	6.0817	6.0969	5.7383	5.5511	5.7762	6.0266	5.5539
2173.6	6.0759	6.0208	5.7379	5.5508	5.7717	6.0266	5.5548
2203.6	6.0817	6.0965	5.7393	5.5504	5.7752	6.0283	5.5533
2233.6	6.0926	6.0961	5.7390	5.5493	5.7713	6.0292	5.5539
2263.6	6.0886	6.0217	5.7380	5.5507	5.7744	6.0275	5.5563
2293.6	6.0905	6.0969	5.7399	5.5499	5.7711	6.0297	5.5546
2323.6	6.0931	6.0223	5.7387	5.5508	5.7775	6.0279	5.5576
2353.6	6.0894	6.0219	5.7392	5.5501	5.7767	6.0289	5.5569
2383.7	6.0858	6.0974	5.7404	5.5498	5.7705	6.0298	5.5558
2413.7	6.0921	6.0957	5.7391	5.5489	5.7748	6.0309	5.5567
2443.7	6.0831	6.0226	5.7391	5.5501	5.7773	6.0286	5.5589
2473.7	6.1006	6.0980	5.7407	5.5497	5.7795	6.0301	5.5573
2503.7	6.0959	6.0230	5.7401	5.5496	5.7804	6.0292	5.5597
2533.7	6.1127	6.0972	5.7408	5.5487	5.7758	6.0316	5.5584
2563.7	6.0950	6.0984	5.7418	5.5497	5.7780	6.0302	5.5598
2593.7	6.0974	6.0223	5.7401	5.5483	5.7794	6.0315	5.5598
2623.7	6.0938	6.0242	5.7405	5.5500	5.7800	6.0298	5.5630
2653.7	6.1116	6.0228	5.7404	5.5488	5.7784	6.0293	5.5622
2683.7	6.1110	6.0991	5.7418	5.5489	5.7724	6.0302	5.5625
2713.7	6.1222	6.0987	5.7422	5.5481	5.7754	6.0309	5.5622
2743.7	6.1075	6.0229	5.7406	5.5468	5.7801	6.0326	5.5614
2773.7	6.1254	6.0983	5.7421	5.5480	5.7778	6.0315	5.5621
2803.7	6.1188	6.0982	5.7423	5.5472	5.7796	6.0315	5.5629
2833.7	6.1135	6.0972	5.7414	5.5457	5.7797	6.0334	5.5620
2863.7	6.1067	6.0963	5.7410	5.5462	5.7785	6.0331	5.5626
2893.7	6.1268	6.0973	5.7418	5.5457	5.7812	6.0333	5.5628
2923.7	6.1231	6.0971	5.7418	5.5454	5.7777	6.0332	5.5627
2953.7	6.1200	6.0219	5.7413	5.5447	5.7800	6.0311	5.5645
2983.7	6.1289	6.0957	5.7414	5.5447	5.7805	6.0337	5.5640
3013.7	6.1311	6.0976	5.7424	5.5441	5.7793	6.0325	5.5642
3043.7	6.1222	6.0219	5.7415	5.5429	5.7820	6.0331	5.5641
3073.7	6.1177	6.0964	5.7423	5.5430	5.7920	6.0335	5.5638
3103.7	6.1446	6.0210	5.7416	5.5427	5.7770	6.0312	5.5656
3133.7	6.1136	6.0969	5.7434	5.5426	5.7781	6.0318	5.5659
3163.7	6.1274	6.0215	5.7419	5.5426	5.7755	6.0308	5.5669
3193.7	6.1441	6.0209	5.7420	5.5414	5.7826	6.0311	5.5667
3223.7	6.1266	6.0205	5.7418	5.5399	5.7792	6.0320	5.5661
3253.7	6.1404	6.0201	5.7420	5.5398	5.7819	6.0317	5.5668
3283.7	6.1340	6.0205	5.7418	5.5382	5.7804	6.0330	5.5658
3313.7	6.1251	6.0217	5.7426	5.5393	5.7827	6.0309	5.5693
3343.7	6.1394	6.0195	5.7420	5.5368	5.7803	6.0329	5.5668
3373.7	6.1504	6.0945	5.7427	5.5353	5.7843	6.0329	5.5671
3403.7	6.1434	6.0193	5.7421	5.5358	5.7868	6.0314	5.5680
3433.7	6.1426	6.0186	5.7420	5.5345	5.7795	6.0326	5.5672
3463.7	6.1376	6.0185	5.7416	5.5328	5.7861	6.0332	5.5672
3493.7	6.1436	6.0178	5.7419	5.5325	5.7779	6.0322	5.5677
3523.7	6.1514	6.0174	5.7417	5.5312	5.7780	6.0324	5.5676
3553.7	6.1441	6.0178	5.7418	5.5305	5.7846	6.0327	5.5678
3583.7	6.1562	6.0926	5.7434	5.5293	5.7837	6.0315	5.5690
3613.7	6.1471	6.0176	5.7418	5.5294	5.7822	6.0300	5.5707
3643.7	6.1380	6.0180	5.7420	5.5285	5.7865	6.0299	5.5706
3673.7	6.1311	6.0176	5.7419	5.5280	5.7822	6.0298	5.5711
3703.7	6.1559	6.0909	5.7427	5.5246	5.7812	6.0319	5.5698
3733.7	6.1505	6.0901	5.7427	5.5241	5.7837	6.0321	5.5695
3763.7	6.1554	6.0150	5.7413	5.5238	5.7837	6.0300	5.5701
3793.7	6.1613	6.0895	5.7428	5.5219	5.7839	6.0308	5.5702
3823.7	6.1498	6.0129	5.7411	5.5216	5.7828	6.0298	5.5696
3853.7	6.1566	6.0874	5.7423	5.5189	5.7844	6.0311	5.5699
3883.7	6.1494	6.0141	5.7411	5.5193	5.7835	6.0296	5.5722
3913.7	6.1588	6.0868	5.7424	5.5166	5.7850	6.0309	5.5706
3943.7	6.1667	6.0867	5.7425	5.5167	5.7860	6.0300	5.5708
3973.7	6.1673	6.0102	5.7405	5.5154	5.7837	6.0296	5.5705
4003.7	6.1617	6.0114	5.7401	5.5141	5.7857	6.0292	5.5716
4033.7	6.1625	6.0850	5.7415	5.5121	5.7858	6.0295	5.5712
4063.7	6.1613	6.0079	5.7395	5.5112	5.7853	6.0305	5.5693
4093.7	6.1572	6.0835	5.7407	5.5096	5.7309	6.0295	5.5706
4123.7	6.1693	6.0075	5.7391	5.5084	5.7304	6.0288	5.5707
4153.7	6.1666	6.0069	5.7394	5.5075	5.7302	6.0286	5.5716
4183.7	6.1676	6.0793	5.7400	5.5055	5.7316	6.0297	5.5700
4213.7	6.1675	6.0779	5.7390	5.5040	5.7310	6.0304	5.5695
4243.7	6.1602	6.0032	5.7382	5.5030	5.7314	6.0302	5.5691
4273.7	6.1677	6.0030	5.7379	5.5017	5.7299	6.0283	5.5699
4303.7	6.1857	6.0779	5.7387	5.5014	5.7293	6.0285	5.5712
4333.7	6.1669	6.0734	5.7376	5.4988	5.7314	6.0316	5.5683
4363.7	6.1727	6.0747	5.7386	5.4976	5.7295	6.0291	5.5697
4393.7	6.1870	6.0714	5.7370	5.4959	5.7299	6.0311	5.5682
4423.7	6.1726	6.0713	5.7370	5.4945	5.7300	6.0304	5.5680
4453.7	6.1683	6.0701	5.7364	5.4926	5.7277	6.0298	5.5680
4483.7	6.1795	5.9972	5.7354	5.4909	5.7279	6.0284	5.5683
4513.7	6.1666	5.9982	5.7357	5.4922	5.7264	6.0269	5.5709
4543.7	6.1861	6.0690	5.7367	5.4898	5.7272	6.0282	5.5684
4573.7	6.1776	5.9948	5.7345	5.4885	5.7250	6.0268	5.5690
4603.7	6.1882	6.0651	5.7344	5.4850	5.7269	6.0295	5.5667
4633.7	6.1889	6.0646	5.7347	5.4838	5.7252	6.0285	5.5677
4663.7	6.1843	5.9924	5.7333	5.4839	5.7232	6.0266	5.5698
4693.7	6.1762	6.0621	5.7333	5.4796	5.7240	6.0295	5.5662
4723.7	6.1959	6.0613	5.7327	5.4781	5.7241	6.0290	5.5660
4753.7	6.1851	6.0516	5.7217	5.4664	5.7279	6.0297	5.5671
4783.7	6.1853	5.9778	5.7217	5.4648	5.7251	6.0280	5.5662
4813.7	6.1916	6.0507	5.7230	5.4631	5.7244	6.0266	5.5679
4843.7	6.1934	6.0484	5.7210	5.4614	5.7241	6.0283	5.5664
4873.7	6.2116	6.0486	5.7207	5.4604	5.7226	6.0271	5.5660
4903.7	6.1879	5.9752	5.7202	5.4606	5.7222	6.0266	5.5658
4933.7	6.1923	5.9743	5.7203	5.4594	5.7222	6.0267	5.5652
4963.7	6.1946	6.0469	5.7214	5.4569	5.7215	6.0264	5.5659
4993.7	6.2168	6.0455	5.7220	5.4560	5.7223	6.0282	5.5633
5023.7	6.2038	5.9724	5.7197	5.4549	5.7208	6.0261	5.5643
5053.7	6.1930	6.0445	5.7204	5.4529	5.7208	6.0282	5.5624
5083.7	6.1979	6.0475	5.7214	5.4517	5.7189	6.0260	5.5642
5113.7	6.1940	5.9754	5.7185	5.4502	5.7191	6.0255	5.5622
5143.7	6.2041	5.9758	5.7186	5.4484	5.7186	6.0275	5.5616
5173.7	6.2018	6.0471	5.7190	5.4474	5.7169	6.0253	5.5638
5203.7	6.1988	5.9705	5.7177	5.4449	5.7170	6.0257	5.5612
5233.7	6.2017	5.9663	5.7175	5.4429	5.7158	6.0251	5.5613
5263.7	6.1834	6.0359	5.7196	5.4424	5.7147	6.0259	5.5607
5293.7	6.1885	6.0328	5.7178	5.4403	5.7148	6.0262	5.5593
5323.7	6.2079	6.0306	5.7185	5.4392	5.7140	6.0257	5.5598
5353.7	6.1751	5.8670	5.5795	5.3324	5.6434	6.0258	5.4880
5383.7	6.1640	5.9043	5.6462	5.3336	5.6528	6.0239	5.4950
5413.7	6.1579	5.9781	5.6471	5.3327	5.6518	6.0235	5.4954
5443.7	6.1648	5.9771	5.6452	5.3334	5.6533	6.0254	5.4934
5473.7	6.1877	5.9070	5.6448	5.3313	5.6508	6.0223	5.4947
5503.7	6.1868	5.9746	5.6425	5.3264	5.6470	6.0208	5.4896
5533.7	6.1728	5.9728	5.6392	5.3216	5.6429	6.0177	5.4869
5563.7	6.1787	5.8991	5.6338	5.3166	5.6389	6.0150	5.4845
5593.7	6.1852	5.9690	5.6325	5.3132	5.6394	6.0148	5.4815
5623.7	6.1791	5.8976	5.6320	5.3130	5.6392	6.0148	5.4818
5653.7	6.1651	5.9698	5.6343	5.3152	5.6386	6.0144	5.4827
5683.7	6.1658	5.9685	5.6327	5.3133	5.6395	6.0160	5.4815
5713.7	6.1776	5.9687	5.6323	5.3134	5.6399	6.0162	5.4819
5743.7	6.1974	5.9696	5.6335	5.3141	5.6376	6.0151	5.4823
5773.7	6.1812	5.8979	5.6330	5.3144	5.6384	6.0146	5.4834
5803.7	6.1805	5.9701	5.6339	5.3152	5.6383	6.0146	5.4843
5833.7	6.1900	5.8981	5.6332	5.3145	5.6385	6.0149	5.4840
5863.7	6.1693	5.9690	5.6336	5.3138	5.6393	6.0163	5.4829
5893.7	6.1805	5.9688	5.6331	5.3133	5.6399	6.0163	5.4822
5923.7	6.1766	5.8983	5.6331	5.3122	5.6394	6.0159	5.4827
5953.7	6.1886	5.9689	5.6338	5.3140	5.6389	6.0161	5.4824
5983.7	6.1935	5.9685	5.6337	5.3131	5.6397	6.0165	5.4825
6013.7	6.1826	5.9695	5.6356	5.3141	5.6381	6.0157	5.4835
6043.7	6.1886	5.8982	5.6333	5.3121	5.6398	6.0158	5.4834
6073.7	6.1833	5.8983	5.6344	5.3147	5.6383	6.0153	5.4854
6103.7	6.1869	5.8978	5.6342	5.3142	5.6389	6.0154	5.4851
6133.7	6.1977	5.8978	5.6338	5.3129	5.6388	6.0153	5.4848
6163.8	6.2025	5.9686	5.6343	5.3130	5.6390	6.0162	5.4832
6193.8	6.1973	5.9687	5.6360	5.3133	5.6374	6.0160	5.4840
6223.8	6.1838	5.8969	5.6339	5.3130	5.6387	6.0153	5.4861
6253.8	6.1979	5.8976	5.6345	5.3138	5.6385	6.0158	5.4860
6283.8	6.1960	5.8975	5.6334	5.3106	5.6392	6.0157	5.4839
6313.8	6.1946	5.9683	5.6345	5.3128	5.6380	6.0152	5.4856
6343.8	6.2133	5.8964	5.6337	5.3101	5.6388	6.0158	5.4840
6373.8	6.2049	5.9686	5.6350	5.3117	5.6368	6.0145	5.4842
6403.8	6.2099	5.9666	5.6331	5.3092	5.6392	6.0166	5.4834
6433.8	6.2038	5.9668	5.6340	5.3103	5.6374	6.0161	5.4832
6463.8	6.2069	5.9664	5.6342	5.3096	5.6358	6.0162	5.4828
6493.8	6.2156	5.9675	5.6348	5.3106	5.6354	6.0153	5.4836
6523.8	6.2021	5.9667	5.6354	5.3095	5.6358	6.0152	5.4835
6553.8	6.1871	5.9655	5.6330	5.3080	5.6362	6.0159	5.4818
6583.8	6.2027	5.9650	5.6325	5.3066	5.6374	6.0167	5.4820
6613.8	6.2116	5.8944	5.6322	5.3066	5.6368	6.0158	5.4820
6643.8	6.2261	5.8933	5.6328	5.3080	5.6349	6.0145	5.4831
6673.8	6.2061	5.8930	5.6324	5.3069	5.6345	6.0143	5.4825
6703.8	6.2247	5.8923	5.6322	5.3067	5.6333	6.0142	5.4830
6733.8	6.2163	5.8924	5.6315	5.3053	5.6340	6.0144	5.4825
6763.8	6.2177	5.8918	5.6310	5.3036	5.6341	6.0150	5.4811
6793.8	6.2115	5.9636	5.6327	5.3048	5.6312	6.0145	5.4814
6823.8	6.2161	5.9620	5.6307	5.3022	5.6321	6.0148	5.4802
6853.8	6.2023	5.8900	5.6302	5.3022	5.6325	6.0143	5.4803
6883.8	6.2154	5.9615	5.6317	5.3015	5.6299	6.0139	5.4803
6913.8	6.2124	5.9601	5.6297	5.2992	5.6310	6.0144	5.4793
6943.8	6.2391	5.9593	5.6296	5.2988	5.6291	6.0143	5.4789
6973.8	6.2146	5.8877	5.6289	5.3002	5.6284	6.0129	5.4796
7003.8	6.2222	5.8872	5.6289	5.2997	5.6278	6.0127	5.4792
7033.8	6.2198	5.9587	5.6287	5.2985	5.6261	6.0130	5.4786
7063.8	6.2319	5.8856	5.6266	5.2966	5.6269	6.0126	5.4775
7093.8	6.2225	5.9562	5.6271	5.2948	5.6260	6.0129	5.4767
7123.8	6.2302	5.8851	5.6269	5.2964	5.6243	6.0117	5.4774
7153.8	6.2281	5.9552	5.6266	5.2930	5.6231	6.0120	5.4761
7183.8	6.1793	5.9242	5.5447	5.2518	5.5498	6.0082	5.4126
7213.8	6.1891	5.8504	5.5384	5.2468	5.5474	6.0072	5.4073
7243.8	6.1946	5.9193	5.5382	5.2463	5.5477	6.0080	5.4062
7273.8	6.1912	5.9226	5.5386	5.2491	5.5446	6.0068	5.4077
7303.8	6.1830	5.9228	5.5383	5.2490	5.5427	6.0071	5.4081
7333.8	6.1865	5.8512	5.5381	5.2471	5.5412	6.0081	5.4067
7363.8	6.2021	5.9235	5.5434	5.2542	5.5458	6.0108	5.4106
7393.8	6.2069	5.9291	5.5499	5.2627	5.5523	6.0158	5.4168
7423.8	6.2129	5.9305	5.5531	5.2680	5.5605	6.0212	5.4211
7453.8	6.1996	5.9350	5.5567	5.2722	5.5609	6.0215	5.4246
7483.8	6.2023	5.9349	5.5579	5.2732	5.5632	6.0238	5.4250
7513.8	6.2069	5.8673	5.5582	5.2746	5.5620	6.0227	5.4280
7543.8	6.2068	5.8657	5.5585	5.2748	5.5655	6.0251	5.4267
7573.8	6.2144	5.9389	5.5599	5.2755	5.5637	6.0240	5.4292
7603.8	6.2194	5.8691	5.5601	5.2760	5.5645	6.0240	5.4297
7633.8	6.2202	5.8675	5.5599	5.2764	5.5660	6.0247	5.4286
7663.8	6.2135	5.9392	5.5615	5.2768	5.5650	6.0258	5.4286
7693.8	6.2175	5.8672	5.5610	5.2770	5.5671	6.0267	5.4283
7723.8	6.2146	5.9404	5.5619	5.2773	5.5655	6.0253	5.4308
7753.8	6.2139	5.8676	5.5612	5.2774	5.5676	6.0278	5.4284
7783.8	6.2180	5.9405	5.5626	5.2775	5.5656	6.0267	5.4296
7813.8	6.2118	5.8691	5.5621	5.2781	5.5667	6.0256	5.4305
7843.8	6.2239	5.8688	5.5623	5.2779	5.5677	6.0277	5.4298
7873.8	6.2283	5.9393	5.5629	5.2779	5.5670	6.0281	5.4292
7903.8	6.2242	5.9394	5.5631	5.2781	5.5679	6.0293	5.4293
7933.8	6.2306	5.8692	5.5631	5.2782	5.5682	6.0274	5.4299
7963.8	6.2231	5.8693	5.5632	5.2785	5.5685	6.0281	5.4299
7993.8	6.2231	5.9418	5.5644	5.2787	5.5671	6.0269	5.4323
8023.8	6.2379	5.9422	5.5647	5.2782	5.5663	6.0276	5.4326
8053.8	6.2286	5.8694	5.5638	5.2791	5.5677	6.0278	5.4317
8083.8	6.2368	5.8698	5.5643	5.2787	5.5684	6.0282	5.4306
8113.8	6.2315	5.9397	5.5645	5.2787	5.5689	6.0305	5.4303
8143.8	6.2425	5.9424	5.5654	5.2785	5.5674	6.0278	5.4327
8173.8	6.2428	5.9395	5.5646	5.2782	5.5696	6.0310	5.4306
8203.8	6.2316	5.9424	5.5656	5.2783	5.5667	6.0277	5.4332
8233.8	6.2441	5.9419	5.5665	5.2780	5.5664	6.0285	5.4324
8263.8	6.2350	5.9410	5.5653	5.2782	5.5667	6.0294	5.4308
8293.8	6.2446	5.8705	5.5652	5.2782	5.5675	6.0277	5.4321
8323.8	6.2506	5.8701	5.5645	5.2781	5.5674	6.0297	5.4308
8353.8	6.2405	5.9392	5.5649	5.2780	5.5691	6.0309	5.4306
8383.8	6.2484	5.9425	5.5664	5.2774	5.5657	6.0287	5.4328
8413.8	6.2414	5.8694	5.5651	5.2777	5.5688	6.0308	5.4310
8443.8	6.2471	5.8694	5.5650	5.2773	5.5669	6.0283	5.4318
8473.8	6.2522	5.8716	5.5656	5.2767	5.5663	6.0282	5.4326
8503.8	6.2523	5.8703	5.5653	5.2770	5.5670	6.0283	5.4315
8533.8	6.2560	5.9393	5.5652	5.2763	5.5678	6.0311	5.4310
8563.8	6.2393	5.9386	5.5652	5.2762	5.5678	6.0318	5.4303
8593.8	6.2704	5.9393	5.5651	5.2758	5.5675	6.0313	5.4305
8623.8	6.2637	5.8697	5.5651	5.2754	5.5651	6.0276	5.4315
8653.8	6.2661	5.8699	5.5649	5.2748	5.5658	6.0281	5.4315
8683.8	6.2530	5.8682	5.5649	5.2748	5.5663	6.0294	5.4306
8713.8	6.2487	5.9395	5.5652	5.2748	5.5652	6.0301	5.4303
8743.8	6.2629	5.9394	5.5652	5.2739	5.5648	6.0300	5.4305
8773.8	6.2531	5.8685	5.5645	5.2731	5.5646	6.0279	5.4307
8803.8	6.2666	5.9398	5.5658	5.2731	5.5629	6.0289	5.4315
8833.8	6.2551	5.8675	5.5637	5.2725	5.5647	6.0294	5.4302
8863.8	6.2807	5.9371	5.5643	5.2721	5.5646	6.0310	5.4296
8893.8	6.2645	5.9389	5.5646	5.2717	5.5619	6.0287	5.4298
8923.8	6.2644	5.8673	5.5633	5.2707	5.5633	6.0290	5.4296
8953.8	6.2646	5.8680	5.5635	5.2695	5.5618	6.0273	5.4306
8983.8	6.2702	5.8665	5.5633	5.2692	5.5622	6.0287	5.4291
9013.8	6.2687	5.8675	5.5625	5.2690	5.5604	6.0269	5.4304
9043.8	6.2658	5.9364	5.5630	5.2685	5.5604	6.0284	5.4284
9073.8	6.2700	5.8683	5.5624	5.2683	5.5590	6.0268	5.4309
9103.8	6.2535	5.9363	5.5635	5.2670	5.5595	6.0274	5.4299
9133.8	6.2614	5.8648	5.5616	5.2651	5.5595	6.0266	5.4285
9163.8	6.2661	5.9340	5.5612	5.2653	5.5603	6.0288	5.4274
9193.8	6.2574	5.8639	5.5604	5.2635	5.5588	6.0268	5.4272
9223.8	6.2613	5.8641	5.5575	5.2608	5.5532	6.0229	5.4262
9253.8	6.2714	5.9297	5.5560	5.2568	5.5545	6.0246	5.4222
9283.8	6.2616	5.8622	5.5554	5.2582	5.5484	6.0213	5.4244
9313.8	6.2660	5.9293	5.5546	5.2552	5.5527	6.0224	5.4216
9343.8	6.2719	5.9258	5.5453	5.2422	5.5401	6.0134	5.4142
9373.8	6.2707	5.8500	5.5389	5.2351	5.5340	6.0089	5.4094
9403.8	6.2645	5.9159	5.5379	5.2312	5.5337	6.0082	5.4066
9433.8	6.2111	5.9087	5.4068	5.1976	5.4786	6.0010	5.3469
9463.8	6.2172	5.8314	5.4355	5.1799	5.4662	5.9982	5.3192
9493.8	6.2181	5.8993	5.4341	5.1770	5.4642	5.9972	5.3161
9523.8	6.2136	5.9004	5.4337	5.1771	5.4644	5.9978	5.3166
9553.8	6.2202	5.9006	5.4336	5.1772	5.4647	5.9982	5.3152
9583.8	6.2148	5.8308	5.4325	5.1790	5.4647	6.0000	5.3157
9613.8	6.2070	5.8324	5.4333	5.1796	5.4641	5.9990	5.3184
9643.8	6.2200	5.8995	5.4320	5.1767	5.4628	5.9983	5.3140
9673.8	6.1954	5.8995	5.4302	5.1752	5.4608	5.9973	5.3126
9703.8	6.1959	5.8991	5.4291	5.1736	5.4579	5.9965	5.3095
9733.8	6.1842	5.8274	5.4275	5.1732	5.4580	5.9972	5.3056
9763.8	6.1794	5.8960	5.4280	5.1723	5.4564	5.9951	5.3031
9793.8	6.1698	5.8953	5.4272	5.1714	5.4554	5.9952	5.2997
9823.8	6.1595	5.8262	5.4260	5.1715	5.4557	5.9957	5.2975
9853.8	6.1566	5.8268	5.4259	5.1711	5.4548	5.9947	5.2956
9883.8	6.1551	5.8951	5.4257	5.1707	5.4559	5.9961	5.2912
9913.8	6.1317	5.8950	5.4258	5.1702	5.4542	5.9940	5.2881
9943.8	6.1142	5.8956	5.4262	5.1696	5.4541	5.9925	5.2857
9973.9	6.1051	5.8258	5.4240	5.1691	5.4550	5.9942	5.2811
10004	6.1018	5.8968	5.4253	5.1690	5.4536	5.9918	5.2789
10034	6.1045	5.8967	5.4244	5.1685	5.4532	5.9914	5.2753
10064	6.0922	5.8270	5.4218	5.1688	5.4540	5.9920	5.2713
10094	6.0734	5.8976	5.4234	5.1686	5.4534	5.9905	5.2676
