tau_us,objective
2.0709999999999704,73669.28456142718
2.07199999999997,72729.29822070197
2.07299999999997,71796.78747675134
2.0739999999999696,70871.74082920759
2.07499999999997,69954.1468023605
2.0759999999999694,69043.99394510342
2.0769999999999698,68141.27083088504
2.077999999999969,67245.96605766044
2.0789999999999695,66358.0682478251
2.079999999999969,65477.566048188484
2.0809999999999693,64604.44812989684
2.0819999999999688,63738.70318839824
2.082999999999969,62880.319943386276
2.0839999999999685,62029.287138752516
2.084999999999969,61185.593542528055
2.0859999999999683,60349.22794684355
2.0869999999999687,59520.17916786977
2.087999999999968,58698.436045770875
2.0889999999999684,57883.98744465682
2.089999999999968,57076.82225252693
2.090999999999968,56276.92938122439
2.0919999999999677,55484.29776638846
2.092999999999968,54698.916367394435
2.0939999999999674,53920.77416731909
2.0949999999999678,53149.86017287956
2.0959999999999672,52386.16341438603
2.0969999999999676,51629.67294569471
2.097999999999967,50880.377844163646
2.0989999999999673,50138.26721059048
2.099999999999967,49403.33016917212
2.100999999999967,48675.55586745746
2.1019999999999666,47954.93347629889
2.102999999999967,47241.45218979207
2.1039999999999663,46535.10122524523
2.1049999999999667,45835.86982311637
2.105999999999966,45143.74724697422
2.1069999999999665,44458.722783440535
2.107999999999966,43780.78574215799
2.1089999999999662,43109.925455722834
2.1099999999999657,42446.131279652436
2.110999999999966,41789.392592329976
2.1119999999999655,41139.69879495822
2.112999999999966,40497.039311513785
2.1139999999999652,39861.40358869874
2.1149999999999656,39232.78109589452
2.115999999999965,38611.161325110836
2.1169999999999654,37996.53379094494
2.117999999999965,37388.88803053269
2.118999999999965,36788.213603493845
2.1199999999999646,36194.50009190064
2.120999999999965,35607.7371002177
2.1219999999999644,35027.91425526453
2.1229999999999647,34455.02120616071
2.123999999999964,33889.04762429104
2.1249999999999645,33329.983203248616
2.125999999999964,32777.81765879581
2.1269999999999643,32232.540728814784
2.1279999999999637,31694.142173264278
2.128999999999964,31162.611774131707
2.1299999999999635,30637.939335389845
2.130999999999964,30120.114682948857
2.1319999999999633,29609.127664614443
2.1329999999999636,29104.968150040837
2.133999999999963,28607.626030683066
2.1349999999999634,28117.091219758746
2.135999999999963,27633.35365219644
2.136999999999963,27156.40328459355
2.1379999999999626,26686.23009517476
2.138999999999963,26222.82408374214
2.1399999999999624,25766.17527163274
2.1409999999999627,25316.273701676233
2.141999999999962,24873.10943815048
2.1429999999999625,24436.67256673299
2.143999999999962,24006.95319446516
2.1449999999999623,23583.941449698297
2.1459999999999617,23167.627482058095
2.146999999999962,22758.001462397504
2.1479999999999615,22355.053582754146
2.148999999999962,21958.77405630573
2.1499999999999613,21569.153117327136
2.1509999999999616,21186.18102114959
2.151999999999961,20809.848044112798
2.1529999999999614,20440.144483526106
2.153999999999961,20077.06065762459
2.154999999999961,19720.586905523396
2.1559999999999606,19370.713587181683
2.156999999999961,19027.43108335053
2.1579999999999604,18690.729795540967
2.1589999999999607,18360.600145971795
2.15999999999996,18037.032577534123
2.1609999999999605,17720.017553747024
2.16199999999996,17409.54555871487
2.1629999999999603,17105.6070970853
2.1639999999999597,16808.192694008903
2.16499999999996,16517.29289509534
2.1659999999999595,16232.898266373848
2.16699999999996,15954.999394250639
2.1679999999999593,15683.586885465356
2.1689999999999596,15418.651367054288
2.169999999999959,15160.183486305308
2.1709999999999594,14908.173910718115
2.171999999999959,14662.613327962392
2.172999999999959,14423.49244583926
2.1739999999999586,14190.801992236546
2.174999999999959,13964.532715091858
2.1759999999999584,13744.67538234892
2.1769999999999587,13531.220781919057
2.177999999999958,13324.159721639144
2.1789999999999585,13123.48302923268
2.179999999999958,12929.181552269172
2.1809999999999583,12741.24615812227
2.1819999999999578,12559.667733932996
2.182999999999958,12384.437186566218
2.1839999999999575,12215.545442574214
2.184999999999958,12052.98344815243
2.1859999999999573,11896.74216910545
2.1869999999999576,11746.812590802143
2.187999999999957,11603.185718139694
2.1889999999999574,11465.85257550296
2.189999999999957,11334.804206724879
2.190999999999957,11210.031675047805
2.1919999999999566,11091.526063083971
2.192999999999957,10979.278472776576
2.1939999999999564,10873.280025361892
2.1949999999999568,10773.521861328321
2.195999999999956,10679.99514037997
2.1969999999999565,10592.691041396425
2.197999999999956,10511.600762395092
2.1989999999999563,10436.71552049199
2.1999999999999558,10368.026551864492
2.200999999999956,10305.525111711833
2.2019999999999555,10251.41974943046
2.202999999999956,10234.952107896894
2.2039999999999553,10265.499375455478
