split,alias_class,run,period,field_G,frequency_MHz,phase_bin,x_spin_mid,direction_cos,direction_sin,release_residual,parent_release_ARA,time_us,count_weight,sample_bins
validation,primary,EMU00070052,RF off,464.0,6.286736,25,1.59375,0.033167916384115044,-0.04674728195822124,0.36818430295059107,0.8100601391387295,1.4222270994607424,325245.0,11
validation,primary,EMU00070052,RF off,464.0,6.286736,26,1.65625,0.025602815878689587,-0.05105580108617526,0.17601434549329142,1.1826830696750505,2.2460045722274784,230640.0,11
validation,primary,EMU00070052,RF off,464.0,6.286736,27,1.71875,0.006373101771299785,-0.06790040504582881,-0.48915832107962215,1.417371139013085,2.941243185337404,170687.0,11
validation,primary,EMU00070052,RF off,464.0,6.286736,28,1.78125,0.07135691963518041,-0.04808676407930917,-0.39162250393984416,0.7457776957754656,1.3423646228633535,350394.0,12
validation,primary,EMU00070052,RF off,464.0,6.286736,29,1.84375,0.11741137251002352,-0.027573152530509,-0.03497919312945027,1.1037351085363742,2.0074810641219933,237459.0,10
validation,primary,EMU00070052,RF off,464.0,6.286736,30,1.90625,0.02846949846899464,-0.004972502042880136,0.031526842534180505,1.3954592910151313,2.88202652895022,191439.0,12
validation,primary,EMU00070052,RF off,464.0,6.286736,31,1.96875,0.06914995643606461,-0.0043248145558972065,-0.5013625733329913,0.7855019303334241,1.4800631932890833,314268.0,12
validation,primary,EMU00070058,RF on,500.0,6.7745,0,0.03125,0.04506612042509956,0.00938007308741049,-0.2347945596575672,0.8817824482701683,1.6907811408974178,292970.0,12
validation,primary,EMU00070058,RF on,500.0,6.7745,1,0.09375,0.0924771134386937,0.039323167989030294,-0.14363557619186515,1.0669972747228342,1.9982860116446244,248407.0,11
validation,primary,EMU00070058,RF on,500.0,6.7745,2,0.15625,0.027543812709757497,0.06847057459238397,0.029192977762466463,1.1374145778546254,2.2325018462007744,222040.0,11
validation,primary,EMU00070058,RF on,500.0,6.7745,3,0.21875,0.07209373356163941,0.022707914157594527,-0.37197394219609675,1.014775488193457,1.9523860741283332,260733.0,12
validation,primary,EMU00070058,RF on,500.0,6.7745,4,0.28125,0.02057738746094402,-0.0022786470046710595,-0.03429512184887406,0.9754198235461939,1.8020687529465054,274475.0,11
validation,primary,EMU00070058,RF on,500.0,6.7745,5,0.34375,0.009073445021834204,0.036742286370600126,0.29141985907990386,1.186663560968037,2.3915393419232083,203960.0,11
validation,primary,EMU00070058,RF on,500.0,6.7745,6,0.40625,-0.011833354896089577,0.062150558665712105,-0.37717622048671945,0.9579397451499175,1.7915327264100394,286030.0,12
validation,primary,EMU00070058,RF on,500.0,6.7745,7,0.46875,0.002713924308957248,0.042522100147457685,-0.13096875268714225,1.0243635819879815,1.9621524791958076,250772.0,11
validation,primary,EMU00070058,RF on,500.0,6.7745,8,0.53125,-0.02469297335166583,0.03947243769277999,0.524356543032965,1.0863600326160578,2.0994798163451756,232307.0,11
validation,primary,EMU00070058,RF on,500.0,6.7745,9,0.59375,-0.008446569066270657,0.060065880672893895,-0.2662611461736001,1.0917222907020436,2.086060380115523,252417.0,12
validation,primary,EMU00070058,RF on,500.0,6.7745,10,0.65625,-0.0015565832794825706,0.06533373623922578,-0.21248963903846044,1.0434568506504769,2.0414363456352316,212202.0,10
validation,primary,EMU00070058,RF on,500.0,6.7745,11,0.71875,-0.022995762622739405,0.034376809510215496,0.12519523150690196,0.9880117469904521,1.827540118709202,271285.0,11
validation,primary,EMU00070058,RF on,500.0,6.7745,12,0.78125,-0.02972687706763668,-0.009346820922448155,0.010195993925084587,1.1964354103365265,2.4181713890659617,200798.0,11
validation,primary,EMU00070058,RF on,500.0,6.7745,13,0.84375,-0.04891312869591527,0.026200204370618894,0.20210480516541737,0.9742192288015935,1.8254007408831183,282983.0,12
validation,primary,EMU00070058,RF on,500.0,6.7745,14,0.90625,-0.08066909416656719,0.050672564343049294,-0.10537906518837058,1.0402844919227765,1.9966428853640776,247167.0,11
validation,primary,EMU00070058,RF on,500.0,6.7745,15,0.96875,-0.05005377648237343,-0.031174260258476295,-0.2595063865197125,1.0975824975733672,2.1242902787908764,228077.0,11
validation,primary,EMU00070058,RF on,500.0,6.7745,16,1.03125,-0.07551964934389796,0.010623003155060274,-0.4386434540614164,1.1064982403020795,2.1242068273314447,248026.0,12
validation,primary,EMU00070058,RF on,500.0,6.7745,17,1.09375,-0.07373547916217647,0.03174653426501043,-0.3816247993827169,1.0919975673610751,2.151062531211109,226171.0,11
validation,primary,EMU00070058,RF on,500.0,6.7745,18,1.15625,-0.03582655541124615,-0.015353503516476522,0.5033893730727311,0.9935382622377116,1.8731668586560375,258080.0,11
validation,primary,EMU00070058,RF on,500.0,6.7745,19,1.21875,-0.018429459615691795,-0.04138692088556261,0.254020035122317,1.1868867315120235,2.3104832888339795,218296.0,11
validation,primary,EMU00070058,RF on,500.0,6.7745,20,1.28125,-0.017959286477391652,-0.045467290004931056,-0.14332639869650576,0.9970488081682417,1.929533401751926,263053.0,12
validation,primary,EMU00070058,RF on,500.0,6.7745,21,1.34375,-0.0438807311181549,-0.02051090568810204,-0.2168511899446041,0.988532821191157,1.8506277431613167,281195.0,12
validation,primary,EMU00070058,RF on,500.0,6.7745,22,1.40625,-0.008686441728886172,-0.06239548195681822,-0.33187758592505606,0.9713662888086261,1.8743788087009492,256294.0,11
validation,primary,EMU00070058,RF on,500.0,6.7745,23,1.46875,-0.00656632709218262,-0.06486684246132494,-0.5988658037688231,1.1021539044451407,2.119432146141779,228719.0,11
validation,primary,EMU00070058,RF on,500.0,6.7745,24,1.53125,-0.008905381760632887,-0.06318949576575181,0.04416753192876488,1.078902102262354,2.035728752454086,246694.0,11
validation,primary,EMU00070058,RF on,500.0,6.7745,25,1.59375,0.0325703930509884,-0.06016999362753268,-0.340455066484906,0.8650111983309996,1.658449850592908,297006.0,12
validation,primary,EMU00070058,RF on,500.0,6.7745,26,1.65625,0.015931462309972725,-0.03370920800064621,0.6843814966010329,1.15373759454187,2.1707413890224863,197142.0,9
validation,primary,EMU00070058,RF on,500.0,6.7745,27,1.71875,0.03604015798220524,-0.06569174323475772,-0.2055835098107548,1.009974736121941,1.9582129597484101,259269.0,12
validation,primary,EMU00070058,RF on,500.0,6.7745,28,1.78125,0.05093500182674328,-0.04502004038468828,0.23103333545480761,1.0038440807892322,1.8850527639554828,277822.0,12
validation,primary,EMU00070058,RF on,500.0,6.7745,29,1.84375,0.029567228628744936,-0.006241233082881551,1.0384071193760107,0.987579262771101,1.9111480844525779,254692.0,11
validation,primary,EMU00070058,RF on,500.0,6.7745,30,1.90625,0.07888482907766427,-0.0035822535938292662,0.038935210757578546,1.115519574760697,2.1527925563409984,226441.0,11
validation,primary,EMU00070058,RF on,500.0,6.7745,31,1.96875,0.03985703312360194,-0.014980099123894468,-0.10990158739260551,1.09135175062014,2.066181739709483,242936.0,11
validation,primary,EMU00070058,RF off,500.0,6.7745,0,0.03125,0.06392136299207421,-0.0047026342601195195,0.3474295473750273,0.8807764219174024,1.689129006159345,294008.0,12
