split,alias_class,period,phase_bin,x_spin_mid,measure,mean,se,run_count,count_weight
development,primary,RF off,21,1.34375,direction_cos,-0.03356171079633739,0.005057630770271395,13,3285050.0
development,primary,RF off,21,1.34375,direction_sin,-0.06315450731440654,0.007475256248427624,13,3285050.0
development,primary,RF off,21,1.34375,release_residual,0.006370286216275908,0.086378003036087,13,3285050.0
development,primary,RF off,21,1.34375,parent_release_ARA,1.0066640219173912,0.02520454573167503,13,3285050.0
development,primary,RF off,21,1.34375,time_us,1.924552454045922,0.06775152317287486,13,3285050.0
development,primary,RF off,22,1.40625,direction_cos,-0.023786845170400472,0.00662136508995866,13,3047738.0
development,primary,RF off,22,1.40625,direction_sin,-0.08364774894251228,0.0048372664557997476,13,3047738.0
development,primary,RF off,22,1.40625,release_residual,-0.009112833241192025,0.05427737289105798,13,3047738.0
development,primary,RF off,22,1.40625,parent_release_ARA,1.0853442937520312,0.036669411164360594,13,3047738.0
development,primary,RF off,22,1.40625,time_us,2.0987051680225965,0.0929400657064428,13,3047738.0
development,primary,RF off,23,1.46875,direction_cos,0.0016789519109541157,0.005970125043944183,13,3299673.0
development,primary,RF off,23,1.46875,direction_sin,-0.0814844229856524,0.00821991964507647,13,3299673.0
development,primary,RF off,23,1.46875,release_residual,-0.017506786622768496,0.06814071227384212,13,3299673.0
development,primary,RF off,23,1.46875,parent_release_ARA,1.0130089429550393,0.021094944046007834,13,3299673.0
development,primary,RF off,23,1.46875,time_us,1.9371725119244247,0.04396706807365903,13,3299673.0
development,primary,RF off,24,1.53125,direction_cos,0.015500998129794776,0.007382021154192076,13,2905119.0
development,primary,RF off,24,1.53125,direction_sin,-0.07444785184435401,0.0056627930939393036,13,2905119.0
development,primary,RF off,24,1.53125,release_residual,-0.02145003019076041,0.09754622345163427,13,2905119.0
development,primary,RF off,24,1.53125,parent_release_ARA,1.0629853814423602,0.017698900914949276,13,2905119.0
development,primary,RF off,24,1.53125,time_us,2.034424124977563,0.04519299748734355,13,2905119.0
development,primary,RF off,25,1.59375,direction_cos,0.028346880537639767,0.006634978316194501,13,3219624.0
development,primary,RF off,25,1.59375,direction_sin,-0.06715113766465425,0.005346617474682879,13,3219624.0
