identity,family,delta_r_ohm,condition,x_p,x_r,local_loss,null_loss,cycle_rho,cycle_miss_signed,cycle_miss_abs,best_rho,best_lag,best_miss_abs,orientation,pairs,pair_closure_share,pair_coherent_nonclosure_share,x_p_q25,x_r_q25,local_loss_q25,null_loss_q25,cycle_rho_q25,cycle_miss_signed_q25,cycle_miss_abs_q25,best_rho_q25,best_lag_q25,best_miss_abs_q25,orientation_q25,x_p_q75,x_r_q75,local_loss_q75,null_loss_q75,cycle_rho_q75,cycle_miss_signed_q75,cycle_miss_abs_q75,best_rho_q75,best_lag_q75,best_miss_abs_q75,orientation_q75
coupled_150,coupled,150.0,shuffled,1.1265496336446665,2.0,0.5395328983615518,0.4606296242865921,0.3228257773026312,0.0006230161220394914,0.023615449423860943,0.5556616974066091,11.0,0.016794241429059248,-6.620239322065421e-06,40,0.0,0.0,0.935272473097348,2.0,0.40856635117006185,0.3259684667521085,0.20884671536480454,-0.005008942600311758,0.014604527489377492,0.42710668954349157,10.375,0.012581337687411268,-0.0019230894291051611,1.3304153393159381,2.0,0.7861922934982092,0.6965954250438597,0.4507292187031294,0.0032370932042016616,0.09328547492444247,0.6559491035875001,12.0,0.05763343125209173,0.0026268682330668706
coupled_150,coupled,150.0,wrong_record,1.1168446955318772,1.2795933120980978,0.27068569989438074,0.4489062349123464,0.3763319917744832,0.006473315386850089,0.03517334118905198,0.8128300137956221,1.0,0.01253632680296888,0.005174604442118785,40,0.0,0.0,1.039712247580248,1.22875287436453,0.2517790265760956,0.40467971167692623,0.34703267441112695,0.0020051302788360826,0.028878089695565295,0.7964074408783708,1.0,0.011411219831136252,0.0032959211975798703,1.1686539404435945,1.38386949233891,0.2827685452910123,0.4887576751797024,0.42886612257620804,0.010089020791956976,0.04525702785946596,0.8340807288220126,1.0,0.014344180027723506,0.007577430594420323
coupled_170,coupled,170.0,chronological,1.0902092427105692,1.2212791904503413,0.2931918139134718,0.4307548048076506,0.34855014964364356,0.007977640213426788,0.03821794067048386,0.8049302266422242,1.0,0.019250119635881895,0.01974810147496697,40,0.0,0.0,0.9660149997115371,1.0855773395563024,0.26164894322582827,0.40217879140487656,0.2794852743997527,0.00260795651710766,0.023557152522698434,0.7444084021097301,1.0,0.017131103123796676,0.018163095724245307,1.2344402027082824,1.4350005402754358,0.37923181655356,0.7245311754951517,0.40708854287695095,0.04170726795962491,0.13574144305561942,0.8303798295032483,1.0,0.03001684056620409,0.03058546474029704
coupled_170,coupled,170.0,reversed,1.0902092427105692,1.3043826273088122,0.2729275443166985,0.4018848037108461,0.34855014964364356,-0.00797764021342679,0.03821794067048387,0.8049302266422245,1.0,0.019250119635881892,-0.01974810147496697,40,0.0,0.0,0.9660149997115371,1.1137071538655878,0.2428632979752864,0.31500399668703605,0.2794852743997527,-0.041707267959624914,0.023557152522698434,0.7444084021097301,1.0,0.017131103123796673,-0.030585464740297028,1.2344402027082824,1.5403819227333662,0.3555058441005023,0.6882201111613989,0.40708854287695095,-0.002607956517107656,0.1357414430556194,0.8303798295032483,1.0,0.0300168405662041,-0.0181630957242453
coupled_170,coupled,170.0,shuffled,1.0902092427105692,2.0,0.5467210653176806,0.4609045981794072,0.3379306045962788,0.0017690897213727143,0.02280593023664758,0.547297028752719,10.0,0.019325796191559743,-0.0013982937285517102,40,0.0,0.0,0.9660149997115371,2.0,0.46042667107088747,0.35825101261325887,0.20783555652984606,-0.003975859640360681,0.015802703021094124,0.44050571432060515,10.0,0.013127350408118153,-0.005978420307432426,1.2344402027082824,2.0,0.7882655274775288,0.6660666022972457,0.4143122412558844,0.00518833828816847,0.08356099428543742,0.6259813770153617,11.0,0.046819533580904786,0.000575147973991024
coupled_170,coupled,170.0,wrong_record,1.2014054533787928,1.2656525734731274,0.32318148881125786,0.5028291663908468,0.32327885510641374,0.009759885473515303,0.046796972648636304,0.7853141966720905,1.0,0.015150573491086644,0.006911536236686363,40,0.0,0.0,1.1718515290961493,1.1985770813504588,0.3032585302974776,0.4707941070470561,0.30039430764589237,0.0028664464032488093,0.04039108277479923,0.773076391972692,1.0,0.013162794383337168,0.004295663543019575,1.2187300068396092,1.3539020965521964,0.33974948839209823,0.5382638794730311,0.355896727329535,0.014783218794175136,0.051266666555006085,0.8012078795712587,1.0,0.01675846195326125,0.00926564425548089
coupled_190,coupled,190.0,chronological,1.188852365170407,1.25920624733231,0.38670818521565764,0.7341800092023084,0.29107066159106887,0.01228149299923645,0.06914629484717277,0.7218221591450755,1.0,0.017535616017655804,0.012469021222340069,40,0.0,0.0,0.9656076545280209,1.0881215210613249,0.2764851479339142,0.41413730004534444,0.2542866237782476,0.004545039822664937,0.03635158910847875,0.6987399227544987,1.0,0.013226863886795769,0.004923245025289947,1.3169925001442304,1.4476361809847806,0.4508045113025183,0.8422225959700927,0.37597151970288006,0.038321524594698265,0.1328959322207885,0.8256905394480049,1.0,0.03357853260430606,0.02964021628001489
coupled_190,coupled,190.0,reversed,1.188852365170407,1.2457554691240094,0.3540287624323307,0.664981901150439,0.2910706615910689,-0.01228149299923645,0.06914629484717277,0.7218221591450756,1.0,0.017535616017655808,-0.01246902122234007,40,0.0,0.0,0.9656076545280209,1.079053180536976,0.2619804701787399,0.37117656815830685,0.2542866237782476,-0.038321524594698245,0.03635158910847875,0.6987399227544988,1.0,0.013226863886795769,-0.029640216280014894,1.3169925001442304,1.4970692763588458,0.4239983657295572,0.8413035853636537,0.3759715197028801,-0.004545039822664938,0.13289593222078852,0.825690539448005,1.0,0.03357853260430606,-0.004923245025289947
coupled_190,coupled,190.0,shuffled,1.188852365170407,2.0,0.7160740313691818,0.6587283012973297,0.23144248429055672,-0.0020403976651108564,0.07374168073290185,0.4467361839531586,11.0,0.03989542331741595,0.0005569901529532717,40,0.0,0.0,0.9656076545280209,2.0,0.4752929443365723,0.400557874235788,0.18384546449985006,-0.00920339822614231,0.017540008981095048,0.3966868389021225,10.0,0.013610540946475652,-0.007852348367151459,1.3169925001442304,2.0,0.8520201427432971,0.76495234872372,0.4175612592524496,0.0035667977845415177,0.12308222105431475,0.6059390144363077,12.0,0.07585519362641992,0.00479567699266242
coupled_190,coupled,190.0,wrong_record,1.2745496966810486,1.3726913907239262,0.3565711074027085,0.525768542292619,0.3272442567802943,0.0034181071111812874,0.0548429860361217,0.7653446972790885,1.0,0.01746894461856917,0.007015466890301465,40,0.0,0.0,1.2470489919310621,1.2711510037779576,0.3263766320662713,0.4897245730464129,0.30147733534652277,-0.009860488245433594,0.04518317443542087,0.7484155878698344,1.0,0.015682391125009687,0.00047852718527464406,1.2916171880806284,1.4485447932352473,0.3711079911916232,0.5579897940491574,0.37610691697307413,0.011278427121338508,0.05951714856878282,0.7854963157733134,1.0,0.02020110410265881,0.009896835826683981
