identity,family,delta_r_ohm,condition,lag,rho,miss_signed,miss_abs
coupled_190,coupled,190.0,shuffled,6,0.16472338944331827,0.01931645925746618,0.28878596643486765
coupled_190,coupled,190.0,shuffled,7,0.16833124968900748,0.008015641592726138,0.29125220869865304
coupled_190,coupled,190.0,shuffled,8,0.17391271498705546,0.03242043113998555,0.28465476012512203
coupled_190,coupled,190.0,shuffled,9,0.18146424811686823,-0.05967456088833206,0.2927750836099076
coupled_190,coupled,190.0,shuffled,10,0.1890858193482588,0.04689276378261693,0.2906184719985797
coupled_190,coupled,190.0,shuffled,11,0.18258083315636936,0.003416487452331584,0.30085650718490065
coupled_190,coupled,190.0,shuffled,12,0.19389577178797898,0.003643852280711469,0.29270577848095125
coupled_190,coupled,190.0,shuffled,13,0.19087696228929674,0.03042540756175685,0.27057336920236086
coupled_190,coupled,190.0,shuffled,14,0.19488152477737064,0.0012822839280969087,0.29373688237742246
coupled_190,coupled,190.0,shuffled,15,0.20088599205202293,0.00031761361582423607,0.27775956733930673
coupled_190,coupled,190.0,shuffled,16,0.21068652246222086,0.053861854203987855,0.30169863318278645
coupled_190,coupled,190.0,wrong_record,1,0.9999898663351066,0.1254318725751545,0.1254318725751545
coupled_190,coupled,190.0,wrong_record,2,0.9999620435005714,0.2508704074929299,0.2508704074929299
coupled_190,coupled,190.0,wrong_record,3,0.9999212060153769,0.37629433941259083,0.37629433941259083
coupled_190,coupled,190.0,wrong_record,4,0.9998733910865092,-0.4960869003021543,0.4971855326429535
coupled_190,coupled,190.0,wrong_record,5,0.9998206137155693,-0.37275657457746697,0.37277106351894207
coupled_190,coupled,190.0,wrong_record,6,0.999768777634181,-0.24733826747773743,0.24733826747773743
coupled_190,coupled,190.0,wrong_record,7,0.999727042744047,-0.12189826743399598,0.12189826743399598
coupled_190,coupled,190.0,wrong_record,8,0.9996859616266963,0.0035019493068967544,0.005731781222237044
coupled_190,coupled,190.0,wrong_record,9,0.999664331843378,0.12886405416288396,0.12888312370449095
coupled_190,coupled,190.0,wrong_record,10,0.9996536713958734,0.2544060492512207,0.2544060492512207
coupled_190,coupled,190.0,wrong_record,11,0.9996501555992703,0.37981915403559285,0.37981915403559285
coupled_190,coupled,190.0,wrong_record,12,0.9996539841132044,-0.4880605618254179,0.4913007660753292
coupled_190,coupled,190.0,wrong_record,13,0.9996841153461401,-0.3693261882596469,0.3693261882596469
coupled_190,coupled,190.0,wrong_record,14,0.9997127875697425,-0.24390075756340318,0.24392655184417386
coupled_190,coupled,190.0,wrong_record,15,0.9997397024944106,-0.11848199300212979,0.11852058612160694
coupled_190,coupled,190.0,wrong_record,16,0.9997600545058363,0.006952922185946295,0.011724066288530541
coupled_240,coupled,240.0,chronological,1,0.9999898664742928,0.12228941270686361,0.12228941270686361
coupled_240,coupled,240.0,chronological,2,0.999961863460385,0.24456973444721358,0.24456973444721358
coupled_240,coupled,240.0,chronological,3,0.9999212582843267,0.3668902237039915,0.3668902237039915
coupled_240,coupled,240.0,chronological,4,0.9998706883477366,0.48921997036321496,0.48921997036321496
coupled_240,coupled,240.0,chronological,5,0.999813190570098,-0.38836478886135856,0.38836478886135856
coupled_240,coupled,240.0,chronological,6,0.9997603759024196,-0.26604770744235917,0.26604770744235917
coupled_240,coupled,240.0,chronological,7,0.9997159154309981,-0.1437070291544003,0.1437070291544003
coupled_240,coupled,240.0,chronological,8,0.9996797555068927,-0.02144029390677518,0.02144029390677518
coupled_240,coupled,240.0,chronological,9,0.9996614797314813,0.10086879161631485,0.10086879161631485
coupled_240,coupled,240.0,chronological,10,0.9996464075999327,0.22327707515328038,0.22327707515328038
coupled_240,coupled,240.0,chronological,11,0.9996406486628777,0.34554750344527585,0.34554750344527585
coupled_240,coupled,240.0,chronological,12,0.9996426844785073,0.46777584699020575,0.46777584699020575
coupled_240,coupled,240.0,chronological,13,0.9996524852513715,-0.40990754753905373,0.40994846933487905
coupled_240,coupled,240.0,chronological,14,0.9996679681520291,-0.28762919723611435,0.28762919723611435
coupled_240,coupled,240.0,chronological,15,0.9996835222418616,-0.1653529467395907,0.1653529467395907
coupled_240,coupled,240.0,chronological,16,0.9997128721428563,-0.043060704218112256,0.043060704218112256
coupled_240,coupled,240.0,reversed,1,0.999989866474293,-0.12228941270686362,0.12228941270686362
coupled_240,coupled,240.0,reversed,2,0.9999618634603851,-0.24456973444721358,0.24456973444721358
coupled_240,coupled,240.0,reversed,3,0.9999212582843268,-0.3668902237039915,0.3668902237039915
coupled_240,coupled,240.0,reversed,4,0.9998706883477366,-0.48921997036321496,0.48921997036321496
coupled_240,coupled,240.0,reversed,5,0.9998131905700981,0.3883647888613585,0.3883647888613585
coupled_240,coupled,240.0,reversed,6,0.9997603759024196,0.26604770744235917,0.26604770744235917
coupled_240,coupled,240.0,reversed,7,0.999715915430998,0.1437070291544003,0.1437070291544003
coupled_240,coupled,240.0,reversed,8,0.9996797555068927,0.02144029390677518,0.02144029390677518
coupled_240,coupled,240.0,reversed,9,0.9996614797314813,-0.10086879161631482,0.10086879161631482
coupled_240,coupled,240.0,reversed,10,0.9996464075999327,-0.22327707515328038,0.22327707515328038
coupled_240,coupled,240.0,reversed,11,0.9996406486628779,-0.34554750344527585,0.34554750344527585
coupled_240,coupled,240.0,reversed,12,0.9996426844785073,-0.46777584699020575,0.46777584699020575
coupled_240,coupled,240.0,reversed,13,0.9996524852513715,0.40990754753905373,0.40994846933487905
