trajectory_id,phase_id,split,family,parameter,parameter_index,replicate,radial_mode,radial_span,control,endpoint_error,x_l,x_c,radial_log_gain,x_p,x_r,mean_rho,best_miss_64,best_miss_512,exact_closure_64
calibration:periodic rational:0:3:expansion,calibration:periodic rational:0:3,calibration,periodic rational,5,0,3,expansion,0.35,shuffled,0.0,1.4355021139154798,0.9972172571423182,0.3499999999999999,0.0,2.0,0.012411129485371934,,,False
calibration:periodic rational:0:3:expansion,calibration:periodic rational:0:3,calibration,periodic rational,5,0,3,expansion,0.35,endpoint_shuffled,0.0,1.4355021139154798,1.015816378479397,0.3499999999999999,0.0,1.9881318560684091,0.013339056091926076,,,False
calibration:periodic rational:0:3:expansion,calibration:periodic rational:0:3,calibration,periodic rational,5,0,3,expansion,0.35,radial_inverted,0.0,0.56449788608452,0.0,-0.35,0.0,0.0,1.0,0.4,0.3999999999999999,True
calibration:periodic rational:0:4:contraction,calibration:periodic rational:0:4,calibration,periodic rational,5,0,4,contraction,0.75,chronological,0.0,0.23840584404423515,2.0,-0.7499999999999999,0.0,0.0,1.0000000000000002,0.4,0.4,True
calibration:periodic rational:0:4:contraction,calibration:periodic rational:0:4,calibration,periodic rational,5,0,4,contraction,0.75,phase_reflected,0.0,0.23840584404423515,0.0,-0.7499999999999999,0.0,0.0,1.0,0.3999999999999999,0.3999999999999999,True
calibration:periodic rational:0:4:contraction,calibration:periodic rational:0:4,calibration,periodic rational,5,0,4,contraction,0.75,shuffled,0.0,0.23840584404423515,0.9788829224873254,-0.7499999999999999,0.0,1.974905131786319,0.013147205311749795,,,False
calibration:periodic rational:0:4:contraction,calibration:periodic rational:0:4,calibration,periodic rational,5,0,4,contraction,0.75,endpoint_shuffled,0.0,0.23840584404423515,1.006552080494812,-0.7499999999999999,0.0,1.970760174392469,0.013755849238729807,,,False
calibration:periodic rational:0:4:contraction,calibration:periodic rational:0:4,calibration,periodic rational,5,0,4,contraction,0.75,radial_inverted,0.0,1.7615941559557649,2.0,0.7499999999999999,0.0,0.0,1.0000000000000002,0.4,0.4,True
calibration:periodic rational:0:4:neutral,calibration:periodic rational:0:4,calibration,periodic rational,5,0,4,neutral,0.75,chronological,0.0,1.0,2.0,0.0,0.0,0.0,1.0000000000000002,0.4,0.4,True
calibration:periodic rational:0:4:neutral,calibration:periodic rational:0:4,calibration,periodic rational,5,0,4,neutral,0.75,phase_reflected,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3999999999999999,0.3999999999999999,True
calibration:periodic rational:0:4:neutral,calibration:periodic rational:0:4,calibration,periodic rational,5,0,4,neutral,0.75,shuffled,0.0,1.0,0.9788829224873254,0.0,0.0,1.974905131786319,0.013147205311749795,,,False
calibration:periodic rational:0:4:neutral,calibration:periodic rational:0:4,calibration,periodic rational,5,0,4,neutral,0.75,endpoint_shuffled,0.0,1.0,1.006552080494812,0.0,0.0,1.970760174392469,0.013755849238729807,,,False
calibration:periodic rational:0:4:neutral,calibration:periodic rational:0:4,calibration,periodic rational,5,0,4,neutral,0.75,radial_inverted,0.0,1.0,2.0,0.0,0.0,0.0,1.0000000000000002,0.4,0.4,True
calibration:periodic rational:0:4:expansion,calibration:periodic rational:0:4,calibration,periodic rational,5,0,4,expansion,0.75,chronological,0.0,1.7615941559557649,2.0,0.7499999999999999,0.0,0.0,1.0000000000000002,0.4,0.4,True
calibration:periodic rational:0:4:expansion,calibration:periodic rational:0:4,calibration,periodic rational,5,0,4,expansion,0.75,phase_reflected,0.0,1.7615941559557649,0.0,0.7499999999999999,0.0,0.0,1.0,0.3999999999999999,0.3999999999999999,True
calibration:periodic rational:0:4:expansion,calibration:periodic rational:0:4,calibration,periodic rational,5,0,4,expansion,0.75,shuffled,0.0,1.7615941559557649,0.9788829224873254,0.7499999999999999,0.0,1.974905131786319,0.013147205311749795,,,False
calibration:periodic rational:0:4:expansion,calibration:periodic rational:0:4,calibration,periodic rational,5,0,4,expansion,0.75,endpoint_shuffled,0.0,1.7615941559557649,1.006552080494812,0.7499999999999999,0.0,1.970760174392469,0.013755849238729807,,,False
calibration:periodic rational:0:4:expansion,calibration:periodic rational:0:4,calibration,periodic rational,5,0,4,expansion,0.75,radial_inverted,0.0,0.23840584404423515,2.0,-0.7499999999999999,0.0,0.0,1.0000000000000002,0.4,0.4,True
calibration:periodic rational:0:5:contraction,calibration:periodic rational:0:5,calibration,periodic rational,5,0,5,contraction,1.15,chronological,0.0,0.0890067105245741,2.0,-1.15,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:5:contraction,calibration:periodic rational:0:5,calibration,periodic rational,5,0,5,contraction,1.15,phase_reflected,0.0,0.0890067105245741,0.0,-1.15,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:5:contraction,calibration:periodic rational:0:5,calibration,periodic rational,5,0,5,contraction,1.15,shuffled,0.0,0.0890067105245741,0.9709369637881742,-1.15,0.0,2.0,0.013735355171812581,,,False
calibration:periodic rational:0:5:contraction,calibration:periodic rational:0:5,calibration,periodic rational,5,0,5,contraction,1.15,endpoint_shuffled,0.0,0.0890067105245741,0.9979321744311155,-1.15,0.0,1.9301118156925885,0.013352771913007518,,,False
calibration:periodic rational:0:5:contraction,calibration:periodic rational:0:5,calibration,periodic rational,5,0,5,contraction,1.15,radial_inverted,0.0,1.9109932894754258,2.0,1.15,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:5:neutral,calibration:periodic rational:0:5,calibration,periodic rational,5,0,5,neutral,1.15,chronological,0.0,1.0,2.0,0.0,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:5:neutral,calibration:periodic rational:0:5,calibration,periodic rational,5,0,5,neutral,1.15,phase_reflected,0.0,1.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:5:neutral,calibration:periodic rational:0:5,calibration,periodic rational,5,0,5,neutral,1.15,shuffled,0.0,1.0,0.9709369637881742,0.0,0.0,2.0,0.013735355171812581,,,False
calibration:periodic rational:0:5:neutral,calibration:periodic rational:0:5,calibration,periodic rational,5,0,5,neutral,1.15,endpoint_shuffled,0.0,1.0,0.9979321744311155,0.0,0.0,1.9301118156925885,0.013352771913007518,,,False
calibration:periodic rational:0:5:neutral,calibration:periodic rational:0:5,calibration,periodic rational,5,0,5,neutral,1.15,radial_inverted,0.0,1.0,2.0,0.0,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:5:expansion,calibration:periodic rational:0:5,calibration,periodic rational,5,0,5,expansion,1.15,chronological,0.0,1.9109932894754258,2.0,1.15,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:5:expansion,calibration:periodic rational:0:5,calibration,periodic rational,5,0,5,expansion,1.15,phase_reflected,0.0,1.9109932894754258,0.0,1.15,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:5:expansion,calibration:periodic rational:0:5,calibration,periodic rational,5,0,5,expansion,1.15,shuffled,0.0,1.9109932894754258,0.9709369637881742,1.15,0.0,2.0,0.013735355171812581,,,False
calibration:periodic rational:0:5:expansion,calibration:periodic rational:0:5,calibration,periodic rational,5,0,5,expansion,1.15,endpoint_shuffled,0.0,1.9109932894754258,0.9979321744311155,1.15,0.0,1.9301118156925885,0.013352771913007518,,,False
calibration:periodic rational:0:5:expansion,calibration:periodic rational:0:5,calibration,periodic rational,5,0,5,expansion,1.15,radial_inverted,0.0,0.0890067105245741,2.0,-1.15,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:6:contraction,calibration:periodic rational:0:6,calibration,periodic rational,5,0,6,contraction,0.35,chronological,0.0,0.56449788608452,0.0,-0.35,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:6:contraction,calibration:periodic rational:0:6,calibration,periodic rational,5,0,6,contraction,0.35,phase_reflected,0.0,0.56449788608452,2.0,-0.35,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:6:contraction,calibration:periodic rational:0:6,calibration,periodic rational,5,0,6,contraction,0.35,shuffled,0.0,0.56449788608452,1.0154624988447167,-0.35,0.0,1.9595613419018003,0.013980140886825173,,,False
calibration:periodic rational:0:6:contraction,calibration:periodic rational:0:6,calibration,periodic rational,5,0,6,contraction,0.35,endpoint_shuffled,0.0,0.56449788608452,0.999025656722791,-0.35,0.0,1.9971508112145144,0.013202312998832014,,,False
calibration:periodic rational:0:6:contraction,calibration:periodic rational:0:6,calibration,periodic rational,5,0,6,contraction,0.35,radial_inverted,0.0,1.4355021139154798,0.0,0.3499999999999999,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
