identity,delta_r_ohm,pair,window,sample,cycle,landmark,phase,ara_phase,physical_time
coupled_170,170.0,20,4,19,2,3,0.8387679078629766,1.6775358157259532,45.312702165819104
coupled_170,170.0,20,4,20,2,4,0.9634638120765722,1.9269276241531443,45.61610288775881
coupled_170,170.0,20,4,21,2,5,0.08757484289799677,0.17514968579599355,45.91950360969851
coupled_170,170.0,20,4,22,2,6,0.21144348359991127,0.42288696719982255,46.22290433163821
coupled_170,170.0,20,4,23,2,7,0.3353121243018222,0.6706242486036444,46.526305053577914
coupled_170,170.0,20,4,24,3,0,0.45918271081574247,0.9183654216314849,46.82971054154043
coupled_170,170.0,20,4,25,3,1,0.5852164612375006,1.1704329224750012,47.13841442857792
coupled_170,170.0,20,4,26,3,2,0.7112521574712645,1.422504314942529,47.44712308163821
coupled_170,170.0,20,4,27,3,3,0.8372878537050283,1.6745757074100567,47.75583173469851
coupled_170,170.0,20,4,28,3,4,0.9633235499387958,1.9266470998775915,48.06454038775881
coupled_170,170.0,20,4,29,3,5,0.08917214179126987,0.17834428358253973,48.373249040819104
coupled_170,170.0,20,4,30,3,6,0.2149439388542831,0.4298878777085662,48.681957693879404
coupled_170,170.0,20,4,31,3,7,0.34071573591729276,0.6814314718345855,48.9906663469397
coupled_170,170.0,40,0,0,0,0,0.43232827023350695,0.8646565404670139,0.2883333333333331
coupled_170,170.0,40,0,1,0,1,0.5576399909317614,1.1152799818635228,0.5954166666666666
coupled_170,170.0,40,0,2,0,2,0.6829517116300158,1.3659034232600316,0.9024999999999999
coupled_170,170.0,40,0,3,0,3,0.8082634323282701,1.6165268646565403,1.2095833333333332
coupled_170,170.0,40,0,4,0,4,0.9335751530265245,1.867150306053049,1.5166666666666666
coupled_170,170.0,40,0,5,0,5,0.058886873724778924,0.11777374744955785,1.82375
coupled_170,170.0,40,0,6,0,6,0.18419859442303332,0.36839718884606665,2.1308333333333334
coupled_170,170.0,40,0,7,0,7,0.3095103151212877,0.6190206302425754,2.4379166666666667
coupled_170,170.0,40,0,8,1,0,0.4348220358195421,0.8696440716390842,2.745
coupled_170,170.0,40,0,9,1,1,0.5601337565177965,1.120267513035593,3.0520833333333335
coupled_170,170.0,40,0,10,1,2,0.6854454772160509,1.3708909544321017,3.359166666666667
coupled_170,170.0,40,0,11,1,3,0.8107571979143052,1.6215143958286105,3.6662500000000002
coupled_170,170.0,40,0,12,1,4,0.9360689186125597,1.8721378372251194,3.9733333333333336
coupled_170,170.0,40,0,13,1,5,0.061520109066121265,0.12304021813224253,4.2804166666666665
coupled_170,170.0,40,0,14,1,6,0.18711656441717817,0.37423312883435633,4.5875
coupled_170,170.0,40,0,15,1,7,0.31271301976823507,0.6254260395364701,4.894583333333334
coupled_170,170.0,40,0,16,2,0,0.43830591118765994,0.8766118223753199,5.201657952853829
coupled_170,170.0,40,0,17,2,1,0.5629235170357627,1.1258470340715254,5.50634799915244
coupled_170,170.0,40,0,18,2,2,0.6875375589522341,1.3750751179044682,5.8110293316382124
coupled_170,170.0,40,0,19,2,3,0.812151600868706,1.624303201737412,6.115710664123986
coupled_170,170.0,40,0,20,2,4,0.9367656427851778,1.8735312855703556,6.42039199660976
coupled_170,170.0,40,0,21,2,5,0.0620137723535259,0.1240275447070518,6.725073329095532
coupled_170,170.0,40,0,22,2,6,0.18791514941376253,0.37583029882752506,7.029754661581306
coupled_170,170.0,40,0,23,2,7,0.3138165264739996,0.6276330529479992,7.3344359940670785
coupled_170,170.0,40,0,24,3,0,0.4397197037764875,0.879439407552975,7.639121683139099
coupled_170,170.0,40,0,25,3,1,0.566377649063531,1.132755298127062,7.945633910733745
