medium,event,x_P,x_R,successor_loss,successor_null_loss,radius_mean,end_index,end_position,quadrant,parent_step
dry,5,1.2014054533787937,0.45897325363255587,0.04562305642318719,0.19880485872369386,1.1183267532057117,2239,191.0,aB,0.12367952052849307
dry,5,1.2014054533787937,0.45714543131542124,0.050076934858763286,0.21908535633690365,1.0953237033740175,2255,207.0,aB,0.0018278223171346308
dry,5,1.2014054533787937,0.5120811696199232,0.0675699709240817,0.26390336115750346,1.0723595536114066,2271,223.0,aB,0.05493573830450199
dry,5,1.2014054533787937,0.42776420976013035,0.06915874759084557,0.3233498549569001,1.0494337207904185,2287,239.0,aB,0.08431695985979287
dry,5,1.1517778865441926,1.6392414656148009,0.3190463932268288,0.3892610087278018,1.028119416835793,2303,255.0,Ab,1.2124933141436638
dry,5,1.0801758872564369,0.006748877394324531,0.0013077027660013554,0.3875319374155673,1.0147938042507794,2319,271.0,aB,1.6340620847742577
dry,5,0.9497876471664563,0.007079911969443383,0.0012933452921863157,0.36535632018260744,1.0125402544356565,2335,287.0,bA,0.13038866031082746
dry,5,0.9497876471664563,0.008120513031799507,0.0012793709793161602,0.3150960965905011,1.0155079925954746,2351,303.0,bA,0.0010406010623561241
dry,5,0.9497876471664563,0.011853538182414844,0.0012695102531543705,0.21419937804523803,1.0187547279768423,2367,319.0,bA,0.003733025150615337
dry,5,0.8562572220780031,0.024321387397051624,0.0012642013492675862,0.10395799619727614,1.0220615599793426,2383,335.0,bA,0.09435776428713039
dry,5,0.8562572220780031,0.05447400658048345,0.001240778432104428,0.04555488057487459,1.025463482108876,2399,351.0,bA,0.030152619183431827
dry,5,0.8562572220780031,0.14358007619847815,0.001218710404915271,0.016976037862392337,1.0295977623183403,2415,367.0,bA,0.0891060696179947
dry,5,0.5473931188332412,2.0,0.0012221201802711044,0.0005511686616905164,1.040426248961603,2431,383.0,Ba,1.8819383538682768
dry,5,0.6000000000000002,1.0689688815361875,0.0012294885655544851,0.002300326205544204,1.0488656586102065,2447,399.0,Ba,0.9325161808215829
dry,5,0.6000000000000002,1.0632815123618073,0.0012171716151667695,0.0022894625760268034,1.049473101770006,2463,415.0,Ba,0.005687369174380175
dry,5,0.0,1.0481760895626353,0.00119260317563234,0.0022755779062465903,1.050079596688135,2479,431.0,Ba,0.6001901147119486
dry,5,0.0,1.0494477993059987,0.00118523465719325,0.0022587777266807312,1.0506840644598947,2495,447.0,Ba,0.0012717097433634361
dry,5,0.0,1.062095906328485,0.0011917523138897951,0.002244151976838917,1.0512881047353568,2511,463.0,Ba,0.012648107022486199
dry,5,0.0,1.082843522283588,0.0012107160567250766,0.002236179155732161,1.0518903494511784,2527,479.0,Ba,0.020747615955102994
dry,5,0.0,1.1005389200910327,0.001229973281462174,0.0022352199617991426,1.052492639772318,2543,495.0,Ba,0.01769539780744478
dry,5,0.0,1.0910208367163017,0.0012181045786024568,0.0022329629968729932,1.0530970161958737,2559,511.0,Ba,0.009518083374731034
dry,6,0.0,1.0395209660861804,0.00045175580468593066,0.0008691615069329507,1.4072693693453946,255,-1793.0,Ba,0.0
dry,6,0.0,0.9260680709835771,0.0003812994107590579,0.0008234803092910431,1.409665726990895,271,-1777.0,bA,0.11345289510260326
dry,6,0.0,0.8129067729081724,0.00030634974698551254,0.0007537143426411541,1.4103916941407446,287,-1761.0,bA,0.11316129807540476
dry,6,0.0,0.6542787625423115,0.00021787930254170692,0.0006660136780081315,1.4110655414150552,303,-1745.0,bA,0.15862801036586083
dry,6,0.0,0.407851028957886,0.00011489273346583648,0.0005634053873023334,1.411671566855361,319,-1729.0,bA,0.24642773358442555
dry,6,0.0,0.06971942534259579,1.5665815181309384e-05,0.00044939599270443775,1.4122123004736817,335,-1713.0,bA,0.3381316036152902
dry,6,0.0,0.0,0.0,0.00034031318880745065,1.4126930033301335,351,-1697.0,bA,0.06971942534259579
dry,6,0.0,0.0,0.0,0.0002451915769194901,1.4131131983405596,367,-1681.0,bA,0.0
dry,6,0.0,0.0,0.0,0.0001650606855598813,1.413468639772857,383,-1665.0,bA,0.0
dry,6,0.0,0.0,0.0,0.00010158635189005949,1.4137516792280158,399,-1649.0,bA,0.0
dry,6,0.0,0.0,0.0,5.383394520697138e-05,1.4139655763598027,415,-1633.0,bA,0.0
dry,6,0.0,0.0,0.0,2.1322930095601933e-05,1.4141127353802738,431,-1617.0,bA,0.0
dry,6,0.0,0.0,0.0,4.099329426243692e-06,1.414192512575694,447,-1601.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,463,-1585.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,479,-1569.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,495,-1553.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,511,-1537.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,527,-1521.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,543,-1505.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,559,-1489.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,575,-1473.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,591,-1457.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,607,-1441.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,623,-1425.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,639,-1409.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,655,-1393.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,671,-1377.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,687,-1361.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,703,-1345.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,719,-1329.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,735,-1313.0,bA,0.0
dry,6,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,751,-1297.0,bA,0.0
