medium,event,relative_row,x_S,x_F,child_u,child_v,child_handover,active_Ab_child
dry,1,29,1.1928031223932465,1.9890999119117991,0.38560624478649297,1.9781998238235983,1.6737412176852327,True
dry,1,30,1.185958269588421,1.9893499726779769,0.371916539176842,1.9786999453559537,1.683558299174641,True
dry,1,31,1.1866856484988477,1.986356172752483,0.37337129699769545,1.972712345504966,1.6817067471649005,True
dry,1,32,1.189493610903441,1.9745977516049684,0.37898722180688216,1.9491955032099368,1.6744351568847378,True
dry,1,33,1.1921890795010903,1.963480477927992,0.38437815900218064,1.926960955855984,1.6673978677284937,True
dry,1,34,1.1943307328530188,1.9547688623061277,0.38866146570603766,1.9095377246122553,1.6617686862449819,True
dry,1,35,1.196050299345591,1.9478594028976683,0.3921005986911821,1.8957188057953367,1.6572276658531222,True
dry,1,36,1.197489654784645,1.9421117866361628,0.39497930956928995,1.8842235732723256,1.6534057476473125,True
dry,1,37,1.1987126491428424,1.9372783842391041,0.39742529828568474,1.8745567684782083,1.65015102531002,True
dry,1,38,1.1997530063043989,1.9332172708314908,0.3995060126087977,1.8664345416629815,1.6473817357161962,True
dry,1,39,1.200628807918711,1.9298471543099007,0.40125761583742214,1.8596943086198015,1.6450542698436632,True
dry,1,40,1.2013705725610277,1.9270449390373108,0.4027411451220555,1.8540898780746216,1.6430914490429196,True
dry,1,41,1.2020006447236375,1.9246988308392836,0.4040012894472751,1.8493976616785672,1.6414294155542868,True
dry,1,42,1.2025436338747868,1.922717031783758,0.4050872677495736,1.8454340635675162,1.6400058403245605,True
dry,1,43,1.2030096983363219,1.9210894968046401,0.40601939667264375,1.8421789936092803,1.638804654938189,True
dry,1,44,1.203403703309368,1.9197488627221313,0.40680740661873616,1.8394977254442626,1.637798622447053,True
dry,1,45,1.2037475381105218,1.9185878209666252,0.40749507622104364,1.8371756419332503,1.6369221793420898,True
dry,1,46,1.2040432060578854,1.917602387273798,0.4080864121157708,1.835204774547596,1.636171697600478,True
dry,1,47,1.2043034493448221,1.9167502123917446,0.4086068986896443,1.8335004247834892,1.6355153079320999,True
dry,1,48,1.204543490463362,1.9159908790189712,0.40908698092672413,1.8319817580379425,1.6349179533728047,True
dry,1,49,1.2047691785572026,1.9152803963148863,0.4095383571144051,1.8305607926297727,1.6343569371372022,True
dry,1,50,1.2049860711306148,1.9146075276490278,0.4099721422612297,1.8292150552980555,1.6338205731900401,True
dry,1,51,1.2051962042089461,1.913951275099685,0.41039240841789226,1.82790255019937,1.633299081662215,True
dry,1,52,1.2053864649167942,1.9133503525572646,0.4107729298335885,1.8267007051145292,1.6328243395430102,True
dry,1,53,1.205550859653467,1.9128460582292286,0.41110171930693395,1.8256921164584572,1.6324187658839266,True
dry,1,54,1.205697933183946,1.91242901549555,0.4113958663678918,1.8248580309911002,1.6320669429766013,True
dry,1,55,1.2058274838136254,1.912042831331975,0.41165496762725073,1.8240856626639501,1.631750694110136,True
dry,1,56,1.2059455269480153,1.911698133972615,0.41189105389603053,1.8233962679452298,1.631464778714223,True
dry,1,57,1.2060613568928722,1.9113729323713144,0.4121227137857444,1.822745864742629,1.6311884128263856,True
dry,1,58,1.2061847013248266,1.911024755805696,0.41236940264965316,1.8220495116113922,1.6308933834942678,True
dry,1,59,1.2063129981771978,1.9106295351746958,0.4126259963543957,1.8212590703493916,1.630575446781381,True
dry,1,60,1.206436517047735,1.9102561731153118,0.4128730340954698,1.8205123462306236,1.630271570923253,True
dry,1,61,1.2065496813530066,1.9099820364285112,0.4130993627060131,1.8199640728570223,1.6300155596772323,True
dry,1,62,1.206666718739933,1.9097016288146804,0.41333343747986584,1.8194032576293608,1.6297517406461175,True
dry,1,63,1.2067937291077317,1.909387767210844,0.4135874582154635,1.8187755344216878,1.6294621801386509,True
dry,1,64,1.2069135793168038,1.9090577762191967,0.41382715863360753,1.8181155524383934,1.6291776159121516,True
dry,1,65,1.2070220392315214,1.90877608881297,0.4140440784630428,1.8175521776259398,1.6289256380195924,True
dry,1,66,1.2071354025057963,1.908473257136633,0.41427080501159264,1.816946514273266,1.6286593856806624,True
dry,1,67,1.2072460020187665,1.9081902561909483,0.41449200403753306,1.8163805123818966,1.628403684220561,True
dry,1,68,1.207350618833436,1.9079293448498633,0.41470123766687195,1.8158586896997266,1.6281640026085569,True
dry,1,69,1.2074575060753046,1.9076426267080004,0.4149150121506091,1.8152852534160009,1.627912328272282,True
dry,1,70,1.2075666501163607,1.9073544886709026,0.4151333002327213,1.8147089773418053,1.627656803884555,True
dry,1,71,1.2076806321024829,1.90701324126131,0.4153612642049658,1.8140264825226202,1.6273763818656892,True
dry,1,72,1.2078003651106566,1.9066777729621998,0.41560073022131316,1.8133555459243995,1.6270893828927273,True
dry,1,73,1.207916887358641,1.9063616500439375,0.415833774717282,1.812723300087875,1.6268134395852183,True
dry,1,74,1.2080344971221757,1.90603008017214,0.4160689942443514,1.8120601603442799,1.6265306314156027,True
dry,1,75,1.2081595096230957,1.9056290326759158,0.4163190192461914,1.8112580653518315,1.6262135913278006,True
dry,1,76,1.2082830284936512,1.9052551495966257,0.4165660569873024,1.8105102991932513,1.6259077010707301,True
dry,1,77,1.2084139228455326,1.9048502094236557,0.41682784569106524,1.8097004188473114,1.6255804587529135,True
dry,1,78,1.2085470113077308,1.9044424916630378,0.4170940226154616,1.8088849833260756,1.6252489160929524,True
dry,1,79,1.2086758123966166,1.9040573757798454,0.4173516247932332,1.8081147515596907,1.624931089296271,True
dry,1,80,1.2087979739169405,1.9036877586888923,0.4175959478338811,1.8073755173777846,1.6246280418754455,True
dry,1,81,1.208923046381111,1.9033178808996956,0.41784609276222184,1.8066357617993911,1.6243205203896183,True
dry,1,82,1.2090418799403286,1.9029666784826567,0.41808375988065727,1.8059333569653133,1.6240282894283025,True
dry,1,83,1.2091572383558986,1.9026480329455893,0.4183144767117972,1.8052960658911785,1.6237520296858146,True
dry,1,84,1.2092729156670092,1.9023423717361485,0.41854583133401846,1.804684743472297,1.6234796011920791,True
dry,1,85,1.2093852023281613,1.9020364475800726,0.41877040465632254,1.8040728951601452,1.6232119423884726,True
dry,1,86,1.2095003535979207,1.90175018100272,0.4190007071958415,1.80350036200544,1.6229466766048206,True
dry,1,87,1.2096189282248662,1.9014628541222085,0.4192378564497323,1.802925708244417,1.622675969392528,True
dry,1,88,1.2097360746359207,1.9011835095245804,0.4194721492718414,1.8023670190491607,1.6224099788565454,True
dry,1,89,1.2098489064176399,1.9008971070791594,0.41969781283527974,1.8017942141583188,1.6221478108086955,True
dry,1,90,1.209967873531388,1.900599771498625,0.4199357470627758,1.8011995429972498,1.6218728783050156,True
dry,1,91,1.2100989450474546,1.9002463590253391,0.42019789009490927,1.8004927180506782,1.6215610688372297,True
dry,1,92,1.2102310522926099,1.8998588263612017,0.4204621045852197,1.7997176527224035,1.6212359803738527,True
dry,1,93,1.2103565390484192,1.89948273348705,0.42071307809683844,1.7989654669741002,1.6209243189460185,True
dry,1,94,1.2104754489245193,1.8991304245812193,0.4209508978490386,1.7982608491624386,1.6206302544893103,True
dry,1,95,1.2105889512045476,1.8988237329184012,0.42117790240909514,1.7976474658368025,1.6203595754432363,True
dry,1,96,1.2107073186856827,1.8984853298496756,0.4214146373713654,1.796970659699351,1.6200708344688133,True
dry,1,97,1.210831101939697,1.8981043857742976,0.4216622038793938,1.7962087715485953,1.6197594823585042,True
dry,1,98,1.2109511783738318,1.89771627760878,0.42190235674766363,1.7954325552175598,1.6194509413341338,True
dry,1,99,1.2110704916391621,1.8973499847563846,0.4221409832783243,1.7946999695127692,1.6191508617279633,True
dry,1,100,1.211188406670226,1.8952861518350492,0.4223768133404522,1.7905723036700985,1.6182679392908623,True
dry,1,101,1.2113157441103728,1.8913877236498549,0.4226314882207456,1.7827754472997097,1.616731514339771,True
dry,1,102,1.21143869060432,1.886729187790869,0.42287738120863994,1.773458375581738,1.6149246490194076,True
dry,1,103,1.2115565456721153,1.8817585886686727,0.4231130913442307,1.7635171773373455,1.6129998771128822,True
dry,1,104,1.2116703804756959,1.8765676026012097,0.4233407609513917,1.7531352052024194,1.6109851268429083,True
dry,1,105,1.2117811326224308,1.8711012385276382,0.4235622652448616,1.7422024770552764,1.6088566251244631,True
dry,1,106,1.211894149745142,1.8652724798947893,0.4237882994902842,1.7305449597895786,1.6065712696354644,True
dry,1,107,1.2120048092213627,1.8590466574969757,0.42400961844272533,1.7180933149939515,1.6041183532086698,True
dry,1,108,1.2121142094690704,1.8523619356878631,0.4242284189381409,1.7047238713757262,1.601467425204162,True
