family,stratum,sample,cycle,landmark,phase,ara_phase
double,free,44,5,4,0.8747813150091321,1.7495626300182643
double,free,45,5,5,0.12519141055237526,0.2503828211047505
double,free,46,5,6,0.22648814088388924,0.4529762817677785
double,free,47,5,7,0.3884844929255742,0.7769689858511484
double,free,48,6,0,0.6432232298342742,1.2864464596685483
double,free,49,6,1,0.7004365338519252,1.4008730677038503
double,free,50,6,2,0.7408169548449441,1.4816339096898883
double,free,51,6,3,0.8043568118986721,1.6087136237973443
double,free,52,6,4,0.8709700529429609,1.7419401058859219
double,free,53,6,5,0.12226459709914117,0.24452919419828234
double,free,54,6,6,0.2258579042817459,0.4517158085634918
double,free,55,6,7,0.38460911449804325,0.7692182289960865
double,free,56,7,0,0.6488131171582188,1.2976262343164375
double,free,57,7,1,0.7006403290935328,1.4012806581870656
double,free,58,7,2,0.7348815581211507,1.4697631162423015
double,free,59,7,3,0.7998332350420965,1.599666470084193
double,free,60,7,4,0.8701221340422016,1.7402442680844032
double,free,61,7,5,0.12477838521204454,0.24955677042408908
double,free,62,7,6,0.20903561132319837,0.41807122264639673
double,free,63,7,7,0.3838410071058558,0.7676820142117116
double,free,64,8,0,0.664316372007324,1.328632744014648
double,free,65,8,1,0.6966497795941091,1.3932995591882182
double,free,66,8,2,0.7190749501288547,1.4381499002577094
double,free,67,8,3,0.7952289047530954,1.5904578095061908
double,free,68,8,4,0.8743229581325718,1.7486459162651435
double,free,69,8,5,0.12162285190368216,0.24324570380736432
double,free,70,8,6,0.18014888121458128,0.36029776242916256
double,free,71,8,7,0.3746811556250531,0.7493623112501062
double,free,72,9,0,0.8812373502639375,1.762474700527875
double,free,73,9,1,0.046445385561805,0.09289077112361
double,free,74,9,2,0.12491436570453374,0.24982873140906747
double,free,75,9,3,0.11650161033243833,0.23300322066487666
double,free,76,9,4,0.15714466688766748,0.31428933377533497
double,free,77,9,5,0.2663953259689915,0.532790651937983
double,free,78,9,6,0.3297176220775686,0.6594352441551372
double,free,79,9,7,0.5190498525805829,1.0380997051611658
double,free,80,10,0,0.890897659356332,1.781795318712664
double,free,81,10,1,0.06190075168150777,0.12380150336301554
double,free,82,10,2,0.13247159219051063,0.26494318438102127
double,free,83,10,3,0.12164970601089564,0.24329941202179128
double,free,84,10,4,0.12789446338070398,0.25578892676140796
double,free,85,10,5,0.260892607469259,0.521785214938518
double,free,86,10,6,0.3126393422274969,0.6252786844549938
double,free,87,10,7,0.5081954247706477,1.0163908495412954
double,free,88,11,0,0.650352870345591,1.300705740691182
double,free,89,11,1,0.6810789706892173,1.3621579413784346
double,free,90,11,2,0.7037345399910144,1.4074690799820289
double,free,91,11,3,0.8004717744399272,1.6009435488798545
double,free,92,11,4,0.900441172547664,1.800882345095328
double,free,93,11,5,0.14388294777286958,0.28776589554573917
double,free,94,11,6,0.11356108007970356,0.22712216015940712
double,free,95,11,7,0.3107495023844429,0.6214990047688858
