record,event_id,rung,role,first_warning_lead_s
Wgn24,Wgn24:E013,-2,grandchild,
Wgn24,Wgn24:E013,-1,child,
Wgn24,Wgn24:E013,0,current,
Wgn24,Wgn24:E013,1,parent,
Wgn24,Wgn24:E013,2,grandparent,
Wgn24,Wgn24:E014,-2,grandchild,
Wgn24,Wgn24:E014,-1,child,
Wgn24,Wgn24:E014,0,current,
Wgn24,Wgn24:E014,1,parent,
Wgn24,Wgn24:E014,2,grandparent,
Wgn24,Wgn24:E015,-2,grandchild,
Wgn24,Wgn24:E015,-1,child,
Wgn24,Wgn24:E015,0,current,
Wgn24,Wgn24:E015,1,parent,
Wgn24,Wgn24:E015,2,grandparent,
Wgn25,Wgn25:E000,-2,grandchild,
Wgn25,Wgn25:E000,-1,child,
Wgn25,Wgn25:E000,0,current,
Wgn25,Wgn25:E000,1,parent,
Wgn25,Wgn25:E000,2,grandparent,
Wgn25,Wgn25:E001,-2,grandchild,
Wgn25,Wgn25:E001,-1,child,
Wgn25,Wgn25:E001,0,current,
Wgn25,Wgn25:E001,1,parent,
Wgn25,Wgn25:E001,2,grandparent,
Wgn25,Wgn25:E002,-2,grandchild,
Wgn25,Wgn25:E002,-1,child,
Wgn25,Wgn25:E002,0,current,
Wgn25,Wgn25:E002,1,parent,
Wgn25,Wgn25:E002,2,grandparent,
Wgn26,Wgn26:E000,-2,grandchild,
Wgn26,Wgn26:E000,-1,child,
Wgn26,Wgn26:E000,0,current,
Wgn26,Wgn26:E000,1,parent,
Wgn26,Wgn26:E000,2,grandparent,
Wgn26,Wgn26:E001,-2,grandchild,
Wgn26,Wgn26:E001,-1,child,
Wgn26,Wgn26:E001,0,current,
Wgn26,Wgn26:E001,1,parent,
Wgn26,Wgn26:E001,2,grandparent,
Wgn26,Wgn26:E002,-2,grandchild,
Wgn26,Wgn26:E002,-1,child,
Wgn26,Wgn26:E002,0,current,
Wgn26,Wgn26:E002,1,parent,
Wgn26,Wgn26:E002,2,grandparent,
Wgn26,Wgn26:E003,-2,grandchild,
Wgn26,Wgn26:E003,-1,child,
Wgn26,Wgn26:E003,0,current,
Wgn26,Wgn26:E003,1,parent,
Wgn26,Wgn26:E003,2,grandparent,
Wgn26,Wgn26:E004,-2,grandchild,
Wgn26,Wgn26:E004,-1,child,
Wgn26,Wgn26:E004,0,current,
Wgn26,Wgn26:E004,1,parent,
Wgn26,Wgn26:E004,2,grandparent,
Wgn26,Wgn26:E005,-2,grandchild,
Wgn26,Wgn26:E005,-1,child,
Wgn26,Wgn26:E005,0,current,
Wgn26,Wgn26:E005,1,parent,
Wgn26,Wgn26:E005,2,grandparent,
Wgn26,Wgn26:E006,-2,grandchild,
Wgn26,Wgn26:E006,-1,child,
Wgn26,Wgn26:E006,0,current,
Wgn26,Wgn26:E006,1,parent,
Wgn26,Wgn26:E006,2,grandparent,
Wgn26,Wgn26:E007,-2,grandchild,
Wgn26,Wgn26:E007,-1,child,
Wgn26,Wgn26:E007,0,current,
Wgn26,Wgn26:E007,1,parent,
Wgn26,Wgn26:E007,2,grandparent,
Wgn26,Wgn26:E008,-2,grandchild,
Wgn26,Wgn26:E008,-1,child,
Wgn26,Wgn26:E008,0,current,
Wgn26,Wgn26:E008,1,parent,
Wgn26,Wgn26:E008,2,grandparent,
Wgn26,Wgn26:E009,-2,grandchild,
Wgn26,Wgn26:E009,-1,child,
Wgn26,Wgn26:E009,0,current,
Wgn26,Wgn26:E009,1,parent,
Wgn26,Wgn26:E009,2,grandparent,
Wgn26,Wgn26:E010,-2,grandchild,
Wgn26,Wgn26:E010,-1,child,
Wgn26,Wgn26:E010,0,current,
Wgn26,Wgn26:E010,1,parent,
Wgn26,Wgn26:E010,2,grandparent,
Wgn26,Wgn26:E011,-2,grandchild,
Wgn26,Wgn26:E011,-1,child,
Wgn26,Wgn26:E011,0,current,
Wgn26,Wgn26:E011,1,parent,
Wgn26,Wgn26:E011,2,grandparent,
Wgn26,Wgn26:E012,-2,grandchild,
Wgn26,Wgn26:E012,-1,child,
Wgn26,Wgn26:E012,0,current,
Wgn26,Wgn26:E012,1,parent,
Wgn26,Wgn26:E012,2,grandparent,
Wgn26,Wgn26:E013,-2,grandchild,
Wgn26,Wgn26:E013,-1,child,
Wgn26,Wgn26:E013,0,current,
Wgn26,Wgn26:E013,1,parent,
Wgn26,Wgn26:E013,2,grandparent,
Wgn26,Wgn26:E014,-2,grandchild,
Wgn26,Wgn26:E014,-1,child,
Wgn26,Wgn26:E014,0,current,
Wgn26,Wgn26:E014,1,parent,
Wgn26,Wgn26:E014,2,grandparent,
Wgn26,Wgn26:E015,-2,grandchild,
Wgn26,Wgn26:E015,-1,child,
Wgn26,Wgn26:E015,0,current,
Wgn26,Wgn26:E015,1,parent,
Wgn26,Wgn26:E015,2,grandparent,
Wgn26,Wgn26:E016,-2,grandchild,
Wgn26,Wgn26:E016,-1,child,
Wgn26,Wgn26:E016,0,current,
Wgn26,Wgn26:E016,1,parent,
Wgn26,Wgn26:E016,2,grandparent,
Wgn26,Wgn26:E017,-2,grandchild,
Wgn26,Wgn26:E017,-1,child,
Wgn26,Wgn26:E017,0,current,
Wgn26,Wgn26:E017,1,parent,
Wgn26,Wgn26:E017,2,grandparent,
Wgn26,Wgn26:E018,-2,grandchild,
Wgn26,Wgn26:E018,-1,child,
Wgn26,Wgn26:E018,0,current,
Wgn26,Wgn26:E018,1,parent,
Wgn26,Wgn26:E018,2,grandparent,
Wgn26,Wgn26:E019,-2,grandchild,
Wgn26,Wgn26:E019,-1,child,
Wgn26,Wgn26:E019,0,current,
Wgn26,Wgn26:E019,1,parent,
Wgn26,Wgn26:E019,2,grandparent,
Wgn26,Wgn26:E020,-2,grandchild,
Wgn26,Wgn26:E020,-1,child,
Wgn26,Wgn26:E020,0,current,
Wgn26,Wgn26:E020,1,parent,
Wgn26,Wgn26:E020,2,grandparent,
Wgn26,Wgn26:E021,-2,grandchild,
Wgn26,Wgn26:E021,-1,child,
Wgn26,Wgn26:E021,0,current,
Wgn26,Wgn26:E021,1,parent,
Wgn26,Wgn26:E021,2,grandparent,
Wgn26,Wgn26:E022,-2,grandchild,
Wgn26,Wgn26:E022,-1,child,
Wgn26,Wgn26:E022,0,current,
Wgn26,Wgn26:E022,1,parent,
Wgn26,Wgn26:E022,2,grandparent,
Wgn26,Wgn26:E023,-2,grandchild,
Wgn26,Wgn26:E023,-1,child,
Wgn26,Wgn26:E023,0,current,
Wgn26,Wgn26:E023,1,parent,
Wgn26,Wgn26:E023,2,grandparent,
Wgn26,Wgn26:E024,-2,grandchild,
Wgn26,Wgn26:E024,-1,child,
Wgn26,Wgn26:E024,0,current,
Wgn26,Wgn26:E024,1,parent,
Wgn26,Wgn26:E024,2,grandparent,
Wgn26,Wgn26:E025,-2,grandchild,
Wgn26,Wgn26:E025,-1,child,
Wgn26,Wgn26:E025,0,current,
Wgn26,Wgn26:E025,1,parent,
Wgn26,Wgn26:E025,2,grandparent,
Wgn26,Wgn26:E026,-2,grandchild,
Wgn26,Wgn26:E026,-1,child,
Wgn26,Wgn26:E026,0,current,
Wgn26,Wgn26:E026,1,parent,
Wgn26,Wgn26:E026,2,grandparent,
Wgn26,Wgn26:E027,-2,grandchild,
Wgn26,Wgn26:E027,-1,child,
Wgn26,Wgn26:E027,0,current,
Wgn26,Wgn26:E027,1,parent,
Wgn26,Wgn26:E027,2,grandparent,
Wgn26,Wgn26:E028,-2,grandchild,
Wgn26,Wgn26:E028,-1,child,
Wgn26,Wgn26:E028,0,current,
Wgn26,Wgn26:E028,1,parent,
Wgn26,Wgn26:E028,2,grandparent,
Wgn26,Wgn26:E029,-2,grandchild,
Wgn26,Wgn26:E029,-1,child,
Wgn26,Wgn26:E029,0,current,
Wgn26,Wgn26:E029,1,parent,
Wgn26,Wgn26:E029,2,grandparent,
Wgn26,Wgn26:E030,-2,grandchild,
Wgn26,Wgn26:E030,-1,child,
Wgn26,Wgn26:E030,0,current,
Wgn26,Wgn26:E030,1,parent,
Wgn26,Wgn26:E030,2,grandparent,
Wgn26,Wgn26:E031,-2,grandchild,
Wgn26,Wgn26:E031,-1,child,
Wgn26,Wgn26:E031,0,current,
Wgn26,Wgn26:E031,1,parent,
Wgn26,Wgn26:E031,2,grandparent,
Wgn26,Wgn26:E032,-2,grandchild,
Wgn26,Wgn26:E032,-1,child,
Wgn26,Wgn26:E032,0,current,
Wgn26,Wgn26:E032,1,parent,
Wgn26,Wgn26:E032,2,grandparent,
Wgn26,Wgn26:E033,-2,grandchild,
Wgn26,Wgn26:E033,-1,child,
Wgn26,Wgn26:E033,0,current,
Wgn26,Wgn26:E033,1,parent,
Wgn26,Wgn26:E033,2,grandparent,
Wgn26,Wgn26:E034,-2,grandchild,
Wgn26,Wgn26:E034,-1,child,
Wgn26,Wgn26:E034,0,current,
Wgn26,Wgn26:E034,1,parent,
Wgn26,Wgn26:E034,2,grandparent,
Wgn26,Wgn26:E035,-2,grandchild,
Wgn26,Wgn26:E035,-1,child,
Wgn26,Wgn26:E035,0,current,
Wgn26,Wgn26:E035,1,parent,
Wgn26,Wgn26:E035,2,grandparent,
Wgn26,Wgn26:E036,-2,grandchild,
Wgn26,Wgn26:E036,-1,child,
Wgn26,Wgn26:E036,0,current,
Wgn26,Wgn26:E036,1,parent,
Wgn26,Wgn26:E036,2,grandparent,
Wgn26,Wgn26:E037,-2,grandchild,
Wgn26,Wgn26:E037,-1,child,
Wgn26,Wgn26:E037,0,current,
Wgn26,Wgn26:E037,1,parent,
Wgn26,Wgn26:E037,2,grandparent,
