split,case_id,seed,duration,teeth,width,rate_on,noise,regime,mode,connection_share_at_80,final_connection_response,post_front_response,geometry_score,response_score,lock_order_spearman,median_k_minus_g_onset_lag,pause_connection_gain,pause_front_velocity,reverse_unlock_spearman
calibration,12,12,641,36,0.095,0.075,0.24,false-seam,forward,1.44295603245705,0.14691639347935348,0.06518089053512793,0.4018161765038046,0.14691639347935348,-0.41343582887700536,-0.16640625,,,
calibration,12,12,641,36,0.095,0.075,0.24,progressive,pause,0.742748190883471,0.8376301691555799,0.9999999989122317,0.4017125674405826,0.8376301691555799,0.5774212437641484,-0.028125,0.017674422902721587,0.0,
calibration,12,12,641,36,0.095,0.075,0.24,progressive,reverse,4.719107328483724,0.12534304777067362,,0.40231167645788696,0.12534304777067362,0.3904901161221681,0.0,,,-0.2958444490633934
calibration,13,13,897,36,0.075,0.1,0.4,progressive,forward,0.8036114945706542,0.8936714520175837,0.9999999999999929,0.4178144948702614,0.8936714520175837,0.7850935828877006,-0.02845982142857143,,,
calibration,13,13,897,36,0.075,0.1,0.4,memory-only,forward,0.6105167910055207,0.08996062812879034,0.05045246444061444,0.4178144948702614,0.08996062812879034,0.20000000000000004,0.017857142857142856,,,
calibration,13,13,897,36,0.075,0.1,0.4,late-snap,forward,0.11875091602924344,0.4625014765233889,0.78799075999304,0.4178144948702614,0.4625014765233889,-0.12565353267444018,0.2416294642857143,,,
calibration,13,13,897,36,0.075,0.1,0.4,false-seam,forward,1.0726567912425484,0.14567562841664206,0.0,0.4178144948702614,0.14567562841664206,0.35,-0.03571428571428571,,,
calibration,13,13,897,36,0.075,0.1,0.4,progressive,pause,0.7464088192971337,0.9005421559279668,0.9999999999999839,0.41707067598605035,0.9005421559279668,0.7017570664629488,-0.017857142857142856,0.058848760759978525,0.0,
calibration,13,13,897,36,0.075,0.1,0.4,progressive,reverse,3.4082620212545534,0.15809839071521023,,0.4219606690956499,0.15809839071521023,0.47627779190112446,-0.01171875,,,-0.4556430058384832
calibration,14,14,641,36,0.055,0.05,0.32,progressive,forward,0.8352073387135279,0.8718039884666615,0.9999995557282564,0.4398840212968189,0.8718039884666615,0.2594019195380164,-0.275,,,
calibration,14,14,641,36,0.055,0.05,0.32,memory-only,forward,0.9244641333164909,0.11854221602316199,0.0,0.4398840212968189,0.11854221602316199,-0.21937695443678,-0.278125,,,
calibration,14,14,641,36,0.055,0.05,0.32,late-snap,forward,0.2173969751175664,0.5040917746808778,0.7257537675183373,0.4398840212968189,0.5040917746808778,-0.219623223453353,-0.27578125,,,
calibration,14,14,641,36,0.055,0.05,0.32,false-seam,forward,1.073950733562993,0.13764047238541294,0.03470696958169922,0.4398840212968189,0.13764047238541294,0.1704643441923717,-0.3578125,,,
calibration,14,14,641,36,0.055,0.05,0.32,progressive,pause,0.7566465615074576,0.8538113356244084,0.9999993804255232,0.4445148859114992,0.8538113356244084,0.35291846395237103,-0.1328125,0.007589025297073171,0.0,
calibration,14,14,641,36,0.055,0.05,0.32,progressive,reverse,3.383691604665742,0.18229620673809294,,0.4383186766217276,0.18229620673809294,0.28466591540210057,-0.003125,,,-0.23693061333440776
calibration,15,15,897,36,0.095,0.075,0.24,progressive,forward,0.80863922725513,0.871288880826634,0.9999999999999568,0.39815282042134853,0.871288880826634,0.8779891537580563,-0.05022321428571429,,,
calibration,15,15,897,36,0.095,0.075,0.24,memory-only,forward,1.2163675405867282,0.08654838700738096,0.0,0.39815282042134853,0.08654838700738096,0.4263157894736842,-0.10714285714285715,,,
calibration,15,15,897,36,0.095,0.075,0.24,late-snap,forward,0.23302884206132254,0.4517666041451334,0.7369748486888311,0.39815282042134853,0.4517666041451334,-0.028411694739434962,0.09151785714285714,,,
