path_id,split,family,parameter,parameter_index,replicate,control,mean_rho,best_miss_64,best_miss_512,exact_closure_64
calibration:periodic rational:1:2,calibration,periodic rational,7,1,2,shuffled,0.01425769016471334,,,False
calibration:periodic rational:1:3,calibration,periodic rational,7,1,3,chronological,1.0,0.28571428571428564,0.2857142857142856,True
calibration:periodic rational:1:3,calibration,periodic rational,7,1,3,shuffled,0.013894248245848964,,,False
calibration:periodic rational:1:4,calibration,periodic rational,7,1,4,chronological,1.0000000000000002,0.2857142857142857,0.2857142857142857,True
calibration:periodic rational:1:4,calibration,periodic rational,7,1,4,shuffled,0.013262486976420965,,,False
calibration:periodic rational:1:5,calibration,periodic rational,7,1,5,chronological,1.0,0.2857142857142857,0.28571428571428564,True
calibration:periodic rational:1:5,calibration,periodic rational,7,1,5,shuffled,0.012973473889637498,,,False
calibration:periodic rational:1:6,calibration,periodic rational,7,1,6,chronological,1.0000000000000002,0.2857142857142857,0.28571428571428564,True
calibration:periodic rational:1:6,calibration,periodic rational,7,1,6,shuffled,0.01301911275581317,,,False
calibration:periodic rational:1:7,calibration,periodic rational,7,1,7,chronological,1.0,0.28571428571428564,0.28571428571428564,True
calibration:periodic rational:1:7,calibration,periodic rational,7,1,7,shuffled,0.013621952079152724,,,False
calibration:periodic rational:1:8,calibration,periodic rational,7,1,8,chronological,1.0000000000000002,0.2857142857142857,0.2857142857142857,True
calibration:periodic rational:1:8,calibration,periodic rational,7,1,8,shuffled,0.01366020709493412,,,False
calibration:periodic rational:1:9,calibration,periodic rational,7,1,9,chronological,1.0000000000000002,0.2857142857142857,0.2857142857142856,True
calibration:periodic rational:1:9,calibration,periodic rational,7,1,9,shuffled,0.013669151121535338,,,False
calibration:periodic rational:1:10,calibration,periodic rational,7,1,10,chronological,1.0000000000000002,0.2857142857142857,0.2857142857142857,True
calibration:periodic rational:1:10,calibration,periodic rational,7,1,10,shuffled,0.013156667562202722,,,False
calibration:periodic rational:1:11,calibration,periodic rational,7,1,11,chronological,1.0000000000000002,0.2857142857142857,0.28571428571428564,True
calibration:periodic rational:1:11,calibration,periodic rational,7,1,11,shuffled,0.013305385383831025,,,False
calibration:periodic rational:1:12,calibration,periodic rational,7,1,12,chronological,1.0000000000000002,0.28571428571428564,0.28571428571428564,True
calibration:periodic rational:1:12,calibration,periodic rational,7,1,12,shuffled,0.013819735246426545,,,False
calibration:periodic rational:1:13,calibration,periodic rational,7,1,13,chronological,1.0,0.28571428571428564,0.28571428571428564,True
calibration:periodic rational:1:13,calibration,periodic rational,7,1,13,shuffled,0.013738254713199349,,,False
calibration:periodic rational:1:14,calibration,periodic rational,7,1,14,chronological,1.0000000000000002,0.28571428571428564,0.28571428571428564,True
calibration:periodic rational:1:14,calibration,periodic rational,7,1,14,shuffled,0.014570231698064175,,,False
calibration:periodic rational:1:15,calibration,periodic rational,7,1,15,chronological,1.0000000000000002,0.28571428571428564,0.2857142857142856,True
calibration:periodic rational:1:15,calibration,periodic rational,7,1,15,shuffled,0.013116350395862949,,,False
calibration:periodic rational:1:16,calibration,periodic rational,7,1,16,chronological,1.0000000000000002,0.2857142857142857,0.28571428571428564,True
calibration:periodic rational:1:16,calibration,periodic rational,7,1,16,shuffled,0.01321144213598879,,,False
calibration:periodic rational:1:17,calibration,periodic rational,7,1,17,chronological,1.0000000000000002,0.2857142857142857,0.28571428571428564,True
calibration:periodic rational:1:17,calibration,periodic rational,7,1,17,shuffled,0.013601763148073025,,,False
calibration:periodic rational:1:18,calibration,periodic rational,7,1,18,chronological,1.0,0.28571428571428564,0.28571428571428564,True
calibration:periodic rational:1:18,calibration,periodic rational,7,1,18,shuffled,0.013832363966942023,,,False
calibration:periodic rational:1:19,calibration,periodic rational,7,1,19,chronological,1.0,0.28571428571428564,0.28571428571428564,True
calibration:periodic rational:1:19,calibration,periodic rational,7,1,19,shuffled,0.013766715346499706,,,False
calibration:periodic rational:1:20,calibration,periodic rational,7,1,20,chronological,1.0,0.28571428571428564,0.28571428571428564,True
calibration:periodic rational:1:20,calibration,periodic rational,7,1,20,shuffled,0.013096851567307204,,,False
calibration:periodic rational:1:21,calibration,periodic rational,7,1,21,chronological,1.0000000000000002,0.2857142857142857,0.28571428571428564,True
calibration:periodic rational:1:21,calibration,periodic rational,7,1,21,shuffled,0.013761599596801167,,,False
calibration:periodic rational:1:22,calibration,periodic rational,7,1,22,chronological,1.0000000000000002,0.28571428571428564,0.28571428571428564,True
calibration:periodic rational:1:22,calibration,periodic rational,7,1,22,shuffled,0.012800503916003344,,,False
calibration:periodic rational:1:23,calibration,periodic rational,7,1,23,chronological,1.0,0.2857142857142857,0.28571428571428564,True
calibration:periodic rational:1:23,calibration,periodic rational,7,1,23,shuffled,0.013765684292756767,,,False
calibration:periodic rational:1:24,calibration,periodic rational,7,1,24,chronological,1.0000000000000002,0.2857142857142857,0.28571428571428564,True
calibration:periodic rational:1:24,calibration,periodic rational,7,1,24,shuffled,0.013771825143084325,,,False
calibration:periodic rational:1:25,calibration,periodic rational,7,1,25,chronological,1.0,0.28571428571428564,0.28571428571428564,True
calibration:periodic rational:1:25,calibration,periodic rational,7,1,25,shuffled,0.012879129343937756,,,False
calibration:periodic rational:1:26,calibration,periodic rational,7,1,26,chronological,1.0000000000000002,0.28571428571428564,0.2857142857142856,True
calibration:periodic rational:1:26,calibration,periodic rational,7,1,26,shuffled,0.013244333779241512,,,False
calibration:periodic rational:1:27,calibration,periodic rational,7,1,27,chronological,1.0,0.28571428571428564,0.2857142857142856,True
calibration:periodic rational:1:27,calibration,periodic rational,7,1,27,shuffled,0.013206997075201635,,,False
calibration:periodic rational:1:28,calibration,periodic rational,7,1,28,chronological,1.0000000000000004,0.2857142857142857,0.28571428571428564,True
calibration:periodic rational:1:28,calibration,periodic rational,7,1,28,shuffled,0.013008881843407438,,,False
calibration:periodic rational:1:29,calibration,periodic rational,7,1,29,chronological,1.0,0.2857142857142857,0.28571428571428564,True
calibration:periodic rational:1:29,calibration,periodic rational,7,1,29,shuffled,0.0137085623287177,,,False
calibration:periodic rational:1:30,calibration,periodic rational,7,1,30,chronological,1.0000000000000002,0.28571428571428564,0.2857142857142856,True
calibration:periodic rational:1:30,calibration,periodic rational,7,1,30,shuffled,0.013454423204602486,,,False
calibration:periodic rational:1:31,calibration,periodic rational,7,1,31,chronological,1.0,0.28571428571428564,0.28571428571428564,True
calibration:periodic rational:1:31,calibration,periodic rational,7,1,31,shuffled,0.01398480175790561,,,False
calibration:periodic rational:1:32,calibration,periodic rational,7,1,32,chronological,1.0,0.28571428571428564,0.28571428571428564,True
calibration:periodic rational:1:32,calibration,periodic rational,7,1,32,shuffled,0.013673867209910668,,,False
calibration:periodic rational:1:33,calibration,periodic rational,7,1,33,chronological,1.0,0.28571428571428564,0.28571428571428564,True
calibration:periodic rational:1:33,calibration,periodic rational,7,1,33,shuffled,0.014084206697496882,,,False
calibration:periodic rational:1:34,calibration,periodic rational,7,1,34,chronological,1.0,0.28571428571428564,0.28571428571428564,True
calibration:periodic rational:1:34,calibration,periodic rational,7,1,34,shuffled,0.01318365103583264,,,False
calibration:periodic rational:1:35,calibration,periodic rational,7,1,35,chronological,1.0000000000000002,0.28571428571428564,0.28571428571428564,True
calibration:periodic rational:1:35,calibration,periodic rational,7,1,35,shuffled,0.01287118350481192,,,False
calibration:periodic rational:1:36,calibration,periodic rational,7,1,36,chronological,1.0000000000000002,0.2857142857142857,0.28571428571428564,True
calibration:periodic rational:1:36,calibration,periodic rational,7,1,36,shuffled,0.013589257276333273,,,False
calibration:periodic rational:1:37,calibration,periodic rational,7,1,37,chronological,0.9999999999999999,0.2857142857142857,0.28571428571428564,True
calibration:periodic rational:1:37,calibration,periodic rational,7,1,37,shuffled,0.013291002284955049,,,False
calibration:periodic rational:1:38,calibration,periodic rational,7,1,38,chronological,1.0000000000000002,0.2857142857142856,0.2857142857142856,True
calibration:periodic rational:1:38,calibration,periodic rational,7,1,38,shuffled,0.013701235185539333,,,False
calibration:periodic rational:1:39,calibration,periodic rational,7,1,39,chronological,1.0,0.2857142857142857,0.2857142857142856,True
calibration:periodic rational:1:39,calibration,periodic rational,7,1,39,shuffled,0.013736088442478409,,,False
calibration:periodic rational:1:40,calibration,periodic rational,7,1,40,chronological,1.0000000000000002,0.28571428571428564,0.28571428571428564,True
calibration:periodic rational:1:40,calibration,periodic rational,7,1,40,shuffled,0.012633453766392511,,,False
