control,handover_time_s,timing_error_s,parent_step
time_shuffle_094,7754.12837,20.550000000000182,0.041295839068772544
time_shuffle_095,7754.89637,19.782000000000153,0.05604531613090069
time_shuffle_096,7764.11237,10.566000000000713,0.0388520002244328
time_shuffle_097,7735.82437,38.85400000000027,0.04136659943696018
time_shuffle_098,7772.30437,2.3740000000007058,0.07743709882073277
time_shuffle_099,7756.94437,17.73400000000038,0.04311732868121032
wrong_pair,7774.7363700000005,0.057999999999992724,0.40292935519288076
connection_only,7745.55237,29.126000000000204,2.0
movement_only,7756.17637,18.502000000000407,0.6000000000000001
reversed_descriptive,7731.60037,43.07800000000043,1.6425968776894744
