path_id,direction,mode,true_center,prediction_rate,predicted_ridge_median,signed_error_median,abs_error_median,centre_range,endpoint_separation_median,x_r_peak_offset_median,wrong_center,wrong_abs_error
q17:d47:t640:r3:irrational_to_rational,irrational_to_rational,abrupt,2205.0,1.0,2323.218762209959,118.2187622099591,118.2187622099591,171.88111502220454,1.7630990292236424,-163.2187622099591,1553.0,770.2187622099591
q17:d47:t640:r4:irrational_to_rational,irrational_to_rational,abrupt,2229.0,1.0,2347.6136842004044,118.61368420040435,118.61368420040435,172.57122574022742,1.7598880356738391,-107.61368420040458,1577.0,770.6136842004044
q17:d47:t640:r5:irrational_to_rational,irrational_to_rational,abrupt,2253.0,1.0,2368.0,115.0,115.0,174.25175295073268,1.7624373852297133,-128.0,1601.0,767.0
q23:d53:t256:r0:irrational_to_rational,irrational_to_rational,abrupt,2277.0,1.0,2367.8255194285784,90.82551942857845,90.82551942857845,150.53414767957975,1.6741008081948379,-95.82551942857845,1625.0,742.8255194285784
q23:d53:t256:r1:irrational_to_rational,irrational_to_rational,abrupt,2302.0,1.0,2391.804669762126,89.8046697621262,89.8046697621262,142.6064592717903,1.6741008081948379,-87.8046697621262,1650.0,741.8046697621262
q23:d53:t256:r2:irrational_to_rational,irrational_to_rational,abrupt,2326.0,1.0,2416.7741204323074,90.77412043230743,90.77412043230743,139.25054020242578,1.6741008081948379,-80.77412043230743,1674.0,742.7741204323074
q23:d53:t256:r3:irrational_to_rational,irrational_to_rational,abrupt,2350.0,1.0,2441.8361545570133,91.83615455701329,91.83615455701329,142.25436945910315,1.6741008081948379,-105.83615455701351,1698.0,743.8361545570133
q23:d53:t256:r4:irrational_to_rational,irrational_to_rational,abrupt,2374.0,1.0,2463.3888684471467,89.3888684471467,89.3888684471467,150.57827603873739,1.6742850333690433,-95.38886844714693,1722.0,741.3888684471467
q23:d53:t256:r5:irrational_to_rational,irrational_to_rational,abrupt,2398.0,1.0,2488.4936978992237,90.49369789922366,90.49369789922366,142.8397904285962,1.6741008081948379,-88.49369789922366,1746.0,742.4936978992237
q23:d53:t448:r0:irrational_to_rational,irrational_to_rational,abrupt,2422.0,1.0,2512.3950525249593,90.39505252495928,90.39505252495928,140.65203068098572,1.6741008081948379,-80.39505252495928,1770.0,742.3950525249593
q23:d53:t448:r1:irrational_to_rational,irrational_to_rational,abrupt,2446.0,1.0,2536.19640713249,90.1964071324901,90.1964071324901,145.16775825377408,1.6742850333690433,-104.19640713249032,1794.0,742.1964071324901
q23:d53:t448:r2:irrational_to_rational,irrational_to_rational,abrupt,2471.0,1.0,2560.7560487138594,89.7560487138594,89.7560487138594,151.73054789072876,1.6741008081948379,-96.7560487138594,1819.0,741.7560487138594
q23:d53:t448:r3:irrational_to_rational,irrational_to_rational,abrupt,2495.0,1.0,2588.357451453634,93.35745145363398,93.35745145363398,147.3580449942301,1.6756396865528382,-92.35745145363376,1843.0,745.357451453634
q23:d53:t448:r4:irrational_to_rational,irrational_to_rational,abrupt,2519.0,1.0,2612.3174168888227,93.31741688882266,93.31741688882266,142.13857411330946,1.6741008081948379,-84.31741688882289,1867.0,745.3174168888227
q23:d53:t448:r5:irrational_to_rational,irrational_to_rational,abrupt,2543.0,1.0,2634.5544236420446,91.55442364204464,91.55442364204464,143.84664075328328,1.6741008081948379,-90.55442364204487,1891.0,743.5544236420446
q23:d53:t640:r0:irrational_to_rational,irrational_to_rational,abrupt,2567.0,1.0,2656.5388374619497,89.5388374619497,89.5388374619497,151.55024864960342,1.6741008081948379,-96.5388374619497,1915.0,741.5388374619497
q23:d53:t640:r1:irrational_to_rational,irrational_to_rational,abrupt,2591.0,1.0,2683.62985159252,92.62985159252003,92.62985159252003,146.2016257851874,1.6741008081948379,-91.6298515925198,1939.0,744.62985159252
q23:d53:t640:r2:irrational_to_rational,irrational_to_rational,abrupt,2616.0,1.0,2706.8706525046964,90.87065250469641,90.87065250469641,139.2158256290918,1.6741008081948379,-82.87065250469664,1963.0,743.8706525046964
q23:d53:t640:r3:irrational_to_rational,irrational_to_rational,abrupt,2640.0,1.0,2729.2024077833667,89.20240778336665,89.20240778336665,141.67406933590382,1.6742850333690433,-105.20240778336665,1988.0,741.2024077833667
q23:d53:t640:r4:irrational_to_rational,irrational_to_rational,abrupt,2664.0,1.0,2756.633585300091,92.633585300091,92.633585300091,155.8279699661025,1.6742850333690433,-100.63358530009123,2012.0,744.633585300091
