path_id,split,direction,duration,horizon,x_p,x_r,local_loss,null_loss,mean_rho,best_coherent_miss,exact_closure,occupied_16,occupied_32,occupied_64,occupied_128,occupied_256
calibration:q5:d2:w256:r2:irrational_to_rational,calibration,irrational_to_rational,256,768,2.0,3.705589421096725e-05,1.8485760111772823e-05,0.997723061628435,1.0,0.010101267765846387,False,16,32,64,128,256
calibration:q5:d2:w256:r2:irrational_to_rational,calibration,irrational_to_rational,256,1024,2.0,2.204483842242581e-05,1.1005174104162489e-05,0.9984354517170901,1.0,0.010101267765644555,False,16,32,64,128,256
calibration:q5:d2:w256:r2:irrational_to_rational,calibration,irrational_to_rational,256,1280,2.0,1.5717001775091706e-05,7.84969932137576e-06,0.9988799942513155,1.0,0.0101012677655362,False,16,32,64,128,256
calibration:q5:d2:w256:r2:irrational_to_rational,calibration,irrational_to_rational,256,1536,2.0,0.018023410694041064,0.009000306895911914,0.9987351504882052,0.923069768377047,0.0066319633252153835,False,16,32,64,128,256
calibration:q5:d2:w256:r2:irrational_to_rational,calibration,irrational_to_rational,256,1792,2.0,0.2933142763946209,0.1466353074903235,0.9998511445998792,0.7865957812872411,0.8759265935163854,False,16,32,64,128,256
calibration:q5:d2:w256:r2:irrational_to_rational,calibration,irrational_to_rational,256,2048,2.0,0.5610162611024376,0.28033474978214,0.9993819046573157,0.6936543712593245,0.0,False,16,32,64,128,256
calibration:q5:d2:w256:r2:irrational_to_rational,calibration,irrational_to_rational,256,2304,2.0,0.7687551675709415,0.3841542551974746,0.9994189864408929,0.6331352907937996,0.0,False,16,32,64,128,256
calibration:q5:d2:w256:r2:irrational_to_rational,calibration,irrational_to_rational,256,2560,2.0,0.9360992163470384,0.46802038020549763,0.9999375536962083,0.5956218328918482,0.0,False,16,32,64,128,256
calibration:q5:d2:w256:r2:irrational_to_rational,calibration,irrational_to_rational,256,2816,2.0,1.0718165397351955,0.5355268523187527,0.9992882782925905,0.5757798800153038,0.38211053110586524,False,16,32,64,128,256
calibration:q5:d2:w256:r2:irrational_to_rational,calibration,irrational_to_rational,256,3072,2.0,1.1177724779329894,0.5588484889278282,0.9999324548789459,0.5716119404545658,0.005054371713707287,False,16,32,64,128,256
calibration:q5:d2:w256:r2:rational_to_irrational,calibration,rational_to_irrational,256,512,0.0,0.0,0.0,0.9999999999999899,1.0,0.39999999999930136,True,5,5,5,5,5
calibration:q5:d2:w256:r2:rational_to_irrational,calibration,rational_to_irrational,256,768,0.0,0.0,0.0,1.001305483028696,1.0,1.0511817267457731e-12,True,5,5,5,5,5
calibration:q5:d2:w256:r2:rational_to_irrational,calibration,rational_to_irrational,256,1024,0.0,0.0,0.0,0.999395270069793,1.0,1.033727992430005e-12,True,5,5,5,5,5
calibration:q5:d2:w256:r2:rational_to_irrational,calibration,rational_to_irrational,256,1280,0.0,0.0,0.0,0.9984350547730604,1.0,1.1047915462376319e-12,True,5,5,5,5,5
calibration:q5:d2:w256:r2:rational_to_irrational,calibration,rational_to_irrational,256,1536,1.3838331880929278,0.034499817906988826,0.017235348720762572,0.9991559240822028,0.9230697683770576,0.0008558172860780005,False,16,32,56,85,108
calibration:q5:d2:w256:r2:rational_to_irrational,calibration,rational_to_irrational,256,1792,1.8866241665252639,0.3298740265808118,0.16478479992949524,0.9990771424929185,0.7865957812872512,0.8474994687701545,False,16,32,64,126,212
calibration:q5:d2:w256:r2:rational_to_irrational,calibration,rational_to_irrational,256,2048,1.9931974298777253,0.6094360801481903,0.30483493691108227,1.0003836229616032,0.6936543712593293,0.0,False,16,32,64,128,253
calibration:q5:d2:w256:r2:rational_to_irrational,calibration,rational_to_irrational,256,2304,2.0,0.8228331261620877,0.4113038669942644,0.9997260779052368,0.6331352907938039,0.0,False,16,32,64,128,256
calibration:q5:d2:w256:r2:rational_to_irrational,calibration,rational_to_irrational,256,2560,2.0,0.9943758628392325,0.49683782155069034,0.9992958198564349,0.5956218328918665,0.0,False,16,32,64,128,256
calibration:q5:d2:w256:r2:rational_to_irrational,calibration,rational_to_irrational,256,2816,2.0,1.1352313327402852,0.567208361659304,0.9992824287013723,0.5757798800153151,0.38542183704128696,False,16,32,64,128,256
calibration:q5:d2:w256:r2:rational_to_irrational,calibration,rational_to_irrational,256,3072,2.0,0.7589780392405592,0.3793243527944818,0.9995660827658135,0.5716119404545665,0.005046896053980386,False,16,32,64,128,256
calibration:q5:d2:w256:r3:irrational_to_rational,calibration,irrational_to_rational,256,512,2.0,8.181601567983473e-05,4.075865723341279e-05,0.9963491107391733,1.0,0.010101267766283888,False,16,32,64,128,256
calibration:q5:d2:w256:r3:irrational_to_rational,calibration,irrational_to_rational,256,768,2.0,3.705589421178543e-05,1.8485760112180968e-05,0.9977230616284342,1.0,0.010101267765853274,False,16,32,64,128,256
calibration:q5:d2:w256:r3:irrational_to_rational,calibration,irrational_to_rational,256,1024,2.0,2.2044838423302774e-05,1.1005174104600278e-05,0.9984354517170895,1.0,0.010101267765649595,False,16,32,64,128,256
calibration:q5:d2:w256:r3:irrational_to_rational,calibration,irrational_to_rational,256,1280,2.0,1.5717001775805552e-05,7.849699321732283e-06,0.9988799942513155,1.0,0.010101267765532093,False,16,32,64,128,256
calibration:q5:d2:w256:r3:irrational_to_rational,calibration,irrational_to_rational,256,1536,2.0,0.07339960498372436,0.03669231962397757,0.9997961060448141,0.920030142985466,0.007842265543840165,False,16,32,64,128,256
calibration:q5:d2:w256:r3:irrational_to_rational,calibration,irrational_to_rational,256,1792,2.0,0.9122275932544783,0.45616516252302636,1.0001126164044303,0.7838096253558271,0.0,False,16,32,64,128,256
calibration:q5:d2:w256:r3:irrational_to_rational,calibration,irrational_to_rational,256,2048,2.0,1.6754100312361182,0.8378815977642539,1.0002107927527024,0.6914527566697697,0.0,False,16,32,64,128,256
calibration:q5:d2:w256:r3:irrational_to_rational,calibration,irrational_to_rational,256,2304,2.0,2.0,1.1351959067243098,0.9993470085266395,0.6313705447674753,0.0,False,16,32,64,128,256
calibration:q5:d2:w256:r3:irrational_to_rational,calibration,irrational_to_rational,256,2560,2.0,2.0,1.3719472941419657,0.9989528584132775,0.5942198874787099,0.0,False,16,32,64,128,256
calibration:q5:d2:w256:r3:irrational_to_rational,calibration,irrational_to_rational,256,2816,2.0,2.0,1.5661524782188434,0.999536708459857,0.5746690457321857,0.43356291256235063,False,16,32,64,128,256
calibration:q5:d2:w256:r3:irrational_to_rational,calibration,irrational_to_rational,256,3072,2.0,2.0,1.6934626991968869,1.000714386132358,0.5706331721917979,0.35429559113717085,False,16,32,64,128,256
calibration:q5:d2:w256:r3:rational_to_irrational,calibration,rational_to_irrational,256,512,0.0,0.0,0.0,0.9999999999999818,1.0,1.0386984799730633e-12,True,5,5,5,5,5
calibration:q5:d2:w256:r3:rational_to_irrational,calibration,rational_to_irrational,256,768,0.0,0.0,0.0,0.998694516971274,1.0,0.3999999999991322,True,5,5,5,5,5
calibration:q5:d2:w256:r3:rational_to_irrational,calibration,rational_to_irrational,256,1024,0.0,0.0,0.0,1.0015832035116519,1.0,1.0433634378960554e-12,True,5,5,5,5,5
calibration:q5:d2:w256:r3:rational_to_irrational,calibration,rational_to_irrational,256,1280,0.0,0.0,0.0,0.9984350547732799,1.0,1.119808561385788e-12,True,5,5,5,5,5
calibration:q5:d2:w256:r3:rational_to_irrational,calibration,rational_to_irrational,256,1536,1.3830545055527395,0.08671872884479413,0.043396694621118594,1.0008609489373015,0.920030142985427,0.00036858492159664636,False,16,32,57,88,106
calibration:q5:d2:w256:r3:rational_to_irrational,calibration,rational_to_irrational,256,1792,1.8916207854447689,0.9123387055602371,0.45670170989581094,1.0011670163996067,0.7838096253557936,0.0,False,16,32,64,127,213
