delta_r,filename,sha256,rows_after_10s,columns,sampling_hz,raw_min,raw_max,pair,events,cycles,train_cycles,test_cycles,a_q05,a_q95,b_q05,b_q95
100,,,,,,,,17.0,76.0,75.0,45.0,30.0,0.089701,0.256816,0.05921,0.244336
100,,,,,,,,18.0,76.0,75.0,45.0,30.0,0.088243,0.249691,0.059696,0.249357
100,,,,,,,,19.0,76.0,75.0,45.0,30.0,0.088405,0.248881,0.061316,0.257131
100,,,,,,,,20.0,76.0,75.0,45.0,30.0,0.086948,0.241594,0.063745,0.263772
100,,,,,,,,21.0,76.0,75.0,45.0,30.0,0.086948,0.243052,0.060668,0.254378
100,,,,,,,,22.0,76.0,75.0,45.0,30.0,0.089701,0.256492,0.061639,0.2565720999999999
100,,,,,,,,23.0,76.0,75.0,45.0,30.0,0.087758,0.243862,0.061154,0.255673
100,,,,,,,,24.0,76.0,75.0,45.0,30.0,0.08711,0.240299,0.061801,0.258265
100,,,,,,,,25.0,76.0,75.0,45.0,30.0,0.089701,0.246452,0.061477,0.258589
100,,,,,,,,26.0,76.0,75.0,45.0,30.0,0.088243,0.24859040000000013,0.062287,0.261342
100,,,,,,,,27.0,76.0,75.0,45.0,30.0,0.089863,0.253739,0.061316,0.25390819999999975
100,,,,,,,,28.0,76.0,75.0,45.0,30.0,0.088243,0.242242,0.062611,0.260856
100,,,,,,,,29.0,76.0,75.0,45.0,30.0,0.089701,0.25465429999999967,0.061639,0.257293
100,,,,,,,,30.0,76.0,75.0,45.0,30.0,0.090511,0.256816,0.060992,0.25454
100,,,,,,,,31.0,76.0,75.0,45.0,30.0,0.090672,0.258921,0.059858,0.250005
100,,,,,,,,32.0,76.0,75.0,45.0,30.0,0.088082,0.245643,0.061477,0.256807
100,,,,,,,,33.0,76.0,75.0,45.0,30.0,0.08720720000000003,0.246291,0.0584,0.241582
100,,,,,,,,34.0,76.0,75.0,45.0,30.0,0.093101,0.26135,0.05921,0.2493975
100,,,,,,,,35.0,76.0,75.0,45.0,30.0,0.090511,0.249691,0.061477,0.256807
100,,,,,,,,36.0,76.0,75.0,45.0,30.0,0.089701,0.246776,0.060992,0.256483
100,,,,,,,,37.0,76.0,75.0,45.0,30.0,0.090511,0.250015,0.059048,0.248547
100,,,,,,,,38.0,76.0,75.0,45.0,30.0,0.088891,0.252606,0.058886,0.247899
100,,,,,,,,39.0,76.0,75.0,45.0,30.0,0.091158,0.2601197999999996,0.059858,0.251138
100,,,,,,,,40.0,76.0,75.0,45.0,30.0,0.088082,0.249043,0.058886,0.24654629999999964
150,oc091818_42.lvm,c08a07c62c1f147944b677ab337c25d12c541c59b2b957401bb043e7917c7ac3,38100.0,80.0,200.0,0.05176,0.29908,,,,,,,,,
150,,,,,,,,1.0,77.0,76.0,45.0,31.0,0.095692,0.261836,0.066012,0.268469
150,,,,,,,,2.0,77.0,76.0,45.0,31.0,0.093749,0.264265,0.06002,0.259237
150,,,,,,,,3.0,77.0,76.0,45.0,31.0,0.090996,0.253578,0.064393,0.263448
150,,,,,,,,4.0,77.0,76.0,45.0,31.0,0.093263,0.260379,0.062611,0.257131
150,,,,,,,,5.0,77.0,76.0,45.0,31.0,0.093911,0.259893,0.066174,0.268792
150,,,,,,,,6.0,77.0,76.0,45.0,31.0,0.092778,0.25493779999999966,0.062935,0.258589
150,,,,,,,,7.0,77.0,76.0,45.0,31.0,0.093263,0.261998,0.062125,0.256159
