q,d,duration,replicate,mode,window,true_center,irrational_to_rational,rational_to_irrational,paired_ridge,forward_error,reverse_error,paired_error,paired_abs_error
17,47,448,0,abrupt,512,1988,2192.34587916113,1781.2420380784715,1986.7939586198008,204.34587916113014,-206.75796192152848,-1.2060413801991672,1.2060413801991672
17,47,448,0,ordered,128,1988,2240.0,1736.962933436825,1988.4814667184125,252.0,-251.0370665631749,0.4814667184125483,0.4814667184125483
17,47,448,0,ordered,256,1988,2296.1597085379326,1685.8819725001456,1991.0208405190392,308.1597085379326,-302.1180274998544,3.0208405190392114,3.0208405190392114
17,47,448,0,ordered,384,1988,2350.6295452412637,1629.651891345006,1990.1407182931348,362.6295452412637,-358.3481086549939,2.140718293134796,2.140718293134796
17,47,448,0,ordered,512,1988,2408.9538487029886,1571.1768680766083,1990.0653583897983,420.9538487029886,-416.82313192339166,2.065358389798348,2.065358389798348
17,47,448,1,abrupt,128,2012,2048.0,1984.0,2016.0,36.0,-28.0,4.0,4.0
17,47,448,1,abrupt,256,2012,2101.3284774449094,1924.936687252248,2013.1325823485786,89.32847744490937,-87.06331274775198,1.1325823485785804,1.1325823485785804
17,47,448,1,abrupt,384,2012,2158.95209686285,1868.2099929621563,2013.581044912503,146.95209686284988,-143.79000703784368,1.5810449125031028,1.5810449125031028
17,47,448,1,abrupt,512,2012,2218.9818353859164,1808.507945811158,2013.744890598537,206.98183538591638,-203.49205418884208,1.7448905985370402,1.7448905985370402
17,47,448,1,ordered,128,2012,2262.3190449011254,1762.9977380889266,2012.658391495026,250.31904490112538,-249.00226191107345,0.6583914950260805,0.6583914950260805
17,47,448,1,ordered,256,2012,2315.4735828652924,1710.806396575229,2013.1399897202607,303.4735828652924,-301.193603424771,1.1399897202607008,1.1399897202607008
17,47,448,1,ordered,384,2012,2372.874032478867,1653.789099251322,2013.3315658650945,360.87403247886687,-358.2109007486779,1.3315658650944897,1.3315658650944897
17,47,448,1,ordered,512,2012,2432.7648140394863,1594.0672200056165,2013.4160170225514,420.7648140394863,-417.9327799943835,1.4160170225513866,1.4160170225513866
