path_id,split,q,d,duration,replicate,direction,mode,n_pre,n_handover,n_post,pre_x_p,post_x_p,pre_x_r,post_x_r,baseline_x_r,excursion_x_r,excess_area_x_r,band_width_states,coordinate_roughness,final_post_error_x_r
calibration:q5:d2:w256:r5:rational_to_irrational,calibration,5,2,256,5,rational_to_irrational,abrupt,15,11,15,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,0.1369874177259291,0.03203589759923367,0,0.2107490745154823,0.0
calibration:q5:d2:w256:r5:rational_to_irrational,calibration,5,2,256,5,rational_to_irrational,ordered,15,11,15,0.0,2.0,0.0,8.181601574142804e-05,8.181601574142804e-05,0.11885186490174378,0.029022955359133896,0,0.09958019928192087,6.909078344163877e-17
calibration:q5:d2:w256:r5:rational_to_irrational,calibration,5,2,256,5,rational_to_irrational,shuffled,15,11,15,0.0,2.0,0.0,8.181601574142804e-05,8.181601574142804e-05,0.12137394349044227,0.028555810953546187,0,0.10950280693291589,6.909078344163877e-17
calibration:q5:d2:w256:r6:irrational_to_rational,calibration,5,2,256,6,irrational_to_rational,abrupt,15,11,15,2.0,0.0,8.181601574104606e-05,0.0,8.181601574104606e-05,1.2120792036131813,0.2752729712561591,256,0.42477059752991997,0.0
calibration:q5:d2:w256:r6:irrational_to_rational,calibration,5,2,256,6,irrational_to_rational,ordered,15,11,15,2.0,0.0,8.181601574104606e-05,0.0,8.181601574104606e-05,0.8022502520666669,0.27853771210163375,320,0.23112010852799,0.0
calibration:q5:d2:w256:r6:irrational_to_rational,calibration,5,2,256,6,irrational_to_rational,shuffled,15,11,15,2.0,0.0,8.181601574104606e-05,0.0,8.181601574104606e-05,0.502487088674905,0.2546083486750815,384,0.1681667714247338,0.0
calibration:q5:d2:w256:r6:rational_to_irrational,calibration,5,2,256,6,rational_to_irrational,abrupt,15,11,15,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,1.2540361859884677,0.3281727709999228,320,0.3685699593360773,0.0
calibration:q5:d2:w256:r6:rational_to_irrational,calibration,5,2,256,6,rational_to_irrational,ordered,15,11,15,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,0.589843572448591,0.2849894897390884,384,0.18448434287096055,0.0
calibration:q5:d2:w256:r6:rational_to_irrational,calibration,5,2,256,6,rational_to_irrational,shuffled,15,11,15,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,0.5183378786951006,0.27101802366486893,384,0.16076737076346376,0.0
calibration:q5:d2:w256:r7:irrational_to_rational,calibration,5,2,256,7,irrational_to_rational,abrupt,15,11,15,2.0,0.0,8.181601574098927e-05,0.0,8.181601574098927e-05,1.999918183984259,0.6012027287084099,256,0.5878172598508848,0.0
calibration:q5:d2:w256:r7:irrational_to_rational,calibration,5,2,256,7,irrational_to_rational,ordered,15,11,15,2.0,0.0,8.181601574098927e-05,0.0,8.181601574098927e-05,1.999918183984259,0.9187223018690822,384,0.47228757369206215,0.0
calibration:q5:d2:w256:r7:irrational_to_rational,calibration,5,2,256,7,irrational_to_rational,shuffled,15,11,15,2.0,0.0,8.181601574098927e-05,0.0,8.181601574098927e-05,1.622986543002494,0.8787245568431661,512,0.35749499299220827,0.0
