turns,amplitude,seed,variant,history_distance
3,0.36,12,pseudo-stochastic bridge,0.00040716024238463634
3,0.36,13,back-loaded,0.00018847926788011248
3,0.36,13,early burst,0.00033954572787348676
3,0.36,13,front-loaded,0.0001874092924989054
3,0.36,13,gradual reference,9.953174137805915e-07
3,0.36,13,negative detour,0.00025720456438030575
3,0.36,13,oscillatory detour,0.000508280112705514
3,0.36,13,positive detour,0.0002583399112577425
3,0.36,13,pseudo-stochastic bridge,0.0005699633988994761
5,0.24,10,back-loaded,0.00036843836597709727
5,0.24,10,early burst,0.00043610868442560397
5,0.24,10,front-loaded,0.00036632921750033175
5,0.24,10,gradual reference,7.299613879500854e-06
5,0.24,10,negative detour,0.0002798814817631502
5,0.24,10,oscillatory detour,0.0003165677667766014
5,0.24,10,positive detour,0.000280090822588471
5,0.24,10,pseudo-stochastic bridge,0.00025526666688718976
5,0.24,11,back-loaded,0.00036843836597709727
5,0.24,11,early burst,0.00043610868442560397
5,0.24,11,front-loaded,0.00036632921750033175
5,0.24,11,gradual reference,7.299613879500854e-06
5,0.24,11,negative detour,0.0002798814817631502
5,0.24,11,oscillatory detour,0.0003165677667766014
5,0.24,11,positive detour,0.000280090822588471
5,0.24,11,pseudo-stochastic bridge,0.0003368627112029935
5,0.24,12,back-loaded,0.00036843836597709727
5,0.24,12,early burst,0.00043610868442560397
5,0.24,12,front-loaded,0.00036632921750033175
5,0.24,12,gradual reference,7.299613879500854e-06
5,0.24,12,negative detour,0.0002798814817631502
5,0.24,12,oscillatory detour,0.0003165677667766014
5,0.24,12,positive detour,0.000280090822588471
5,0.24,12,pseudo-stochastic bridge,0.00035694392092183063
5,0.24,13,back-loaded,0.00036843836597709727
5,0.24,13,early burst,0.00043610868442560397
5,0.24,13,front-loaded,0.00036632921750033175
5,0.24,13,gradual reference,7.299613879500854e-06
5,0.24,13,negative detour,0.0002798814817631502
5,0.24,13,oscillatory detour,0.0003165677667766014
5,0.24,13,positive detour,0.000280090822588471
5,0.24,13,pseudo-stochastic bridge,0.0003189042527076117
5,0.36,10,back-loaded,0.00036843836597709727
5,0.36,10,early burst,0.00043610868442560397
5,0.36,10,front-loaded,0.00036632921750033175
5,0.36,10,gradual reference,7.299613879500854e-06
5,0.36,10,negative detour,0.0004063479601859025
5,0.36,10,oscillatory detour,0.0004972138968936272
5,0.36,10,positive detour,0.0004074318764902704
5,0.36,10,pseudo-stochastic bridge,0.00029675720624041757
5,0.36,11,back-loaded,0.00036843836597709727
5,0.36,11,early burst,0.00043610868442560397
5,0.36,11,front-loaded,0.00036632921750033175
5,0.36,11,gradual reference,7.299613879500854e-06
5,0.36,11,negative detour,0.0004063479601859025
5,0.36,11,oscillatory detour,0.0004972138968936272
5,0.36,11,positive detour,0.0004074318764902704
5,0.36,11,pseudo-stochastic bridge,0.00043511286225211354
5,0.36,12,back-loaded,0.00036843836597709727
5,0.36,12,early burst,0.00043610868442560397
5,0.36,12,front-loaded,0.00036632921750033175
5,0.36,12,gradual reference,7.299613879500854e-06
5,0.36,12,negative detour,0.0004063479601859025
5,0.36,12,oscillatory detour,0.0004972138968936272
5,0.36,12,positive detour,0.0004074318764902704
5,0.36,12,pseudo-stochastic bridge,0.0004121658709880126
5,0.36,13,back-loaded,0.00036843836597709727
5,0.36,13,early burst,0.00043610868442560397
5,0.36,13,front-loaded,0.00036632921750033175
5,0.36,13,gradual reference,7.299613879500854e-06
5,0.36,13,negative detour,0.0004063479601859025
5,0.36,13,oscillatory detour,0.0004972138968936272
5,0.36,13,positive detour,0.0004074318764902704
5,0.36,13,pseudo-stochastic bridge,0.0008115703998296264
7,0.24,10,back-loaded,0.0005296041578408364
7,0.24,10,early burst,0.0003598325272462095
7,0.24,10,front-loaded,0.0005281547184504969
7,0.24,10,gradual reference,6.498398169955549e-06
7,0.24,10,negative detour,0.0003870897031986892
7,0.24,10,oscillatory detour,0.0004495471449490397
7,0.24,10,positive detour,0.00038740202625358607
7,0.24,10,pseudo-stochastic bridge,0.0007232915408659949
7,0.24,11,back-loaded,0.0005296041578408364
7,0.24,11,early burst,0.0003598325272462095
7,0.24,11,front-loaded,0.0005281547184504969
7,0.24,11,gradual reference,6.498398169955549e-06
7,0.24,11,negative detour,0.0003870897031986892
7,0.24,11,oscillatory detour,0.0004495471449490397
7,0.24,11,positive detour,0.00038740202625358607
7,0.24,11,pseudo-stochastic bridge,0.00039076865759978495
7,0.24,12,back-loaded,0.0005296041578408364
7,0.24,12,early burst,0.0003598325272462095
7,0.24,12,front-loaded,0.0005281547184504969
7,0.24,12,gradual reference,6.498398169955549e-06
7,0.24,12,negative detour,0.0003870897031986892
7,0.24,12,oscillatory detour,0.0004495471449490397
7,0.24,12,positive detour,0.00038740202625358607
7,0.24,12,pseudo-stochastic bridge,0.0004111545217990205
7,0.24,13,back-loaded,0.0005296041578408364
7,0.24,13,early burst,0.0003598325272462095
7,0.24,13,front-loaded,0.0005281547184504969
7,0.24,13,gradual reference,6.498398169955549e-06
7,0.24,13,negative detour,0.0003870897031986892
7,0.24,13,oscillatory detour,0.0004495471449490397
7,0.24,13,positive detour,0.00038740202625358607
7,0.24,13,pseudo-stochastic bridge,0.0006293969344493992
7,0.36,10,back-loaded,0.0005296041578408364
7,0.36,10,early burst,0.0003598325272462095
7,0.36,10,front-loaded,0.0005281547184504969
7,0.36,10,gradual reference,6.498398169955549e-06
7,0.36,10,negative detour,0.0002552920227452689
7,0.36,10,oscillatory detour,0.0005479865529816614
7,0.36,10,positive detour,0.0002495008065925477
7,0.36,10,pseudo-stochastic bridge,0.0004069006614819776
7,0.36,11,back-loaded,0.0005296041578408364
7,0.36,11,early burst,0.0003598325272462095
7,0.36,11,front-loaded,0.0005281547184504969
7,0.36,11,gradual reference,6.498398169955549e-06
7,0.36,11,negative detour,0.0002552920227452689
7,0.36,11,oscillatory detour,0.0005479865529816614
7,0.36,11,positive detour,0.0002495008065925477
7,0.36,11,pseudo-stochastic bridge,0.00027786828744126693
7,0.36,12,back-loaded,0.0005296041578408364
7,0.36,12,early burst,0.0003598325272462095
7,0.36,12,front-loaded,0.0005281547184504969
7,0.36,12,gradual reference,6.498398169955549e-06
7,0.36,12,negative detour,0.0002552920227452689
7,0.36,12,oscillatory detour,0.0005479865529816614
7,0.36,12,positive detour,0.0002495008065925477
7,0.36,12,pseudo-stochastic bridge,0.0007099193841507775
7,0.36,13,back-loaded,0.0005296041578408364
7,0.36,13,early burst,0.0003598325272462095
7,0.36,13,front-loaded,0.0005281547184504969
7,0.36,13,gradual reference,6.498398169955549e-06
7,0.36,13,negative detour,0.0002552920227452689
7,0.36,13,oscillatory detour,0.0005479865529816614
7,0.36,13,positive detour,0.0002495008065925477
7,0.36,13,pseudo-stochastic bridge,0.0005262105442168573
