x_P,x_R,radius_mean,successor_loss,successor_no_history_loss,history_coherence_mean,history_coherence_peak,history_peak_lag,end_index,end_time_s,quadrant,parent_step
1.8977437691211096,1.9120117105226504,0.5648055122530131,0.14248051624697153,0.14903728409490163,0.28323901652823036,0.36370974749168045,16,9855,7750.1603700000005,Ab,0.07397058622677007
1.8924736136220157,1.9865274642356885,0.5690185007986084,0.15005437713419278,0.15107203885743994,0.28699963924360733,0.37981689947278074,16,9919,7750.28837,Ab,0.07470188813147081
1.8911681818252812,2.0,0.5835107331994731,0.1568285710737233,0.15154286291245397,0.2829908648859573,0.3544492587106777,64,9983,7750.41637,Ab,0.013535633420589454
1.880499165359861,2.0,0.5888846359841676,0.1542513634840476,0.15142190324358132,0.2809818450425745,0.3579815465609242,22,10047,7750.5443700000005,Ab,0.010669016465420178
1.8694011691666994,2.0,0.6012084227415855,0.1602534848753257,0.15414942143834667,0.2784786571783825,0.34232868423591756,128,10111,7750.67237,Ab,0.011097996193161652
1.8584766528097723,2.0,0.6100548388228914,0.15908888780652894,0.15314729503661378,0.27884756117616954,0.35357425331629067,40,10175,7750.80037,Ab,0.01092451635692715
1.8416555824110104,2.0,0.6088178655643934,0.15708212125762538,0.148353999615332,0.2876148075505886,0.3720921415510789,45,10239,7750.9283700000005,Ab,0.016821070398761906
1.8523434342033023,2.0,0.6108532805696918,0.1553155940986978,0.1445147275683801,0.2974485907291964,0.39337563198559133,42,10303,7751.05637,Ab,0.010687851792291925
1.835390453667258,2.0,0.616467329673752,0.1461573225353469,0.1392049989836231,0.30523722428510813,0.39449895984328404,45,10367,7751.18437,Ab,0.016952980536044215
1.863771095082011,2.0,0.6180733481487573,0.14282348566139744,0.13855199340351473,0.31712405327781756,0.4009125137250168,45,10431,7751.312370000001,Ab,0.02838064141475294
1.8523434342033023,2.0,0.6155630713578254,0.14401955199779268,0.13849160448040185,0.3342532843848749,0.4038272937064018,45,10495,7751.44037,Ab,0.011427660878708723
1.8527911091218927,2.0,0.6212548364381272,0.15246010275919877,0.13947212620713417,0.3423154949857581,0.4159759155790409,45,10559,7751.56837,Ab,0.00044767491859043496
1.864106726894462,2.0,0.6165676930453767,0.14248437478594483,0.1374431097088773,0.3549125490113054,0.4301545017078534,45,10623,7751.696370000001,Ab,0.011315617772569286
1.8696824032776107,1.984546845879476,0.6227704161357539,0.1379220922741078,0.13899605601195666,0.36059382811877994,0.42896993885266715,45,10687,7751.82437,Ab,0.016428272562940754
1.864106726894462,2.0,0.6361938412942423,0.14313615371395677,0.1393331035257832,0.3616506158324733,0.45265298653234687,18,10751,7751.95237,Ab,0.016428272562940754
1.8584766528097723,2.0,0.6500062018927817,0.14970724001719363,0.1388507166193129,0.3567566436194909,0.4481961531107916,18,10815,7752.080370000001,Ab,0.00563007408468974
1.8416555824110108,2.0,0.6525376408332577,0.1412263513971384,0.13684444312090457,0.3629889108542458,0.46932674564867377,18,10879,7752.20837,Ab,0.016821070398761462
1.8361594351265889,2.0,0.653366828863746,0.13473491968855428,0.13063489066479056,0.3781443036709585,0.48640174269949754,18,10943,7752.33637,Ab,0.005496147284421937
1.8361594351265889,2.0,0.6559753645795137,0.12697231520694102,0.1255508555572908,0.3902477754804897,0.5090185266406039,18,11007,7752.464370000001,Ab,0.0
1.8532171700899862,1.9746827106378357,0.6615605119425704,0.12231492066926075,0.12388311297844119,0.3952496414080093,0.5006998368288091,18,11071,7752.59237,Ab,0.030527552517833203
1.8419015523174167,2.0,0.6694169896394623,0.12862333022415576,0.12642439778697892,0.40144988103223844,0.4804219392776443,18,11135,7752.72037,Ab,0.027730999733555344
1.8419015523174167,2.0,0.6647519080889678,0.1259918043773045,0.12463642768576204,0.41769208200734276,0.4873534968702143,18,11199,7752.848370000001,Ab,0.0
1.8361594351265889,2.0,0.6635105089820682,0.13094626542849264,0.12427476088996962,0.4325883211458037,0.49362144010284253,18,11263,7752.97637,Ab,0.0057421171908278446
1.8303596072485426,2.0,0.6687555563688683,0.13218468217103038,0.12515216348906244,0.4349494380900004,0.48487558260641184,108,11327,7753.10437,Ab,0.0057998278780462265
1.8247567320146227,1.9860157653523964,0.6769217730261469,0.12355309614432526,0.12442307689576888,0.4334026065803196,0.4792324619229564,108,11391,7753.232370000001,Ab,0.015064893944734856
1.7952424968758047,2.0,0.6897553790416912,0.12710936356498112,0.1257036346940716,0.43339085546230455,0.4891034121138538,111,11455,7753.36037,Ab,0.032659591156483814
1.813184191189509,2.0,0.6909200232659947,0.1238624075851664,0.1227252007077983,0.44432324172789106,0.5013640976895305,111,11519,7753.48837,Ab,0.017941694313704293
1.813184191189509,2.0,0.6935182987408869,0.12192963373465826,0.11989948266834409,0.45442681151580266,0.5120032980238656,111,11583,7753.616370000001,Ab,0.0
