origin,target,origin_year,horizon,split,change,label,past_trend,base_levels,base_raw_movement,base_turn,base_diara,base_radius,base_quadrant,base_broken_diara
201010,201101,2010.75,3,evaluation,-0.050000000000000044,-1.0,-0.7599999999999999,0.39280084115993263,0.375339510596884,0.37172375547581904,0.4862257593785919,0.5075848371935177,0.46270181939377597,0.47255464662842495
201011,201102,2010.8333333333333,3,evaluation,0.31000000000000005,1.0,-0.24,0.46509581229095376,0.43894218759267906,0.4418035135196308,0.564999399602428,0.5901145373175812,0.6077980497530783,0.5710701443924838
201012,201103,2010.9166666666667,3,evaluation,0.6499999999999999,1.0,-0.06999999999999984,0.6764673501837775,0.6797654593400143,0.6532106380351229,0.6912099304873527,0.7074604008522342,0.9606226325221234,0.7862440891602602
201101,201104,2011.0,3,evaluation,0.96,1.0,-0.050000000000000044,1.0387603742423113,1.0730489581002185,1.0310675428375058,1.008507221949329,1.0180262797800608,1.1012000169294924,1.087034162886228
201102,201105,2011.0833333333333,3,evaluation,0.73,1.0,0.31000000000000005,1.2697581414681447,1.2689911386262336,1.2514821081512262,1.1619850330137913,1.2068012564621502,1.0823792886421744,1.251287648422677
201103,201106,2011.1666666666667,3,evaluation,0.73,1.0,0.6499999999999999,1.118437228883712,1.1137553070340234,1.1850575718072696,1.1710499539433596,1.124792438629174,1.0659059412167309,1.0629592176438836
201104,201107,2011.25,3,evaluation,0.51,1.0,0.96,0.9180894125880626,0.9152333594842098,0.962527242853556,0.9405613765926195,0.9152221494300754,0.7855622060156106,0.8044623529110547
201105,201108,2011.3333333333333,3,evaluation,-0.13,-1.0,0.73,0.7355400971400701,0.722355721903814,0.7530092307631867,0.751186620262227,0.7494973879957472,0.6510044159366423,0.4554727534280701
201106,201109,2011.4166666666667,3,evaluation,-0.51,-1.0,0.73,0.21639323812442984,0.17510275377539036,0.20037847660774397,0.23699333872197115,0.26429280672458444,0.15474794597208857,-0.07212562949499589
201107,201110,2011.5,3,evaluation,-0.7000000000000001,-1.0,0.51,0.0885718742750834,0.07393681619304848,0.11801434726132842,0.10497711277585516,0.07733414561028298,0.12115276511653104,-0.23368107124936802
201108,201111,2011.5833333333333,3,evaluation,-0.43000000000000005,-1.0,-0.13,-0.051686793101855366,-0.05253307209145841,0.029660115241832916,-0.01755721058767079,-0.14467434899651063,0.133515436078879,-0.1845258624038509
201109,201112,2011.6666666666667,3,evaluation,-0.29000000000000004,-1.0,-0.51,-0.4778534031784494,-0.5376970978930651,-0.5786026138090732,-0.6858188127604017,-0.6241441277744415,-0.653047718549589,-0.4208821021881023
201111,201202,2011.8333333333333,3,evaluation,0.4800000000000001,1.0,-0.43000000000000005,0.021741828009538743,0.03028330928464583,0.030414211509870254,0.16583055838432498,0.14881699649042793,0.3432814541290042,0.24201978934744095
201112,201203,2011.9166666666667,3,evaluation,0.5700000000000001,1.0,-0.29000000000000004,0.1721244223221357,0.12917350092372182,0.2547916890105215,0.3901730636043975,0.3035506650809323,0.49848825531753993,0.3072479547511303
201201,201204,2012.0,3,evaluation,0.6400000000000001,1.0,1.0,0.5364556041424655,0.5414233879331176,0.4977521427721765,0.5727598216005114,0.5995515641394117,0.6151956220232011,0.6713740710509057
201202,201205,2012.0833333333333,3,evaluation,0.43,1.0,0.4800000000000001,0.8563461270532957,0.8561153943291926,0.7957163066094436,0.7140361751982285,0.7838872862523797,0.5468412697702082,0.9975130079935276
201203,201206,2012.1666666666667,3,evaluation,0.62,1.0,0.5700000000000001,0.8518857781128244,0.8406737490424483,0.9292789893705904,0.8236248935083015,0.7571831485771467,0.5744099106391722,1.0911894355941743
201204,201207,2012.25,3,evaluation,0.73,1.0,0.6400000000000001,0.7063923885846988,0.70734904200168,0.6992201252901185,0.5682770271410542,0.5910699243869321,0.42573716654444804,0.9418175467885094
201205,201208,2012.3333333333333,3,evaluation,0.8400000000000001,1.0,0.43,0.44776867237401174,0.4500804040272641,0.47130832256620836,0.3937611541305578,0.3839627530320643,0.21025655915013167,0.6248209549194516
201206,201209,2012.4166666666667,3,evaluation,0.3,1.0,0.62,0.12547784779970064,0.12916074359420077,0.09101823550563666,0.1409397880091788,0.18643542341338537,0.2636827665098642,0.17354369741842327
201207,201210,2012.5,3,evaluation,-0.21,-1.0,0.73,-0.06913897564261866,-0.07865996239188121,-0.057138351753588765,0.019513581223989024,0.03221400207428411,0.05632811341944151,-0.018527111256598713
201208,201211,2012.5833333333333,3,evaluation,-0.33,-1.0,0.8400000000000001,-0.2084371387571612,-0.20175700376647449,-0.17177683012788492,-0.10547790185001518,-0.11727501431487913,-0.1309450339771639,-0.14969576266611265
201209,201212,2012.6666666666667,3,evaluation,-0.5700000000000001,-1.0,0.3,-0.41279265255178327,-0.41158499010928307,-0.383943048285696,-0.42718727935384126,-0.41886846961247526,-0.7180458046114896,-0.2517117585825467
201210,201301,2012.75,3,evaluation,-0.65,-1.0,-0.21,-0.46892877306041786,-0.44669379870174114,-0.41331342847219077,-0.5533925724020767,-0.6079094357155874,-0.7417488573229194,-0.21729742901558086
201211,201302,2012.8333333333333,3,evaluation,-0.73,-1.0,-0.33,-0.5092813228750297,-0.5270098346696921,-0.5945045903518915,-0.8507898905732763,-0.7763310904700356,-0.7428870871636677,-0.2944001077538269
201212,201303,2012.9166666666667,3,evaluation,-0.010000000000000009,-1.0,-0.5700000000000001,-0.39533571885230057,-0.36409826217068997,0.05582399282456235,-0.25198677932209135,-0.7669969027381922,-0.5345566798401742,-0.5866128384726047
201301,201304,2013.0,3,evaluation,0.33999999999999997,1.0,-0.65,-0.027066860481247443,-0.00993582555395893,-0.6091666612668846,-0.7803325034455123,-0.3597541652657784,-0.24048000741589376,0.465156917111815
201302,201305,2013.0833333333333,3,evaluation,0.12,1.0,-0.73,0.145458624967635,0.12073658123553488,0.29678678607948816,0.020990607421327898,-0.12512414048333387,0.49783276234670215,-0.41162288709596995
201303,201306,2013.1666666666667,3,evaluation,-0.19,-1.0,-0.010000000000000009,-0.00807494515538798,-0.04570991911473818,0.10639048140762541,-0.031604550994755634,-0.14173875542131145,-0.15237321174735827,-0.29343791484625614
201304,201307,2013.25,3,evaluation,-0.2,-1.0,0.33999999999999997,0.23065913929804163,0.23702350351553894,0.2521231611286924,0.46613259015560976,0.4307159059475636,0.03413289699804678,0.6912675109122017
