replicate,pseudo_onset_completed_runs,joint_shift_completed_runs,conditional_in_box_completed_runs
288,0,0,8
289,0,0,7
290,0,0,8
291,1,0,7
292,0,0,7
293,0,1,6
294,1,0,7
295,0,0,8
296,0,1,7
297,0,0,6
298,0,0,5
299,0,1,9
300,0,0,7
301,0,0,9
302,0,0,9
303,0,0,7
304,0,0,9
305,0,0,7
306,0,0,7
307,0,0,12
308,0,0,9
309,0,0,8
310,0,0,6
311,1,0,9
312,0,0,6
313,1,0,7
314,0,0,8
315,0,0,7
316,0,0,7
317,0,0,7
318,0,0,7
319,0,0,7
320,0,0,8
321,0,0,7
322,0,1,7
323,0,1,6
324,0,0,5
325,0,1,8
326,0,0,9
327,0,0,8
328,0,0,6
329,0,0,7
330,0,0,7
331,0,1,8
332,1,0,6
333,1,0,8
334,1,0,6
335,0,0,8
336,0,1,8
337,0,1,6
338,1,0,8
339,0,0,9
340,0,0,9
341,0,0,7
342,0,0,7
343,0,0,6
344,0,0,5
345,0,0,8
346,0,0,8
347,0,0,7
348,1,0,5
349,1,0,6
350,0,0,10
351,0,0,5
352,0,0,7
353,1,0,9
354,0,0,7
355,0,0,7
356,0,1,9
357,0,0,8
358,1,0,7
359,0,0,7
360,0,0,10
361,0,0,6
362,0,0,7
363,0,0,7
364,0,0,8
365,0,0,9
366,0,1,7
367,0,0,5
368,0,0,6
369,0,0,7
370,0,0,6
371,1,0,9
372,0,0,7
373,0,0,8
374,0,0,7
375,0,0,7
376,0,1,8
377,0,0,6
378,0,1,7
379,0,0,8
380,0,0,8
381,0,0,10
382,0,0,6
383,0,0,6
384,0,1,6
385,0,0,7
386,0,0,6
387,0,0,7
388,0,0,8
389,2,0,8
390,0,1,7
391,0,0,7
392,0,0,5
393,0,0,7
394,1,0,10
395,0,0,8
396,1,0,9
397,0,1,7
398,0,0,7
399,0,0,5
400,0,0,5
401,0,0,7
402,1,0,7
403,1,0,6
404,0,0,5
405,0,0,6
406,0,0,7
407,0,0,8
408,0,1,9
409,1,1,6
410,0,0,7
411,0,0,7
412,0,0,6
413,0,1,7
414,0,1,6
415,1,0,7
416,0,0,9
417,0,0,8
418,0,0,7
419,0,0,10
420,0,0,7
421,0,0,6
422,0,0,9
423,1,0,5
424,0,0,10
425,0,0,8
426,0,0,10
427,0,1,8
428,0,0,7
429,0,0,6
430,0,0,8
431,0,0,7
432,0,0,6
433,0,0,6
434,0,0,6
435,0,0,7
436,0,0,9
437,0,0,8
438,1,0,8
439,0,0,6
440,0,1,8
441,0,1,9
442,0,0,7
443,1,0,10
444,0,0,7
445,0,0,5
446,0,1,6
447,0,0,8
448,0,1,8
449,0,0,7
450,0,0,8
451,1,0,5
452,0,2,7
453,0,1,8
454,1,0,5
455,0,0,8
456,0,0,7
457,0,0,8
458,1,1,7
459,0,0,6
460,1,0,8
461,0,0,7
462,1,1,8
463,0,0,7
464,0,0,7
465,0,0,7
466,0,0,7
467,0,1,8
468,0,0,6
469,0,0,6
470,0,0,6
471,0,0,9
472,0,0,7
473,0,0,5
474,0,0,7
475,0,0,7
476,0,0,7
477,0,0,7
478,0,0,7
479,0,0,6
480,1,0,6
481,0,0,10
482,0,0,8
483,0,1,6
484,0,0,7
485,0,1,7
486,1,0,7
487,0,0,5
488,0,0,6
489,2,0,7
490,0,0,6
491,1,0,8
492,1,0,8
493,0,0,6
494,0,0,6
495,0,1,8
496,0,0,9
497,0,1,5
498,1,0,8
499,1,0,8
500,0,0,8
501,0,0,7
502,1,0,10
503,0,0,9
504,0,1,6
505,0,0,9
506,1,0,7
507,0,0,7
508,0,0,8
509,0,0,7
510,1,0,7
511,0,1,7
512,0,0,8
513,0,0,6
514,0,0,9
515,0,0,9
516,0,1,7
517,0,0,8
518,0,0,7
519,0,0,7
520,0,0,8
521,0,0,8
522,0,0,7
523,0,1,7
524,0,0,6
525,0,0,8
526,0,0,5
527,2,0,6
528,0,0,7
529,0,0,8
530,0,0,7
531,0,0,6
532,0,1,7
533,0,0,7
534,0,1,7
535,0,0,6
536,0,0,8
537,1,0,8
538,0,0,8
539,0,0,8
540,0,0,7
541,0,0,6
542,0,0,8
543,0,0,6
544,0,0,7
545,0,0,8
546,0,0,8
547,1,1,8
548,0,0,8
549,0,0,7
550,0,0,8
551,0,0,8
552,1,0,8
553,0,0,6
554,0,0,6
555,0,0,9
556,1,0,7
557,1,0,7
558,0,1,9
559,1,1,7
560,0,0,7
561,0,0,6
562,1,0,8
563,0,0,7
564,0,1,7
565,0,0,8
566,0,1,7
567,0,0,6
568,0,0,6
569,0,0,7
570,0,0,6
571,0,0,8
572,1,0,8
573,0,0,8
574,0,0,11
575,0,0,6
576,1,1,7
577,0,0,6
578,0,0,7
579,0,0,7
580,0,0,8
581,1,0,6
582,1,0,7
583,0,0,7
584,0,1,5
585,1,0,8
586,0,0,9
587,2,0,7
588,1,1,9
589,0,0,7
590,0,0,8
591,0,1,6
592,0,0,6
593,0,0,7
594,0,0,8
595,0,0,6
596,1,0,8
597,1,0,10
598,1,0,8
599,0,0,7
600,0,0,9
601,0,0,6
602,0,0,7
603,0,0,7
604,0,0,8
605,1,0,7
606,0,0,5
607,0,0,6
608,0,0,7
609,0,0,8
610,0,0,7
611,0,0,7
612,0,0,6
613,1,1,6
614,0,0,6
615,0,0,6
616,0,0,8
617,0,0,6
618,0,1,9
619,0,0,8
620,3,0,9
621,0,0,6
622,0,0,8
623,0,0,7
624,0,0,6
625,0,0,5
626,0,0,7
627,0,0,8
628,1,0,8
629,0,0,7
630,1,0,7
631,0,0,7
632,0,0,8
633,0,1,6
634,1,0,8
635,0,0,7
636,0,0,7
637,0,0,7
638,1,0,6
639,0,0,7
640,0,0,7
641,0,1,6
642,1,0,6
643,0,0,7
644,2,0,8
645,2,0,9
646,1,0,7
647,0,0,8
648,0,0,6
649,0,0,8
650,0,0,7
651,0,0,8
652,0,0,6
653,0,0,8
654,0,0,7
655,0,0,6
656,0,0,7
657,1,0,6
658,1,0,8
659,0,1,8
660,0,1,7
661,0,0,9
662,0,0,8
663,0,0,7
664,0,0,9
665,0,0,8
666,0,0,7
667,0,1,7
668,0,0,6
669,0,0,8
670,0,0,10
671,0,0,7
672,0,1,8
673,1,0,7
674,0,0,6
675,0,0,6
676,1,1,8
677,0,0,6
678,0,0,9
679,0,0,6
680,2,0,11
681,0,0,6
682,0,0,6
683,0,0,8
684,0,0,8
685,1,0,6
686,0,0,6
687,1,0,8
688,0,0,7
689,1,0,8
690,0,0,8
691,0,0,5
692,0,0,8
693,0,0,5
694,0,0,7
695,0,0,7
696,1,0,6
697,2,0,6
698,1,0,7
699,0,0,7
700,0,0,8
701,0,0,6
702,2,0,6
703,0,1,7
704,0,0,8
705,1,0,6
706,0,0,6
707,0,0,9
708,0,0,7
709,0,0,6
710,0,0,8
711,0,0,9
712,1,1,8
713,0,0,6
714,0,0,8
715,0,0,7
716,0,0,7
717,0,0,7
718,0,0,7
719,0,0,8
720,0,0,7
721,0,0,6
722,0,0,9
723,0,0,9
724,0,0,7
725,0,0,6
726,0,0,5
727,0,0,7
728,0,0,7
729,0,0,7
730,1,0,7
731,1,0,8
732,0,0,7
733,1,0,7
734,0,0,10
735,0,0,6
736,0,0,7
737,0,0,8
738,0,0,8
739,0,0,7
740,0,0,7
741,0,0,6
742,0,0,5
743,0,0,8
744,0,0,8
745,0,1,7
746,0,0,7
747,0,0,5
748,0,0,8
749,0,1,8
750,0,1,7
751,1,1,9
752,0,0,6
753,0,0,7
754,0,0,7
755,0,0,5
756,1,1,5
757,0,0,7
758,1,0,8
759,1,0,7
760,0,0,7
761,0,0,7
762,0,1,6
763,0,0,6
764,0,1,8
765,0,0,7
766,0,0,7
767,0,0,8
768,0,0,8
769,0,0,5
770,1,0,8
771,0,0,5
772,1,0,8
773,0,0,7
774,1,0,8
775,0,0,7
776,0,0,8
777,1,0,7
778,0,0,7
779,1,0,7
780,0,0,8
781,0,0,7
782,0,0,9
783,0,0,6
784,0,1,7
785,1,0,7
786,0,0,5
787,1,1,6
788,0,0,10
789,0,0,7
790,0,0,7
791,1,0,9
792,0,0,7
793,0,0,6
794,0,0,5
795,0,0,7
796,0,0,6
797,2,0,6
798,0,0,9
799,0,0,8
800,0,0,7
801,1,1,6
802,0,1,7
803,1,1,7
804,0,0,8
805,0,0,6
806,1,0,8
807,0,0,7
808,0,0,7
809,0,0,7
810,0,0,6
811,0,0,8
812,1,0,7
813,0,1,6
814,0,0,5
815,1,0,7
816,0,0,6
817,0,0,8
818,2,1,8
819,0,1,7
820,0,0,6
821,1,0,9
822,0,0,9
823,0,0,7
824,0,0,7
825,0,0,7
826,0,0,6
827,0,1,6
828,0,0,6
829,0,0,6
830,1,0,7
831,0,0,7
832,1,0,7
833,0,0,7
834,0,0,5
835,0,0,7
836,0,0,6
837,0,0,10
838,1,0,7
839,0,0,6
840,0,0,7
841,1,0,10
842,0,0,6
843,0,0,7
844,0,0,7
845,0,2,6
846,0,0,7
847,0,0,8
848,0,0,5
849,1,0,6
850,2,0,9
851,0,0,8
852,0,0,8
853,2,0,8
854,0,0,6
855,0,0,7
856,0,0,6
857,0,1,7
858,1,0,6
859,0,0,6
860,0,0,6
861,1,0,7
862,0,0,6
863,0,0,5
864,0,1,6
865,1,0,7
866,0,0,9
867,0,0,10
868,0,0,9
869,0,0,5
870,0,0,6
871,0,0,9
872,0,0,7
873,1,0,7
874,0,0,7
875,1,0,6
876,0,0,7
877,0,1,8
878,0,0,7
879,1,0,8
880,2,0,7
881,0,0,7
882,0,0,8
883,0,1,6
884,0,0,8
885,0,0,7
886,0,0,7
887,0,0,6
888,0,0,7
889,0,0,7
890,0,0,7
891,0,0,7
892,0,0,6
893,1,1,8
894,0,0,8
895,0,0,9
896,0,0,10
897,0,0,7
898,0,1,9
899,0,0,5
900,0,0,8
901,0,0,9
902,0,0,5
903,0,0,9
904,1,0,6
905,0,1,5
906,0,2,9
907,1,0,9
908,0,2,8
909,0,0,7
910,0,0,7
911,0,0,10
912,1,0,8
913,0,0,6
914,0,0,8
915,0,0,8
916,1,0,8
917,0,0,6
918,0,0,9
919,0,0,10
920,0,0,8
921,0,0,7
922,0,2,8
923,1,0,7
924,0,0,6
925,0,0,6
926,2,0,8
927,0,0,8
928,0,1,7
929,0,0,6
930,0,2,7
931,1,0,6
932,0,0,5
933,0,0,7
934,0,0,6
935,0,0,7
936,0,0,7
937,1,0,7
938,0,0,6
939,0,0,9
940,0,0,6
941,0,0,5
942,0,1,7
943,0,0,7
944,0,0,8
945,0,0,6
946,0,0,8
947,1,0,8
948,0,0,7
949,1,0,8
950,1,0,8
951,0,0,6
952,0,0,5
953,0,0,7
954,1,0,8
955,1,0,8
956,0,0,7
957,0,0,7
958,0,0,9
959,1,0,8
960,0,0,5
961,0,0,7
962,0,0,9
963,0,0,7
964,0,0,6
965,0,0,7
966,0,0,8
967,1,0,6
968,0,0,9
969,1,0,6
970,1,0,6
971,0,0,7
972,0,1,8
973,0,0,6
974,0,0,7
975,0,0,8
976,0,0,9
977,0,1,6
978,0,0,6
979,0,1,6
980,0,0,9
981,0,1,5
982,0,0,7
983,0,0,8
984,1,0,7
985,0,2,7
986,0,0,7
987,0,0,7
988,0,0,9
989,0,1,7
990,0,0,7
991,1,0,6
992,0,0,9
993,0,0,8
994,2,0,7
995,0,1,8
996,0,0,8
997,0,1,7
998,0,0,8
999,2,0,7
1000,0,0,7
1001,0,1,6
1002,1,0,8
1003,1,1,7
1004,0,0,7
1005,0,0,6
1006,1,0,8
1007,0,0,7
1008,0,0,7
1009,0,0,7
1010,0,0,6
1011,0,0,7
1012,0,0,7
1013,0,0,7
1014,0,0,7
1015,0,0,6
1016,0,0,5
1017,0,0,7
1018,0,0,6
1019,0,0,8
1020,0,1,8
1021,0,1,8
1022,0,0,8
1023,0,0,5
1024,0,0,8
1025,0,0,7
1026,0,0,8
1027,0,0,6
1028,0,0,8
1029,0,0,6
1030,1,0,6
1031,0,1,5
1032,0,0,6
1033,0,0,7
1034,0,0,7
1035,0,0,7
1036,0,0,5
1037,0,0,7
1038,0,0,6
1039,1,0,5
1040,0,0,7
1041,0,0,8
1042,0,0,7
1043,0,0,6
1044,0,0,7
1045,1,2,5
1046,1,0,7
1047,0,0,9
1048,0,0,8
1049,0,0,7
1050,0,0,5
1051,0,0,10
1052,0,0,6
1053,0,0,7
1054,0,0,5
1055,0,0,10
1056,0,0,9
1057,0,0,8
1058,0,1,5
1059,0,0,8
1060,0,0,7
1061,0,0,7
1062,2,0,8
1063,1,0,6
1064,1,1,9
1065,1,0,7
1066,0,0,6
1067,0,0,7
1068,0,0,9
1069,0,0,7
1070,1,0,7
1071,0,0,6
1072,0,0,5
1073,1,1,7
1074,0,0,6
1075,0,0,9
1076,1,0,7
1077,0,0,9
1078,0,0,7
1079,1,0,6
1080,0,1,7
1081,0,0,7
1082,1,0,8
1083,0,0,8
1084,0,1,7
1085,0,0,7
1086,0,1,6
1087,0,1,7
1088,0,0,7
1089,0,0,6
1090,1,0,8
1091,0,0,6
1092,0,1,7
1093,1,0,6
1094,0,0,7
1095,0,0,8
1096,0,0,7
1097,1,0,7
1098,0,0,7
1099,0,0,5
1100,0,0,6
1101,0,1,6
1102,0,1,6
1103,0,0,7
1104,0,0,7
1105,1,0,8
1106,0,0,7
1107,0,0,6
1108,1,0,8
1109,0,0,7
1110,0,0,8
1111,0,0,8
1112,1,0,8
1113,0,0,9
1114,0,0,6
1115,1,0,5
1116,0,0,6
1117,0,0,6
1118,0,0,6
1119,0,0,8
1120,0,1,8
1121,0,0,8
1122,0,1,7
1123,0,2,6
1124,0,0,8
1125,0,0,9
1126,0,0,8
1127,0,0,8
1128,1,0,6
1129,0,0,6
1130,0,0,7
1131,0,0,7
1132,0,0,6
1133,1,1,6
1134,0,0,8
1135,0,0,5
1136,0,0,6
1137,0,0,7
1138,0,0,5
1139,0,0,5
1140,0,0,6
1141,0,0,7
1142,0,0,8
1143,0,0,7
1144,0,0,7
1145,0,2,8
1146,0,0,7
1147,0,0,6
1148,3,1,5
1149,0,0,8
1150,0,0,7
1151,0,0,8
1152,0,0,10
1153,0,1,8
1154,0,0,7
1155,1,0,9
1156,0,0,7
1157,0,1,7
1158,0,0,7
1159,0,0,6
1160,0,0,8
1161,0,0,7
1162,1,0,8
1163,0,0,7
1164,1,0,8
1165,0,0,6
1166,0,0,8
1167,0,0,9
1168,0,0,8
1169,1,0,8
1170,0,0,7
1171,0,0,7
1172,0,0,8
1173,0,0,6
1174,1,0,7
1175,0,0,7
1176,0,0,8
1177,1,0,6
1178,2,1,6
1179,0,0,8
1180,0,0,6
1181,0,0,6
1182,0,0,6
1183,0,0,7
1184,3,1,9
1185,1,0,5
1186,1,0,8
1187,0,0,9
1188,0,0,7
1189,1,0,7
1190,0,0,6
1191,1,0,8
1192,0,0,8
1193,1,0,8
1194,0,0,7
1195,0,0,6
1196,2,0,10
1197,0,0,7
1198,1,0,5
1199,1,0,8
1200,0,0,7
1201,0,0,8
1202,0,0,6
1203,1,0,6
1204,1,0,9
1205,0,0,7
1206,0,0,11
1207,0,0,9
1208,0,0,6
1209,0,0,7
1210,0,0,7
1211,0,0,8
1212,1,0,6
1213,0,0,6
1214,0,0,8
1215,0,0,10
1216,0,0,7
1217,0,0,7
1218,2,1,6
1219,0,0,6
1220,0,0,6
1221,0,0,8
1222,0,0,10
1223,1,0,7
1224,0,0,9
1225,0,1,8
1226,0,0,8
1227,0,2,6
1228,1,0,7
1229,1,0,7
1230,0,0,5
1231,1,0,7
1232,0,0,7
1233,1,0,9
1234,0,1,9
1235,0,0,7
1236,0,0,7
1237,0,0,8
1238,0,0,6
1239,0,0,8
1240,0,0,8
1241,0,0,8
1242,1,0,6
1243,0,1,5
1244,0,0,8
1245,0,0,9
1246,0,0,7
1247,0,0,6
1248,1,0,7
1249,0,0,7
1250,0,1,7
1251,1,0,7
1252,0,0,8
1253,0,0,8
1254,0,0,6
1255,0,0,8
1256,0,0,7
1257,1,0,6
1258,0,0,8
1259,0,0,9
1260,1,0,9
1261,0,0,6
1262,0,0,7
1263,0,0,7
1264,0,0,8
1265,0,0,7
1266,0,0,6
1267,0,0,7
1268,0,0,8
1269,0,0,10
1270,0,0,9
1271,0,0,7
1272,0,0,8
1273,0,0,5
1274,0,1,6
1275,0,0,7
1276,0,0,6
1277,0,0,7
1278,0,0,6
1279,0,0,10
1280,0,0,8
1281,0,0,6
1282,0,0,6
1283,0,0,8
1284,0,0,6
1285,0,0,7
1286,0,1,8
1287,0,0,6
1288,2,0,9
1289,0,0,7
1290,0,0,7
1291,0,0,8
1292,0,1,8
1293,1,0,6
1294,0,0,7
1295,1,0,9
1296,0,0,10
1297,0,0,9
1298,1,0,7
1299,0,0,8
1300,0,0,7
1301,0,0,6
1302,0,0,9
1303,2,1,5
1304,0,1,8
1305,0,0,8
1306,1,0,10
1307,1,0,7
1308,0,2,8
1309,0,0,7
1310,1,0,7
1311,1,0,6
1312,0,0,8
1313,0,0,8
1314,1,0,7
1315,0,0,5
1316,0,0,7
1317,1,0,8
1318,2,0,5
1319,1,0,6
1320,1,1,7
1321,0,1,6
1322,0,0,8
1323,1,0,7
1324,0,0,7
1325,0,0,5
1326,0,0,6
1327,2,1,6
1328,0,0,7
1329,0,0,7
1330,0,0,5
1331,0,0,7
1332,1,0,8
1333,0,0,6
1334,1,0,6
1335,0,0,7
1336,1,0,6
1337,1,0,7
1338,0,0,7
1339,0,1,5
1340,1,0,7
1341,0,0,7
1342,1,0,7
1343,0,0,6
1344,0,0,6
1345,1,0,6
1346,0,0,6
1347,0,0,5
1348,0,1,7
1349,0,0,8
1350,0,0,7
1351,1,0,6
1352,1,0,7
1353,0,1,8
1354,0,0,6
1355,0,0,7
1356,0,0,8
1357,0,0,7
1358,0,0,7
1359,1,1,6
1360,0,0,6
1361,0,0,8
1362,0,1,7
1363,1,0,8
1364,0,1,9
1365,0,0,7
1366,0,0,7
1367,0,0,6
1368,0,0,7
1369,0,0,7
1370,0,0,6
1371,1,2,6
1372,0,0,8
1373,1,0,8
1374,0,0,8
1375,0,1,8
1376,0,0,9
1377,0,0,7
1378,0,0,9
1379,0,0,9
1380,0,0,6
1381,0,0,7
1382,0,0,8
1383,0,0,8
1384,0,0,8
1385,0,0,6
1386,1,0,7
1387,1,0,10
1388,0,0,8
1389,0,1,7
1390,0,0,8
1391,0,0,8
1392,0,0,9
1393,0,0,8
1394,0,1,10
1395,0,0,7
1396,0,0,7
1397,2,2,6
1398,1,0,7
1399,1,1,9
1400,0,0,7
1401,1,0,6
1402,0,1,6
1403,0,0,8
1404,0,0,8
1405,0,0,6
1406,2,1,7
1407,0,0,7
1408,2,0,6
1409,1,0,8
1410,0,0,7
1411,0,0,8
1412,0,0,9
1413,0,0,7
1414,0,0,7
1415,0,0,9
1416,0,0,7
1417,1,0,9
1418,0,0,7
1419,0,1,6
1420,1,0,7
1421,0,0,5
1422,0,2,10
1423,0,0,9
1424,0,2,8
1425,0,0,6
1426,0,0,7
1427,0,0,7
1428,0,0,5
1429,1,0,10
1430,0,0,6
1431,0,0,6
1432,0,0,7
1433,0,0,8
1434,1,0,8
1435,0,0,6
1436,0,0,10
1437,0,0,7
1438,0,1,8
1439,0,0,5
1440,1,0,7
1441,0,0,8
1442,0,0,7
1443,0,0,7
1444,1,0,7
1445,0,1,6
1446,1,1,7
1447,0,0,7
1448,0,0,7
1449,0,0,6
1450,0,0,5
1451,1,0,6
1452,0,0,5
1453,1,0,5
1454,0,0,7
1455,1,0,7
1456,0,0,9
1457,0,0,6
1458,1,1,9
1459,0,0,6
1460,0,0,7
1461,0,0,7
1462,0,0,7
1463,0,0,7
1464,1,0,6
1465,0,0,7
1466,1,0,6
1467,1,0,6
1468,0,0,8
1469,0,0,7
1470,0,2,9
1471,0,0,6
1472,0,0,5
1473,0,0,6
1474,0,1,8
1475,0,0,6
1476,1,0,8
1477,0,1,8
1478,1,0,8
1479,1,0,6
1480,0,0,8
1481,0,0,8
1482,0,0,7
1483,0,0,6
1484,0,1,7
1485,0,0,7
1486,0,0,9
1487,0,0,8
1488,0,0,6
1489,0,0,7
1490,0,0,10
1491,0,0,8
1492,0,0,7
1493,0,0,7
1494,0,2,6
1495,0,0,7
1496,0,0,8
1497,0,1,7
1498,1,0,6
1499,0,0,7
1500,1,0,6
1501,0,0,8
1502,0,1,8
1503,0,0,8
1504,0,0,6
1505,0,1,7
1506,0,0,8
1507,0,0,7
1508,1,0,8
1509,0,0,6
1510,0,0,6
1511,0,0,7
1512,0,0,9
1513,0,1,8
1514,0,1,7
1515,1,0,7
1516,0,0,7
1517,0,0,8
1518,0,0,8
1519,0,0,6
1520,0,0,7
1521,0,0,6
1522,1,0,7
1523,0,0,5
1524,0,0,9
1525,0,1,7
1526,1,0,7
1527,0,0,7
1528,2,1,8
1529,1,0,7
1530,0,0,6
1531,1,0,6
1532,0,0,8
1533,0,0,8
1534,1,0,7
1535,0,0,7
1536,0,0,7
1537,0,0,7
1538,0,1,7
1539,1,0,7
1540,0,0,10
1541,0,0,9
1542,0,0,6
1543,0,0,8
1544,0,0,8
1545,0,0,7
1546,0,0,7
1547,0,0,9
1548,0,0,6
1549,0,1,7
1550,0,0,8
1551,0,0,7
1552,0,0,8
1553,0,0,9
1554,0,0,8
1555,0,0,8
1556,0,0,8
1557,0,0,7
1558,0,0,7
1559,0,0,8
1560,1,0,7
1561,0,0,8
1562,0,0,6
1563,0,0,8
1564,0,1,5
1565,1,0,6
1566,0,0,6
1567,0,0,8
1568,1,0,8
1569,0,0,7
1570,1,0,5
1571,0,0,5
1572,1,0,8
1573,0,0,5
1574,1,0,7
1575,0,0,9
1576,0,0,9
1577,0,0,7
1578,0,0,7
1579,0,0,6
1580,1,0,8
1581,1,0,8
1582,0,1,8
1583,0,1,6
1584,0,0,8
1585,0,0,8
1586,0,0,8
1587,0,0,7
1588,0,0,5
1589,0,0,9
1590,0,0,8
1591,0,1,7
1592,0,0,8
1593,0,0,6
1594,1,0,6
1595,0,0,8
1596,0,0,6
1597,0,0,7
1598,1,0,6
1599,0,0,9
1600,0,0,6
1601,0,0,8
1602,1,0,7
1603,0,0,8
1604,0,0,9
1605,1,0,7
1606,0,0,7
1607,0,0,8
1608,0,0,8
1609,0,0,6
1610,0,0,8
1611,2,1,7
1612,0,0,7
1613,0,2,6
1614,1,0,7
1615,0,0,6
1616,1,0,5
1617,1,0,7
1618,0,0,6
1619,0,0,9
1620,0,0,6
1621,0,0,7
1622,0,0,7
1623,0,0,6
1624,0,0,9
1625,0,0,8
1626,0,0,7
1627,0,0,8
1628,1,1,8
1629,0,0,7
1630,0,0,5
1631,0,0,5
1632,0,0,6
1633,0,1,6
1634,1,0,7
1635,1,0,6
1636,0,0,8
1637,0,0,5
1638,0,0,6
1639,0,0,8
1640,0,0,8
1641,0,0,7
1642,0,0,7
1643,1,0,9
1644,0,0,8
1645,0,0,6
1646,0,2,7
1647,0,0,7
1648,1,0,6
1649,0,0,6
1650,0,0,9
1651,2,0,7
1652,0,0,6
1653,0,0,7
1654,0,1,6
1655,0,0,10
