Name,fluid,partition,n_snapshots,position_alignment_parent_grandchild,position_alignment_parent_child,position_alignment_child_grandchild,flow_alignment_parent_grandchild,flow_alignment_parent_child,flow_alignment_child_grandchild,median_parent_grandchild_product,opposite_side_fraction_parent_grandchild,opposite_side_fraction_parent_child,quiet_guard_child_horizons
241118g,S1,development,8,-0.2827298039836518,0.19260254806740412,-0.5402998440751433,-0.1952705055621117,0.6664795637695146,-0.6423027807155359,-0.07538957020778478,0.625,0.5,1.0
241118h,S1,development,14,0.02562673754560214,-0.5324797603337229,0.29395659182657463,0.27682914190691726,0.5543617907174381,0.13849628595650554,0.02260348999051535,0.46153846153846156,0.7857142857142857,1.0
241118i,S1,development,9,-0.5986258223918985,0.01764329545925241,0.30547089717975945,0.07276395724273901,0.6233654542112937,-0.08687594058732788,-0.15570467034270885,0.6666666666666666,0.6666666666666666,1.0
241118j,S1,development,10,-0.43771799116640503,-0.3879146139584968,0.39788013970532965,0.13805520564765197,0.08573642330791624,-0.01989764561196756,-0.05572076917043897,0.7777777777777778,0.7,1.0
241118k,S1,development,13,0.3602629493763465,-0.5140811026894111,-0.6610717448877835,0.7263683915998445,-0.20689454755511374,-0.4771549447729571,0.0018425373857952087,0.38461538461538464,0.8461538461538461,1.0
241118l,S1,development,11,-0.07284232620734958,-0.5666215326577236,-0.18998715459082205,0.19111343721283774,0.20370711716631554,-0.5389880291422396,-0.05560521908978379,0.6363636363636364,0.8181818181818182,1.0
241118m,S1,development,9,-0.0283548545312758,-0.4949989474746225,-0.285363824493424,-0.09621996404816101,0.4672934239202549,-0.5482314064912872,0.022979994192672916,0.4444444444444444,0.8888888888888888,1.0
241118n,S1,development,6,0.35851693777851207,-0.7302521993459803,-0.4537531933607371,0.23577156526497187,-0.13741136572339888,-0.9619657554803036,0.04030389909824665,0.3333333333333333,0.6666666666666666,1.0
241118p,S1,development,8,-0.05814329407088959,0.2336352152221595,-0.1844956343592717,0.17135703722211626,0.4918167066373702,-0.09999239096157511,-0.006211667275234483,0.5,0.5,1.0
241118r,S1,development,8,0.17142305936265867,0.47205536355035993,0.04111225978891475,-0.11631471640589569,0.24928844590424556,-0.7279313148181131,0.0032308717280313142,0.5,0.375,1.0
241112b,S3,development,328,0.37617918460112004,-0.5730009137894461,-0.279002008392534,-0.002675060758657194,-0.03980701475945322,-0.3226875701236586,0.01296205637600878,0.3353658536585366,0.7469512195121951,1.0
241112c,S3,development,477,0.303326285429314,-0.8306823152047301,-0.43290909672981404,0.053419562670041575,-0.007125875505368179,-0.2524983334637435,0.023070340188423147,0.33962264150943394,0.8972746331236897,1.0
241112d,S3,development,576,0.2820832755532265,-0.8325290685704531,-0.637074642437708,0.005314312134523467,0.012589242174275955,-0.25798245572516343,0.07069207850035489,0.3055555555555556,1.0,1.0
241112f,S3,development,385,0.4425971998758701,-0.6431554915725387,-0.537744539311983,-0.08435803577203212,0.3579451911733692,-0.3100978212065115,0.02944769815227616,0.3038961038961039,0.8051948051948052,1.0
241112g,S3,development,271,0.31255877513446806,-0.7709059084504104,-0.2000181381504404,0.06981404929719691,0.056767446481409786,-0.23725223610781032,0.017734668445732786,0.4354243542435424,0.8560885608856088,1.0
241112h,S3,development,319,0.3337267946304146,-0.4845700330622818,-0.08210465536973736,0.09710444181448671,-0.0046754643594936075,-0.36505596587956135,0.007959372072329657,0.4012539184952978,0.7241379310344828,1.0
241113b,S3,development,428,0.449730726434046,0.33086521904387123,-0.2574579443757002,-0.07871150525075134,0.3168487501215788,-0.2423860692609459,0.026586903369007014,0.2803738317757009,0.352803738317757,1.0
241022h,S2,diagnostic,120,0.5512404863983537,-0.23997775687173267,-0.7444223976649351,-0.2818362376996714,0.43659263367176593,-0.7341364737250577,0.17595239277657193,0.15,0.7166666666666667,1.0
241022i,S2,diagnostic,82,0.5991803665617377,-0.2994558896787462,-0.7371112810426272,-0.2804575463879641,0.44728366035026634,-0.7244197068082039,0.26157270439238944,0.12195121951219512,0.7317073170731707,1.0
241022j,S2,diagnostic,90,0.6869979876261255,-0.22188094675225975,-0.7139512702103282,0.050464291866700046,0.33124375774181813,-0.6337893333626319,0.21193658775440657,0.12222222222222222,0.7333333333333333,1.0
241022k,S2,diagnostic,76,0.440438670530583,-0.5095650133813506,-0.7697529685865037,0.018006738942351108,0.18783274211814555,-0.5519820440770463,0.082180851254194,0.17105263157894737,0.9078947368421053,1.0
241022m,S2,diagnostic,77,0.1634381336500667,-0.38973751012506486,-0.6479277271339026,-0.12853360726365964,0.25959520155716104,-0.3839949348571848,0.06076639048580447,0.2987012987012987,0.8311688311688312,1.0
241022n,S2,diagnostic,57,0.1744294541815195,-0.6686592435210876,-0.43321188557877255,-0.028977602503917375,0.021784218104281335,-0.3958443474042384,0.009070428905316714,0.45614035087719296,0.9298245614035088,1.0
241022p,S2,diagnostic,57,-0.10886593870355905,-0.5470056693277058,-0.235028120578737,0.11761333595833472,0.233363019440984,-0.450174416695701,-0.005000843458420034,0.6140350877192983,0.8070175438596491,1.0
241022q,S2,diagnostic,73,0.15446496939281848,-0.6155106882051845,-0.5022791579842548,0.07769425135535736,0.11324002156740835,-0.5313395233561904,0.04031041131659234,0.3972602739726027,0.9452054794520548,1.0
241022s,S2,diagnostic,57,0.09819447488988284,-0.7593924932408748,-0.48174324847331695,-0.2964066530631226,0.5712270972349673,-0.6591484109840772,0.028143295459336685,0.42105263157894735,0.9122807017543859,1.0
241111d,S2,diagnostic,64,0.26765422849402465,-0.728879506795094,-0.4963882411400333,0.029467879435609513,0.0017685654023744115,-0.5512743500587761,0.03939010490715276,0.375,0.90625,1.0
241111e,S2,diagnostic,71,0.3013134480967085,-0.7136889547284526,-0.6311436790393787,-0.04676609853987181,0.23636740686763846,-0.6308513787200224,0.0679658079680646,0.29577464788732394,0.9014084507042254,1.0
241111f,S2,diagnostic,68,0.24431173089446206,-0.8018241766161446,-0.6286955366558257,0.04797941735064478,-0.08604261657965506,-0.6950648333818519,0.03551205294745773,0.36764705882352944,0.9264705882352942,1.0
241111g,S2,diagnostic,58,0.1445707330919124,-0.6611296829921148,-0.6223042763589075,-0.07029675391688478,0.21218572464849,-0.7123818799229461,0.050987877976254294,0.43103448275862066,0.9482758620689655,1.0
241111h,S2,diagnostic,73,0.29908778128267693,-0.6374504996208619,-0.42469750191475913,-0.02626621598836541,0.23126648455296156,-0.5320864573621277,0.033650931627748376,0.4246575342465753,0.8904109589041096,1.0
241111i,S2,diagnostic,53,0.16277055722812106,-0.7265445349373053,-0.6253372633287693,-0.11166184645223078,-0.050544795362352055,-0.6488018219281937,0.03136603007988524,0.32075471698113206,1.0,1.0
241111j,S2,diagnostic,66,0.1485194817424006,-0.7464557333364201,-0.5680042033338433,-0.10383078935900651,0.11808342031102066,-0.6878671957228317,0.014513462821002212,0.4090909090909091,0.9848484848484849,1.0
241111k,S2,diagnostic,56,0.18283234517827443,-0.7494414226863502,-0.5389468085754375,-0.10918703658017075,-0.008735029520896683,-0.4551727944574361,0.04656082312493641,0.32142857142857145,0.9107142857142857,1.0
241111l,S2,diagnostic,49,0.16331059130685757,-0.8667745709567485,-0.3738658961715316,0.0038150388337261937,-0.05461649657862002,-0.536612063747176,0.03142183230325885,0.40816326530612246,0.9795918367346939,1.0
