split,video,frame,inherited_id,phi_real,phi_broken,phi_contact_scramble,phi_preordinary,real_minus_broken,real_minus_contact_scramble,real_minus_preordinary
evaluation,V14,2579,5067,0.5568379761584183,0.9286978819227947,0.9710260688420025,0.04249974952800328,-0.37185990576437633,-0.41418809268358414,0.5143382266304151
evaluation,V18,223,164,0.9952050789611943,0.9368260429471251,0.523069123961615,0.7805060849276393,0.05837903601406913,0.4721359549995793,0.21469899403355497
evaluation,V18,938,683,0.616645104984,0.6651869598726337,0.616645104984,0.7438718946968756,-0.04854185488863361,0.0,-0.1272267897128756
evaluation,V18,2283,1636,0.7925347752651264,0.676024042284812,0.7353292697352944,0.7637897928911845,0.11651073298031434,0.057205505529831946,0.028744982373941852
evaluation,V19,10,6,0.7819103284152449,0.5351758120379744,0.7819103284152449,0.7208321122437424,0.2467345163772705,0.0,0.06107821617150244
evaluation,V19,258,314,0.5839410110594776,0.6674001958834388,0.9439230339409432,0.9306677893276727,-0.0834591848239612,-0.35998202288146564,-0.3467267782681951
evaluation,V19,1142,1403,0.18761692683984932,0.8703684139784116,0.18761692683984932,0.3562532925711721,-0.6827514871385623,0.0,-0.1686363657313228
evaluation,V19,1198,1493,0.19795002994647315,0.6497695159944459,0.19795002994647315,0.8169730823687731,-0.45181948604797273,0.0,-0.6190230524222999
evaluation,V19,1664,2076,0.7720532916089569,0.938291726032805,0.7720532916089569,nan,-0.1662384344238481,0.0,nan
evaluation,V19,2710,3511,0.7593060543715751,0.5240874016352381,0.7685579906288458,nan,0.2352186527363369,-0.009251936257270721,nan
evaluation,V20,168,255,0.6803225610537516,0.7560034192027634,0.8475414839466693,0.6761600277134445,-0.07568085814901182,-0.16721892289291773,0.004162533340307029
evaluation,V20,191,276,0.5969269185362664,0.4484320749960139,0.9309371264641544,nan,0.14849484354025255,-0.33401020792788794,nan
evaluation,V20,233,344,0.3041843593084059,0.5815952366303787,0.16795159569117324,0.8594965700011088,-0.2774108773219728,0.1362327636172327,-0.5553122106927029
evaluation,V20,702,1077,0.8553131787615407,0.9125326011831063,0.6725508662388802,0.6103432704794418,-0.057219422421565636,0.1827623125226605,0.24496990828209886
evaluation,V20,1166,1908,0.8213453158460449,0.20948039545517738,0.8213453158460449,nan,0.6118649203908675,0.0,nan
evaluation,V20,1167,1908,0.23341161568244062,0.45964818360460646,0.23341161568244062,0.7878632427274734,-0.22623656792216584,0.0,-0.5544516270450328
evaluation,V20,1901,3216,0.2529473824031251,0.13521850441253913,0.2529473824031251,0.6031386809439596,0.11772887799058596,0.0,-0.35019129854083453
evaluation,V21,2849,5567,0.8805787672891048,0.7349542191985223,0.8805787672891048,0.8497945887594935,0.14562454809058245,0.0,0.03078417852961124
evaluation,V21,2932,5741,0.4798972736372037,0.09543026012483069,0.4798972736372037,0.010200346416161077,0.384467013512373,0.0,0.4696969272210426
evaluation,V25,248,174,0.8663484048497776,0.8149350333759113,0.8663484048497776,0.8347078380139998,0.051413371473866265,0.0,0.03164056683577776
evaluation,V25,2468,1776,0.7513276001064673,0.6312159113482856,0.7513276001064673,0.812948313334706,0.12011168875818168,0.0,-0.0616207132282387
evaluation,V25,2530,1813,0.7613574137521932,0.9328824739842412,0.7613574137521932,nan,-0.17152506023204794,0.0,nan
evaluation,V26,2590,2884,0.63136641085564,nan,nan,0.7113635657889559,nan,nan,-0.07999715493331583
evaluation,V27,851,1197,0.9088349538449723,nan,nan,0.07800454335734641,nan,nan,0.8308304104876258
evaluation,V28,37,67,0.44830160348157155,0.5171826350894185,0.44830160348157155,0.1528547734906669,-0.06888103160784698,0.0,0.29544682999090466
evaluation,V28,472,734,0.7251450350917736,0.7603050727153828,0.8027190099086472,0.6907511701483928,-0.0351600376236092,-0.07757397481687356,0.034393864943380814
evaluation,V28,1051,1735,0.7461375167556403,0.7588699014390186,0.7817265282447805,nan,-0.012732384683378228,-0.03558901148914018,nan
evaluation,V28,1052,1735,0.5614392405350135,0.5033958097046025,0.5614392405350135,0.9714869255265992,0.05804343083041097,0.0,-0.4100476849915857
evaluation,V28,1579,2694,0.6799097596762622,0.6053966616658824,0.8479542853241586,0.6840895418864755,0.07451309801037986,-0.1680445256478964,-0.004179782210213312
