split,video,file,root_key,track_id,start_frame,level,child_frames,parent_frames,source_kind,raw_scale,carrier,u,log_u,delta_rad,delta_deg,quadrant,raw_quadrant
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:339:712,339,712,0,2,4,observed,1.2054238179696304,2.0,0.6027119089848152,-0.506315959297586,0.30459245071678387,17.451861897618244,contracting_forward,expanding_forward
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:339:712,339,712,1,4,8,observed,0.3696968979799541,2.0,0.18484844898997704,-1.6882189842758824,1.1805783587845635,67.64215734283695,contracting_forward,contracting_forward
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:339:712,339,712,2,8,16,observed,2.04714907822315,2.0,1.023574539111575,0.023300951128930766,0.7661658306659747,43.89806850429525,expanding_forward,expanding_forward
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:339:712,339,712,3,16,32,observed,2.916907679554287,2.0,1.4584538397771436,0.3773768607175919,-0.03491744198248403,-2.000622056989249,expanding_reverse,expanding_reverse
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:362:758,362,758,0,2,4,observed,0.8520375377268011,2.0,0.42601876886340057,-0.8532718753185178,2.338169936539537,133.967269148087,contracting_forward,contracting_forward
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:362:758,362,758,1,4,8,observed,1.8919879752035564,2.0,0.9459939876017782,-0.05551906555111297,-0.30750471688275427,-17.618722457747094,contracting_reverse,expanding_reverse
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:362:758,362,758,2,8,16,observed,2.0207177363159063,2.0,1.0103588681579532,0.010305582751613808,-0.41229904887248026,-23.62299539765118,expanding_reverse,expanding_reverse
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:362:758,362,758,3,16,32,observed,2.1408166713363954,2.0,1.0704083356681977,0.06804019779442519,-0.22459420187045298,-12.868299870286176,expanding_reverse,expanding_reverse
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:393:823,393,823,0,2,4,observed,2.3493062603645685,2.0,1.1746531301822842,0.16097289565805542,0.16637868909444054,9.53279668603074,expanding_forward,expanding_forward
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:393:823,393,823,1,4,8,observed,2.29725299441854,2.0,1.14862649720927,0.13856687831767492,0.15119652422146634,8.662922714937547,expanding_forward,expanding_forward
