split,candidate,increment_ara,roots,videos,local_directed_mean,local_directed_median,parent_directed_mean,parent_directed_median,local_reversible_mean,local_reversible_median,parent_reversible_mean,parent_reversible_median,return_mae_mean,return_mae_median
evaluation,one_over_e,1.2642411176571153,170,10,0.7036080605604275,0.7176806836420095,0.51703408954071,0.5140495241769429,0.689762261523215,0.7053768835073824,0.4828037609824207,0.4841882415642682,0.22822711346246977,0.23208041259787646
evaluation,one_third,1.3333333333333335,170,10,0.6442378247846977,0.6552340799658988,0.5184051565299123,0.5247394421035542,0.6286153925245227,0.6418907937911514,0.49581298640872307,0.4992876745457515,0.3963512324948078,0.39911147748086484
holdout,persistence,0.0,40,4,0.2028172711484585,0.11638620922706477,0.2651769560335572,0.24589269789090984,0.2028172711484585,0.11638620922706477,0.2651769560335572,0.24589269789090984,0.20984924318176393,0.15726267153672757
holdout,ridge,1.0,40,4,0.7971827288515415,0.8836137907729352,0.546008065229988,0.5354218378454193,0.7971827288515415,0.8836137907729352,0.546008065229988,0.5354218378454193,0.597823755862764,0.6026120148140562
holdout,silver_conjugate,1.1715728752538097,40,4,0.7326153203376616,0.7953515432160005,0.5068513104226634,0.5058890516975207,0.7142471459862626,0.7806709725224649,0.4756951219660897,0.4868558044630904,0.3232661810445231,0.34096930727283664
holdout,two_fifths,1.2,40,4,0.7118113540447963,0.7733529949698451,0.5104575026258726,0.5052181189156991,0.6938935669223955,0.7558973724672072,0.4832118252130158,0.4820410600190683,0.28376236798474397,0.29071670526197696
holdout,phi,1.2360679774997896,40,4,0.6861433182737062,0.7385130926828218,0.507744969261,0.5123966948717726,0.6652054120322016,0.7260949773561662,0.48254755713139885,0.4816216808897714,0.16364699622276413,0.1396504505386375
holdout,fibonacci_8_21,1.2380952380952381,40,4,0.6845397648643757,0.7364858320873733,0.5099866392999004,0.5080504058965264,0.663601858622871,0.7240677167607177,0.47948596082124084,0.47541890923134567,0.16940700599771516,0.14670267319204006
holdout,three_eighths,1.25,40,4,0.676069573975753,0.7245810701826114,0.5158672224977566,0.5173937297649867,0.6547874364160055,0.712643445662714,0.4696491341374395,0.47462701114256844,0.1693510433555432,0.1744318780954451
holdout,one_over_e,1.2642411176571153,40,4,0.6661115185672146,0.7103399525254961,0.5182685204310363,0.5187675260057029,0.6450096804222946,0.6989319527718071,0.47888137956497634,0.48128686287667355,0.21670506408248646,0.21684643326593772
holdout,one_third,1.3333333333333335,40,4,0.6184060789273276,0.6461721686921312,0.5091260009266261,0.5142986804900374,0.5951978943532411,0.6371928907401195,0.47350227822420443,0.4670278968880116,0.3722324770451391,0.39202890901551907
