draw,split,score,events,observed_score
215,evaluation,0.059388290909167585,688,0.02800712380629125
215,holdout,0.03212709735153885,160,0.03521372233117723
216,evaluation,0.062287364213521164,688,0.02800712380629125
216,holdout,0.020524967362900867,160,0.03521372233117723
217,evaluation,0.062051404198551895,688,0.02800712380629125
217,holdout,0.04566444332037305,160,0.03521372233117723
218,evaluation,0.06268457289840233,688,0.02800712380629125
218,holdout,0.07031302911449684,160,0.03521372233117723
219,evaluation,0.059075787081670404,688,0.02800712380629125
219,holdout,0.029038126373441414,160,0.03521372233117723
220,evaluation,0.06210421512236891,688,0.02800712380629125
220,holdout,0.009882679668751088,160,0.03521372233117723
221,evaluation,0.06750025735786841,688,0.02800712380629125
221,holdout,0.042316366290579915,160,0.03521372233117723
222,evaluation,0.0691580541725805,688,0.02800712380629125
222,holdout,0.050232065371964355,160,0.03521372233117723
223,evaluation,0.07270046852320504,688,0.02800712380629125
223,holdout,0.020984155108689728,160,0.03521372233117723
224,evaluation,0.06482276514123192,688,0.02800712380629125
224,holdout,0.053581184393840645,160,0.03521372233117723
225,evaluation,0.05269001020761674,688,0.02800712380629125
225,holdout,0.019843878513708696,160,0.03521372233117723
226,evaluation,0.067949693064496,688,0.02800712380629125
226,holdout,0.017734952562797765,160,0.03521372233117723
227,evaluation,0.06749917350349033,688,0.02800712380629125
227,holdout,0.01958125291333558,160,0.03521372233117723
228,evaluation,0.07292572303459514,688,0.02800712380629125
228,holdout,0.062244866183350525,160,0.03521372233117723
229,evaluation,0.054173666433617734,688,0.02800712380629125
229,holdout,0.03759531609710455,160,0.03521372233117723
230,evaluation,0.06165180593052304,688,0.02800712380629125
230,holdout,0.05476308740495972,160,0.03521372233117723
231,evaluation,0.07115644538359328,688,0.02800712380629125
231,holdout,0.0216951603882531,160,0.03521372233117723
232,evaluation,0.06790924779579241,688,0.02800712380629125
232,holdout,0.017450848588878853,160,0.03521372233117723
233,evaluation,0.06079111586329998,688,0.02800712380629125
233,holdout,0.03853289446553196,160,0.03521372233117723
234,evaluation,0.07118272958257488,688,0.02800712380629125
234,holdout,0.008387276724986653,160,0.03521372233117723
235,evaluation,0.07202979260982868,688,0.02800712380629125
235,holdout,0.009585243233059162,160,0.03521372233117723
236,evaluation,0.06512004925728081,688,0.02800712380629125
236,holdout,0.025304127014269845,160,0.03521372233117723
237,evaluation,0.07174277556345834,688,0.02800712380629125
237,holdout,0.027181996295377236,160,0.03521372233117723
238,evaluation,0.064813600159756,688,0.02800712380629125
238,holdout,0.025913445443004515,160,0.03521372233117723
239,evaluation,0.06400282475487802,688,0.02800712380629125
239,holdout,0.011335417493244612,156,0.03521372233117723
240,evaluation,0.06883212941459954,688,0.02800712380629125
240,holdout,0.03913506794281836,160,0.03521372233117723
241,evaluation,0.07962508672347496,688,0.02800712380629125
241,holdout,0.03665419838239073,160,0.03521372233117723
242,evaluation,0.06695294602832517,688,0.02800712380629125
242,holdout,0.03070266599115891,160,0.03521372233117723
243,evaluation,0.054910342843052955,688,0.02800712380629125
243,holdout,0.04016414695989773,160,0.03521372233117723
244,evaluation,0.06594732055925753,688,0.02800712380629125
244,holdout,0.005174248717056434,160,0.03521372233117723
245,evaluation,0.06476963002388456,688,0.02800712380629125
245,holdout,0.047165243065526406,160,0.03521372233117723
246,evaluation,0.07130034145531307,688,0.02800712380629125
246,holdout,0.013245895260857607,160,0.03521372233117723
247,evaluation,0.06312748113122646,688,0.02800712380629125
247,holdout,0.012693956279983765,160,0.03521372233117723
248,evaluation,0.06363455126230941,684,0.02800712380629125
248,holdout,0.024085601489452907,160,0.03521372233117723
249,evaluation,0.06061301056260869,688,0.02800712380629125
249,holdout,0.021866573891157773,160,0.03521372233117723
250,evaluation,0.053804820066216646,688,0.02800712380629125
250,holdout,0.038519558872880846,160,0.03521372233117723
251,evaluation,0.06555859711707164,688,0.02800712380629125
251,holdout,0.025939125979320174,160,0.03521372233117723
252,evaluation,0.057256933035080046,688,0.02800712380629125
252,holdout,0.02133441276113665,160,0.03521372233117723
253,evaluation,0.07609808942700036,688,0.02800712380629125
