outer_fold,kind,candidate,mean_inner_balanced_accuracy,inner_scores
1,pair,PS1+PS2,0.6957050288000799,"[0.7064581574256497, 0.6525164377828955, 0.7104707792207792, 0.7133747407709955]"
1,pair,PS1+PS3,0.8477944616781579,"[0.9002335663132877, 0.8041049206801558, 0.8599431818181817, 0.8268961779010063]"
1,pair,PS1+PS4,0.6008428122996239,"[0.6550606686055602, 0.5578307004639292, 0.573728354978355, 0.6167515251506508]"
1,pair,PS1+PS5,0.6513376266301816,"[0.6924717374988273, 0.5659921463212999, 0.672077922077922, 0.6748087006226768]"
1,pair,PS1+PS6,0.6476854648228845,"[0.6781575429214748, 0.6201365407870111, 0.6747159090909092, 0.6177318664921432]"
1,pair,PS2+PS3,0.8325774822468375,"[0.8877744159864903, 0.7677400968937019, 0.8477408008658008, 0.8270546152413568]"
1,pair,PS2+PS4,0.5862994369277755,"[0.6354162757607029, 0.5199602566373727, 0.5799512987012987, 0.6098699166117278]"
1,pair,PS2+PS5,0.6126051237842215,"[0.6702182427995123, 0.546951821442417, 0.6221320346320346, 0.6111183962629219]"
1,pair,PS2+PS6,0.6055157512714551,"[0.6513370938487038, 0.5771322583626659, 0.6221590909090909, 0.5714345619653594]"
1,pair,PS3+PS4,0.7340899546137493,"[0.748392008318479, 0.7476310914790538, 0.6977949134199134, 0.742541805237551]"
1,pair,PS3+PS5,0.8316583571352719,"[0.8473457485067392, 0.799804364067687, 0.8487148268398269, 0.8307684891268344]"
1,pair,PS3+PS6,0.823904560468677,"[0.8172164759045564, 0.795761189374042, 0.8450487012987012, 0.8375918752974083]"
1,pair,PS4+PS5,0.32624560068828845,"[0.30970521781280297, 0.29264564864094644, 0.3736607142857143, 0.3289708220136903]"
1,pair,PS4+PS6,0.29729920458109826,"[0.24083462332301342, 0.3130637049132347, 0.30956439393939394, 0.325734096148751]"
1,pair,PS5+PS6,0.34706899112985384,"[0.3043677877849704, 0.40728345900759694, 0.39998647186147185, 0.2766382458653762]"
2,single,PS1,0.6049128929716849,"[0.6459904474610357, 0.6144821885051952, 0.5522222222222223, 0.6069567136982867]"
2,single,PS2,0.5682528861507363,"[0.5763061421149656, 0.5606398731359337, 0.5481349206349206, 0.5879306087171257]"
2,single,PS3,0.6963193597219985,"[0.692953955086308, 0.7442048234358352, 0.6566666666666666, 0.6914519936991848]"
2,single,PS4,0.2502426910808883,"[0.25833333333333336, 0.25106453759148367, 0.2375, 0.2540728933987361]"
2,single,PS5,0.32863746560464846,"[0.3524645969498911, 0.2846691329121206, 0.3182142857142857, 0.3592018468422963]"
2,single,PS6,0.28400407402261435,"[0.28489609519021286, 0.2707293433183758, 0.24777777777777776, 0.332613079804091]"
2,pair,PS1+PS2,0.6813076648341586,"[0.6687730434053963, 0.7181249030760535, 0.6416269841269842, 0.6967057287282006]"
2,pair,PS1+PS3,0.8636619398629803,"[0.87406569465393, 0.8991633274803775, 0.8400793650793651, 0.8413393722382487]"
2,pair,PS1+PS4,0.610433354024595,"[0.6278238645885705, 0.6314817732955142, 0.5892857142857143, 0.5931420639285807]"
2,pair,PS1+PS5,0.657927295563421,"[0.6599777945366181, 0.66246979724761, 0.6382142857142857, 0.6710473047551699]"
2,pair,PS1+PS6,0.6694997558907692,"[0.6753446036534272, 0.6880687247059765, 0.5916666666666667, 0.722919028537006]"
2,pair,PS2+PS3,0.8362723232274789,"[0.8249245852187028, 0.8512586356109835, 0.822579365079365, 0.8463267070008643]"
2,pair,PS2+PS4,0.5801443741866078,"[0.5762537707390648, 0.5832779303548292, 0.5522222222222223, 0.6088235734303149]"
2,pair,PS2+PS5,0.617706010363041,"[0.596606334841629, 0.5826956362963296, 0.6311507936507936, 0.6603712766634114]"
2,pair,PS2+PS6,0.6279379869111706,"[0.6169683257918552, 0.6155965012331227, 0.5942460317460317, 0.6849410888736731]"
2,pair,PS3+PS4,0.7712474287153397,"[0.775468200100553, 0.8277052411467791, 0.7485714285714286, 0.7332448450425979]"
2,pair,PS3+PS5,0.839874749811767,"[0.8429801407742584, 0.8535701779398597, 0.8340476190476189, 0.8289010614853312]"
2,pair,PS3+PS6,0.8357608015305172,"[0.8476988017429193, 0.85566611138625, 0.7942063492063491, 0.8454719437865506]"
2,pair,PS4+PS5,0.3491627675532126,"[0.34042232277526396, 0.32256164363003315, 0.3690873015873016, 0.36457980222025166]"
2,pair,PS4+PS6,0.3094078114802651,"[0.30771011396011394, 0.315308855972266, 0.2740079365079365, 0.340604339480744]"
2,pair,PS5+PS6,0.359299637712314,"[0.37739756158873805, 0.35140158279931366, 0.31281746031746027, 0.3955819461437439]"
3,single,PS1,0.6389030354228233,"[0.6494696969696969, 0.662625133478436, 0.6371636805970765, 0.6063536306460835]"
3,single,PS2,0.6384316248848511,"[0.6384848484848484, 0.6747692230586757, 0.645354582878035, 0.5951178451178452]"
3,single,PS3,0.7180136304328044,"[0.6235227272727273, 0.8053318350402578, 0.7436601430152087, 0.699539816403024]"
3,single,PS4,0.23841376868425804,"[0.24329545454545454, 0.25765803047075714, 0.2035643843336151, 0.24913720538720538]"
3,single,PS5,0.3566193102491819,"[0.31752525252525254, 0.3061216817562964, 0.396735554158162, 0.4060947525570167]"
3,single,PS6,0.32095423100436304,"[0.28733585858585864, 0.3165193233457499, 0.3696435443855706, 0.31031819770027314]"
3,pair,PS1+PS2,0.7082334159414381,"[0.6543181818181818, 0.6658523041137265, 0.7430721639211322, 0.769691013912712]"
3,pair,PS1+PS3,0.8524234286334152,"[0.7718055555555556, 0.8451660363847926, 0.9200373344604114, 0.8726847881329013]"
3,pair,PS1+PS4,0.6003062367331564,"[0.5813636363636363, 0.611684759424103, 0.6129098114205995, 0.5952667397242869]"
3,pair,PS1+PS5,0.6659280965455869,"[0.6674116161616162, 0.6737907385201165, 0.6829560800362864, 0.6395539514643288]"
3,pair,PS1+PS6,0.6791856920236196,"[0.6745833333333333, 0.6477809512914545, 0.7158351888886598, 0.6785432945810305]"
3,pair,PS2+PS3,0.8288316089604442,"[0.7086111111111111, 0.853099569618176, 0.9276961820231051, 0.8259195730893845]"
3,pair,PS2+PS4,0.6196098833506036,"[0.5778787878787879, 0.6896868979110892, 0.6052361022342261, 0.6056377453783114]"
3,pair,PS2+PS5,0.6566531058600833,"[0.6349747474747475, 0.6779764798740386, 0.6926190132569119, 0.6210421828346356]"
3,pair,PS2+PS6,0.6760511511441198,"[0.6352651515151515, 0.6824223074830211, 0.7135830086111512, 0.6729341369671558]"
3,pair,PS3+PS4,0.7743796568450616,"[0.7044823232323232, 0.8145353753803919, 0.7472124146959982, 0.8312885140715329]"
3,pair,PS3+PS5,0.8201345023307286,"[0.7959722222222223, 0.7952883493204312, 0.8670373482052657, 0.8222400895749953]"
3,pair,PS3+PS6,0.8240678391869414,"[0.7468055555555556, 0.8127160828955782, 0.8984532314152389, 0.8382964868813926]"
3,pair,PS4+PS5,0.3608451682652607,"[0.31214646464646467, 0.366257229753708, 0.38001176044093493, 0.3849652182199352]"
3,pair,PS4+PS6,0.3208526770358542,"[0.2949116161616162, 0.3786615701248266, 0.30886474376155426, 0.3009727780954196]"
3,pair,PS5+PS6,0.41732165419211376,"[0.415530303030303, 0.3851988673633492, 0.47833922643960164, 0.3902182199352011]"
4,single,PS1,0.6158863388595232,"[0.6215893551383113, 0.6187154335993754, 0.5839953216209621, 0.6392452450794436]"
4,single,PS2,0.5560532167686714,"[0.5519536737560848, 0.536504621345805, 0.5263595219325412, 0.6093950500402545]"
4,single,PS3,0.6737461114968252,"[0.6145616835384551, 0.7140582902460192, 0.6854118568988494, 0.680952615303977]"
4,single,PS4,0.29254776487253364,"[0.3300035470426532, 0.22706440907879757, 0.3658873669688608, 0.24723573639982308]"
4,single,PS5,0.3629946080286643,"[0.3595388844550856, 0.39824049279730017, 0.29976830996490045, 0.3944307448973709]"
4,single,PS6,0.31609404326662993,"[0.2701941072420343, 0.3340022436024879, 0.3276260159168121, 0.3325538063051854]"
4,pair,PS1+PS2,0.696453450883648,"[0.7113005511917596, 0.6949186105660925, 0.6828818017155621, 0.6967128400611776]"
4,pair,PS1+PS3,0.8705701481677802,"[0.8560955927995034, 0.8419112508735149, 0.94906549730653, 0.8352082516915728]"
4,pair,PS1+PS4,0.6250077670081773,"[0.6368343111036436, 0.6189930045671868, 0.5960420303320382, 0.6481617220298408]"
4,pair,PS1+PS5,0.6791107949355536,"[0.7112865030359885, 0.6912043035668662, 0.6225494819528126, 0.6914028911865474]"
4,pair,PS1+PS6,0.6684991689600182,"[0.6762080247172866, 0.676031604676236, 0.6590701663006551, 0.6626868801458947]"
4,pair,PS2+PS3,0.8401200352841917,"[0.8125769731591548, 0.8478552092574083, 0.8964884002477617, 0.8035595584724421]"
4,pair,PS2+PS4,0.5941941200000218,"[0.5606605433509285, 0.5844507013028799, 0.6062224318186085, 0.6254428035276702]"
4,pair,PS2+PS5,0.6260028584565563,"[0.6339876226880049, 0.6822162852908068, 0.5685745021303753, 0.6192330237170386]"
4,pair,PS2+PS6,0.6303767168145712,"[0.6421052164862808, 0.6596600021297998, 0.5902473159149352, 0.6294943327272691]"
4,pair,PS3+PS4,0.7674218326457867,"[0.7417904631224244, 0.7577492151504639, 0.8016930382716744, 0.768454614038584]"
4,pair,PS3+PS5,0.8530254165193595,"[0.8681796670447067, 0.8641122893566222, 0.8598092281847701, 0.8200004814913392]"
4,pair,PS3+PS6,0.8548613316541105,"[0.857168806560162, 0.8490742454635491, 0.8785433911443963, 0.834658883448334]"
4,pair,PS4+PS5,0.44332360203379745,"[0.48472088041332384, 0.4484573233351569, 0.4309824126733862, 0.40913379171332287]"
4,pair,PS4+PS6,0.34614135431825444,"[0.3490982110770408, 0.3054092803515907, 0.40388030951442466, 0.3261776163299618]"
4,pair,PS5+PS6,0.4057998994781049,"[0.385268991846469, 0.4747154249156421, 0.3576408440790585, 0.40557433707125007]"
