permutation,wrong_lineage_persistence,max_steering_improvement,max_reverse_improvement,loss_lambda_0,reverse_loss_lambda_0,loss_lambda_0.25,reverse_loss_lambda_0.25,loss_lambda_0.5,reverse_loss_lambda_0.5,loss_lambda_0.75,reverse_loss_lambda_0.75,loss_lambda_1,reverse_loss_lambda_1
512,0.05676797650834061,0.011705411869436189,0.015825318088053875,1.0129406724233436,1.0129406724233436,1.0136778107670223,1.0119189033807854,1.01313584106463,1.009948345851909,1.0093942928666033,1.0053666397985652,1.0012352605539074,0.9971153543352897
513,0.046005303318124344,-0.0033168161846661715,-0.0001730589527508819,1.0129406724233436,1.0129406724233436,1.0162574886080098,1.0131137313760945,1.0207811503285507,1.0157379727949047,1.0223766474317648,1.0172036591859783,1.0178387139723102,1.0138220355868426
514,0.06062707979626549,0.00897521267712409,0.005578522995104196,1.0129406724233436,1.0129406724233436,1.0123652174649787,1.0142603460204325,1.0118518549448658,1.0151573226784625,1.0095317734498597,1.0133885859054572,1.0039654597462195,1.0073621494282394
515,0.06744203910284595,0.000824876420534526,0.012949996724308077,1.0129406724233436,1.0129406724233436,1.016935542024157,1.0111777688296655,1.0207470888919743,1.0107034258121608,1.0201531630073544,1.0080659117119466,1.012115796002809,0.9999906756990355
516,0.043706075328500155,0.0029610378567648254,-0.003927386779199127,1.0129406724233436,1.0129406724233436,1.0114923102593454,1.0168680592025428,1.012177395985151,1.021053809808603,1.012566589066265,1.0219413272910676,1.0099796345665788,1.0168874536831425
517,0.03602659402709101,0.009868795305084221,0.004635191627898605,1.0129406724233436,1.0129406724233436,1.0142160222149936,1.012907922099599,1.0148330264133358,1.013648177391833,1.0117526626663318,1.0128612758493825,1.0030718771182594,1.008305480795445
518,0.06182308073401518,0.01177885696997416,0.010442578033218686,1.0129406724233436,1.0129406724233436,1.01540433436164,1.0097196541179443,1.0149889762476547,1.0070573097475786,1.0101276820909217,1.0049321808814615,1.0011618154533695,1.002498094390125
519,0.04832228719171332,0.01703520745447551,0.0035303962921551246,1.0129406724233436,1.0129406724233436,1.0085541869120043,1.0178844519403905,1.0053190782626193,1.0207384670157882,1.0017793792466771,1.0183763879713383,0.9959054649688681,1.0094102761311885
520,0.0735295603357158,-0.0020460561672552835,0.01051383971959119,1.0129406724233436,1.0129406724233436,1.0169572200957189,1.0112227912375984,1.0211473992430664,1.010870753008459,1.0215387393165165,1.0088430011997758,1.014986728590599,1.0024268327037524
521,0.05073407244495134,0.007535398658241377,0.010954506024956734,1.0129406724233436,1.0129406724233436,1.0119577928408103,1.0146846191122758,1.0117008400768108,1.0150564769899453,1.0102225293613538,1.0112334223256911,1.0054052737651022,1.001986166398387
522,0.057834463441243815,0.0179151847509903,0.00463618171231861,1.0129406724233436,1.0129406724233436,1.0097327795213704,1.0165831838256034,1.0067430513334668,1.0187757611452959,1.0022858865913549,1.0166111404584202,0.9950254876723533,1.008304490711025
523,0.060924093396027994,0.003062021387537861,-0.006668042693042775,1.0129406724233436,1.0129406724233436,1.0098786510358058,1.0196087151163864,1.0104791137977387,1.026429515253355,1.011834925377451,1.0283745960189452,1.0103639821004111,1.02191938717516
524,0.061750538139377274,0.010219164079615872,0.01480776427295838,1.0129406724233436,1.0129406724233436,1.016217621687622,1.00968367616946,1.0171278231045884,1.0070691469033093,1.012974867396221,1.0038512777385373,1.0027215083437278,0.9981329081503852
525,0.06240394101260576,0.012103950601846769,0.009177370175698751,1.0129406724233436,1.0129406724233436,1.0101210863967418,1.0154839273852718,1.007696447115206,1.01586547714551,1.0049874516053334,1.0121376570480936,1.0008367218214969,1.0037633022476449
526,0.08040059775650937,0.009628294918290647,0.011076227649416293,1.0129406724233436,1.0129406724233436,1.0144108668246394,1.011231941014687,1.0142795611381314,1.009445438369581,1.0108285006598317,1.0066671745145719,1.003312377505053,1.0018644447739273
527,0.08177826463314478,-0.0022552876899926133,-0.0016345836054449947,1.0129406724233436,1.0129406724233436,1.0151959601133362,1.014593453300845,1.0193596145813633,1.0182969869489396,1.0208390035475894,1.0196165597394728,1.0154874567108372,1.0145752560287886
528,0.06824331405758408,0.0006685674379516282,0.006753263010714328,1.0129406724233436,1.0129406724233436,1.0186899850671818,1.0096616803082032,1.0232717684422938,1.0093071845143877,1.0219942802448294,1.0092906933582453,1.012272104985392,1.0061874094126293
529,0.06291228634260222,0.025320642331760568,0.01113630794758147,1.0129406724233436,1.0129406724233436,1.0098002366814973,1.0142438262558406,1.004601042268887,1.0133318062652925,0.9970590772012451,1.0093676306860977,0.9876200300915831,1.0018043644757622
530,0.0644684649512829,-0.0049780124612488486,0.0014400034700372544,1.0129406724233436,1.0129406724233436,1.0191063502777638,1.0115006689533064,1.0259364871595154,1.0142000994249831,1.0270582871566651,1.0165989656761087,1.0179186848845925,1.0137141817205766
531,0.06752383197523264,0.0039041233252090635,-0.0020579645907099486,1.0129406724233436,1.0129406724233436,1.012253391516661,1.015583987516487,1.0127644544688583,1.0187020063206775,1.012295309384126,1.0193389081385003,1.0090365490981346,1.0149986370140536
532,0.09738023805534343,-0.00416975869852676,0.0007842037396323942,1.0129406724233436,1.0129406724233436,1.0171104311218704,1.0121564686837112,1.0220091729736127,1.0141511491907098,1.0233107661454834,1.015745377160749,1.0179529395111944,1.0136291780724753
533,0.057844064530699665,0.017462134394949036,0.004512720999521935,1.0129406724233436,1.0129406724233436,1.0103229216006413,1.0156753287888425,1.0074409162694649,1.0172152207616856,1.0028347116533087,1.0153078118414456,0.9954785380283946,1.0084279514238217
534,0.05870892818218813,0.0018734080833358036,0.006702968283303079,1.0129406724233436,1.0129406724233436,1.0165116059535917,1.0116461591906438,1.0198791601075616,1.0120659498534457,1.0190061815153406,1.0112616405277035,1.0110672643400078,1.0062377041400405
535,0.054256827156251276,0.013802644397775676,0.0076793922147440075,1.0129406724233436,1.0129406724233436,1.0110848513210013,1.0151039028016038,1.009261840136446,1.0159901214670355,1.0057902519636535,1.0131727564175077,0.999138028025568,1.0052612802085996
536,0.05952775237942962,-0.0016902906376032867,-0.004014703145105658,1.0129406724233436,1.0129406724233436,1.014630963060947,1.0169553755684493,1.0198847868960734,1.0239440570820266,1.0231967895596321,1.02801249727581,1.019451657933214,1.023998594563787
537,0.06441160822722011,-0.001958310277755393,0.0021285640244588233,1.0129406724233436,1.0129406724233436,1.014898982701099,1.014598760972507,1.0190245473562678,1.0175935018084745,1.0211136847410234,1.017485700301593,1.0171041887305103,1.0108121083988848
538,0.060678683904017115,-0.0020056639794638897,-0.0044264792463935,1.0129406724233436,1.0129406724233436,1.0149463364028075,1.0173671516697371,1.0211098195317563,1.0253314738230215,1.025564677869631,1.0304823515663282,1.0227296470873355,1.0269998740227402
539,0.0717876200839357,0.0012596988378847929,0.006478449726657232,1.0129406724233436,1.0129406724233436,1.0160894081025797,1.012611640175998,1.0198055489382452,1.013804035032994,1.0195818921988167,1.012836133237952,1.0116809735854588,1.0064622226966864
540,0.08152398111605887,0.0012253154200667637,-0.0005337198560946277,1.0129406724233436,1.0129406724233436,1.016075758517988,1.0134743922794383,1.0199578527449336,1.0167146686065187,1.0196751074938677,1.0185663651351275,1.0117153570032769,1.0146846317438467
541,0.06536614469547522,-0.001223830700101347,-0.004978125219582852,1.0129406724233436,1.0129406724233436,1.014164503123445,1.0179187976429265,1.0196752887822698,1.0254584994150238,1.0233682720467459,1.0286676324907869,1.0191130276485576,1.0219779075682378
542,0.07630476670759004,-0.0014460657436878854,0.005537834834657529,1.0129406724233436,1.0129406724233436,1.0146924636045607,1.0145262837627897,1.0184774068346778,1.0168981785211564,1.0198871837424672,1.015558132514552,1.0143867381670315,1.007402837588686
543,0.05483455580652893,-0.0041422192221092224,-0.00436973308259625,1.0129406724233436,1.0129406724233436,1.0170828916454528,1.0173104055059399,1.026354133266671,1.0268572472914983,1.0327652739377124,1.0337457000799046,1.0288966442735088,1.030798716024085
544,0.06805699007553193,0.0035208448355921185,-0.0009013821889414242,1.0129406724233436,1.0129406724233436,1.0156205025333056,1.013842054612285,1.0187927516149853,1.0176520199898234,1.0177210214600863,1.0204293076816662,1.0094198275877515,1.0177341865187703
545,0.055017852290805774,0.011239645967418221,0.011630367697572419,1.0129406724233436,1.0129406724233436,1.0130614548388865,1.012864137158267,1.0124021954658757,1.0119679305485287,1.0090668745325002,1.0084754195402101,1.0017010264559254,1.0013103047257712
546,0.07122761034938457,-0.0051290607995055915,-0.0018721665892207362,1.0129406724233436,1.0129406724233436,1.0180697332228492,1.0148128390125644,1.0270407407496995,1.0214554792960395,1.033170615520363,1.0267898423151252,1.0304369102818731,1.0248690511989609
547,0.07264149014229151,0.01753531588280932,-0.0021171829776207574,1.0129406724233436,1.0129406724233436,1.010612001433044,1.0164174544585922,1.008251962118858,1.0198405551734282,1.003568637920516,1.0202497284586307,0.9954053565405343,1.0150578554009644
548,0.05340095302648453,-0.0005303638498836971,-0.002260963076060829,1.0129406724233436,1.0129406724233436,1.014429021586314,1.0158893762498158,1.0183331085036351,1.0207705531753237,1.019555401577721,1.0221265884640458,1.0134710362732273,1.0152016354994045
