x_mm,y_mm,z_mm,radius_mm,x_ara,angle_deg,lateral_index,elevation_rank,exact_elevation_tie
924.43394,431.07063,81.13982,1019.9999987610395,0.09999998458544715,25,3,34,False
930.476,433.88808,73.97154,1026.6666706103235,0.1333333440087105,25,4,32,False
951.21856,443.5605,68.11846,1049.5535555886242,0.24776776950732154,25,5,30,False
958.28349,446.85493,62.38034,1057.3488429425197,0.28674420648357996,25,6,29,False
965.89173,450.40271,57.60444,1065.7436067168019,0.32871802557767404,25,7,27,False
973.85998,454.11837,52.62603,1074.535599511276,0.37267798978326444,25,8,24,False
982.07474,457.94897,47.40621,1083.5995819813372,0.4179979023740062,25,9,19,False
990.46383,461.86087,45.07164,1092.8559199525919,0.46427959247581707,25,10,18,False
996.12934,464.50274,42.14488,1099.1071182902706,0.4955355843300327,25,11,15,False
1004.7117,468.50476,38.5119,1108.576704725274,0.5428835167562447,25,12,14,False
1013.37319,472.54368,37.13766,1118.133601909324,0.5906680029300042,25,13,12,False
1022.09631,476.61134,37.03807,1127.7585008911312,0.638792498094355,25,14,11,False
1041.41218,485.61847,34.82446,1149.0712019093914,0.7453560037510061,25,15,9,False
1049.57574,489.42521,36.89866,1158.078697749031,0.7903934831881411,25,16,10,False
1057.84172,493.2797,33.66546,1167.199197654217,0.8359959829560047,25,17,7,False
1063.40111,495.87208,31.29371,1173.3333032317623,0.8666665110064475,25,18,1,False
1071.80376,499.7903,31.72419,1182.6046016840235,0.9130230035136877,25,19,2,False
1080.27275,503.73946,32.65284,1191.9491004038948,0.9597454973609207,25,20,4,False
1088.79875,507.7152,32.22426,1201.3565009241022,1.0067825002115025,25,21,3,False
1097.37424,511.71401,33.05452,1210.8185044199886,1.0540925179419276,25,22,5,False
1105.99277,515.7329,33.60979,1220.3280015777245,1.1016400039828604,25,23,6,False
1114.6491,519.76941,34.39158,1229.8792037035826,1.14939601486551,25,24,8,False
1120.43868,522.46914,37.40521,1236.2673003410234,1.1813364982221677,25,25,13,False
1139.16209,531.20001,42.5264,1256.9262977267872,1.2846314856989962,25,26,16,False
1147.53629,535.10496,44.20468,1266.166203578174,1.3308310152010316,25,27,17,False
1155.95861,539.03235,48.48267,1275.4592045140662,1.377296020127003,25,28,20,False
1164.42433,542.97998,51.93854,1284.8000930015335,1.42400046281212,25,29,22,False
1172.9294,546.94596,51.89606,1294.1843997455237,1.4709219967810034,25,30,21,False
1181.46999,550.9285,51.96325,1303.607897100524,1.5180394838059768,25,31,23,False
1187.182,553.59206,54.81205,1309.9104053403971,1.5495520251725252,25,32,25,False
1195.77506,557.59907,56.85673,1319.391798133848,1.596958989391287,25,33,26,False
1204.39595,561.61906,60.24278,1328.9038990580493,1.644519494264616,25,34,28,False
1213.0424,565.65096,69.67124,1338.4441985927847,1.692220992191363,25,35,31,False
1231.68225,574.34287,79.04546,1359.0109996923863,1.7950549982349353,25,36,33,False
1240.11409,578.2747,87.10686,1368.3145051034935,1.84157252553726,25,37,35,False
1248.57819,582.22157,87.74623,1377.6536041824668,1.8882680211798593,25,38,37,False
1250.70475,583.2132,88.3856,1380.0000030169576,1.900000015414555,25,39,38,False
1259.76782,587.43938,89.02497,1389.999994777819,1.949999974484126,25,40,40,True
1268.8309,591.66557,89.66434,1399.9999998279409,2.0,25,41,41,False
866.0254,500.0,87.92396,999.99999672258,0.0,30,1,40,True
874.68566,505.0,74.16908,1010.0000018859582,0.05000002489822979,30,2,33,False
883.34591,510.0,66.94169,1019.9999983890824,0.10000000649519025,30,3,30,False
892.00617,515.0,62.42501,1030.0000035524606,0.15000003139342005,30,4,29,False
900.66642,520.0,58.95595,1040.000000055585,0.2000000129903811,30,5,27,False
909.32667,525.0,53.63454,1049.999996558709,0.24999999458734098,30,6,25,False
917.98693,530.0,45.73703,1060.0000017220873,0.30000001948557137,30,7,21,False
926.64718,535.0,42.39358,1069.9999982252114,0.3500000010825312,30,8,15,False
935.30744,540.0,38.28703,1080.0000033885897,0.4000000259807616,30,9,12,False
941.08094,543.33334,36.48688,1086.6666710573393,0.433333363712069,30,10,10,False
949.74119,548.33333,35.13964,1096.6666625604632,0.4833333203090288,30,11,7,False
958.40148,553.33335,32.16784,1106.6667037046036,0.5333335251110661,30,12,2,False
967.06173,558.33335,32.22322,1116.6667002077277,0.5833335067080261,30,13,4,False
975.72198,563.33335,35.39424,1126.666696710852,0.633333488304987,30,14,8,False
984.38224,568.33335,40.49754,1136.6667018742303,0.6833335132032174,30,15,14,False
993.04249,573.33335,43.18594,1146.6666983773544,0.7333334948001773,30,16,17,False
1001.70275,578.33335,39.95122,1156.6667035407327,0.7833335196984077,30,17,13,False
1010.363,583.33335,35.7078,1166.6667000438567,0.8333335012953675,30,18,9,False
1019.02325,588.33335,32.20723,1176.6666965469808,0.8833334828923275,30,19,3,False
1027.68351,593.33335,31.93508,1186.6667017103593,0.933333507790559,30,20,1,False
1036.34376,598.33335,33.42617,1196.6666982134834,0.9833334893875189,30,21,5,False
1045.00402,603.33335,34.07671,1206.6667033768617,1.0333335142857492,30,22,6,False
1053.66427,608.33335,37.82332,1216.6666998799858,1.0833334958827092,30,23,11,False
1064.43572,614.55225,42.90974,1229.1044992155796,1.1455224914180664,30,24,16,False
1073.00773,619.5013,44.60657,1239.002602637074,1.1950130076162384,30,25,18,False
1081.58666,624.45435,45.17945,1248.9086989543623,1.2445434882926458,30,26,19,False
1090.17192,629.41105,45.38069,1258.8221022124567,1.294110503672412,30,27,20,False
1098.76272,634.37095,46.24959,1268.741903251288,1.3437095079552757,30,28,22,False
1107.35854,639.33375,48.01619,1278.6675017376465,1.3933374994752423,30,29,23,False
1115.95878,644.2991,53.16272,1288.5982030562895,1.442991005156163,30,30,24,False
1124.56291,649.2667,58.87852,1298.5333982137533,1.4926669800307746,30,31,26,False
1133.17086,654.2365,61.60159,1308.4730015882596,1.5423649959901937,30,32,28,False
1141.78192,659.2081,78.79695,1318.4161983017714,1.59208097864431,30,33,36,False
1150.3961,664.1815,75.90754,1328.3629970145435,1.6418149712943968,30,34,34,False
1159.01288,669.1564,73.27631,1338.3127973933651,1.6915639722744562,30,35,31,False
1167.63217,674.13275,73.74633,1348.2654964959504,1.7413274668730672,30,36,32,False
1176.2538,679.11045,76.43946,1358.2208970979802,1.7911044689686528,30,37,35,False
1184.87751,684.08935,79.41892,1368.1786990328503,1.8408934777282189,30,38,37,False
1193.50312,689.06935,81.82436,1378.1386964159874,1.8906934637289186,30,39,38,False
1202.13056,694.0504,83.6657,1388.1008036256135,1.940503998861869,30,40,39,False
