run,family,s_m,x_ara,Us_m_per_s,depth_m,depth_source_value,depth_source_unit,Us_recovery_repeats,Us_recovery_spread,source_match_delta_m,motion_peak,structure_peak
URUN1,undulating,4.0199111842,1.8951762452818377,0.5279169416591788,0.1163253056640625,116.3253056640625,mm,17,4.65646126102115e-7,1.842000001417432e-7,0,0
URUN1,undulating,4.2699111842,2,0.4899652776939463,0.12172096064453129,121.72096064453129,mm,19,4.2216872508937797e-7,1.842000001417432e-7,0,0
URUN2,undulating,-0.5,0,0.5794231404841756,0.11027186285156253,110.27186285156253,mm,14,9.03161785803519e-7,0,0,0
URUN2,undulating,-0.25,0.10482375471816233,0.6080059787501915,0.10046095328125002,100.46095328125001,mm,12,9.971979393341712e-7,0,1,0
URUN2,undulating,0,0.20964750943632465,0.6008388589555961,0.11368462875000003,113.68462875000003,mm,13,0.000001153774151219089,0,0,0
URUN2,undulating,0.31415926535,0.34137292453027057,0.4831975405857136,0.10358865904296881,103.5886590429688,mm,12,9.697355742299685e-7,3.464999998037399e-8,0,0
URUN2,undulating,0.6283185307,0.4730983396242165,0.5062491328993551,0.10114324666015634,101.14324666015634,mm,11,0.0000010721408051361792,3.069999998661643e-8,0,0
URUN2,undulating,0.9424777960499999,0.6048237547181623,0.44599403841023777,0.09680026660156255,96.80026660156254,mm,12,8.114070773612703e-7,3.9500001047798605e-9,0,0
URUN2,undulating,1.2566370614,0.7365491698121083,0.4951962067025297,0.09718117035156253,97.18117035156253,mm,12,9.86152521476047e-7,6.139999997323287e-8,0,0
URUN2,undulating,1.5707963267499998,0.8682745849060541,0.49533955283966263,0.099694663359375,99.694663359375,mm,13,6.948698526021424e-7,3.267499997239298e-7,0,0
URUN2,undulating,1.8849555920999999,1,0.4703688457955947,0.10346563460937502,103.46563460937502,mm,14,8.877097922854738e-7,4.07900000221062e-7,0,0
URUN2,undulating,2.1991148574499997,1.1317254150939458,0.46789444125288315,0.11431581792968762,114.31581792968761,mm,13,8.75465231031658e-7,1.4255000024832043e-7,0,0
URUN2,undulating,2.5132741228,1.263450830187892,0.4130821274729348,0.11581670128906252,115.81670128906252,mm,14,9.695341761095655e-7,1.2279999994646573e-7,0,1
URUN2,undulating,2.82743338815,1.3951762452818377,0.4443423507560242,0.10368033804687499,103.68033804687498,mm,12,0.0000012751397781562979,3.881499996971627e-7,0,0
URUN2,undulating,3.1415926534999996,1.5269016603757835,0.4395981418812108,0.11566079908203131,115.6607990820313,mm,14,9.151060396117572e-7,3.465000002478291e-7,0,0
URUN2,undulating,3.45575191885,1.6586270754697294,0.4375645208931618,0.11045293330078128,110.45293330078128,mm,13,9.728986936075046e-7,8.115000005304296e-8,0,0
URUN2,undulating,3.7699111841999997,1.7903524905636754,0.4451763845803884,0.105808550078125,105.808550078125,mm,13,0.000001224909703889665,1.84199999697654e-7,0,0
URUN2,undulating,4.0199111842,1.8951762452818377,0.4504868635326691,0.0995253056640625,99.52530566406249,mm,12,9.91953510054433e-7,1.842000001417432e-7,0,0
URUN2,undulating,4.2699111842,2,0.39848282489345904,0.1090798848828125,109.07988488281251,mm,14,0.0000010548460367409973,1.842000001417432e-7,0,0
URUN3,undulating,-0.5,0,0.47530436173143725,0.1068718628515625,106.8718628515625,mm,13,1.7376764921417376e-7,0,0,1
URUN3,undulating,-0.25,0.10482375471816233,0.526176520372668,0.10627186285156245,106.27186285156245,mm,11,3.2650618586593794e-7,0,0,0
URUN3,undulating,0,0.20964750943632465,0.4958725184663187,0.10477186285156254,104.77186285156253,mm,12,3.2309933378771305e-7,0,0,0
URUN3,undulating,0.31415926535,0.34137292453027057,0.5262059401181562,0.10412186285156252,104.12186285156253,mm,11,2.690419701467661e-7,3.464999998037399e-8,1,0
URUN3,undulating,0.6283185307,0.4730983396242165,0.513084606887527,0.10317186285156248,103.17186285156248,mm,10,3.341153549385467e-7,3.069999998661643e-8,0,0
URUN3,undulating,0.9424777960499999,0.6048237547181623,0.5052539386927092,0.10502186285156251,105.0218628515625,mm,11,2.7047963557791377e-7,3.9500001047798605e-9,0,0
URUN3,undulating,1.2566370614,0.7365491698121083,0.4489135794107414,0.10307186285156249,103.07186285156249,mm,11,2.10949311130193e-7,6.139999997323287e-8,0,0
URUN3,undulating,1.5707963267499998,0.8682745849060541,0.43967939899692027,0.10352186285156253,103.52186285156253,mm,11,4.293808639199703e-7,3.267499997239298e-7,0,0
URUN3,undulating,1.8849555920999999,1,0.38775595377414723,0.10372186285156253,103.72186285156252,mm,13,2.595189861898106e-7,4.07900000221062e-7,0,0
URUN3,undulating,2.1991148574499997,1.1317254150939458,0.3615168601235871,0.10187186285156252,101.87186285156253,mm,12,2.2312556646753023e-7,1.4255000024832043e-7,0,0
URUN3,undulating,2.5132741228,1.263450830187892,0.34011022635271393,0.1031718628515625,103.17186285156251,mm,13,2.2257087983756918e-7,1.2279999994646573e-7,0,0
URUN3,undulating,2.82743338815,1.3951762452818377,0.382030994486891,0.10107186285156251,101.07186285156251,mm,11,2.7193273249848104e-7,3.881499996971627e-7,0,0
URUN3,undulating,3.1415926534999996,1.5269016603757835,0.3275254117829987,0.1006218628515625,100.6218628515625,mm,13,3.5009206578173746e-7,3.465000002478291e-7,0,0
URUN3,undulating,3.45575191885,1.6586270754697294,0.3221271834075243,0.09902186285156248,99.02186285156247,mm,12,2.3337882987251035e-7,8.115000005304296e-8,0,0
URUN3,undulating,3.7699111841999997,1.7903524905636754,0.32470967186852784,0.1002218628515625,100.22186285156249,mm,12,2.7598201107759124e-7,1.84199999697654e-7,0,0
URUN3,undulating,4.0199111842,1.8951762452818377,0.31890991653262674,0.0992718628515625,99.2718628515625,mm,11,1.924686949816845e-7,1.842000001417432e-7,0,0
URUN3,undulating,4.2699111842,2,0.31072407550142406,0.09907186285156251,99.07186285156251,mm,13,2.3350886757533829e-7,1.842000001417432e-7,0,0
