condition,track_id,run_id,centre_frame,progress,progress_decile,centre_speed,d_pre,d_centre,d_post,g_centre,theta_in,theta_out,theta_parent,parent_persistence,centre_roughness,parent_turn,smoothing_score,max_perpendicular_departure,centre_chord_alignment,child_b_directness,child_a_directness,child_b_connection,child_a_connection,delta_i_ba,delta_d_ba,delta_b,wrong_child_delta,centre_speed_quintile,stratum
low,low:39,low:39:0,602,0.3263263263263263,3,0.09596155529429176,0.9833933198281052,0.10261713879917468,0.9524864858137959,0.983958535177188,0.13557355263681886,2.576858407442299,1.356215980039559,-0.7646438616360456,1.6271144539513938,2.44128485480548,-0.8141704008540864,0.4468715231992954,-0.21514609216051364,0.9976989570358483,0.9872168418684961,2.772588722239781,0.7730613737476041,1.999527348492177,-0.010482115167352202,-0.3407209262651227,-1.4719468229341381,4,low:3:4
low,low:39,low:39:0,1727,0.8893893893893894,8,0.01441661673696082,0.9783132582558796,0.708243580118135,0.9652912249154877,0.9282092318535659,3.140900505775794,-3.141343339012247,3.1413712369715667,0.9999995568243154,2.503996855410652,0.0009414623915449345,2.503055393019107,0.0010167168406007706,-0.9999997832736778,0.99995124175865,0.17602012364804837,0.7730613737476041,1.4378932696768452,-0.6648318959292411,-0.8239311181106017,0.014999552149003278,3.1410569225292937,2,low:8:2
low,low:40,low:40:0,107,0.07857857857857857,0,0.05339755327076068,0.8607023044513187,0.3155421080761816,0.9967333830802142,1.0,-2.9723310302139083,0.7475203327340633,2.0291873048498705,-0.8374156502695844,1.9294409351654724,2.563333944231615,-0.6338930090661428,0.5699218765126153,-0.6944492178866426,0.9455511508015102,0.9268614024766297,2.772588722239781,2.0360570596244845,0.7365316626152967,-0.018689748324880462,1.4178479052354682,1.310401603704552,4,low:0:4
low,low:40,low:40:0,827,0.4389389389389389,4,0.0031962168916000538,0.9995322586805603,0.04857114958401178,0.9999427551794369,0.8038738860924177,-3.1404319417287447,-0.0008372377610168265,-1.5706345897448695,-0.9999980040993178,1.5598517546795234,3.139594703967728,-1.5797429492882045,0.5236173025562181,-0.0043265403893906745,0.9995260911201004,0.9238281025492386,1.0649878820161585,0.4811348654790497,0.5838530165371087,-0.07569798857086174,-0.041910372674524056,1.6301145804379389,0,low:4:0
low,low:40,low:40:0,1547,0.7992992992992992,7,0.0042741754008337705,0.9998746851009099,0.44506034203025135,0.9998398482613227,0.7533328220654458,-0.001182276986423259,-3.1366880960208507,-1.5689351865036487,-0.9999814752797423,1.5313657570787569,3.1355058190344276,-1.6041400619556707,0.7203611567031596,-0.008333419670169012,0.9929608348600274,0.9919240880415008,1.6100034485971624,1.571459946172315,0.038543502424847276,-0.0010367468185266127,-0.9865404275099018,-0.4026512501776598,0,low:7:0
low,low:41,low:41:0,1862,0.956956956956957,9,0.034878209581279296,0.9997973516976477,0.5533218557455925,0.7536127739569626,0.8677504669798133,-3.1398403430090442,0.9401367499160974,2.0417408570433198,-0.5910919138811004,1.5055330371376496,2.203208214254445,-0.6976751771167953,0.5031477040104415,-0.4160932673520105,0.15991602623382026,0.7389384704258177,0.7730613737476041,1.1459667614082907,-0.3729053876606866,0.5790224441919974,-0.0418116715502965,-3.003392460307353,3,low:9:3
low,low:42,low:42:0,779,0.4164164164164164,4,0.0037803273736555297,0.8857708664962706,0.6487785856677657,0.9302518261203239,0.7843648563158035,3.137800779867585,-0.005397271709769722,-1.5753908995109192,-0.9999987113489275,1.514248003668352,3.139987255602232,-1.6257392519338798,0.8231736041806057,0.007826793644274853,0.9996333468865841,0.35383996554570857,0.6158701769876131,0.6158701769876131,0.0,-0.6457933813408756,0.05062292538266337,-3.1355433173418206,0,low:4:0
low,low:42,low:42:0,1364,0.7092092092092093,7,0.0024505340710657252,0.8676861018310165,0.6207045740675721,0.9320071157271773,0.9303382568557138,0.004486259207305309,0.00551670207793328,0.0050014806426192954,0.9999994690937921,1.8956677033639169,0.001030442870627971,1.8946372604932888,0.005672546483156462,-0.9999874438370403,0.9997731155458551,0.5604120171127904,0.7730613737476041,0.7730613737476041,0.0,-0.4393610984330647,-0.038450575934438465,3.1300113582533005,0,low:7:0
low,low:42,low:42:0,1544,0.7992992992992993,7,0.004082561272590972,0.999834478105854,0.3391937554624061,0.9998775519345001,0.7888108008735558,0.00011573975649155184,3.1339050323488604,1.5670103860526703,-0.999969553933067,1.6002943277839559,3.1337892925923687,-1.5334949648084129,0.6683160720272824,-0.013002422092973356,0.9759904344405259,0.9986750942964638,2.00718012722862,1.4378932696768452,0.5692868575517749,0.022684659855937928,-1.9911513197817075,0.1874233683772112,0,low:7:0
low,low:43,low:43:0,243,0.14614614614614613,1,0.2657064890248407,0.9794366781947245,0.7331769227900087,0.9389354337577923,0.8491844186279043,0.3138719201184402,2.873175065850915,1.5935234929846778,-0.8352057535987292,0.9825550880294659,2.559303145732475,-1.5767480577030089,0.6968902964131989,0.5207802964451592,0.9618649007883456,0.8553441307675491,0.9451715526679211,1.571459946172315,-0.626288393504394,-0.10652077002079652,0.6527342120659827,1.577989915075177,4,low:1:4
