condition,track_id,particle_id,frame,time_s,x_px,z_px,ara_x,ara_y,dominance,sector
low,low:1555,1555,5,0.05,1046.0,-53.39703742891152,1.0011305852793395,1.0553994755331448,-0.054268890253805324,Ab
low,low:1555,1555,9,0.09,1017.999596448749,-70.49986548291633,1.0570068173916125,1.0243202572194166,0.032686560172195955,Ab
low,low:1555,1555,13,0.13,989.3174038967878,-98.21432332806741,1.0169595083423877,1.0108301907428188,0.0061293175995689175,Ab
low,low:1555,1555,18,0.18,954.3927205778218,-146.1855261294434,1.014658078369983,1.0069947689332508,0.007663309436732213,Ab
low,low:1555,1555,22,0.22,928.2767336357745,-183.5,0.9725882834581868,0.9852589926270063,0.012670709168819516,bA
low,low:1555,1555,26,0.26,916.6652248150256,-204.5560614684121,0.6850034587254601,0.9521401420613911,0.267136683335931,bA
low,low:1555,1555,31,0.31,910.3716140586523,-212.1063353481084,1.0352027673796542,1.1704582513044475,-0.13525548392479325,Ab
low,low:1555,1555,35,0.35,916.0,-222.9150573088397,1.0483711188898621,1.133287900613482,-0.08491678172361983,Ab
low,low:1555,1555,42,0.42,946.9334831460674,-226.7474157303371,0.898622749975469,1.1323180766615024,-0.030940826636971397,Ba
low,low:1555,1555,54,0.54,986.0256578086137,-212.2144259719859,0.8342673087182466,0.99441990644766,0.16015259772941337,bA
low,low:1555,1555,58,0.58,988.9533279687321,-209.3906196114496,0.7094032673545017,0.857314781350662,0.14791151399616032,bA
low,low:1555,1555,62,0.62,992.7219458264234,-206.6113875069099,0.9614558213161446,1.1522029679532007,-0.11365878926934525,Ba
low,low:1555,1555,67,0.67,997.6263255712255,-203.8257352137313,1.0314106049280236,0.9094979629826054,-0.059091432089370954,aB
low,low:1555,1555,71,0.71,1000.149168399168,-202.5012474012474,0.9793856560292646,0.9156954511072728,-0.06369020492199184,bA
low,low:1555,1555,75,0.75,1004.0,-203.5,1.037160925318353,0.8617033895695722,-0.10113568511207494,aB
low,low:1555,1555,79,0.79,1006.933379944067,-206.1474230922892,0.6954360473970267,1.1413205212138184,0.16324343138915487,Ba
low,low:1555,1555,84,0.84,1007.664024324031,-205.9694863720274,0.889773857560991,1.540781458775665,-0.430555316336656,Ba
low,low:1555,1555,88,0.88,1008.839033244173,-202.20825372564,0.8194006990592421,0.8829708011544685,0.0635701020952264,bA
low,low:1555,1555,92,0.92,1010.313794201975,-199.616650738027,0.9393766724954719,1.2976987736605405,-0.2370754461560124,Ba
low,low:1555,1555,97,0.97,1014.291624621594,-197.6486377396569,0.97609027223845,0.7460755502029419,-0.2300147220355081,bA
low,low:1555,1555,101,1.01,1018.70953002611,-196.1724325500435,1.050176991235366,1.046654328833115,0.0035226624022510755,Ab
low,low:1555,1555,105,1.05,1022.615667074663,-191.6376988984088,1.0705417929284087,0.8061027907321782,-0.12335541633941316,aB
low,low:1555,1555,110,1.1,1025.982958946553,-182.9505228505035,1.0978510037984766,0.9524122786272217,0.05026328242569822,aB
low,low:1555,1555,114,1.14,1026.313540510544,-175.2072142064373,0.9637509598886524,1.1160179885108386,-0.079768948399491,Ba
low,low:1555,1555,118,1.18,1025.758061094612,-167.396160373356,0.9572944927510804,0.9325459757438417,-0.02474851700723868,bA
low,low:1555,1555,123,1.23,1023.118855009334,-160.0864965774736,0.7431108857477544,1.0409757887650424,0.2159133254872032,Ba
low,low:1555,1555,127,1.27,1020.425586353945,-155.037526652452,0.9258017701157198,0.9643861459275442,0.03858437581182439,bA
low,low:1555,1555,131,1.31,1018.45260200342,-151.6547764475935,1.1102587730332452,1.0774868655808592,0.03277190745238601,Ab
low,low:1555,1555,136,1.36,1014.950585480094,-148.9121779859485,0.7849938543977728,1.27717949287227,-0.062173347270042756,Ba
