elevation_rank,path_type,candidate,increment_ara,local_positive,local_negative,local_score,local_sign,parent_positive,parent_negative,parent_score,parent_sign,local_score_rank_within_candidate,parent_score_rank_within_candidate
3,control,three_eighths,0.75,0.7500000118144005,0.7413767565448931,0.7413767565448931,-,0.4293087996529288,0.48862447654012164,0.4293087996529288,+,30.0,10.0
3,control,fibonacci_8_21,0.7619047619047619,0.7619047737191623,0.753281518449655,0.753281518449655,-,0.48475872938449527,0.5986740717226922,0.48475872938449527,+,31.0,26.0
3,control,phi,0.7639320225002103,0.7639320343146108,0.7553087790451033,0.7553087790451033,-,0.49892147023809996,0.5479925568364812,0.49892147023809996,+,32.0,33.0
3,control,two_fifths,0.8,0.7999999965854981,0.7755034275464683,0.7755034275464683,-,0.42680536502701916,0.48992000157795523,0.42680536502701916,+,29.0,10.0
3,control,silver_conjugate,0.8284271247461903,0.8141928890381931,0.7849561249911751,0.7849561249911751,-,0.5374969963915674,0.5924692501793642,0.5374969963915674,+,28.0,35.0
3,control,ridge,1.0,0.8085539898866638,0.8085539898866638,0.8085539898866638,+,0.4576670022053606,0.4576670022053606,0.4576670022053606,+,13.0,4.0
4,control,persistence,0.0,0.16033561132189766,0.16033561132189766,0.16033561132189766,+,0.1667320146036253,0.1667320146036253,0.1667320146036253,+,21.0,6.0
4,control,one_third,0.6666666666666666,0.7004258905995873,0.6329074427337459,0.6329074427337459,-,0.5823873221575628,0.4946079366994691,0.4946079366994691,-,13.0,26.0
4,control,one_over_e,0.7357588823428847,0.7592843772937715,0.701999658409964,0.701999658409964,-,0.5340263116908921,0.49705395684851883,0.49705395684851883,-,18.0,28.0
4,control,three_eighths,0.75,0.7666666986406977,0.7162407760670794,0.7162407760670794,-,0.5743387371467633,0.610675862008113,0.5743387371467633,+,18.0,40.0
4,control,fibonacci_8_21,0.7619047619047619,0.7785714605454596,0.7281455379718412,0.7281455379718412,-,0.4520263483159406,0.5730571121865065,0.4520263483159406,+,20.0,13.0
4,control,phi,0.7639320225002103,0.780598721140908,0.7301727985672896,0.7301727985672896,-,0.49614594969956993,0.5380993787586255,0.49614594969956993,+,21.0,31.0
4,control,two_fifths,0.8,0.8117940090218135,0.7627404833204776,0.7627404833204776,-,0.513598508049476,0.43932413799188597,0.43932413799188597,-,27.0,14.0
4,control,silver_conjugate,0.8284271247461903,0.8284271247461903,0.7589564253492594,0.7589564253492594,-,0.4198805501472531,0.6053522125319687,0.4198805501472531,+,20.0,10.0
4,control,ridge,1.0,0.8396643886781023,0.8396643886781023,0.8396643886781023,+,0.4843924668404169,0.4843924668404169,0.4843924668404169,+,21.0,11.0
5,control,persistence,0.0,0.2218375810989659,0.2218375810989659,0.2218375810989659,+,0.4600492596662572,0.4600492596662572,0.4600492596662572,+,34.0,28.0
5,control,one_third,0.6666666666666666,0.6908235659000204,0.6272761269766256,0.6272761269766256,-,0.49957195465015736,0.49800880314763907,0.49800880314763907,-,12.0,27.0
5,control,one_over_e,0.7357588823428847,0.7367106331004688,0.6796935498177823,0.6796935498177823,-,0.508847298204906,0.5814861195443433,0.508847298204906,+,14.0,31.0
5,control,three_eighths,0.75,0.7507815809325182,0.6939346674748976,0.6939346674748976,-,0.48959313002464877,0.5194609862549219,0.48959313002464877,+,15.0,31.0
5,control,fibonacci_8_21,0.7619047619047619,0.7619047631868554,0.7058394293796595,0.7058394293796595,-,0.44409866571675294,0.43680881880273303,0.43680881880273303,-,16.0,7.0
5,control,phi,0.7639320225002103,0.763932023782304,0.7078666899751078,0.7078666899751078,-,0.49939284904064296,0.44194107805736804,0.44194107805736804,-,16.0,11.0
5,control,two_fifths,0.8,0.8000000012820936,0.7439346674748977,0.7439346674748977,-,0.5300454569755331,0.6629921132053174,0.5300454569755331,+,19.0,37.0
5,control,silver_conjugate,0.8284271247461903,0.8284271260282838,0.7597061597480232,0.7597061597480232,-,0.506030462065916,0.5468457405700968,0.506030462065916,+,21.0,30.0
5,control,ridge,1.0,0.7781624189010341,0.7781624189010341,0.7781624189010341,+,0.4653640125989027,0.4653640125989027,0.4653640125989027,+,8.0,5.0
6,control,persistence,0.0,0.14150983885273416,0.14150983885273416,0.14150983885273416,+,0.3208525250133679,0.3208525250133679,0.3208525250133679,+,18.0,22.0
6,control,one_third,0.6666666666666666,0.6765826304362159,0.6567507028971171,0.6567507028971171,-,0.5117351301189751,0.3918487940455333,0.3918487940455333,-,21.0,11.0
6,control,one_over_e,0.7357588823428847,0.7391584180227218,0.7098238215970494,0.7098238215970494,-,0.45355111494023803,0.5200499375858088,0.45355111494023803,+,20.0,17.0
6,control,three_eighths,0.75,0.750647588926119,0.7240649392541647,0.7240649392541647,-,0.4375624462905199,0.5281916193934284,0.4375624462905199,+,21.0,14.0
6,control,fibonacci_8_21,0.7619047619047619,0.7625523508308809,0.735891736268385,0.735891736268385,-,0.4674922046600094,0.4933699504301212,0.4674922046600094,+,24.0,17.0
6,control,phi,0.7639320225002103,0.7645796114263292,0.735891736268385,0.735891736268385,-,0.5113952731924685,0.480253630477673,0.480253630477673,-,24.0,21.0
6,control,two_fifths,0.8,0.8006475889261191,0.7531727107362257,0.7531727107362257,-,0.4875624462905197,0.5445013962378114,0.4875624462905197,+,22.0,26.0
6,control,silver_conjugate,0.8284271247461903,0.8284271247461903,0.767223373013842,0.767223373013842,-,0.578713954431608,0.540637513702194,0.540637513702194,-,23.0,36.0
6,control,ridge,1.0,0.8584901611472658,0.8584901611472658,0.8584901611472658,+,0.5670301205449559,0.5670301205449559,0.5670301205449559,+,24.0,27.0
7,control,persistence,0.0,0.1883040144679331,0.1883040144679331,0.1883040144679331,+,0.15288990969772054,0.15288990969772054,0.15288990969772054,+,28.0,4.0
7,control,one_third,0.6666666666666666,0.6666666946449993,0.6666666386883339,0.6666666386883339,-,0.5418418205973057,0.5811596548641669,0.5418418205973057,+,35.0,33.0
7,control,one_over_e,0.7357588823428847,0.7357588823428847,0.735758854364552,0.735758854364552,-,0.46219735743574586,0.44173562743075045,0.44173562743075045,-,36.0,13.0
7,control,three_eighths,0.75,0.75,0.7495626384373509,0.7495626384373509,-,0.6532139980664751,0.43153400360719285,0.43153400360719285,-,37.0,12.0
7,control,fibonacci_8_21,0.7619047619047619,0.7619047619047619,0.7495626384373509,0.7495626384373509,-,0.5999687133498716,0.4612950559109512,0.4612950559109512,-,29.0,14.0
7,control,phi,0.7639320225002103,0.7639320225002104,0.7495626384373509,0.7495626384373509,-,0.6226942766277468,0.420749844001981,0.420749844001981,-,29.0,8.0
7,control,two_fifths,0.8,0.8,0.7485267593190691,0.7485267593190691,-,0.47222868846664023,0.6313017447562983,0.47222868846664023,+,21.0,24.0
7,control,silver_conjugate,0.8284271247461903,0.7977965509574351,0.7408054628475707,0.7408054628475707,-,0.4068364644739164,0.560305213564056,0.4068364644739164,+,16.0,7.0
7,control,ridge,1.0,0.8116959855320669,0.8116959855320669,0.8116959855320669,+,0.5418418205973057,0.5418418205973057,0.5418418205973057,+,14.0,22.0
8,control,persistence,0.0,0.163331928702863,0.163331928702863,0.163331928702863,+,0.45218450161349266,0.45218450161349266,0.45218450161349266,+,23.0,27.0
8,control,one_third,0.6666666666666666,0.6711914140155157,0.6547427030560545,0.6547427030560545,-,0.5620743246141495,0.5334067408842207,0.5334067408842207,-,20.0,31.0
8,control,one_over_e,0.7357588823428847,0.7357588840321626,0.7192473304542547,0.7192473304542547,-,0.4540214139957258,0.4825405448158373,0.4540214139957258,+,27.0,18.0
8,control,three_eighths,0.75,0.7463514986918987,0.73348844811137,0.73348844811137,-,0.4991447905807689,0.45702215626805565,0.45702215626805565,-,28.0,22.0
8,control,fibonacci_8_21,0.7619047619047619,0.7559736048021966,0.7453932100161319,0.7453932100161319,-,0.5355518933898435,0.4686555913220919,0.4686555913220919,-,28.0,18.0
8,control,phi,0.7639320225002103,0.7559736048021966,0.7474204706115802,0.7474204706115802,-,0.4850133060710775,0.47827957963066914,0.47827957963066914,-,28.0,20.0
8,control,two_fifths,0.8,0.7845900821477655,0.7772255738410557,0.7772255738410557,-,0.4959261732715743,0.49555581286365347,0.49555581286365347,-,30.0,29.0
8,control,silver_conjugate,0.8284271247461903,0.7907313461388923,0.805652698587246,0.7907313461388923,+,0.5491593922016405,0.46698660321505325,0.46698660321505325,-,32.0,21.0
8,control,ridge,1.0,0.836668071297137,0.836668071297137,0.836668071297137,+,0.48584916583720816,0.48584916583720816,0.48584916583720816,+,19.0,13.0
9,control,persistence,0.0,0.2077650660462116,0.2077650660462116,0.2077650660462116,+,0.19139303463812496,0.19139303463812496,0.19139303463812496,+,32.0,8.0
9,control,one_third,0.6666666666666666,0.6666666666666667,0.6666666544917439,0.6666666544917439,-,0.5532946409334134,0.5181318216259914,0.5181318216259914,-,36.0,29.0
9,control,one_over_e,0.7357588823428847,0.7165225064347626,0.7197373213409134,0.7165225064347626,+,0.5125986229237018,0.5286329590631293,0.5125986229237018,+,26.0,36.0
9,control,three_eighths,0.75,0.7307636240918779,0.7339784389980287,0.7307636240918779,+,0.44896201882215836,0.5821078438067719,0.44896201882215836,+,27.0,19.0
9,control,fibonacci_8_21,0.7619047619047619,0.7426683859966398,0.7424445086658126,0.7424445086658126,-,0.4414704328629727,0.5520270629618182,0.4414704328629727,+,27.0,10.0
9,control,phi,0.7639320225002103,0.7446956465920882,0.7424445086658126,0.7424445086658126,-,0.46990660201293555,0.5013455480756073,0.46990660201293555,+,26.0,15.0
9,control,two_fifths,0.8,0.7550676913873107,0.775320023948748,0.7550676913873107,+,0.5276753183997687,0.5286757530993927,0.5276753183997687,+,24.0,36.0
9,control,silver_conjugate,0.8284271247461903,0.7570791683281596,0.772651400299609,0.7570791683281596,+,0.45095889526145516,0.5155711077312892,0.45095889526145516,+,19.0,14.0
9,control,ridge,1.0,0.7922349339537884,0.7922349339537884,0.7922349339537884,+,0.5726658704914821,0.5726658704914821,0.5726658704914821,+,10.0,28.0
10,control,persistence,0.0,0.1624783544488424,0.1624783544488424,0.1624783544488424,+,0.5431945157480885,0.5431945157480885,0.5431945157480885,+,22.0,32.0
10,control,one_third,0.6666666666666666,0.664175380206946,0.6691579531263872,0.664175380206946,+,0.5854636738133658,0.6165649734678034,0.5854636738133658,+,29.0,39.0
