outer_fold,permutation,balanced_accuracy
2,0,0.26168646694214875
2,1,0.25029700413223144
2,2,0.2531822713388766
2,3,0.24052169421487601
2,4,0.26335227272727274
2,5,0.24057334710743802
2,6,0.22796039530020912
2,7,0.2565470041322314
2,8,0.22701446280991736
2,9,0.26330061983471076
2,10,0.23381973140495865
2,11,0.2654183884297521
2,12,0.29384039256198347
2,13,0.20201446280991736
2,14,0.25905543662252317
2,15,0.2503444738680014
2,16,0.2768405232500249
2,17,0.2802010728865877
2,18,0.26701340485910585
2,19,0.26173811983471074
2,20,0.27188480160310663
2,21,0.2594364544956686
2,22,0.27778630015931494
2,23,0.2534027120880215
2,24,0.2745949547228607
2,25,0.2659123581101265
2,26,0.2513558884297521
2,27,0.22288223140495866
2,28,0.3057756335258389
2,29,0.21506973140495866
2,30,0.26647727272727273
2,31,0.2421875
2,32,0.25235475352112674
2,33,0.2649147727272727
2,34,0.24993885666633475
2,35,0.23427169421487604
2,36,0.22701446280991736
2,37,0.24677169421487605
2,38,0.25670196280991736
2,39,0.29741735537190084
2,40,0.25045196280991733
2,41,0.24269111570247934
2,42,0.24364669421487606
2,43,0.27111311983471076
2,44,0.240625
2,45,0.24703976028079258
2,46,0.3013465535696505
2,47,0.23381973140495865
2,48,0.253073347107438
2,49,0.27731146694214875
2,50,0.25346544629221107
2,51,0.2602789256198347
2,52,0.2766948994324405
2,53,0.26173811983471074
2,54,0.23260588842975208
2,55,0.23744834710743803
2,56,0.23911430847356369
2,57,0.3179151874054243
2,58,0.26078254132231404
2,59,0.27707591730558595
2,60,0.24916717489793885
2,61,0.24737861570247932
2,62,0.22328254132231404
2,63,0.2814953512396694
2,64,0.30522985537190084
2,65,0.24526084710743803
2,66,0.28078094081015015
2,67,0.23119834710743803
2,68,0.2825025826446281
2,69,0.2683504175881737
2,70,0.23153735811012646
2,71,0.2731275826446281
2,72,0.24737861570247932
2,73,0.2544292355371901
2,74,0.22963584710743803
2,75,0.23739669421487603
2,76,0.2817881722151088
2,77,0.221875
2,78,0.2549232052175645
2,79,0.2993608732450463
2,80,0.24944473140495865
2,81,0.2213197314049587
2,82,0.3004810564572339
2,83,0.28271899581798265
2,84,0.24415030991735537
2,85,0.2171875
2,86,0.2296875
2,87,0.26290030991735536
2,88,0.24408901100268846
2,89,0.24877651100268844
2,90,0.26833677685950413
2,91,0.3196926652892562
2,92,0.23175361570247932
2,93,0.25045196280991733
2,94,0.23175361570247932
2,95,0.2690986570247934
2,96,0.27868057975704474
2,97,0.3247708291845066
2,98,0.23850723140495866
2,99,0.27010588842975203
3,0,0.27067720251716243
3,1,0.2653353832951945
3,2,0.2958248987854251
3,3,0.2397118685090653
3,4,0.24629796690723466
3,5,0.2317362700228833
3,6,0.28530573402569964
3,7,0.2511459525171625
3,8,0.23343821510297483
3,9,0.24631006864988558
3,10,0.2438358123569794
3,11,0.31644846857947545
3,12,0.28466819221967965
3,13,0.32003718535469106
3,14,0.22558927235521914
3,15,0.28442615736666077
3,16,0.2672196796338673
3,17,0.24659610983981695
3,18,0.29559606583348
3,19,0.2375440063369125
3,20,0.19888663967611336
3,21,0.23408290793874315
3,22,0.24224828375286042
3,23,0.21393130610807956
3,24,0.2275028604118993
3,25,0.3253740538637564
3,26,0.2711527459954233
3,27,0.22826196972364018
3,28,0.2825514874141877
3,29,0.29776887871853547
3,30,0.32009439359267733
3,31,0.23895881006864989
3,32,0.22438611160007038
3,33,0.23425453265270196
3,34,0.25449620995423344
3,35,0.28030826439007217
3,36,0.23346860697940505
3,37,0.22527173913043477
3,38,0.23302455553599716
3,39,0.2389016018306636
3,40,0.25708130720823796
3,41,0.3045534181922197
3,42,0.25975400457665904
3,43,0.2768020594965675
3,44,0.30722364020418935
3,45,0.17211098398169336
3,46,0.27714530892448513
3,47,0.23073512585812359
3,48,0.24425057208237985
3,49,0.24090389016018307
3,50,0.29306460130258755
3,51,0.256350114416476
3,52,0.23628611270022884
3,53,0.2626870269318782
3,54,0.2295502552367541
3,55,0.2613987414187643
3,56,0.24060354691075517
3,57,0.24917268086604474
3,58,0.23837242562929062
3,59,0.3172661613272312
3,60,0.2759725400457666
3,61,0.24424342105263158
3,62,0.26375858123569795
3,63,0.24030430381975004
3,64,0.313589844437599
3,65,0.2744422196796339
3,66,0.3063952209118113
3,67,0.23396739130434782
3,68,0.30395740736666077
3,69,0.2667087935662736
3,70,0.23971791938039078
3,71,0.26031357265446226
3,72,0.23561212814645308
3,73,0.2770212660623129
3,74,0.22708920084492165
3,75,0.2952957225840521
3,76,0.2061516733409611
3,77,0.23884439359267734
3,78,0.26304457841929235
3,79,0.27085350290441823
3,80,0.24729801091357154
3,81,0.23848684210526316
3,82,0.25998393768702693
3,83,0.2716783466819222
3,84,0.2506167763157895
3,85,0.2814663186498856
3,86,0.221925057208238
3,87,0.2408906882591093
3,88,0.23560002640380215
3,89,0.24359377750396055
3,90,0.22744565217391305
3,91,0.28234231979405033
3,92,0.2496435486710086
3,93,0.3061652878014434
3,94,0.25969679633867276
3,95,0.22760627530364372
3,96,0.2951692043654286
3,97,0.26780606407322655
3,98,0.25317505720823796
3,99,0.25678206411723287
4,0,0.2941932723721284
4,1,0.253616330458131
4,2,0.2846263101185229
4,3,0.22232999795793343
4,4,0.21294935840924673
4,5,0.22954526322101382
4,6,0.30333695260579313
4,7,0.26860742827839335
4,8,0.2521356246667969
4,9,0.24145527957219534
4,10,0.2391770471717378
4,11,0.32488778643987715
4,12,0.30733335061911926
4,13,0.25210598491527086
4,14,0.2494384316928732
4,15,0.2294464803258947
4,16,0.24435929160310232
4,17,0.2576770496620629
4,18,0.26882300009560894
4,19,0.25872028834644073
4,20,0.2142393101819041
4,21,0.23588471533191588
4,22,0.3186743765178165
4,23,0.25063885383715634
4,24,0.2061466203798244
4,25,0.22440191180792035
4,26,0.25907503759658435
4,27,0.2781745003992821
4,28,0.26513802700039757
4,29,0.29230335978058575
4,30,0.2319277108433735
4,31,0.2672274463708493
4,32,0.24663359319631467
4,33,0.24842483276002145
4,34,0.2775146497035488
4,35,0.25182520076170745
4,36,0.28003477323929865
4,37,0.2594495629577132
4,38,0.27061906161230287
4,39,0.2630407948453591
4,40,0.2394578313253012
4,41,0.2615347707489736
4,42,0.31616710745420706
4,43,0.18769194424757854
4,44,0.2691286020477113
4,45,0.30246596140660204
4,46,0.23094818297580566
4,47,0.2683860334951654
4,48,0.34293486715873533
4,49,0.2770227250465276
4,50,0.2440493682045254
4,51,0.22688696326536112
4,52,0.23795180722891565
4,53,0.2539608254285044
4,54,0.24390676047086482
4,55,0.24737184030238601
4,56,0.23095250442228024
4,57,0.23791723565711914
4,58,0.24870018458680185
4,59,0.23389108802498373
4,60,0.24695287972891983
4,61,0.27199854301333437
4,62,0.30499040638882646
4,63,0.25011235760833866
4,64,0.28515662728730257
4,65,0.3593030659222255
4,66,0.2115167989029288
4,67,0.27691418837815085
4,68,0.3187995885982956
4,69,0.23157778354621705
4,70,0.2464268840066147
4,71,0.2713781957096679
4,72,0.24397590361445784
4,73,0.26009345848242327
4,74,0.284001909932852
4,75,0.2667520872586472
4,76,0.37093889015683873
4,77,0.28143226066730753
4,78,0.2622685865412871
4,79,0.265900481531212
4,80,0.28114172274048654
4,81,0.2424348074397632
4,82,0.23795180722891565
4,83,0.25132884479092843
4,84,0.3011968966252384
4,85,0.2400227200658774
4,86,0.2364112115607336
4,87,0.2494384316928732
4,88,0.3025549905284636
4,89,0.24187424014566158
4,90,0.250772208304072
4,91,0.26889264374571453
4,92,0.23042168674698796
4,93,0.23325605512778932
4,94,0.25947693211871875
4,95,0.26436531818981296
4,96,0.2620179426457624
4,97,0.29180207198953634
4,98,0.29704182583994515
4,99,0.265413378827178
