date,nino34_raw,soi_raw,olr_raw,wwv_east_raw,wwv_west_raw,wind_w_raw,wind_c_raw,wind_e_raw,heat_raw,ocean_state,atmos_state,atmos_state_olr,la_ocean,la_atmos,el_ocean,el_atmos,ara_la_child,ara_el_child,ara_parent,ocean_flow,atmos_flow_w,atmos_flow_c,atmos_flow_e,ara_parent_flow
1993-10-01,0.35999999999999999,-1.8,-1.5,11239800000000,-89867490000000,-0.29999999999999999,-0.40000000000000002,0,-0.070000000000000007,0.40729055871102121,1.14902460013529,1.5498114576755906,0,0,0.40729055871102121,1.14902460013529,,1.4765962968413882,2,-0.77009672266617246,0.30996876248203936,0.38224384833476499,-0,0.5739814238013613
1993-11-01,0.28000000000000003,-0.10000000000000001,-0.10000000000000001,-11217650000000,-107962700000000,0.5,-0.29999999999999999,-0,-0.14999999999999999,0.31678154566412764,0.063834700007516107,0.10332076384503938,0,0,0.31678154566412764,0.063834700007516107,,0.33542814177504165,2,-0.067311271931176947,-0.51661460413673232,0.28668288625107369,0,0
1993-12-01,0.19,0.29999999999999999,-0.69999999999999996,-55381390000000,-107675800000000,-0.29999999999999999,0.40000000000000002,0.29999999999999999,-0.35999999999999999,0.21495890598637232,-0.19150410002254831,0.72324534691527553,0,0.19150410002254831,0.21495890598637232,0,2,0,1.0577046511418786,-0.68589282491445935,0.30996876248203936,-0.38224384833476499,-0.28180888805749316,0
1994-01-01,0.040000000000000001,-0.20000000000000001,-0.10000000000000001,-100024300000000,-63489150000000,-0.10000000000000001,0.20000000000000001,-0.10000000000000001,-0.56999999999999995,0.045254506523446807,0.12766940001503221,0.10332076384503938,0,0,0.045254506523446807,0.12766940001503221,,1.4765962968413882,2,-1.3706789788472893,0.10332292082734645,-0.1911219241673825,0.093936296019164409,0.12827436341974474
1994-02-01,-0.16,0.40000000000000002,0.59999999999999998,-98187780000000,-46051180000000,0.20000000000000001,0.69999999999999996,0.59999999999999998,-0.64000000000000001,-0.18101802609378723,-0.25533880003006443,-0.61992458307023623,0.18101802609378723,0.25533880003006443,0,0,1.1703210984378705,,0,-0.24073720003270352,-0.20664584165469291,-0.66892673458583862,-0.56361777611498631,0
1994-03-01,-0.059999999999999998,-1.1000000000000001,0.29999999999999999,-93444660000000,-33113930000000,0.29999999999999999,0.10000000000000001,0.59999999999999998,-0.57999999999999996,-0.067881759785170206,0.70218170008267722,-0.30996229153511812,0.067881759785170206,0,0,0.70218170008267722,0,2,1.8236982707975273,-0.12643901130369145,-0.30996876248203936,-0.095560962083691248,-0.56361777611498631,0
1994-04-01,0.029999999999999999,-2.1000000000000001,-0.29999999999999999,-97844250000000,-12121870000000,-0,0.20000000000000001,1.2,-0.34999999999999998,0.033940879892585103,1.3405287001578383,0.30996229153511812,0,0,0.033940879892585103,1.3405287001578383,,1.9506123956685313,2,-0.39180426980892136,0,-0.1911219241673825,-1.1272355522299726,0
1994-05-01,0.14000000000000001,-1.1000000000000001,-0.10000000000000001,-56238100000000,-4910624000000,-0.5,-0.10000000000000001,0.40000000000000002,0,0.15839077283206382,0.70218170008267722,0.10332076384503938,0,0,0.15839077283206382,0.70218170008267722,,1.6318944009547562,2,0.53072841847095209,0.51661460413673232,0.095560962083691248,-0.37574518407665763,2
1994-06-01,0.27000000000000002,-0.69999999999999996,0.10000000000000001,-29631110000000,-51499070000000,-0.20000000000000001,0.29999999999999999,0.80000000000000004,0.050000000000000003,0.30546791903326598,0.44684290005261273,-0.10332076384503938,0,0,0.30546791903326598,0.44684290005261273,,1.1879209728648183,2,1.1294376046978294,0.20664584165469291,-0.28668288625107369,-0.75149036815331527,1.5951151217945085
1994-07-01,0.16,-2.2000000000000002,-0.29999999999999999,-30963560000000,-20864280000000,-0.80000000000000004,-0.40000000000000002,0.5,0,0.18101802609378723,1.4043634001653544,0.30996229153511812,0,0,0.18101802609378723,1.4043634001653544,,1.7716410409564132,2,-0.49326850070816758,0.82658336661877163,0.38224384833476499,-0.469681480095822,0.87318893617574966
1994-08-01,0.52000000000000002,-2,-0.59999999999999998,24943890000000,-41322010000000,-1.1000000000000001,-0.5,-0,0.40000000000000002,0.58830858480480852,1.2766940001503222,0.61992458307023623,0,0,0.58830858480480852,1.2766940001503222,,1.369106949716145,2,1.1783481415633426,1.1365521291008112,0.47780481041845618,0,2
