source_file,date,split,burst,recording_fraction,fps,feature,scale_frames,scale_seconds,amount,persistence,retained_dispersion,reversal_asymmetry,abs_reversal_asymmetry,valid_blocks,total_blocks
20220326_cam3_flid24.h5,20220326,development,q3,0.625,99.96,articulation_speed,16,0.1600640256102441,1.901875192102839,0.8554436264296822,0.9615818619772388,-0.03245488289292078,0.03245488289292078,374,374
20220326_cam3_flid24.h5,20220326,development,q3,0.625,99.96,articulation_speed,32,0.3201280512204882,1.8461471245118342,0.7971532339653781,0.89528661679883,-0.22388769794173102,0.22388769794173102,187,187
20220326_cam3_flid24.h5,20220326,development,q3,0.625,99.96,articulation_speed,64,0.6402561024409764,2.0225614439162167,0.7255675600696639,0.8870317874663859,-0.09963461342029739,0.09963461342029739,93,93
20220326_cam3_flid24.h5,20220326,development,q3,0.625,99.96,articulation_speed,128,1.2805122048819528,1.9272107036193478,0.6031620553359682,0.8176975657499476,-0.11808594746943611,0.11808594746943611,46,46
20220326_cam3_flid24.h5,20220326,development,q3,0.625,99.96,articulation_speed,256,2.5610244097639057,2.6874094555722188,0.4206662902315077,1.0974978940407698,0.11421202233408556,0.11421202233408556,23,23
20220326_cam3_flid24.h5,20220326,development,q3,0.625,99.96,articulation_speed,512,5.122048819527811,2.909159415197309,0.23636363636363633,0.2514242568476313,-0.19288364645194758,0.19288364645194758,11,11
20220326_cam3_flid24.h5,20220326,development,q3,0.625,99.96,articulation_speed,1024,10.244097639055623,3.0552853954405834,-0.19999999999999998,0.08725992045272957,-0.07766593245525795,0.07766593245525795,5,5
20220326_cam3_flid24.h5,20220326,development,q3,0.625,99.96,lr_articulation_balance,1,0.010004001600640256,0.002762764686113428,0.25633271224224596,1.0,0.03106351239409326,0.03106351239409326,5982,5998
20220326_cam3_flid24.h5,20220326,development,q3,0.625,99.96,lr_articulation_balance,2,0.020008003201280513,0.007825792111302384,0.2960603572725825,0.8549953958671368,-0.0071386798529690385,0.0071386798529690385,2997,2999
20220326_cam3_flid24.h5,20220326,development,q3,0.625,99.96,lr_articulation_balance,4,0.040016006402561026,0.0011047899526333144,0.3689300826616739,0.663973956524385,-0.07671211073457741,0.07671211073457741,1499,1499
20220326_cam3_flid24.h5,20220326,development,q3,0.625,99.96,lr_articulation_balance,8,0.08003201280512205,-0.001672584445592883,0.3879463937154843,0.4926911732821673,0.07161174288761106,0.07161174288761106,749,749
20220326_cam3_flid24.h5,20220326,development,q3,0.625,99.96,lr_articulation_balance,16,0.1600640256102441,-0.010022095577266743,0.3739511654590684,0.39546759294050127,0.27312864709875306,0.27312864709875306,374,374
20220326_cam3_flid24.h5,20220326,development,q3,0.625,99.96,lr_articulation_balance,32,0.3201280512204882,-0.005371863903520858,0.3426012522786716,0.29871285530108144,-0.09377151164088082,0.09377151164088082,187,187
20220326_cam3_flid24.h5,20220326,development,q3,0.625,99.96,lr_articulation_balance,64,0.6402561024409764,-0.007764349833627998,0.16096666307044988,0.28423325457475945,0.19762287563159997,0.19762287563159997,93,93
20220326_cam3_flid24.h5,20220326,development,q3,0.625,99.96,lr_articulation_balance,128,1.2805122048819528,-0.007293573644448402,0.055335968379446626,0.23135589322100503,-0.07911639988939273,0.07911639988939273,46,46
20220326_cam3_flid24.h5,20220326,development,q3,0.625,99.96,lr_articulation_balance,256,2.5610244097639057,0.004748093282770984,-0.015245623941276118,0.1742030314916979,0.1957539708790388,0.1957539708790388,23,23
20220326_cam3_flid24.h5,20220326,development,q3,0.625,99.96,lr_articulation_balance,512,5.122048819527811,-0.005413287320513678,0.12727272727272726,0.10537911626610205,-0.5729105764306226,0.5729105764306226,11,11
20220326_cam3_flid24.h5,20220326,development,q3,0.625,99.96,lr_articulation_balance,1024,10.244097639055623,-0.0018001789440837764,-0.19999999999999998,0.15957102629322018,-0.661382107788022,0.661382107788022,5,5
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,traversal_speed,1,0.010004001600640256,0.02954484858816758,0.19416673747165913,1.0,-0.0013591007635135961,0.0013591007635135961,5997,5998
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,traversal_speed,2,0.020008003201280513,0.03376515421384876,0.2604656527333951,1.045083220580736,0.002460329703215575,0.002460329703215575,2998,2999
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,traversal_speed,4,0.040016006402561026,0.03962121949249612,0.32653494447395603,1.3954581157562687,0.016649045452062233,0.016649045452062233,1498,1499
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,traversal_speed,8,0.08003201280512205,0.08111400245953893,0.3583117373429805,3.7499876487482404,0.08869281591975645,0.08869281591975645,749,749
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,traversal_speed,16,0.1600640256102441,0.14356660289400924,0.3318158000740884,6.787514092260377,0.041896165024163455,0.041896165024163455,374,374
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,traversal_speed,32,0.3201280512204882,0.1608490836793279,0.2089496431052408,5.614265924490199,0.018254992880751487,0.018254992880751487,187,187
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,traversal_speed,64,0.6402561024409764,0.1590000387763657,0.15973367446018216,3.846723552175941,-0.010015341865458553,0.010015341865458553,93,93
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,traversal_speed,128,1.2805122048819528,0.17375234178793209,-0.17575757575757572,3.7493287814583174,0.025084028301850757,0.025084028301850757,46,46
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,traversal_speed,256,2.5610244097639057,0.1791981783201027,-0.1575381140598532,2.0343423983344433,0.1928062751221689,0.1928062751221689,23,23
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,traversal_speed,512,5.122048819527811,0.1787829773661949,-0.2727272727272727,1.8411744716351008,-0.5250317398489011,0.5250317398489011,11,11
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,traversal_speed,1024,10.244097639055623,0.19010114917537396,0.6000000000000001,0.7262313703444884,-0.9555860458990539,0.9555860458990539,5,5
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,rotation_speed,1,0.010004001600640256,0.016825931274868464,0.20844164216602448,1.0,-0.0022516842257001173,0.0022516842257001173,5997,5998
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,rotation_speed,2,0.020008003201280513,0.02310119652322327,0.26780805696344406,1.2333020109195867,0.031201514516692903,0.031201514516692903,2998,2999
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,rotation_speed,4,0.040016006402561026,0.03318691084642501,0.35798754216485773,1.9448994639284858,-0.013664069938873258,0.013664069938873258,1498,1499
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,rotation_speed,8,0.08003201280512205,0.11738566479822941,0.348243261845996,7.765923932890596,0.03596007206824822,0.03596007206824822,749,749
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,rotation_speed,16,0.1600640256102441,0.13210403126185616,0.40105911303849956,7.869266312453666,0.024068940720370705,0.024068940720370705,374,374
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,rotation_speed,32,0.3201280512204882,0.15373169713335022,0.27923576500426595,6.690461012812607,0.251396747120076,0.251396747120076,187,187
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,rotation_speed,64,0.6402561024409764,0.16187009579729966,0.2160350168765316,5.381016651592397,-0.13830288177816016,0.13830288177816016,93,93
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,rotation_speed,128,1.2805122048819528,0.17102538175574306,0.3098814229249012,3.5258718317339937,0.028689731781338528,0.028689731781338528,46,46
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,rotation_speed,256,2.5610244097639057,0.17467911061424177,0.5821569734613213,2.351808580098504,0.16349591305747674,0.16349591305747674,23,23
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,rotation_speed,512,5.122048819527811,0.17345488868118772,0.6363636363636362,2.6465608729290855,0.41816192100405275,0.41816192100405275,11,11
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,rotation_speed,1024,10.244097639055623,0.1558669145919276,1.0,3.299203808805939,-1.0,1.0,5,5
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,core_bend,1,0.010004001600640256,0.0024278134317631036,0.744776531819654,1.0,0.022249292205327335,0.022249292205327335,5998,5998
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,core_bend,2,0.020008003201280513,0.004194411708093505,0.7688534582664959,2.315529267798174,0.015597397994834688,0.015597397994834688,2999,2999
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,core_bend,4,0.040016006402561026,0.003752493258415236,0.6893681498026883,2.0119266779519274,-0.03315280419366106,0.03315280419366106,1499,1499
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,core_bend,8,0.08003201280512205,0.0030791613163873117,0.6072663457496909,1.4743256618409672,0.0604844797020106,0.0604844797020106,749,749
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,core_bend,16,0.1600640256102441,0.0025875603393867496,0.565764347927027,1.0814892198581936,0.08611823802659849,0.08611823802659849,374,374
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,core_bend,32,0.3201280512204882,0.0024133215905020396,0.5105576509751082,0.7141043890969977,-0.14708735066189646,0.14708735066189646,187,187
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,core_bend,64,0.6402561024409764,0.002305276047745308,0.4414099224758411,0.7360881472928102,-0.10758151849117895,0.10758151849117895,93,93
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,core_bend,128,1.2805122048819528,0.0022697652422223333,0.3193675889328063,0.37732701146123376,-0.5113975990953434,0.5113975990953434,46,46
20220326_cam3_flid24.h5,20220326,development,q4,0.875,99.96,core_bend,256,2.5610244097639057,0.0022555940498085163,0.25804630152456237,0.2843432331966689,-0.32479653638241546,0.32479653638241546,23,23
