route_id,split,control,lag,source_pair,endpoint,destination_pair,flip,shape_error,weight
c2-0-32-56-8,development,seed,6,7-8,8,5-11,Fz,0.9056897663768928,1.2268250465068131e-05
c2-0-32-56-8,development,time,0,7-8,8,1-8,I,0.9337001747972365,1.2268250465068131e-05
c2-0-32-56-8,development,time,1,7-8,8,1-8,I,0.9310298846062917,1.2268250465068131e-05
c2-0-32-56-8,development,time,2,7-8,8,0-1,I,0.8855040288215259,1.2268250465068131e-05
c2-0-32-56-8,development,time,3,7-8,8,0-1,I,0.8943748621836591,1.2268250465068131e-05
c2-0-32-56-8,development,time,4,7-8,8,1-8,I,0.9110417736914241,1.2268250465068131e-05
c2-0-32-56-8,development,time,5,7-8,8,0-1,I,0.8902932983664145,1.2268250465068131e-05
c2-0-32-56-8,development,time,6,7-8,8,0-1,I,0.8926260885463235,1.2268250465068131e-05
c2-0-82-28-2,development,exact,0,2-10,2,7-9,Fz,0.9359314090041141,5.813564109014013e-05
c2-0-82-28-2,development,exact,1,2-10,2,5-7,I,0.9484084251874548,5.813564109014013e-05
c2-0-82-28-2,development,exact,2,2-10,2,2-7,I,0.954124441056402,5.813564109014013e-05
c2-0-82-28-2,development,exact,3,2-10,2,2-8,Fz,0.9345710077312127,5.813564109014013e-05
c2-0-82-28-2,development,exact,4,2-10,2,2-8,Fz,0.9162355504171209,5.813564109014013e-05
c2-0-82-28-2,development,exact,5,2-10,2,2-8,Fz,0.9016836600037856,5.813564109014013e-05
c2-0-82-28-2,development,exact,6,2-10,2,2-8,Fz,0.8986822469024573,5.813564109014013e-05
c2-0-82-28-2,development,seed,0,2-10,2,1-11,Fz,0.9176771030545344,5.813564109014013e-05
c2-0-82-28-2,development,seed,1,2-10,2,7-11,I,0.9208237764526831,5.813564109014013e-05
c2-0-82-28-2,development,seed,2,2-10,2,0-11,Fz,0.918188403048225,5.813564109014013e-05
c2-0-82-28-2,development,seed,3,2-10,2,0-11,Fz,0.905184844074521,5.813564109014013e-05
c2-0-82-28-2,development,seed,4,2-10,2,0-11,Fz,0.9047667670101562,5.813564109014013e-05
c2-0-82-28-2,development,seed,5,2-10,2,0-11,Fz,0.915843015354977,5.813564109014013e-05
c2-0-82-28-2,development,seed,6,2-10,2,2-11,I,0.9242779447387769,5.813564109014013e-05
c2-0-82-28-2,development,time,0,2-10,2,4-11,I,0.9098552794580248,5.813564109014013e-05
c2-0-82-28-2,development,time,1,2-10,2,4-11,I,0.9012167456090706,5.813564109014013e-05
c2-0-82-28-2,development,time,2,2-10,2,4-11,I,0.920735719752616,5.813564109014013e-05
c2-0-82-28-2,development,time,3,2-10,2,3-4,I,0.9276619796911608,5.813564109014013e-05
c2-0-82-28-2,development,time,4,2-10,2,3-7,Fz,0.9318737093851442,5.813564109014013e-05
c2-0-82-28-2,development,time,5,2-10,2,3-5,I,0.9179784425375576,5.813564109014013e-05
c2-0-82-28-2,development,time,6,2-10,2,0-3,I,0.9042148045346173,5.813564109014013e-05
