condition,state,wait_index,wait_us,h_linear,h_purity_half_scale,h_local_min,h_local_max,h_local_range,h_derivative_per_us,h_rate_scale_per_us,amplitude_x,rate_y,relation_real,relation_imag,relation_radius,relation_theta_rad,relation_theta_deg,quadrant,purity_amplitude_x,purity_rate_y,two_definition_distance
Ramsey,Phi-minus,4,16.02,0.6116778510777534,0.8056023226090707,0.02797226131096786,1.0252930764106147,0.9973208150996469,0.03856004968855477,0.05375493093253236,1.1705472921638858,0.28266953338752576,0.17054729216388576,-0.7173304666124742,0.7373258283790849,-1.3373772837896996,-76.62607397781956,high_opening,1.5572215241122587,0.43795083095604637,0.4166884243981677
Ramsey,Phi-minus,5,20.02,0.7181565820290299,0.9112212439902129,0.02797226131096786,1.0252930764106147,0.9973208150996469,0.03202877417133548,0.05375493093253236,1.3840768392046496,0.4041704897447512,0.38407683920464963,-0.5958295102552488,0.708891968994179,-0.9982205208224048,-57.193822866474704,high_opening,1.770482399420849,0.6721202755092204,0.47021946435384804
Ramsey,Phi-minus,6,24.02,0.8679080444484373,0.9786941964263475,0.02797226131096786,1.0252930764106147,0.9973208150996469,0.027071240836862007,0.05375493093253236,1.684384343374098,0.49639520752358457,0.6843843433740979,-0.5036047924764154,0.849705664604402,-0.6343839760161202,-36.347524416452124,high_opening,1.9067206861598207,0.8416783372567191,0.4106749188855329
Ramsey,Phi-minus,7,28.02,0.9347265087239259,0.9948012619759607,0.02797226131096786,1.0252930764106147,0.9973208150996469,0.008566022920913074,0.05375493093253236,1.8183802717932045,0.8406467504969124,0.8183802717932045,-0.1593532495030876,0.8337503987330456,-0.1923114517358112,-11.018634536495812,high_opening,1.9392433331708387,1.0014506921179918,0.20116109774618274
Ramsey,Phi-minus,8,32.02,0.9364362278157418,0.9779283576193729,0.02797226131096786,1.0252930764106147,0.9973208150996469,0.005366263699641022,0.05375493093253236,1.821808895894758,0.9001716938976966,0.821808895894758,-0.09982830610230342,0.8278499574627134,-0.12088161821084281,-6.926006544193046,high_opening,1.9051743396133405,0.9430016396485308,0.09372407086450919
Ramsey,Phi-minus,9,36.02,0.9776566183210541,1.0248914208385458,0.02797226131096786,1.0252930764106147,0.9973208150996469,0.011107106074359122,0.05375493093253236,1.904471144353282,0.7933751214693288,0.904471144353282,-0.20662487853067124,0.9277725429196265,-0.22459413250858212,-12.868295896143715,high_opening,2.0,0.9468767050197188,0.18079960844440135
Ramsey,Phi-minus,10,40.02,1.0252930764106147,1.0059728202215226,0.02797226131096786,1.0252930764106147,0.9973208150996469,0.012711122970421207,0.05375493093253236,2.0,0.763535684077524,1.0,-0.23646431592247596,1.0275774290556818,-0.2321991883571508,-13.304033499227986,high_opening,1.961800430505813,1.1964697253184002,0.4346160272869581
Ramsey,Psi-plus,0,0.02,0.07564352248769868,0.08585606312846306,0.07564352248769868,1.1246217985524343,1.0489782760647355,0.008034664092511249,0.0425169384745229,0.0,0.8110243968453702,-1.0,-0.1889756031546298,1.017699257436919,-2.954819597129729,-169.29869213807967,low_opening,0.0,0.7765590719980672,0.034465324847303025
Ramsey,Psi-plus,1,4.02,0.12811841411952973,0.172505307536444,0.07564352248769868,1.1246217985524343,1.0489782760647355,0.018202781723404296,0.0425169384745229,0.10004952977423276,0.5718698858265203,-0.8999504702257672,-0.4281301141734797,0.9965973326884717,-2.69755188223128,-154.5583378694236,low_opening,0.16858293689498138,0.546402501213294,0.07311234896114523
Ramsey,Psi-plus,2,8.02,0.22126577627493305,0.3180666968536192,0.07564352248769868,1.1246217985524343,1.0489782760647355,0.0425169384745229,0.0425169384745229,0.27764589050125876,0.0,-0.7223541094987412,-1.0,1.2336107406754042,-2.1963680380334716,-125.842618836747,low_opening,0.45178409666577507,0.0,0.1741382061645163
Ramsey,Psi-plus,3,12.02,0.4682539219157129,0.6844363352565681,0.07564352248769868,1.1246217985524343,1.0489782760647355,0.04009285315494866,0.0425169384745229,0.7485577316260553,0.057014578343330125,-0.2514422683739447,-0.9429854216566699,0.9759327434726442,-1.831378411622068,-104.93025367731693,low_opening,1.1645851147602,0.1901357809108687,0.43680663695790156
Ramsey,Psi-plus,4,16.02,0.5420086015145223,0.732661318845674,0.07564352248769868,1.1246217985524343,1.0489782760647355,0.0256513648512897,0.0425169384745229,0.8891796706723084,0.39667892911290936,-0.11082032932769159,-0.6033210708870906,0.6134145906062587,-1.7524551861769535,-100.40828595375235,low_opening,1.2584106226536647,0.6445034404896421,0.4446891997116356
Ramsey,Psi-plus,5,20.02,0.6734648407260305,0.8664260543176738,0.07564352248769868,1.1246217985524343,1.0489782760647355,0.03622536313439635,0.0425169384745229,1.1398163944463584,0.14797808981228977,0.1398163944463584,-0.8520219101877102,0.8634176044046671,-1.4081464396493624,-80.68084792828175,high_opening,1.5186604622561088,0.5901347370357263,0.5822588156468816
Ramsey,Psi-plus,6,24.02,0.8318115065896932,0.9424840641417536,0.07564352248769868,1.1246217985524343,1.0489782760647355,0.03897373820567808,0.0425169384745229,1.4417228675864955,0.08333620425111232,0.4417228675864955,-0.9166637957488877,1.0175419432070576,-1.1217487017904757,-64.27146628687343,high_opening,1.6666373171973818,0.6676266198088232,0.6260844985753683
Ramsey,Psi-plus,7,28.02,0.9852547463714552,1.0365783004257545,0.07564352248769868,1.1246217985524343,1.0489782760647355,0.017347971729450545,0.0425169384745229,1.734280384330136,0.591975049194903,0.734280384330136,-0.40802495080509704,0.8400309775785141,-0.5071936216375357,-29.060053915785943,high_opening,1.8497050727909452,0.8367292086590495,0.2706057229277972
Ramsey,Psi-plus,8,32.02,0.9705952804252974,1.0260674481496042,0.07564352248769868,1.1246217985524343,1.0489782760647355,0.013874914563109991,0.0425169384745229,1.7063303947437871,0.6736614850238064,0.7063303947437871,-0.3263385149761936,0.7780741949812894,-0.4328043820888994,-24.797864448461414,high_opening,1.8292553809547458,0.9458221537914342,0.2986335243387902
Ramsey,Psi-plus,9,36.02,1.096254062876335,1.0643136209149684,0.07564352248769868,1.1246217985524343,1.0489782760647355,0.019253314765892107,0.0425169384745229,1.9459135878723417,0.5471613089585665,0.9459135878723417,-0.4528386910414335,1.048720837890449,-0.4464885513615876,-25.581909593929055,high_opening,1.9036663256067237,0.8285700344438809,0.2845622988876231
