entity,entity_type,replicate,s1,s2,s3,retained,determinant,closure,balance,relation_dominance
Phi-classical,equal_weight_reconstruction,181,0.954041553850938,0.1411285613910433,0.031388827697891336,1,0.004226270610050147,0.16167856053605215,0.032900902032193466,0.9952884947204655
Psi-classical,equal_weight_reconstruction,181,0.9232223339483405,0.10042463621937603,0.04027937723388915,1,-0.0037344729369212966,0.15514690113184737,0.04362911917612145,0.9817579514704272
Bell-uniform-mixed,equal_weight_reconstruction,181,0.1364499980584137,0.04184730954377938,0.014038300999706063,0,8.01596154935861e-05,0.04311733152617492,0.10288238328663311,0.86637139417826
Phi-plus,physically_prepared,182,0.9901197539256118,0.941707058314561,0.8469482079705938,3,-0.7896968474074073,0.9243152848158263,0.8553997681721088,0.9867808341032352
Phi-minus,physically_prepared,182,1.049175198740865,0.9403354710440307,0.8786934429842219,3,-0.8668984375,0.9535044847394646,0.8375087821736146,0.9925748630990384
Psi-plus,physically_prepared,182,0.9980149031442266,0.9164753661976949,0.7411930225984649,3,-0.6779367,0.8784756236712304,0.742667289098941,0.9952665852388762
Psi-minus,physically_prepared,182,0.9480041138554802,0.9155522047217125,0.773812084244523,3,-0.6716280755864197,0.8757422058862236,0.8162539306896803,0.9794503427060985
Phi-classical,equal_weight_reconstruction,182,0.94524766696866,0.09752318153579377,0.03140785382533646,1,-0.0028952877719907386,0.1425270332952398,0.033227115943125406,0.9963498318174342
Psi-classical,equal_weight_reconstruction,182,0.9015170132616097,0.09761284957681063,0.023103568048309663,1,-0.002033105777391978,0.12668348190859943,0.0256274343228676,0.9812841029256258
Bell-uniform-mixed,equal_weight_reconstruction,182,0.07672448751014971,0.02341239522658753,0.0007598961545568295,0,-1.3650045211226464e-06,0.011092889749150217,0.009904219359644528,0.5443231698035691
Phi-plus,physically_prepared,183,1.0237643500502178,0.9634190438206279,0.8242527213221916,3,-0.8129720572839505,0.9333084679694534,0.8051195778420691,0.9859334807557443
Phi-minus,physically_prepared,183,1.0709418592621418,1.0316111480486942,0.828394213706133,3,-0.9152062499999999,0.9708966272761507,0.7735193153033355,0.920203263329231
Psi-plus,physically_prepared,183,1.026374434823111,0.9486024015846831,0.7018996784141974,3,-0.6833844449382718,0.8808224254172606,0.683863173711225,0.9879676976337645
Psi-minus,physically_prepared,183,0.9568507143602722,0.86728860803876,0.8060926852695313,3,-0.6689486899999999,0.8745760950751726,0.842443521410198,0.9908081878846815
Phi-classical,equal_weight_reconstruction,183,0.9640799449462499,0.14923960397692063,0.03751112487238547,1,-0.005397059728973775,0.17540921627232164,0.03890872854374833,0.9297334927200582
Psi-classical,equal_weight_reconstruction,183,0.9041387890706971,0.13702071313608535,0.0015479789964823881,1,-0.0001917725260416611,0.05766719087708047,0.001712103291214229,0.9914211244256782
Bell-uniform-mixed,equal_weight_reconstruction,183,0.15459450007872147,0.03796758072251718,0.000477754302907859,0,-2.804216700424169e-06,0.014101669236217048,0.0030903706319731976,0.5802931223623063
Phi-plus,physically_prepared,184,1.0693596760360147,0.9823283429402473,0.8920347284932336,3,-0.9370488691358023,0.9785598968711593,0.8341765156134343,0.9955664617249069
Phi-minus,physically_prepared,184,1.0497847886878346,0.9883828435414068,0.944858456083577,3,-0.980375,0.9934150671701307,0.9000496732902664,0.9904181239103219
Psi-plus,physically_prepared,184,0.9986272583775633,0.9460259319774615,0.7225482513937924,3,-0.6826110462345679,0.880490019027065,0.7235414869084313,0.9976446256082587
Psi-minus,physically_prepared,184,0.9447536751037681,0.8778370192395015,0.8323850014628215,3,-0.6903299690740742,0.8837964292213569,0.8810603476841681,0.9901795508564895
Phi-classical,equal_weight_reconstruction,184,0.9890962671626822,0.14718530544283837,0.08142188229590405,1,-0.011853433140432107,0.22800693230969046,0.08231947182398186,0.9829878877019709
Psi-classical,equal_weight_reconstruction,184,0.9368661244369856,0.1143714713456555,0.015351148224582858,1,-0.0016448871547067882,0.11804439473626611,0.016385636991419886,0.9927825200541514
Bell-uniform-mixed,equal_weight_reconstruction,184,0.16090729703929085,0.055322097753759826,0.02177016937644631,0,0.00019379215277777757,0.05786892246135405,0.13529634626284476,0.89512523312285
Phi-plus,physically_prepared,185,1.0063760139410545,0.9872748807812517,0.8633938292528285,3,-0.8578419990123458,0.9501724521695023,0.8579236958079958,0.9930877937560967
Phi-minus,physically_prepared,185,1.1870698794454966,1.0103193426885015,0.7478168782213525,3,-0.8968714843749999,0.9643693641098545,0.629968707967447,0.9952138934430601
Psi-plus,physically_prepared,185,1.0173054629129408,0.9187726829320727,0.775146112393413,3,-0.7245077311111111,0.8981475193084432,0.7619600411599762,0.9953708135114121
Psi-minus,physically_prepared,185,0.9700309824427265,0.8967809848318458,0.8649453537586874,3,-0.7524205818287036,0.9095366887709784,0.8916677605292431,0.9830569809443475
Phi-classical,equal_weight_reconstruction,185,0.9710690635753265,0.08218448357825942,0.008485522676198993,1,-0.0006772024918016969,0.08781583782286982,0.008738330768108921,0.9904246177953198
Psi-classical,equal_weight_reconstruction,185,0.9323633394056032,0.1282060864430485,0.052305415158141966,1,-0.0062523097497106505,0.18422426331251127,0.05609981961698271,0.9917076236611456
Bell-uniform-mixed,equal_weight_reconstruction,185,0.19209699773899722,0.055369810275925545,0.021657788086060205,0,0.0002303603410132137,0.06130123690634906,0.11274402172326872,0.8700063717559441
Phi-plus,physically_prepared,186,1.0689952133957243,0.9296519427588796,0.8624672935219063,3,-0.8571143703703702,0.9499037281465166,0.8068018291515354,0.9868618678469726
Phi-minus,physically_prepared,186,1.0333623543796011,0.9640781562446299,0.8759472141362188,3,-0.8726554687499999,0.9556105554539025,0.847667045759675,0.9725172571013346
