dataset,basis,rounds,block,connection_raw_web_stability,bit_raw_retention,connection_ara,bit_ara,parent_ara,parent_ridge_distance
X_r13,X,r13,169,1.9717310614395966,1.896,0.645,1.45,1.3842482100238664,0.38424821002386644
X_r13,X,r13,170,1.9884272787399526,1.88,1.925,0.835,0.605072463768116,0.39492753623188404
X_r13,X,r13,171,1.9653078054748065,1.84,0.385,0.055,0.25,0.75
X_r13,X,r13,172,1.9836017350562065,1.8639999999999999,1.595,0.385,0.3888888888888889,0.6111111111111112
X_r13,X,r13,173,1.9698165594419363,1.904,0.585,1.685,1.4845814977973568,0.4845814977973568
X_r13,X,r13,174,1.9820772223079979,1.896,1.465,1.45,0.9948542024013721,0.005145797598627877
X_r13,X,r13,175,1.9870705023943356,1.888,1.875,1.155,0.7623762376237623,0.23762376237623772
X_r13,X,r13,176,1.946701201617422,1.856,0.035,0.235,1.7407407407407405,0.7407407407407405
X_r13,X,r13,177,1.9545067578174806,1.896,0.115,1.45,1.8530351437699681,0.8530351437699681
X_r13,X,r13,178,1.9791447688384147,1.88,1.175,0.835,0.8308457711442787,0.1691542288557213
X_r13,X,r13,179,1.9732838744592092,1.88,0.775,0.835,1.0372670807453417,0.037267080745341685
X_r13,X,r13,180,1.966262553144572,1.896,0.425,1.45,1.5466666666666666,0.5466666666666666
X_r13,X,r13,181,1.9814258768907405,1.8719999999999999,1.375,0.585,0.596938775510204,0.403061224489796
X_r13,X,r13,182,1.9940470263247405,1.88,1.995,0.835,0.5901060070671378,0.4098939929328622
X_r13,X,r13,183,1.9515692006299663,1.896,0.065,1.45,1.9141914191419143,0.9141914191419143
X_r13,X,r13,184,1.977676494803908,1.912,1.055,1.84,1.2711571675302247,0.2711571675302247
X_r13,X,r13,185,1.970034149239749,1.84,0.605,0.055,0.16666666666666666,0.8333333333333334
X_r13,X,r13,186,1.9637859115038305,1.888,0.305,1.155,1.582191780821918,0.5821917808219179
X_r13,X,r13,187,1.9726202396406853,1.896,0.715,1.45,1.3394919168591224,0.3394919168591224
X_r13,X,r13,188,1.9861094998195477,1.848,1.805,0.145,0.14871794871794872,0.8512820512820513
X_r13,X,r13,189,1.966422285692073,1.888,0.445,1.155,1.4437499999999999,0.44374999999999987
X_r13,X,r13,190,1.9838092208880918,1.88,1.615,0.835,0.6816326530612244,0.31836734693877555
X_r13,X,r13,191,1.9844683998286754,1.84,1.635,0.055,0.0650887573964497,0.9349112426035503
X_r13,X,r13,192,1.9788941675415699,1.92,1.155,1.915,1.2475570032573289,0.24755700325732888
X_r13,X,r13,193,1.9724705077919054,1.88,0.685,0.835,1.0986842105263157,0.09868421052631571
X_r13,X,r13,194,1.9792676574338268,1.88,1.205,0.835,0.8186274509803921,0.18137254901960786
X_r13,X,r13,195,1.9677156528766928,1.8719999999999999,0.485,0.585,1.0934579439252337,0.09345794392523366
X_r13,X,r13,196,1.9503498283746372,1.8639999999999999,0.045,0.385,1.7906976744186047,0.7906976744186047
X_r13,X,r13,197,1.980693406911222,1.888,1.345,1.155,0.924,0.07599999999999996
X_r13,X,r13,198,1.9739518862356389,1.8639999999999999,0.845,0.385,0.6260162601626017,0.3739837398373983
X_r13,X,r13,199,1.9861158047033272,1.904,1.815,1.685,0.9628571428571429,0.037142857142857144
X_r30,X,r30,0,1.990037569419056,1.8719999999999999,1.775,0.8,0.6213592233009708,0.3786407766990292
X_r30,X,r30,1,1.988083664813193,1.896,1.535,1.565,1.0096774193548388,0.00967741935483879
X_r30,X,r30,2,1.9820442276086137,1.8639999999999999,0.955,0.575,0.7516339869281046,0.24836601307189543
X_r30,X,r30,3,1.9893052137560874,1.904,1.655,1.78,1.0363901018922852,0.0363901018922852
X_r30,X,r30,4,1.9583074821790607,1.8639999999999999,0.065,0.575,1.7968750000000002,0.7968750000000002
X_r30,X,r30,5,1.980513675626878,1.88,0.865,1.04,1.0918635170603674,0.09186351706036744
X_r30,X,r30,6,1.9874559104407004,1.84,1.435,0.095,0.12418300653594772,0.8758169934640523
X_r30,X,r30,7,1.9789192450981263,1.904,0.745,1.78,1.40990099009901,0.40990099009901004
X_r30,X,r30,8,1.9779650031465152,1.896,0.685,1.565,1.391111111111111,0.39111111111111097
X_r30,X,r30,9,1.978512115816662,1.896,0.715,1.565,1.3728070175438598,0.3728070175438598
X_r30,X,r30,10,1.9756045731364165,1.888,0.555,1.315,1.406417112299465,0.4064171122994651
X_r30,X,r30,11,1.9777406504443413,1.856,0.675,0.335,0.6633663366336634,0.3366336633663366
X_r30,X,r30,12,1.9687040748951696,1.8719999999999999,0.205,0.8,1.5920398009950247,0.5920398009950247
X_r30,X,r30,13,1.9510351541663322,1.904,0.015,1.78,1.9832869080779945,0.9832869080779945
X_r30,X,r30,14,1.9568210978310767,1.904,0.055,1.78,1.9400544959128065,0.9400544959128065
X_r30,X,r30,15,1.9695821609274213,1.928,0.265,1.985,1.7644444444444445,0.7644444444444445
X_r30,X,r30,16,1.9777074779352548,1.816,0.665,0.015,0.044117647058823525,0.9558823529411765
X_r30,X,r30,17,1.9760833027635287,1.904,0.595,1.78,1.4989473684210526,0.4989473684210526
X_r30,X,r30,18,1.9690560312855234,1.8639999999999999,0.225,0.575,1.4375,0.4375
X_r30,X,r30,19,1.982732013504665,1.92,1.005,1.96,1.3220910623946038,0.32209106239460383
X_r30,X,r30,20,1.9916513924147716,1.912,1.925,1.91,0.9960886571056062,0.003911342894393766
X_r30,X,r30,21,1.9749475707844935,1.8639999999999999,0.525,0.575,1.0454545454545452,0.04545454545454519
X_r30,X,r30,22,1.978809857410369,1.912,0.735,1.91,1.444234404536862,0.444234404536862
X_r30,X,r30,23,1.9617264723020953,1.832,0.125,0.045,0.5294117647058824,0.47058823529411764
