partition,temperature_K,state,model,cut_mae,cut_rmse,closure_mae,phase_mae_rad,class_accuracy,actual_ridge_index,predicted_ridge_index,ridge_error_samples,actual_trough_index,predicted_trough_index,trough_error_samples,closure_wait_spearman,final_ara_x,final_class,amplitude_crest_to_trough,stable_orientation_flip,reliable_orientation_sign_fraction_initial
primary,0.3,Psi-plus,persistence,0.23132109549634258,0.2973481409712965,0.3478859314549235,0.6355314915095197,0.5,9,,,9,,,-0.9272727272727275,0.17157603764942153,trough,True,False,1.0
primary,0.3,Psi-plus,linear,0.6436257845670369,0.7749537445254849,0.7210382978608898,1.8019704697078953,0.5,9,8,1,9,,,-0.9272727272727275,0.17157603764942153,trough,True,False,1.0
primary,0.3,Psi-plus,no_rotation,0.09142324411072995,0.13887940752279657,0.046716194729792666,0.6355314915095197,1.0,9,8,1,9,9,0,-0.9272727272727275,0.17157603764942153,trough,True,False,1.0
primary,0.3,Psi-plus,zero,0.20472159873741344,0.32073893382248775,0.35633704969578045,0.6546832006112993,0.5,9,7,2,9,7,2,-0.9272727272727275,0.17157603764942153,trough,True,False,1.0
primary,0.5,Phi-minus,ara,0.11051141523205076,0.16404711729910518,0.19595123103764228,1.034230049482969,0.5,8,9,1,8,10,2,-0.9818181818181818,0.136526592300116,trough,True,False,1.0
primary,0.5,Phi-minus,persistence,0.2684289317084428,0.3427958618654379,0.5577573311291031,0.8463150134857871,0.25,8,,,8,,,-0.9818181818181818,0.136526592300116,trough,True,False,1.0
primary,0.5,Phi-minus,linear,0.5425539884435331,0.6688953856668273,0.7302412263215987,0.8378195705595562,0.25,8,,,8,,,-0.9818181818181818,0.136526592300116,trough,True,False,1.0
primary,0.5,Phi-minus,no_rotation,0.12657140865044925,0.1652144637571469,0.1960122920147055,0.8463150134857871,0.5,8,9,1,8,10,2,-0.9818181818181818,0.136526592300116,trough,True,False,1.0
primary,0.5,Phi-minus,zero,0.19094701914118442,0.3333677664357627,0.2802020153338567,1.8398693296112754,0.75,8,7,1,8,7,1,-0.9818181818181818,0.136526592300116,trough,True,False,1.0
primary,0.5,Phi-plus,ara,0.15090083727531048,0.2173453795303924,0.2767684156971799,1.3690983277817765,0.25,8,10,2,9,,,-0.9636363636363637,0.2675745551083804,trough,True,False,1.0
primary,0.5,Phi-plus,persistence,0.28556754912495963,0.34978897321055075,0.5581848054373281,0.7746243426778737,0.0,8,,,9,,,-0.9636363636363637,0.2675745551083804,trough,True,False,1.0
primary,0.5,Phi-plus,linear,0.6123775949294737,0.7209841147012446,0.7035616962395519,0.906715632462,0.0,8,,,9,,,-0.9636363636363637,0.2675745551083804,trough,True,False,1.0
primary,0.5,Phi-plus,no_rotation,0.13761824897357658,0.18189225271197085,0.27534993681692016,0.7746243426778737,0.25,8,10,2,9,,,-0.9636363636363637,0.2675745551083804,trough,True,False,1.0
primary,0.5,Phi-plus,zero,0.1780345909511077,0.31862202946364504,0.2650923063989572,1.1821031962513342,0.5,8,7,1,9,7,2,-0.9636363636363637,0.2675745551083804,trough,True,False,1.0
primary,0.5,Psi-minus,ara,0.15836601735577718,0.23004765268107089,0.14908801820783885,2.26105337918629,0.5,8,9,1,9,10,1,-0.8454545454545455,0.5395931327581764,handover,False,False,1.0
primary,0.5,Psi-minus,persistence,0.2707471174220772,0.3514453827295403,0.44734226698890345,1.2190702636004223,0.25,8,,,9,,,-0.8454545454545455,0.5395931327581764,handover,False,False,1.0
primary,0.5,Psi-minus,linear,0.5239650205478799,0.6849023357010962,0.44089802938688993,1.8604222970582165,0.25,8,,,9,,,-0.8454545454545455,0.5395931327581764,handover,False,False,1.0
primary,0.5,Psi-minus,no_rotation,0.13641214726091946,0.18485057536387983,0.15122050595586223,1.2190702636004223,0.5,8,9,1,9,10,1,-0.8454545454545455,0.5395931327581764,handover,False,False,1.0
primary,0.5,Psi-minus,zero,0.19499620627272185,0.32346603918250655,0.35674006788179746,2.0031357991442524,0.25,8,7,1,9,7,2,-0.8454545454545455,0.5395931327581764,handover,False,False,1.0
primary,0.5,Psi-plus,ara,0.11474407835279779,0.14946090320283797,0.07271111459556985,1.8205802354567369,1.0,8,8,0,9,9,0,-0.8727272727272729,0.3855454632144508,trough,True,False,1.0
primary,0.5,Psi-plus,persistence,0.2416526084068781,0.31400985061580083,0.4190616843948514,0.8146984026518926,0.0,8,,,9,,,-0.8727272727272729,0.3855454632144508,trough,True,False,1.0
primary,0.5,Psi-plus,linear,0.6143304028187794,0.7484749781955746,0.4105705292559481,2.395647486168272,0.5,8,,,9,,,-0.8727272727272729,0.3855454632144508,trough,True,False,1.0
primary,0.5,Psi-plus,no_rotation,0.1033844947421956,0.12959267779553443,0.07725084229563586,0.8146984026518926,1.0,8,8,0,9,9,0,-0.8727272727272729,0.3855454632144508,trough,True,False,1.0
primary,0.5,Psi-plus,zero,0.2083993799108392,0.3278269894371475,0.3483099101777926,0.7260311135564937,0.5,8,7,1,9,7,2,-0.8727272727272729,0.3855454632144508,trough,True,False,1.0
primary,0.7,Phi-minus,ara,0.07669413610704227,0.09355682482559788,0.11498203860775552,1.0849173570000556,1.0,7,8,1,9,9,0,-0.9454545454545454,0.3001039001602754,trough,True,False,1.0
primary,0.7,Phi-minus,persistence,0.2077258150103251,0.3058481949951498,0.5244725372600415,1.028517876493271,0.0,7,,,9,,,-0.9454545454545454,0.3001039001602754,trough,True,False,1.0
primary,0.7,Phi-minus,linear,0.39248917289334007,0.5175695309457925,0.4916800548708314,1.2482893414638152,0.5,7,8,1,9,,,-0.9454545454545454,0.3001039001602754,trough,True,False,1.0
primary,0.7,Phi-minus,no_rotation,0.07614082309389264,0.09358777233950315,0.11436434523302037,1.028517876493271,1.0,7,8,1,9,9,0,-0.9454545454545454,0.3001039001602754,trough,True,False,1.0
primary,0.7,Phi-minus,zero,0.16636529084471402,0.29578322072686025,0.24203170802082308,2.1130747770965224,0.5,7,7,0,9,7,2,-0.9454545454545454,0.3001039001602754,trough,True,False,1.0
primary,0.7,Phi-plus,ara,0.08206823235133008,0.1056117520307661,0.15080006087336628,1.4361989068164271,0.75,7,8,1,8,9,1,-0.8727272727272729,0.4757405006287371,trough,True,False,1.0
primary,0.7,Phi-plus,persistence,0.2074982846217993,0.2709959782350153,0.44537307250426167,1.257097677116923,0.0,7,,,8,,,-0.8727272727272729,0.4757405006287371,trough,True,False,1.0
primary,0.7,Phi-plus,linear,0.4369964316711992,0.5898013784389402,0.7393416775224368,1.7406028679518846,0.25,7,,,8,,,-0.8727272727272729,0.4757405006287371,trough,True,False,1.0
primary,0.7,Phi-plus,no_rotation,0.0734373515447437,0.09881592255802976,0.15087425926959255,1.257097677116923,0.75,7,8,1,8,9,1,-0.8727272727272729,0.4757405006287371,trough,True,False,1.0
primary,0.7,Phi-plus,zero,0.1579255735115307,0.297242350540594,0.2333012446331852,1.1528955286825646,0.75,7,7,0,8,7,1,-0.8727272727272729,0.4757405006287371,trough,True,False,1.0
primary,0.7,Psi-minus,ara,0.07302681700939305,0.09498532493847538,0.14516464507033677,1.749057458400994,0.5,7,8,1,8,9,1,-0.8909090909090911,0.5521225894615378,handover,False,False,1.0
primary,0.7,Psi-minus,persistence,0.2004737765933604,0.2789473986395833,0.4575420162688927,1.4330625350685795,0.0,7,,,8,,,-0.8909090909090911,0.5521225894615378,handover,False,False,1.0
primary,0.7,Psi-minus,linear,0.3849437978641033,0.5386594772006791,0.5404603817223571,1.4180687006735684,0.25,7,,,8,,,-0.8909090909090911,0.5521225894615378,handover,False,False,1.0
primary,0.7,Psi-minus,no_rotation,0.07289577817637866,0.09423216237896764,0.14468721654995967,1.4330625350685795,0.5,7,8,1,8,9,1,-0.8909090909090911,0.5521225894615378,handover,False,False,1.0
primary,0.7,Psi-minus,zero,0.15400950474632302,0.30220429208201405,0.22466788098941393,1.7751158135634117,0.5,7,7,0,8,7,1,-0.8909090909090911,0.5521225894615378,handover,False,False,1.0
primary,0.7,Psi-plus,ara,0.07319665264979565,0.09357533764707651,0.11240816188760339,0.8698982878678442,0.75,7,8,1,8,9,1,-0.8727272727272729,0.3525359442641043,trough,True,False,1.0
primary,0.7,Psi-plus,persistence,0.20941280900768436,0.2768139072277982,0.48414007357044003,0.8306073679336592,0.0,7,,,8,,,-0.8727272727272729,0.3525359442641043,trough,True,False,1.0
primary,0.7,Psi-plus,linear,0.556694147695207,0.6800923961064016,0.35834503672047396,1.0516772662854326,0.25,7,9,2,8,,,-0.8727272727272729,0.3525359442641043,trough,True,False,1.0
primary,0.7,Psi-plus,no_rotation,0.07710372526762238,0.10030962042718312,0.11343615681756228,0.8306073679336592,0.75,7,8,1,8,9,1,-0.8727272727272729,0.3525359442641043,trough,True,False,1.0
primary,0.7,Psi-plus,zero,0.15997376472532118,0.2954257072680054,0.18530784718650442,0.9538095653651993,0.75,7,7,0,8,7,1,-0.8727272727272729,0.3525359442641043,trough,True,False,1.0
primary,0.85,Phi-minus,ara,0.05552323653593058,0.07089189350235908,0.10269708330464866,0.3488110035969428,1.0,7,7,0,8,8,0,-0.9818181818181818,0.2825313908571002,trough,True,False,1.0
primary,0.85,Phi-minus,persistence,0.1322414688259212,0.18331353464588412,0.3180785073649941,0.5265082873221989,0.25,7,,,8,,,-0.9818181818181818,0.2825313908571002,trough,True,False,1.0
primary,0.85,Phi-minus,linear,0.48503145548717835,0.6130905644107323,0.633272596981435,2.155862517740633,0.0,7,7,0,8,7,1,-0.9818181818181818,0.2825313908571002,trough,True,False,1.0
primary,0.85,Phi-minus,no_rotation,0.05762186393812438,0.07382261656076909,0.10051282185253886,0.5265082873221989,1.0,7,7,0,8,8,0,-0.9818181818181818,0.2825313908571002,trough,True,False,1.0
primary,0.85,Phi-minus,zero,0.1414933963898114,0.2803383548993771,0.17500820872619682,2.5742616585185982,0.75,7,7,0,8,7,1,-0.9818181818181818,0.2825313908571002,trough,True,False,1.0
primary,0.85,Phi-plus,ara,0.05726914343453001,0.07017648722175082,0.07797232984801601,1.5430534284430772,1.0,7,7,0,8,8,0,-0.990909090909091,0.2821043220334834,trough,True,False,1.0
primary,0.85,Phi-plus,persistence,0.13329611631095822,0.18099446168321948,0.33065510609852045,1.054194992819103,0.25,7,,,8,,,-0.990909090909091,0.2821043220334834,trough,True,False,1.0
primary,0.85,Phi-plus,linear,0.3858179351112051,0.5318395170168407,0.7428138736936886,2.3576716148090857,0.0,7,7,0,8,7,1,-0.990909090909091,0.2821043220334834,trough,True,False,1.0
primary,0.85,Phi-plus,no_rotation,0.05537330197633068,0.06866559069900909,0.07592633865416804,1.0541949928191032,1.0,7,7,0,8,8,0,-0.990909090909091,0.2821043220334834,trough,True,False,1.0
primary,0.85,Phi-plus,zero,0.15085419932337285,0.28987050460374597,0.18784793526894922,0.9545064485612886,0.75,7,7,0,8,7,1,-0.990909090909091,0.2821043220334834,trough,True,False,1.0
primary,0.85,Psi-minus,ara,0.05599062271041111,0.06615574587589056,0.08801426604514559,1.549953969833469,1.0,7,7,0,8,8,0,-0.9363636363636365,0.27020516324857113,trough,True,False,1.0
primary,0.85,Psi-minus,persistence,0.18086046854384372,0.25205941709102697,0.3956000928496498,1.5354537422995493,0.25,7,,,8,,,-0.9363636363636365,0.27020516324857113,trough,True,False,1.0
primary,0.85,Psi-minus,linear,0.35734713105158755,0.4910909454954457,0.48125433058920175,0.9234736084575239,0.0,7,7,0,8,7,1,-0.9363636363636365,0.27020516324857113,trough,True,False,1.0
primary,0.85,Psi-minus,no_rotation,0.057709860419184626,0.06837485850789563,0.08730531743048245,1.5354537422995493,1.0,7,7,0,8,8,0,-0.9363636363636365,0.27020516324857113,trough,True,False,1.0
primary,0.85,Psi-minus,zero,0.149930984904457,0.2961394793760877,0.20223743876839786,1.5871918355452337,0.75,7,7,0,8,7,1,-0.9363636363636365,0.27020516324857113,trough,True,False,1.0
primary,0.85,Psi-plus,ara,0.05508968567718136,0.06906497352031034,0.09087859268153073,0.7955835823179712,0.75,7,7,0,7,8,1,-0.9454545454545454,0.21989801051210914,trough,True,False,1.0
primary,0.85,Psi-plus,persistence,0.17118481030502278,0.227126061603158,0.4305381934910454,0.8211841378164353,0.0,7,,,7,,,-0.9454545454545454,0.21989801051210914,trough,True,False,1.0
primary,0.85,Psi-plus,linear,0.6519692310176617,0.7492069356094981,0.7094018985558399,1.600744063405016,0.25,7,7,0,7,7,0,-0.9454545454545454,0.21989801051210914,trough,True,False,1.0
primary,0.85,Psi-plus,no_rotation,0.055718896314277705,0.06960705054771164,0.09110812584138746,0.8211841378164353,0.75,7,7,0,7,8,1,-0.9454545454545454,0.21989801051210914,trough,True,False,1.0
primary,0.85,Psi-plus,zero,0.13302528378202105,0.27094204227254803,0.11303550808765445,0.848875739796063,1.0,7,7,0,7,7,0,-0.9454545454545454,0.21989801051210914,trough,True,False,1.0
primary,1.0,Phi-minus,ara,0.059694933157852535,0.07082953214329697,0.11108214757702774,1.911076864514956,0.75,7,7,0,7,8,1,-0.8636363636363636,0.4406304212375708,trough,True,False,1.0
primary,1.0,Phi-minus,persistence,0.14801965454858676,0.17606400673394204,0.27042267003593196,2.040548863750754,0.0,7,,,7,,,-0.8636363636363636,0.4406304212375708,trough,True,False,1.0
primary,1.0,Phi-minus,linear,0.4326935613673759,0.5541800536471774,0.7836006172217371,1.1441623447770786,0.0,7,,,7,,,-0.8636363636363636,0.4406304212375708,trough,True,False,1.0
primary,1.0,Phi-minus,no_rotation,0.061069000867280954,0.07248570595143052,0.11095618162233407,2.040548863750754,0.75,7,7,0,7,8,1,-0.8636363636363636,0.4406304212375708,trough,True,False,1.0
primary,1.0,Phi-minus,zero,0.1357376584269796,0.2637950686029297,0.15218294702186408,1.1257493433683814,1.0,7,7,0,7,7,0,-0.8636363636363636,0.4406304212375708,trough,True,False,1.0
primary,1.0,Phi-plus,ara,0.036628978210126326,0.04643457762940309,0.06007780396357745,1.7226852645308826,1.0,6,6,0,7,7,0,-0.9727272727272729,0.14922622775951871,trough,True,False,1.0
primary,1.0,Phi-plus,persistence,0.07831617956964773,0.10627031701323934,0.1939325636765606,1.9091701371865066,0.0,6,6,0,7,,,-0.9727272727272729,0.14922622775951871,trough,True,False,1.0
primary,1.0,Phi-plus,linear,0.47779148211070155,0.6104270616447502,0.8412971763922786,1.637818661228149,0.0,6,6,0,7,,,-0.9727272727272729,0.14922622775951871,trough,True,False,1.0
primary,1.0,Phi-plus,no_rotation,0.03728249686208632,0.04662754556776677,0.06118375248037832,1.9091701371865066,1.0,6,6,0,7,7,0,-0.9727272727272729,0.14922622775951871,trough,True,False,1.0
primary,1.0,Phi-plus,zero,0.12261144654626138,0.2606289907456257,0.09543461190812536,1.3408422452495128,1.0,6,6,0,7,7,0,-0.9727272727272729,0.14922622775951871,trough,True,False,1.0
primary,1.0,Psi-minus,ara,0.05732430835137013,0.0709362483829448,0.11666699609419395,1.3999808540989955,0.75,6,6,0,7,7,0,-0.9181818181818183,0.35319338051295773,trough,True,False,1.0
primary,1.0,Psi-minus,persistence,0.13601314157571062,0.1768458923528572,0.17526993505702482,1.8061493308874899,0.25,6,6,0,7,,,-0.9181818181818183,0.35319338051295773,trough,True,False,1.0
primary,1.0,Psi-minus,linear,0.556899334271092,0.6600575435445395,0.6889803545082851,1.1309065496500865,0.0,6,6,0,7,,,-0.9181818181818183,0.35319338051295773,trough,True,False,1.0
primary,1.0,Psi-minus,no_rotation,0.05680506615297614,0.07132259678038125,0.1151591572271096,1.8061493308874899,0.75,6,6,0,7,7,0,-0.9181818181818183,0.35319338051295773,trough,True,False,1.0
primary,1.0,Psi-minus,zero,0.13447225821449063,0.25556566034620776,0.16580451532871832,1.2499368750005333,0.75,6,6,0,7,7,0,-0.9181818181818183,0.35319338051295773,trough,True,False,1.0
primary,1.0,Psi-plus,ara,0.06433745603032372,0.07808055173244706,0.14078347671044608,2.0913022363858076,0.25,7,7,0,7,8,1,-0.9,0.5138699780853806,handover,False,True,0.7777777777777778
primary,1.0,Psi-plus,persistence,0.1420834678857505,0.18474237188445683,0.2383198670342378,2.0996946150868614,0.5,7,,,7,,,-0.9,0.5138699780853806,handover,False,True,0.7777777777777778
primary,1.0,Psi-plus,linear,0.4265517896925911,0.5538512536086367,0.49828667073223804,1.0449459358128954,0.0,7,7,0,7,,,-0.9,0.5138699780853806,handover,False,True,0.7777777777777778
